"","american_traditional_id","star","count","name","city","state","latitude","longtitude"
"1","170311","3.875","8","Ohio Beer Garden","North Olmsted","OH","41.4165875685","-81.9043700652"
"2","87650","4.66666666666667","3","Vince Neil's Tatuado | Eat, Drink, Party","Las Vegas","NV","36.1020497898","-115.1562883"
"3","54668","4","8","Aux Derniers Humains","Montr¨¦al","QC","45.5370914","-73.6121815"
"4","129363","2.83333333333333","12","Big Horn Restaurant","Boulder City","NV","35.9782674","-114.8364718"
"5","46144","2.57142857142857","7","Route 28 Bar & Grille","Pittsburgh","PA","40.5015563","-79.8606291"
"6","16041","3.7","10","Table Brick Oven & Bar","Murrysville","PA","40.4218481104","-79.6610283852"
"7","44219","2.95454545454545","88","Piggly's At the Fair","Mesa","AZ","33.38449","-111.80411"
"8","96427","1.8","45","Steak ¡¯n Shake","Brunswick","OH","41.2378014833","-81.8060022"
"9","70480","3.81818181818182","11","Ron's Restaurant","Monroe","NC","35.027041","-80.603617"
"10","88804","4.07142857142857","28","Circles Grill and Market","Charlotte","NC","35.0393909574","-80.7950710445"
"11","44814","2.70588235294118","51","Chili's","Charlotte","NC","35.1621387","-80.8868514"
"12","76609","2.97","100","Hickory Tavern","Charlotte","NC","35.344936","-80.842227"
"13","164561","2.9748743718593","199","Mimi's Cafe","Glendale","AZ","33.6386542","-112.219354"
"14","192265","2.65384615384615","26","Baskin-Robbins","Goodyear","AZ","33.4575713","-112.3931507"
"15","37063","2.31481481481481","54","Steak ¡¯n Shake","Willoughby","OH","41.6234487","-81.4392608"
"16","2715","4.2621359223301","103","The Turnhouse Grille","Charlotte","NC","35.1717355947","-80.8492714539"
"17","86248","3.54545454545455","33","Waffle House","Pineville","NC","35.087963","-80.858488"
"18","72222","3.99137931034483","348","Eggspectation","Montr¨¦al","QC","45.507291","-73.565672"
"19","48959","3.625","8","Swiss Chalet Rotisserie & Grill","Ajax","ON","43.8980699691","-79.0290136315"
"20","133490","3.61290322580645","31","The Cure","Toronto","ON","43.6497245738","-79.4315845899"
"21","6007","3.6","170","Kelly's Bar & Lounge","Pittsburgh","PA","40.4599920866","-79.9244865083"
"22","66452","4.19469026548673","113","Tarbell's The Tavern","Phoenix","AZ","33.5091229429","-112.0126287829"
"23","118410","2.64897959183673","245","Claim Jumper Restaurant & Saloon","Avondale","AZ","33.4630705155","-112.2778768672"
"24","50948","2.38709677419355","62","Denny's","Surprise","AZ","33.6589000674","-112.376867598"
"25","134444","3.84615384615385","26","The Monkey Bar","Pittsburgh","PA","40.327059139","-79.9442769808"
"26","177308","3.940625","320","New York Bagels 'N Bialys","Scottsdale","AZ","33.5796797","-111.9275444"
"27","92755","2.07692307692308","65","Ranch House Kitchen","Las Vegas","NV","36.067199","-115.1722323"
