"","chinese_id","star","count","name","city","state","latitude","longtitude"
"1","105372","1.6","5","Pearl Garden","Calgary","AB","51.0811622","-113.9934738"
"2","20037","3.4","285","Nee House Chinese Restaurant","Phoenix","AZ","33.6130201898","-111.9770356779"
"3","111668","3.00512820512821","195","Yummy Yummy Chinese Restaurant","Scottsdale","AZ","33.478754","-111.925484"
"4","101172","3.07692307692308","13","China Gourmet","Mesa","AZ","33.39486287","-111.7560359322"
"5","165961","2.625","72","Pearl King","Toronto","ON","43.6464782","-79.3900189"
"6","138910","2.625","8","Jardin Tiki","Montr®¶al","QC","45.5679434","-73.5526664"
"7","102449","4.46308724832215","149","China AAA","Henderson","NV","35.99822","-115.102246"
"8","72511","2.24","75","ChinaTown Buffet","Champaign","IL","40.13727","-88.2560426"
"9","157896","3.35483870967742","31","Golden Flower Cafe","Richmond Hill","ON","43.8611126","-79.394803"
"10","63916","4.20833333333333","24","Wong's Asian Cuisine","Scarborough","ON","43.7472771","-79.2838487"
"11","175422","3.66666666666667","18","Sunny China Buffet","Urbana","IL","40.0976392","-88.1912166"
"12","166729","3.28571428571429","21","Empress Court","Las Vegas","NV","36.1161559","-115.1750576"
"13","95396","2.25","4","Red Lotus","Richmond Hill","ON","43.8914289676","-79.4404220581"
"14","41536","3.35294117647059","85","Genghis Grill","Matthews","NC","35.1338014","-80.7117827"
"15","158881","4.22439024390244","205","Yao Fine Chinese Cuisine","Gilbert","AZ","33.30483","-111.788866"
"16","123943","2","3","Panda Express","Tempe","AZ","33.3831468","-111.9647254"
"17","54320","3.5","4","Teriwoki","Las Vegas","NV","36.0164931","-115.1170689"
"18","72504","3.84558823529412","136","King Wok","Gilbert","AZ","33.3369054333","-111.7717713333"
"19","86768","3.94505494505495","91","Hong Kong Bistro Cafe","Toronto","ON","43.6534452","-79.3968608"
"20","36425","4.04618937644342","433","Tott's Asian Diner","Chandler","AZ","33.3212645","-111.9116902"
"21","128522","3.51612903225806","62","Mandarin Restaurant - Queensway","Etobicoke","ON","43.621045152","-79.52306148"
