"","american_traditional_star","goodforkids","noiselevel","restaurantdelivery","dessert","latenight","lunch","dinner","brunch","breakfast","alcohol","caters","wifi","restaurantstakeout","businessacceptcreditcards","touristy","hipster","romantic","divey","intimate","trendy","upscale","classy","casual","garage","street","validated","lot","valet","restaurantstableservice","restaurantsgoodforgroups","outdoorseating","hastv","bikeparking","restaurantsreservations","restaurantspricerange2","restaurantsattire","businessacceptbitcoin","byappointmentonly","acceptsinsurance","dj","background_music","no_music","jukebox","live","video","karaoke","goodfordancing","coatcheck","happyhour","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wheelchairaccessible","dogsallowed","byobcorkage","drivethru","smoking","agesallowed","corkage","byob","open24hours","restaurantscounterservice"
"1","3.875","True","average","False","False","False","False","False","False","False","full_bar","False","free","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","True","True","True","False","False","1","casual",NA,NA,NA,"False","False","False","False","False","False","False","False","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","4.66666666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","4","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,"False","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2.83333333333333","True","quiet","False",NA,NA,NA,NA,NA,NA,"beer_and_wine","True","no","True","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False",NA,"True","True","False",NA,"True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2.57142857142857","False","average",NA,"False","False","False","False","False","False","full_bar","True",NA,"True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True",NA,"True","True","2","casual",NA,NA,NA,"True","False","False","False","False","False","True","True",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"outdoor",NA,NA,NA,NA,NA
"6","3.7","False","average","False",NA,NA,NA,NA,NA,NA,"full_bar",NA,NA,"True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"True","True","True","False","True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2.95454545454545","True","average","False",NA,NA,NA,NA,NA,NA,"full_bar","True","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","True",NA,"True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1.8","True","average","False","False","False","False","False","False","False","None",NA,"free","True","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False",NA,"True","False","False","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA
"9","3.81818181818182","True","average","True","False","False","False","False","False","True","None",NA,NA,"True","True","None","None","None","None","None","None","None","None","None","None","None","None","None","None",NA,"False",NA,"True","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","4.07142857142857","True","quiet","False","False","False","False","False","False","False","full_bar","False","no","True","True","False","False","False","False","False","False","False","True","False","False","False","False","True","False","True","True","True","True","False","False","2","casual","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,"True","False",NA,NA,NA,NA,NA,NA,NA,NA
"11","2.70588235294118","True","very_loud","False","False","False","True","True","False","False","full_bar","False","no","True","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","True","False","True","False","False","2","casual",NA,NA,NA,"False","False","False","False","False","False","False","False","False","True",NA,NA,NA,NA,NA,NA,NA,"True",NA,"'yes_free'",NA,NA,NA,"False","False",NA,NA
"12","2.97","True","loud","False","False","True","True","True","False","False","full_bar","True","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","True","False","True","2","casual",NA,NA,NA,"False","False","False","False","False","False","False",NA,"False","True","False","False","False","False","False","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2.9748743718593","True","average","False","False","False","True","False","True","True","full_bar","True","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","False","True","True","2","casual",NA,NA,NA,"False","False","False","False","False","False","False","False","True","True","False","True","True","True","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2.65384615384615","True","quiet","False",NA,NA,NA,NA,NA,NA,"None","False","no","True","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False",NA,"True","True",NA,"True","False","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2.31481481481481","True","average","False","True","True","False","True","False","False","None","False","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","False","False","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","4.2621359223301","False","average","False","True","False","True","False","True","False","full_bar",NA,"free","True","True","False","False","False","False","False","True","False","True","True","False","False","False","False","False",NA,"True","True","True","True","True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True","False","True",NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,"outdoor",NA,NA,NA,NA,NA
"17","3.54545454545455","True","average","False","False","False","False","False","True","True","None","False","no","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","False","False","False","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","3.99137931034483","True","average","False","False","False","True","False","True","True","full_bar","False","free","False",NA,"False","False","False","None","False","False","False","False","True","True","True","False","True","False","True","True","True","True","False","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","3.625","True",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,"free","True",NA,"False","False","False","None","False","False","False","False","False",NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,"False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","3.61290322580645","True","average","False",NA,NA,NA,NA,NA,NA,"full_bar","False","no","True",NA,"False","True","False","False","False","False","False","False","False","False","True","False","False","False",NA,"True","False","False","True","True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","3.6","False","loud","False","False","False","False","False","False","False","full_bar",NA,"no","True","True","False","True","False","False","False","False","False","False","True","False","True","False","False","False",NA,"True","True","False","True","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","4.19469026548673","False","average","False","False","False","False","True","False","False","beer_and_wine","True","no","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False","True","True","True","True","True","True","2","casual",NA,NA,NA,"False","True","None","False","False","False","False","False","False","True","False","False","False","True","True","True","False",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA
"23","2.64897959183673","True","average","False","False","False","True","True","False","False","full_bar","True","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","False","True","True","True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2.38709677419355","True","average","False","False","True","False","False","False","True","None","False","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False","True","True","False","True","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3.84615384615385","False","very_loud","False","False","False","False","False","False","False","full_bar","False","free","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"True","True","True","False","False","1","casual",NA,NA,NA,"False","False","False","True","False","False","False","False",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3.940625","True","average","False","False","False","True","False","True","True","full_bar","True","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False","True","True","True","True","True","True","2","casual","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'yes_free'",NA,NA,NA,"False",NA,NA,NA
"27","2.07692307692308","True","average","False",NA,NA,NA,NA,NA,NA,"full_bar",NA,"no","True","True","False","False","False","False","False","False","False","False","True","True","False","False","False","False",NA,"True","True","True",NA,"True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4.25","True","loud","False","False","False","False","False","False","True","full_bar","False",NA,"True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"True","False","True","False","True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2.3125","True","average","True","True","True","True","False","True","True","None","False","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False","True","True","False","False","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","4.34782608695652","False","quiet","False","False","False","True","False","False","False","full_bar",NA,"free","False",NA,"False","False","False","None","True","False","False","True","False","False","False","False","True","False",NA,"True","True","True","True","True","3","dressy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3.41428571428571","True","average","False","False","False","True","False","True","True","None","True","no","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","False","True","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2.3125","False",NA,"False","False","False","False","False","False","False",NA,NA,"free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","True","True","True","True","False","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","4.2","True","average","False","False","False","True","True","False","False","full_bar","False","no","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False","True","True","True","True","True","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3.21052631578947","True","average","False","False","False","True","False","False","True","None","False","no","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","False","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2.29032258064516","True","very_loud","False","False","False","True","True","False","False","full_bar","False","no","True",NA,"False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","True","True","True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2.44444444444444",NA,NA,NA,NA,NA,NA,NA,NA,NA,"full_bar",NA,NA,"True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3.53125","True","average","True","False","False","False","False","True","True","None","True","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","True","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3.69230769230769","False","average","False",NA,NA,NA,NA,NA,NA,"full_bar","True","no","True","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False",NA,"True","True","True","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3.06818181818182","False","average","False","False","False","False","True","False","False","full_bar","False",NA,"True",NA,"False","False","False","False","False","False","False","False","True","False","True","False","False","False",NA,"True","True","True","True","True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2.85714285714286","True","average","False",NA,NA,NA,NA,NA,NA,"full_bar","True","no","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"True","True","True",NA,"True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2.9","True",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","False","True","True","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3.375","False","average",NA,NA,NA,NA,NA,NA,NA,"full_bar",NA,NA,NA,NA,"False","False","False","None","False","False","False","False","False","False","False","False","False","False",NA,"True","True","True",NA,"True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2","True",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,"False","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3.54545454545455","True","average","False","False","False","True","False","True","True","None","False","no","True","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False",NA,"True","False","False","True","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA
"46","4","True","average","False",NA,NA,NA,NA,NA,NA,"None","False","free","True","True","False","False","False","False","False","False","False","False","True","False","True","False","True","False",NA,"True","False","False","False","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4.22502522704339","True","average","False","False","False","True","True","False","True","beer_and_wine","True","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","True","True","False","2","casual","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA
"48","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"full_bar",NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","False","False","False","False",NA,"True","True",NA,NA,"True","3","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2.95","True","quiet","False","False","False","False","False","False","False","None",NA,"no","True","True","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,"True","False","False","True","False","1","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3.48318042813456","True","loud","False","False","False","False","True","False","False","full_bar","True","free","True","True","False","False","False","False","False","False","False","False","True","False","False","False","True","False",NA,"True","True","True","True","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA
"51","3.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","3","True","average","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,"False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,"False","False",NA,NA,"False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2.33333333333333","True","average",NA,"False","False","False","False","False","False","None","False",NA,"True",NA,"False","False","False","None","False","False","False","False","False","False","False","False","False","False","False","True","False","True","True","False","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA
"54","2.33333333333333","False","loud","False",NA,NA,NA,NA,NA,NA,"full_bar","False","free","True","True","False","False","False","False","False","False","False","False","True","True","True","False","False","False",NA,"True","True","True",NA,"True","2","casual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
