"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",132506,"Nowshak Restaurant","Vaughan","ON","L4K 5Y6",43.8291402796,-79.5372338641,"0","Restaurants, Afghan"
"2",132934,"Zam Zam Catering & Mobile Cuisine","Madison","WI","53715",43.0710301,-89.4064136,"0","Restaurants, Food, Food Trucks, Afghan"
"3",4951,"Kabul Kebob and Shawarma","Toronto","ON","M4R 1A1",43.7064550832,-79.3997823183,"0","Afghan, Restaurants, Persian/Iranian"
"4",133974,"Zaher Restaurant","Richmond Hill","ON","L4E 3K2",43.942933967,-79.4544386119,"0","Middle Eastern, Afghan, Persian/Iranian, Restaurants"
"5",184486,"Kabob Factory","Las Vegas","NV","89123",36.0416591,-115.1353976,"0","Mediterranean, Afghan, Restaurants"
"6",38245,"Crown Pita","Pickering","ON","L1V 1C6",43.850205,-79.070689,"1","Afghan, Halal, Restaurants, Mediterranean, Middle Eastern, Falafel"
"7",153901,"Bamiyan Kabob","East York","ON","M4H 1C4",43.7078994,-79.3433474,"1","Restaurants, Afghan"
"8",80446,"Kandahar Kabab","Mississauga","ON","L4W 4G1",43.640037,-79.625372,"1","Middle Eastern, Afghan, Restaurants"
"9",55585,"Fenêtre sur Kaboul","Montréal","QC","H2J 2J2",45.5244041,-73.5759533,"1","Restaurants, Food, Afghan, Tea Rooms"
"10",68702,"Tops Pizza & Chicken","Markham","ON","L3S 0B6",43.8507974,-79.2538693,"0","Pizza, Kebab, Afghan, Chicken Wings, Restaurants, Burgers, Halal"
"11",14868,"King of Shawarma","Calgary","AB","T3C 3S8",51.0424917,-114.093646,"1","Falafel, Halal, Middle Eastern, Restaurants, Food, Donairs, Mediterranean, Afghan"
"12",157121,"Afghan Cuisine","Richmond Hill","ON","L4C 4M6",43.8931308924,-79.440486962,"1","Food, Ethnic Food, Specialty Food, Halal, Afghan, Pakistani, Restaurants"
"13",41035,"Peshawari Tikka","Montréal","QC","H4K 1M9",45.5272053,-73.7188586,"1","Indian, Afghan, Pakistani, Restaurants"
"14",121797,"Pamier Kabob","Toronto","ON","M5V 2L1",43.6472101935,-79.3954726614,"1","Restaurants, Afghan"
"15",180013,"L'Afghan Grillade","Laval","QC","H7V 3T4",45.5391034596,-73.7351162493,"1","Barbeque, Restaurants, Afghan"
"16",21350,"Maimana Naan & Kabab","Ajax","ON","L1Z 0K5",43.8632915,-79.012061,"1","Middle Eastern, Restaurants, Afghan"
"17",100954,"The Kabab Shoppe","Pickering","ON","L1V 1C1",43.8417711,-79.0840136,"1","Restaurants, Afghan, Persian/Iranian, Mediterranean"
"18",53801,"Pamier Kabob","Mississauga","ON","L5L 5R9",43.525626,-79.704421,"1","Afghan, Restaurants"
"19",51690,"Silk Road Kabob House","Toronto","ON","M5G 2J8",43.6598162519,-79.3855910264,"1","Afghan, Kebab, Restaurants"
"20",70341,"Parwan Kabob","Toronto","ON","M1P 0A1",43.7524762,-79.2639726,"0","Afghan, Restaurants"
"21",141536,"Bakhtar Kabab","Mississauga","ON","L4W 4L8",43.6461103248,-79.6576950124,"1","Restaurants, Middle Eastern, Afghan"
"22",162940,"Ali Baba Cafe and Restaurant","Scarborough","ON","M1P 2W6",43.765813,-79.281899,"0","Afghan, Cafes, Dance Clubs, Nightlife, Restaurants"
"23",147531,"Helmand Kabob Afghan Cuisine","Mississauga","ON","L5T 2Y3",43.6385654409,-79.6925443411,"0","Restaurants, Afghan"
"24",85851,"Alanoor Afghan Kabob","Toronto","ON","M1T 3K8",43.7804142,-79.2984859,"1","Afghan, Halal, Middle Eastern, Restaurants"
"25",67475,"Pizza Hot Wings","Toronto","ON","M1T 3J5",43.7764067,-79.3181349,"0","Pizza, Afghan, Halal, Restaurants"
"26",89131,"Mumtaz Grill Restaurant","Toronto","ON","M3J 1L5",43.7457025,-79.487427,"1","Afghan, Restaurants, Persian/Iranian, Middle Eastern"
"27",19319,"Naan And Kabob","Toronto","ON","M4G 3V1",43.704905728,-79.3614039241,"1","Restaurants, Afghan"
"28",31186,"Sultan Kabob","Vaughan","ON","L6A 3X5",43.8440269,-79.5354452,"0","Middle Eastern, Halal, Restaurants, Afghan"
"29",28987,"Royal Kabob Restaurant","Las Vegas","NV","89134",36.2112472,-115.2987804,"0","Afghan, Restaurants"
"30",120313,"Madani","Richmond Hill","ON","L4E 1A7",43.9441734007,-79.4542133292,"1","Restaurants, Afghan, Butcher, Bakeries, Food"
"31",23664,"Baghlan Kebob & Bakery","Toronto","ON","M9W 5Z3",43.7142045953,-79.5583274832,"1","Restaurants, Halal, Middle Eastern, Bakeries, Food, Afghan"
"32",146683,"Zafran Kabab Palace","Pineville","NC","28134",35.0873529,-80.8863258,"1","Restaurants, Indian, Halal, Pakistani, Afghan"
"33",77326,"ZK Grill","Phoenix","AZ","85032",33.624311,-111.978425,"1","Middle Eastern, Afghan, Persian/Iranian, Mediterranean, Restaurants"
"34",164474,"ZK Grill","Phoenix","AZ","85016",33.5073239,-112.0468584,"0","Falafel, Restaurants, Mediterranean, Middle Eastern, Persian/Iranian, Afghan"
"35",45349,"Naan and Kabob","Toronto","ON","M1P 4P5",43.775038,-79.25738,"1","Restaurants, Afghan, Halal"
"36",85233,"Afghan Kitchen","Mississauga","ON","L5A 1W8",43.583626,-79.612558,"1","Afghan, Asian Fusion, Ethnic Food, Restaurants, Food, Specialty Food"
"37",92739,"L'Afghan Grillade","Montréal","QC","H4N 1L7",45.533669,-73.659334,"1","Afghan, Restaurants, Halal"
"38",105699,"The GyroMan","Charlotte","NC","28202",35.2326781,-80.8460822,"1","Mediterranean, Restaurants, Greek, Food Stands, Halal, Afghan"
"39",177020,"Flaming Kabob","Mesa","AZ","85204",33.379512,-111.78441,"1","Middle Eastern, Halal, Afghan, Restaurants, Mediterranean, American (Traditional)"
"40",145587,"Maza","Madison","WI","53774",43.075141,-89.394958,"0","Afghan, Restaurants"
"41",19353,"Kabuli Kabob","Markham","ON","L3S 0B5",43.8497046651,-79.253109805,"1","Restaurants, Afghan"
"42",77276,"Karahi Boys","Mississauga","ON","L5V 0B7",43.6090252864,-79.6969280526,"1","Restaurants, Pakistani, Halal, Afghan"
"43",43323,"Helmand Kabob Palace","Pickering","ON","L1X 0B6",43.8685101,-79.0830951,"1","Halal, Afghan, Kebab, Middle Eastern, Restaurants"
"44",129184,"Sahebi Kabob","Toronto","ON","M1X 0A5",43.8356211,-79.2504341,"0","Restaurants, Halal, Afghan"
"45",5367,"Royal kabob","Brampton","ON","L6V 1C2",43.6995382488,-79.746392759,"1","Afghan, Restaurants"
"46",21057,"Masrawy Fine Egyptian Catering","Mississauga","ON","L5M 2G6",43.5832811,-79.7308736,"1","Restaurants, Caterers, Event Planning & Services, Egyptian, Afghan, Middle Eastern"
"47",77067,"Mediterranean & Persian Kabob House","Oak Ridges","ON","L4E 3L7",43.9427466,-79.4597531,"1","Afghan, Restaurants, Persian/Iranian, Mediterranean"
"48",160328,"Watan Kabob","Mississauga","ON","L4Z 1X8",43.6200547,-79.6674377,"1","Afghan, Pakistani, Halal, Restaurants, Middle Eastern"
"49",131474,"White Castle Banquet & Event Centre","Vaughan","ON","L1K 1Z2",43.8094025,-79.5014078,"1","Venues & Event Spaces, Buffets, Music Venues, Event Planning & Services, Restaurants, Nightlife, Afghan, Indian, American (Traditional), Arts & Entertainment"
"50",93407,"Safaryan","Whitby","ON","L1N 4J8",43.8791298,-78.9421062,"1","Afghan, Middle Eastern, Mediterranean, Vegan, Restaurants"
"51",10148,"Bamiyan Kabob","Mississauga","ON","L4T 1H4",43.7099244987,-79.6534178673,"1","Afghan, Restaurants"
"52",80917,"Afghan Cuisine","Toronto","ON","M4H 1C4",43.7080443,-79.3429693,"1","Persian/Iranian, Halal, Afghan, Restaurants"
"53",76602,"Kohinoor Kabob House","Richmond Hill","ON","L4C 3E3",43.8904304,-79.4403617,"1","Restaurants, Pakistani, Afghan, Indian"
"54",47715,"Mazar Kabob","Toronto","ON","M9C",43.6192764,-79.5613274,"1","Restaurants, Afghan"
