"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",183950,"Panafest","Toronto","ON","M3L 2E8",43.7420332,-79.5143671,"1","African, Bars, Restaurants, Nightlife"
"2",9731,"Ayo Restaurant","Montréal","QC","H8R 2A4",45.4209727,-73.6312633,"1","African, Restaurants"
"3",12174,"Max's Mukhaase","Chandler","AZ","85224",33.3374534,-111.8600724,"0","Restaurants, African"
"4",125425,"Xawaash","Toronto","ON","M9W",43.7153145,-79.5928985,"1","Event Planning & Services, Caterers, Specialty Food, Restaurants, Halal, Internet Cafes, Mediterranean, Middle Eastern, African, Food"
"5",85539,"Kal & Mooy","Toronto","ON","M5G",43.6501306,-79.3904119,"0","Food, Specialty Food, Middle Eastern, Restaurants, African, Ethnic Food, Food Trucks"
"6",68236,"Galito's Flame Grilled Chicken","Mississauga","ON","L4W 1E4",43.6397403013,-79.6270518377,"1","African, South African, Restaurants"
"7",48538,"Golden Gate restaurant","Toronto","ON","M9W 3X7",43.7235052,-79.5599489,"1","Restaurants, African"
"8",131067,"Hamdi Restaurant","Toronto","ON","M5A 2K7",43.6635147,-79.3706875,"0","Restaurants, African"
"9",176153,"Lydiah's Coffee House","Pittsburgh","PA","15219",40.4371691,-79.9981261,"0","Specialty Food, Imported Food, Food, African, Ethnic Food, Coffee & Tea, Restaurants"
"10",130178,"Guy Fieri's Vegas Kitchen & Bar","Las Vegas","NV","89109",36.1180802326,-115.1724323608,"1","Breakfast & Brunch, American (Traditional), African, Restaurants, Bars, Pubs, Burgers, Nightlife, American (New)"
"11",61319,"MamaLand Resto-Lounge","Toronto","ON","M6H 3Y9",43.6588937,-79.4427568,"1","African, Lounges, Caribbean, Bars, Nightlife, Restaurants"
"12",89878,"Restaurant Le Piton De La Fournaise","Montréal","QC","H2L 1B2",45.5228961,-73.5739146,"0","Cajun/Creole, African, Restaurants, French"
"13",163504,"The Pie Guyz","Brampton","ON","L6S 0C9",43.7507998,-79.7267107,"1","Restaurants, British, Indian, African, South African"
"14",14067,"Village Suya","Mississauga","ON","L5C 4L2",43.5782985,-79.6612622,"1","Restaurants, Caribbean, African, Barbeque"
"15",42939,"Xamar Weyne","Toronto","ON","M9W 1R6",43.7145079826,-79.5827133108,"1","Restaurants, African"
"16",66547,"Margaritaville - Las Vegas","Las Vegas","NV","89109",36.117162,-115.172409,"1","American (Traditional), Arts & Entertainment, Burgers, American (New), Nightlife, Seafood, African, Restaurants, Bars, Music Venues"
"17",23051,"Choukouya Resto Bar","Warrensville Heights","OH","44128",41.4344608,-81.4987718,"1","African, Restaurants"
"18",179134,"Klassic Kitchen Halal Restaurant","Richmond Hill","ON","L4C 3B6",43.8765594,-79.4385667,"0","Halal, African, Restaurants"
"19",31766,"Nando's Flame Grilled Chicken","Calgary","AB","T1Y 6M5",51.0811507159,-113.9872353842,"1","Restaurants, African, South African, American (Traditional), Chicken Wings, Portuguese"
"20",81661,"Mama Gee's Takeout Restaurant","Charlotte","NC","28216",35.2473731,-80.8569734,"1","African, Soul Food, Restaurants"
"21",31313,"The Suya Spot Scarborough","Toronto","ON","M1E 3G1",43.7715993,-79.1869592,"1","Barbeque, Soul Food, Restaurants, African"
"22",185849,"Camelback Golf Club","Scottsdale","AZ","85253",33.5542616349,-111.9341342059,"1","Golf Equipment Shops, African, Amateur Sports Teams, Golf, Restaurants, Active Life, Shopping"
"23",163158,"Mosaic Mediterranean Grill","Brampton","ON","L6R 1H5",43.7603179,-79.7298334,"0","Greek, Restaurants, Mediterranean, Middle Eastern, African"
"24",30373,"Restaurant Grégoire","Mercier","QC","J6R 1A5",45.307318,-73.747929,"1","African, Fast Food, Restaurants"
"25",184433,"Authentic Ethio African","Phoenix","AZ","85006",33.4659491565,-112.0438096799,"1","Restaurants, Gluten-Free, Ethnic Food, Vegetarian, Bakeries, Ethiopian, African, Food, Specialty Food"
"26",87213,"Milky Lane","Richmond Hill","ON","L4C 0M5",43.8639399879,-79.4354499131,"0","South African, African, Diners, Sandwiches, Restaurants, Desserts, Food, Coffee & Tea, Ice Cream & Frozen Yogurt, Comfort Food"
"27",33605,"Rajkapuri's Paan & Snacks","Toronto","ON","M4J 3S1",43.6934122,-79.3423857,"1","African, Restaurants"
"28",51105,"Golden Stool Restaurant and Lounge","Brampton","ON","L6X 1B6",43.6861517801,-79.7622923258,"1","Bars, Restaurants, African, Nightlife, Lounges, Caterers, Event Planning & Services, Cocktail Bars, Caribbean"
