"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",847,"Villa Madina","Montréal","QC","H3T",45.5004912,-73.6221452,"1","Restaurants, Food, Mediterranean, Arabian"
"2",147634,"Mazza Garden","Ajax","ON","L1S 6M5",43.8392202,-79.0344886,"1","Dance Clubs, Restaurants, Arabian, Nightlife, Middle Eastern"
"3",99387,"Wessen Int'l Kitchen","Tempe","AZ","85281",33.422543,-111.903168,"1","Mediterranean, Specialty Food, Arabian, Middle Eastern, Restaurants, Food"
"4",73070,"Kabob N More","Las Vegas","NV","89109",36.1317540411,-115.1642730431,"1","Arabian, Indian, Restaurants, Pakistani, Halal"
"5",100410,"Palm Beach Middle Eastern Restaurant","Tempe","AZ","85281",33.4082094073,-111.9172130344,"0","Mediterranean, Middle Eastern, Arabian, Restaurants"
"6",152493,"Jerusalem Shawarma - Shawnessy","Calgary","AB","T2Y 3S5",50.9071009,-114.065419,"1","Arabian, Restaurants, Donairs, Falafel, Mediterranean, Food"
"7",157289,"Zezafoun Syrian Cuisine","Toronto","ON","M4S 1P8",43.7024463,-79.3972402,"1","Restaurants, Arabian, Syrian, Middle Eastern"
"8",28022,"Shawarma In Motion","Calgary","AB","T1Y 5T1",51.0453246,-114.0581012,"0","Restaurants, Food Trucks, Arabian, Food"
"9",17671,"Damascino","Cleveland","OH","44111",41.4509631,-81.8140807,"0","Restaurants, Food Delivery Services, Halal, Arabian, Bakeries, Food"
"10",73276,"Green Corner Restaurant","Mesa","AZ","85210",33.3944462,-111.8541105,"1","Restaurants, Greek, Mediterranean, Halal, Arabian, Salad, Sandwiches"
"11",102286,"Shawarma 360","Toronto","ON","M1P 2Y4",43.7703745164,-79.2786932364,"1","Middle Eastern, Modern European, Arabian, Restaurants"
"12",38486,"ShawarmaLicious","Mississauga","ON","L4W 4K2",43.637072447,-79.6236635372,"1","Arabian, Middle Eastern, Restaurants"
"13",4116,"Kabab House","Phoenix","AZ","85032",33.6412984,-112.0063922,"0","Lebanese, Restaurants, Mediterranean, Middle Eastern, Food, Arabian, Juice Bars & Smoothies, Halal, Turkish, Greek"
"14",37318,"Al Taib Grill","Montréal","QC","H3H",45.4954403,-73.5798188,"1","Arabian, Restaurants, Halal, Food"
