"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",144230,"Rincon De Buenos Aires","Las Vegas","NV","89146",36.126315,-115.214259,"1","Argentine, Delis, Specialty Food, Ethnic Food, Italian, Restaurants, Food, Latin American, Grocery, Steakhouses"
"2",70726,"Made in Argentina","Las Vegas","NV","89118",36.0958261,-115.1892402,"1","Latin American, Argentine, Restaurants"
"3",172990,"Romano's Pizzeria","Las Vegas","NV","89102",36.133533308,-115.1910922544,"1","Pizza, Argentine, Restaurants, Chicken Wings, Italian"
"4",17561,"Gaucho Parrilla Argentina","Pittsburgh","PA","15222",40.449043,-79.987573,"1","Argentine, Latin American, Restaurants, Seafood"
"5",156381,"Iberia-Sur Restaurant","Toronto","ON","M6H 1A1",43.6542445,-79.4229429,"0","Restaurants, Portuguese, Argentine, Steakhouses"
"6",162227,"La Esquina Resto Lounge and Wine Bar","Vaughan","ON","L4L 2V5",43.7876301,-79.5544726,"0","Argentine, Wine Bars, Nightlife, Restaurants, Bars"
"7",493,"Mr Greek Express","Mississauga","ON","L5N 8P7",43.5968995769,-79.7858462217,"1","Food, Argentine, Mediterranean, Restaurants, Greek"
"8",147295,"Nova Bar & Grill","Cleveland","OH","44113",41.5000531,-81.6985733,"0","Restaurants, Lounges, Argentine, Nightlife, Bars"
"9",40458,"Capri Cafe","Tempe","AZ","85282",33.3929694,-111.910756,"0","Argentine, Restaurants, Cafes"
"10",185363,"Triple Dot Food Truck","Phoenix","AZ","85004",33.4528292,-112.0685027,"1","Food Trucks, Argentine, Restaurants, Food"
"11",80635,"Reds Wine Tavern","Toronto","ON","M5X 1B1",43.6483116,-79.3823318,"1","Restaurants, Food, Event Planning & Services, Canadian (New), Bars, Seafood, Wine Bars, American (New), Nightlife, Beer, Wine & Spirits, Argentine, Venues & Event Spaces"
"12",89304,"El Gaucho Lucas Cafe","Las Vegas","NV","89101",36.1680889,-115.144066,"0","Delis, Restaurants, Argentine, Breakfast & Brunch, Cafes"
"13",68885,"Red's","Mississauga","ON","L5B 2C9",43.593887,-79.643223,"1","Argentine, Wine Bars, American (Traditional), Event Planning & Services, Venues & Event Spaces, Restaurants, Bars, Nightlife"
"14",145939,"Malbec Restaurant","Toronto","ON","M4S 1A1",43.6979199,-79.3891377,"0","Argentine, Restaurants"
"15",79712,"L'Atelier d'Argentine","Montréal","QC","H2Y 2C4",45.5000326,-73.5537952,"0","Latin American, Argentine, Breakfast & Brunch, Restaurants, Steakhouses"
"16",146646,"Latin Taste","Toronto","ON","M5T 1L8",43.655127,-79.401609,"1","Peruvian, Mexican, Latin American, Food, Restaurants, Argentine, Bakeries"
"17",12414,"Sydney's Cafe & Market","Tempe","AZ","85281",33.4330446204,-111.9042612242,"0","American (New), Food, Cupcakes, Restaurants, Cafes, Argentine, Bubble Tea, Specialty Food"
"18",163314,"St. Louis Bar & Grill","Toronto","ON","M4Y 1X9",43.6637863,-79.3842337,"1","Nightlife, Restaurants, Italian, Chicken Wings, Argentine, Pizza, Sports Bars, Bars, American (Traditional), Barbeque"
"19",179716,"La Empanada Cafe","Vaughan","ON","L4L 4V9",43.7699094,-79.5521779,"1","Argentine, Restaurants, Cafes"
"20",72513,"Pâtisserie Che Churro","Montréal","QC","H4B 1E6",45.467617,-73.638679,"1","Desserts, Argentine, Canadian (New), Imported Food, Restaurants, Food"
"21",165539,"Reds Midtown Tavern","Toronto","ON","M5B 1S8",43.6592409,-79.38286,"1","Restaurants, American (Traditional), Bars, Canadian (New), Event Planning & Services, Seafood, Argentine, Wine Bars, Nightlife, Breakfast & Brunch, Venues & Event Spaces"
"22",35076,"Sky Ranch Restaurant","York","ON","M6B 3P9",43.7009917,-79.4514715,"1","Argentine, Restaurants"
"23",108265,"Filiberto's Mexican Food","Scottsdale","AZ","85251",33.4662197,-111.9056953,"1","Argentine, Restaurants, Mexican"
"24",170327,"Chimmies","Fitchburg","WI","53711",43.0212848052,-89.4189745001,"0","Argentine, Restaurants, Sandwiches"
"25",157655,"Banh Mi cafe","Toronto","ON","M6M 1T6",43.6898916,-79.4755635,"1","Waffles, Desserts, Argentine, Food, Breakfast & Brunch, Vietnamese, Restaurants"
"26",103401,"Branca","Toronto","ON","M6K 1V4",43.6499275,-79.4390283,"0","Cocktail Bars, Restaurants, Barbeque, Steakhouses, Argentine, Nightlife, Bars"
