"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",36270,"Anondo Restaurant","Toronto","ON","M4C 1M3",43.6897032,-79.2942628,"0","Restaurants, Bangladeshi, Pakistani, Indian"
"2",92404,"Agra Fine Indian Cuisine","Toronto","ON","M5V 1K1",43.6458616,-79.3925945,"0","Food, Food Delivery Services, Indian, Bangladeshi, Event Planning & Services, Buffets, Restaurants, Caterers"
"3",40984,"Bangal Kabab House and Restaurant","Pittsburgh","PA","15213",40.439047,-79.9554689,"1","Indian, Halal, Restaurants, Bangladeshi"
"4",89347,"Premium Sweets","Scarborough","ON","M1J 2H6",43.7435481,-79.2177143,"1","Bangladeshi, Restaurants, Specialty Food, Desserts, Food, Ethnic Food"
"5",39164,"Les Casseroles de MoMo","Montréal","QC","H3N 2B2",45.5273040538,-73.619914338,"1","Restaurants, Indian, Breakfast & Brunch, Bangladeshi, Asian Fusion"
"6",162366,"Premium Sweets","Mississauga","ON","L5S 1R6",43.6667031364,-79.6843831372,"1","Restaurants, Bangladeshi, Food, Desserts"
"7",139901,"Premium Sweets","Toronto","ON","M1L 4W1",43.7224684256,-79.2889939299,"1","Bangladeshi, Indian, Restaurants, Halal"
"8",22094,"Bhogi - House of Biryani & Pulao","Mississauga","ON","L4W 1E8",43.6552386,-79.6465839,"1","Bangladeshi, Pakistani, Restaurants, Indian"
"9",50011,"Appayon","Montréal","QC","H3N 1M8",45.528881,-73.625184,"1","Bangladeshi, Restaurants"
"10",46680,"Vitality Bowls","Las Vegas","NV","89139",36.0336334,-115.2074885,"1","Specialty Food, Cafes, Coffee & Tea, Juice Bars & Smoothies, Bangladeshi, Food, Health Markets, Acai Bowls, Restaurants"
"11",40420,"Gharoa Restaurant","East York","ON","M4C 1M7",43.6906757,-79.2913946,"1","Restaurants, Bangladeshi, Halal"
"12",57664,"Sana","Montréal","QC","H3N 1G3",45.5309914,-73.6359432,"1","Bangladeshi, Pakistani, Indian, Asian Fusion, Restaurants"
"13",177889,"Indian Biriyani House","Toronto","ON","M5G 1C7",43.6549815,-79.3865237,"1","Halal, Indian, Bangladeshi, Restaurants"
"14",84967,"Stella","Toronto","ON","M6H 1N7",43.6584486,-79.4416846,"0","Nightlife, Gluten-Free, Bars, Bangladeshi, Indian, Middle Eastern, Restaurants"
"15",188152,"Sana","Montréal","QC","H3G 2B1",45.496328,-73.5738047,"1","Bangladeshi, Indian, Pakistani, Restaurants"
"16",35681,"Nilu's Kitchen Bangladeshi Cuisine","Calgary","AB","T2A 0R1",51.0365791321,-113.9900588989,"0","Restaurants, Bangladeshi"
