"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",81880,"Arpa","Charlotte","NC","28202",35.2279912,-80.843388,"0","Basque, Spanish, Tapas Bars, Wine Bars, Nightlife, Bars, Restaurants"
"2",97797,"Estrellón","Madison","WI","53703",43.0743805808,-89.3903519958,"1","Spanish, Tapas Bars, Restaurants, Basque, Cafes"
"3",73665,"Sol Y Sombra","Scottsdale","AZ","85250",33.519588,-111.909524,"0","Basque, Restaurants, Bars, Lounges, Spanish, Nightlife"
"4",83214,"Sole","Charlotte","NC","28263",35.22711,-80.84351,"0","Basque, Spanish, Restaurants"
"5",28055,"Casa Galicia","Montréal","QC","H2X 3K8",45.516671,-73.566597,"1","Restaurants, Spanish, Basque"
"6",23844,"Arepas Grill","Charlotte","NC","28217",35.1763731,-80.8800294,"1","Restaurants, Latin American, Basque, Bakeries, Food, Spanish, Venezuelan, Vegetarian"
"7",167325,"Prado","Paradise Valley","AZ","85253",33.528666,-111.972589,"1","Spanish, Restaurants, Tapas Bars, Breakfast & Brunch, Mediterranean, Sandwiches, Basque, Italian"
"8",159819,"Radio Maria","Champaign","IL","61820",40.1171306,-88.2426005,"1","Caribbean, Breakfast & Brunch, Cajun/Creole, Restaurants, Mexican, Spanish, Basque"
"9",93231,"RE Tapas","Las Vegas","NV","89123",36.0121499,-115.1533034,"0","Basque, Spanish, Tapas Bars, Italian, Restaurants"
"10",119855,"Imagine Spain","Scottsdale","AZ","85250",33.5825532,-111.9301931,"0","Spanish, Basque, Restaurants"
"11",26829,"Lola","Phoenix","AZ","85014",33.5095175,-112.0638736,"0","Restaurants, Wine Bars, Basque, Coffee & Tea, Bars, Spanish, Nightlife, Tapas Bars, Food"
"12",148161,"La Casa","Pittsburgh","PA","15232",40.457861,-79.9280308,"0","Basque, Nightlife, Restaurants, Bars, Tapas Bars, Spanish, Wine Bars"
"13",180680,"Tapas by Alex Stratta","Las Vegas","NV","89145",36.1670211,-115.2860976,"0","Bars, Tapas Bars, Basque, Nightlife, Restaurants, Tapas/Small Plates"
"14",81655,"Methode Bistro","Scottsdale","AZ","85253",33.5278493,-111.9258624,"0","Italian, Spanish, Basque, Restaurants, American (New)"
"15",50508,"Babaluu","Toronto","ON","M5R 1C2",43.6705375,-79.3940997,"0","Bars, Restaurants, Basque, Spanish, Nightlife"
"16",26790,"Pintxo","Montréal","QC","H2W 1M6",45.517884,-73.5737325,"0","Basque, Tapas/Small Plates, Restaurants, Spanish, Tapas Bars"
"17",124512,"Miro Spanish Grill","Charlotte","NC","28277",35.060835,-80.814262,"0","Restaurants, Mediterranean, Basque, Spanish"
"18",133727,"Machu Picchu","Charlotte","NC","28212",35.192896,-80.7641453,"0","Spanish, Basque, Latin American, Restaurants, Peruvian"
"19",95385,"Casa Tapas","Montréal","QC","H2W 1E6",45.520584,-73.5791474,"0","Tapas Bars, Basque, Restaurants, Spanish"
"20",18582,"Club Cayo Coco","Toronto","ON","M5V 1X2",43.6490776,-79.3917093,"0","Tapas Bars, Spanish, Tapas/Small Plates, Basque, Restaurants"
"21",134295,"Ilopango Salvadorean Restaurant","Las Vegas","NV","89121",36.1006736,-115.099354,"1","Basque, Restaurants, Latin American, Spanish"
"22",42787,"Tria Terra","Charlotte","NC","28266",35.08615,-80.850384,"0","Italian, Restaurants, Basque, French, Spanish"
"23",36424,"Bistro Piquillo","Verdun","QC","H4G 1S4",45.4648374905,-73.5678187789,"1","Iberian, Breakfast & Brunch, Tapas/Small Plates, Mediterranean, Canadian (New), Basque, Restaurants"
"24",23616,"Marbella Restaurant","Pepper Pike","OH","44122",41.462444,-81.473536,"0","Seafood, Spanish, Restaurants, Basque"
"25",515,"Pintxo","Montréal","QC","H2T 1P7",45.523224,-73.583323,"1","Restaurants, Basque, Spanish"
"26",67615,"Don Quijote Spanish Restaurant","Calgary","AB","T2P 0C5",51.0513647,-114.0676858,"0","Spanish, Basque, Restaurants"
"27",116269,"Mallorca Restaurant","Pittsburgh","PA","15203",40.428224,-79.973376,"1","Restaurants, Spanish, Tapas/Small Plates, Portuguese, Seafood, Basque"
