"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",191051,"Bières et Compagnie","Montréal","QC","H2J 2L1",45.5228389,-73.5807616,"0","Nightlife, Belgian, Beer, Wine & Spirits, Pubs, Brazilian, Food, Bars, Restaurants"
"2",108388,"Yolie's Brazilian Steak House","Las Vegas","NV","89169",36.11654,-115.1542695,"0","Brazilian, Restaurants, Steakhouses"
"3",122821,"Minas Brazilian Steakhouse","Calgary","AB","T2P 0S7",51.0527455174,-114.0672777484,"1","Steakhouses, Restaurants, Brazilian"
"4",120524,"La Taguara Johnson","Madison","WI","53703",43.0837417,-89.3769002,"1","Caribbean, Colombian, Latin American, Restaurants, Brazilian, Cuban, Venezuelan"
"5",69311,"Copa By Sea","Toronto","ON","M5H 3H1",43.648443,-79.3882263,"0","Vegetarian, Brazilian, Seafood, Restaurants, Barbeque"
"6",86045,"Le Milsa","Laval","QC","H7M 1Y9",45.5764889499,-73.7137208907,"1","Restaurants, Brazilian, Barbeque, Buffets"
"7",119900,"Brazas Brazilian Grill","Charlotte","NC","28205",35.194894,-80.767442,"0","Restaurants, Brazilian, Steakhouses"
"8",140300,"Texas de Brazil","Pittsburgh","PA","15219",40.4343522,-80.0054111,"1","Venues & Event Spaces, Event Planning & Services, Brazilian, Restaurants, Steakhouses"
"9",155767,"Caju","Toronto","ON","M6J 1G6",43.6448797,-79.4158406,"0","Brazilian, Restaurants"
"10",47704,"Rodizio Grill - Mesa","Mesa","AZ","85204",33.3822058,-111.7544137,"1","Restaurants, Desserts, Brazilian, Food, Steakhouses"
"11",59133,"Serra Gaucha Brazilian Steakhouse","Peoria","AZ","85382",33.6340691,-112.2352814,"1","Brazilian, Steakhouses, Restaurants"
"12",174465,"Amor de Brazil","Matthews","NC","28105",35.1282274625,-80.7024335861,"0","Restaurants, Brazilian, Steakhouses"
"13",191871,"Via Brasil Steakhouse on South Fort Apache and Charleston","Las Vegas","NV","89117",36.1568983622,-115.2919117492,"1","Diners, Desserts, Steakhouses, Food, Restaurants, Seafood, Buffets, Beer, Wine & Spirits, Brazilian, Portuguese"
"14",49859,"Pampas","Las Vegas","NV","89109",36.1081488,-115.1699073,"0","Sandwiches, Restaurants, Brazilian, Seafood"
"15",50077,"Sea Salt Brazilian Grill","Monroe","NC","28110",35.0035317,-80.5536603,"0","Latin American, Restaurants, Salad, Steakhouses, Brazilian"
"16",34877,"Egg Works","Las Vegas","NV","89120",36.0719180321,-115.1172133228,"1","Burgers, Restaurants, Breakfast & Brunch, Brazilian, American (Traditional)"
"17",127307,"Pampas Churrascaria Brazilian Grille","Las Vegas","NV","89109",36.108761,-115.170129,"1","Event Planning & Services, Restaurants, Buffets, Caterers, Steakhouses, Seafood, Brazilian"
"18",33343,"Belém Café & Yoga - L'Espace Café","Montréal","QC","H2W 1Z8",45.5196301,-73.584917,"1","Active Life, Yoga, Brazilian, Restaurants, Breakfast & Brunch, Vegan, Food, Coffee & Tea, Sandwiches, Fitness & Instruction"
"19",26168,"Symposium Cafe Restaurant & Lounge","Thornhill","ON","L3T 2C6",43.827252,-79.426972,"1","Food, Bars, Cafes, Coffee & Tea, Desserts, Lounges, American (Traditional), Restaurants, Breakfast & Brunch, Nightlife, Brazilian"
"20",85059,"Val's Brazilian Cuisine","Goodyear","AZ","85338",33.4922373,-112.3802113,"0","Restaurants, Brazilian"
"21",146696,"Texas de Brazil","Dallas","TX","75247",36.0701358,-115.1753479,"0","Restaurants, Brazilian, Gluten-Free, Buffets, Steakhouses"
"22",139660,"Angá","Montréal","QC","H2X 3L1",45.5172354,-73.5680881,"0","Brazilian, Restaurants, Steakhouses, Seafood"
"23",40747,"Carvalho's Brazilian Kitchen","Scottsdale","AZ","85255",33.7006985225,-111.923719424,"0","Sandwiches, Restaurants, Latin American, Brazilian, Salad, Steakhouses"
"24",7309,"Batuqui","Cleveland","OH","44120",41.4874525269,-81.5941883093,"1","Tapas Bars, Brazilian, Latin American, Restaurants, Tapas/Small Plates, Salad"
"25",486,"Pampa Brazilian Steakhouse","Calgary","AB","T2R 0A8",51.0435828,-114.0721717,"1","Brazilian, Restaurants, Steakhouses"
"26",171602,"Brazil Brazil","Las Vegas","NV","89123",36.017627,-115.1182839,"0","Restaurants, Brazilian"
"27",72795,"Cafuné","Toronto","ON","M5A 2K8",43.6637597,-79.371044,"0","Food, Coffee & Tea, Restaurants, Brazilian"
"28",119225,"Touro Churrascaria","Richmond Hill","ON","L4B 3B4",43.8470768,-79.3763544,"1","Breakfast & Brunch, Nightlife, Wine Bars, Restaurants, Brazilian, Steakhouses, Bars"
"29",10872,"Copacabana Brazilian Steakhouse","Toronto","ON","M5H 1W7",43.6483440823,-79.3878309801,"1","Nightlife, Steakhouses, Bars, Restaurants, Barbeque, Brazilian"
"30",21720,"Rio 40 Restaurant","Toronto","ON","M6E 1B9",43.6774457,-79.4464837,"1","Steakhouses, Restaurants, Brazilian"
"31",162296,"Invictus","Toronto","ON","M6E 1C2",43.6762825895,-79.449459212,"0","Brazilian, Pizza, Italian, Portuguese, Sandwiches, Restaurants"
"32",63269,"Rodízio Brasil","Montréal","QC","H2Y 1C2",45.507884,-73.5543227,"1","Buffets, Brazilian, Restaurants, Steakhouses"
"33",168794,"Le Milsa","Pierrefonds","QC","H8Y 3E3",45.5086141,-73.8215858,"1","Brazilian, Restaurants"
"34",28912,"Copacabana Brazilian Steak House","Toronto","ON","M4P 1E8",43.7078631,-79.394156,"1","Restaurants, Steakhouses, Latin American, Food, Brazilian, Beer, Wine & Spirits"
"35",42354,"Fogo de Chão Brazilian Steakhouse","Las Vegas","NV","89169",36.1150184807,-115.1564544439,"1","Seafood, Restaurants, Brazilian, Steakhouses"
