"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",119961,"The Beech Tree","Toronto","ON","M4E 1S5",43.6803871,-79.2888628,"1","Bars, British, Nightlife, Wine Bars, Restaurants"
"2",29036,"Watts Restaurant","Scarborough","ON","M1L 2K1",43.7237816,-79.2991712,"0","British, Seafood, Restaurants, Italian, Canadian (New)"
"3",102154,"Tyber Creek Pub","Charlotte","NC","28203",35.2099102,-80.8593356,"1","Irish Pub, Bars, British, Pubs, Burgers, Restaurants, Sandwiches, Irish, American (New), Nightlife"
"4",117969,"Mrs Bridges' British Bakery","Scarborough","ON","M1L 2K1",43.7237816,-79.2991712,"0","Grocery, Food, Restaurants, Bakeries, British"
"5",121748,"Heritage Food and Drink","Waxhaw","NC","28173",34.9243485,-80.7448698,"0","Restaurants, British, American (New)"
"6",74102,"The Caledonian","Toronto","ON","M6H 1A2",43.6544016,-79.4235906,"1","Scottish, Bars, Whiskey Bars, Pubs, Nightlife, British, Restaurants"
"7",151368,"Deep Blue Fish & Chips","Toronto","ON","M4K 2P6",43.6758624,-79.3585217,"0","Fish & Chips, British, Restaurants, Seafood"
"8",25529,"King Henry's Arms","Richmond Hill","ON","L4C 1V4",43.8540988068,-79.4326051274,"1","Restaurants, Gastropubs, Beer, Wine & Spirits, Nightlife, British, Pubs, Bars, Food"
"9",41608,"Firkin On Paradise","Las Vegas","NV","89169",36.1072044373,-115.1529464722,"0","Nightlife, Pubs, Restaurants, American (Traditional), Bars, British"
"10",163504,"The Pie Guyz","Brampton","ON","L6S 0C9",43.7507998,-79.7267107,"1","Restaurants, British, Indian, African, South African"
"11",77605,"George and Dragon Pub","Phoenix","AZ","85012",33.4977731,-112.0741383,"1","British, Nightlife, Restaurants, Pubs, Bars"
"12",25754,"Ye Olde Orchard Pub & Grill","Pointe-Claire","QC","H9S 4L7",45.4286454,-73.8271933,"1","British, Nightlife, Pubs, Bars, Restaurants"
"13",118941,"Fiddler's Courtyard","Calgary","AB","T2E 3J5",51.058693645,-114.0546535812,"1","Nightlife, British, Restaurants, Pubs, Bars"
"14",170375,"Pub Burgundy Lion","Montréal","QC","H3J 1N5",45.4827901462,-73.5751922387,"1","Sports Bars, British, Breakfast & Brunch, Bars, Restaurants, Nightlife, Pubs"
"15",101626,"The Yorkshire Arms","Mississauga","ON","L5V 1N2",43.603097,-79.706694,"1","Nightlife, Bars, Food, British, Restaurants, Beer, Wine & Spirits"
"16",192037,"Elephant & Castle","Toronto","ON","M5H 1K5",43.6475556,-79.3864149,"1","Pubs, Bars, Nightlife, Restaurants, British"
"17",108807,"Murdoch's Bar & Grill","Calgary","AB","T3E 3A4",51.037164,-114.141267,"1","Pubs, Bars, Irish Pub, Irish, American (Traditional), British, Restaurants, Nightlife"
"18",115089,"Bar George","Montréal","QC","H3G 1V9",45.4991672,-73.575678,"1","Nightlife, Restaurants, Breakfast & Brunch, British, Bars"
"19",46873,"Queen Victoria Pub","Toronto","ON","M1P 4R9",43.7754496,-79.2743833,"1","Nightlife, Restaurants, British, Sports Bars, Pubs, Bars"
"20",66821,"The Smashed Pig Gastropub","Las Vegas","NV","89101",36.16881,-115.140343,"1","Nightlife, British, American (New), Bars, Gastropubs, Pubs, Restaurants"
