"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",173171,"Lyeh","Akron","OH","44310",41.101975,-81.509212,"1","Restaurants, Thai, Burmese"
"2",80495,"Royal Myanmar Restaurant","Etobicoke","ON","M8W 2B3",43.6033633,-79.5390261,"1","Burmese, Restaurants"
"3",29733,"Ruby Burma","Montréal","QC","H2X 1A1",45.5146639,-73.5741543,"0","Ethnic Food, Specialty Food, Food, Burmese, Restaurants"
"4",128507,"Little Rangoon Taste of Burma","Scottsdale","AZ","85254",33.5825532,-111.9301931,"0","Burmese, Restaurants"
"5",65983,"Royal Myanmar","West View","PA","15229",40.518593,-80.0310709,"1","Sushi Bars, Thai, Restaurants, Burmese"
"6",82394,"Zaw's Asian Foods","Pittsburgh","PA","15217",40.4333064,-79.9231271,"0","Restaurants, Chinese, Burmese"
"7",111570,"Dagon","Montréal","QC","H3L 2J4",45.5219325,-73.5527959,"0","Restaurants, Burmese"
"8",185765,"Five Guys","Charlotte","NC","28203",35.2065853,-80.8609496,"1","Burmese, American (New), Burgers, Restaurants, Fast Food"
"9",163609,"Pacific Grill","South Euclid","OH","44118",41.5016075,-81.5390746,"1","Restaurants, Asian Fusion, Burmese, Japanese"
"10",134239,"Burma-Tokyo","Pittsburgh","PA","15213",40.4390804,-79.9553126,"0","Japanese, Restaurants, Food, Burmese"
