"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",63144,"Bangkok Thai Restaurant","Stow","OH","44224",41.1673719905,-81.4399877563,"1","Asian Fusion, Chinese, Restaurants, Thai, Greek, Cambodian"
"2",62015,"Cambodian Noodle King","Newmarket","ON","L3Y 7B6",44.06895,-79.428832,"1","Cambodian, Restaurants"
"3",156756,"Phnom Penh","Montréal","QC","H3R 2M2",45.5053098,-73.6416323,"1","Restaurants, Vietnamese, Canadian (New), Cambodian, Asian Fusion"
"4",135614,"Asie Moderne","Saint-Laurent","QC","H4L 1J3",45.5193043,-73.6974083,"1","Cambodian, Restaurants, Asian Fusion"
"5",46539,"Regal d'Asie","Montréal","QC","H2S 1S9",45.5353923409,-73.6011700335,"1","Cambodian, Asian Fusion, Restaurants, Vietnamese, Thai"
"6",52588,"Bob Evans","Lakewood","OH","44107",41.4852862738,-81.7911056802,"0","Breakfast & Brunch, Fast Food, Bed & Breakfast, Hotels & Travel, Food, Salad, American (Traditional), Restaurants, Comfort Food, Cambodian"
"7",67014,"Friends Restaurant","Richmond Hill","ON","L4C 5T2",43.8616771,-79.4333776,"1","Cambodian, Persian/Iranian, Restaurants"
"8",189794,"Phnom Penh Restaurant","Cleveland","OH","44111",41.4582548,-81.7809899,"0","Vietnamese, Thai, Restaurants, Cambodian"
"9",74,"Kim Hour","Montréal","QC","H2A 3A5",45.561651,-73.605223,"1","Chinese, Thai, Vietnamese, Cambodian, Restaurants, Asian Fusion"
"10",114491,"Cambod-Ican Kitchen","Pittsburgh","PA","15203",40.428885295,-79.9820696935,"1","Cambodian, Seafood, Asian Fusion, Restaurants"
"11",107911,"Khmer Thai Restaurant","Toronto","ON","M6E 1A4",43.6792954,-79.4378536,"1","Cambodian, Thai, Restaurants"
"12",151738,"Kim Se Cambodian Cuisine","Cleveland","OH","44113",41.484647,-81.702746,"1","Cambodian, Restaurants, Thai"
"13",3221,"Dong Nai River Restaurant","Woodbridge","ON","L4L 2V5",43.792713,-79.54748,"1","Cambodian, Restaurants"
"14",157465,"Angkoria","Brossard","QC","J4W 3J1",45.4561057,-73.4914,"1","Thai, Cambodian, Restaurants"
"15",95588,"Souvenirs Thai","Vaudreuil-Dorion","QC","J7V 8P5",45.413567,-74.0419077,"1","Restaurants, Thai, Cambodian"
"16",73269,"Les Street Monkeys","Montréal","QC","H4G 1T9",45.4676819,-73.5666977,"1","Restaurants, Cambodian"
"17",93991,"Burbs Bistro and Bar","Pickering","ON","L1V 6M4",43.842091,-79.104379,"0","French, American (New), Restaurants, Canadian (New), Italian, Asian Fusion, Cambodian"
"18",86776,"The Lemongrass Shack","Gilbert","AZ","85297",33.284371,-111.6992316,"1","Restaurants, Food, Cambodian, Food Trucks"
"19",187607,"Pho Saigon","Newmarket","ON","L3Y 5Y1",44.0404248,-79.4769324,"1","Cambodian, Restaurants, Vietnamese"
"20",59502,"PJ's Restaurant","Whitby","ON","L1N 4K3",43.877428,-78.9403592,"1","Restaurants, Cambodian, Sandwiches, Breakfast & Brunch, Diners"
"21",133366,"Tuk Tuk","Montréal","QC","H3T 1Y8",45.4982755155,-73.6263696945,"1","Food, Asian Fusion, Cambodian, Thai, Restaurants"
"22",123239,"Saveurs Thai","Pierrefonds","QC","H9A",45.4926388,-73.8498568,"1","Cambodian, Thai, Restaurants"
"23",28025,"Cuisine Du Cambodge","Cleveland","OH","44111",41.4582548,-81.7809899,"0","Restaurants, Cambodian, Thai, Vietnamese"
"24",23679,"Num Pang Pate","Cleveland","OH","44114",41.499097,-81.68919,"0","Restaurants, Cambodian, Sandwiches"
"25",4163,"Angkor Wat","Madison","WI","53715",43.060775,-89.40113,"0","Restaurants, Cambodian, Asian Fusion, Vegetarian, Thai"
"26",95528,"Me&Mine","Toronto","ON","M6H 1B6",43.6524129,-79.4338167,"0","Canadian (New), Cambodian, Restaurants"
"27",143968,"Apsara Cafe","Pittsburgh","PA","15203",40.428968829,-79.9817368981,"1","Cafes, Cambodian, Restaurants, Thai"
"28",89924,"Jardin des Délices","Montréal","QC","H1W 1A8",45.5495019,-73.5583911,"1","Vegetarian, Vietnamese, Cambodian, Asian Fusion, Restaurants, Thai"
"29",124416,"Angkor Restaurant","Pittsburgh","PA","15205",40.4276163,-80.0555006,"1","Restaurants, Cambodian, Thai"
