"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",180689,"Hong Kong Station","Madison","WI","53711",43.067569,-89.410727,"1","Chinese, Cantonese, Restaurants"
"2",29567,"China Star","Cleveland","OH","44111",41.4629421368,-81.76851511,"1","Restaurants, Cantonese, Chinese, Szechuan"
"3",148808,"Fú Asian Kitchen","Las Vegas","NV","89169",36.109157,-115.154976,"1","Asian Fusion, Food, Vegetarian, Cantonese, Chinese, Restaurants"
"4",114929,"Wong's Chinese Cuisine","Phoenix","AZ","85037",33.4942321105,-112.288113428,"1","Asian Fusion, Restaurants, Cantonese, Chinese"
"5",58109,"TJ Buffet Sushi & Grill","Mayfield Heights","OH","44124",41.5192352523,-81.467804946,"0","Japanese, Specialty Food, Restaurants, Food, Cantonese, Chinese, Ethnic Food"
"6",18069,"Viet Bistro","Madison","WI","53715",43.0676216138,-89.3954412165,"0","Chinese, Restaurants, Dim Sum, Cantonese, Vietnamese"
"7",92778,"Mandarin Gourmet","Pittsburgh","PA","15222",40.4391496,-80.0017417,"1","Restaurants, Cantonese, Chinese"
"8",41635,"Ping Pang Pong","Las Vegas","NV","89103",36.116901,-115.193512,"1","Cantonese, Seafood, Dim Sum, Restaurants, Chinese"
"9",172462,"Garden Hong Kong Cafe","Markham","ON","L3R 4P9",43.8560791401,-79.3036099523,"1","Hong Kong Style Cafe, Cantonese, Chinese, Restaurants, Fast Food"
"10",171938,"Wok Wei Asian Cuisine","Goodyear","AZ","85338",33.4577293396,-112.3938217163,"1","Chinese, Restaurants, Cantonese, Asian Fusion, Szechuan"
"11",25812,"Taste","Las Vegas","NV","89139",36.044394339,-115.243878983,"1","Seafood, Chinese, Szechuan, Cantonese, Restaurants"
"12",7456,"Zen Cuisine","Cleveland","OH","44114",41.4999744,-81.6902403,"1","Asian Fusion, Restaurants, Chinese, Cantonese"
"13",13153,"Lao Sze Chuan","Las Vegas","NV","89103",36.114539,-115.195684,"0","Chinese, Cantonese, Asian Fusion, Restaurants, Szechuan"
"14",31950,"China Buffet","Champlain","NY","12919",44.9794671,-73.4449037,"1","Buffets, Restaurants, Szechuan, Chinese, Cantonese"
"15",21584,"Dim Sum Plus","Toronto","ON","M5T 2E3",43.6523494,-79.3973671,"1","Cantonese, Chinese, Dim Sum, Restaurants"
"16",28280,"Beijing To Go","Belmont","NC","28012",35.2815193061,-81.047038127,"0","Chinese, Restaurants, Szechuan, Cantonese"
"17",174464,"BBQ King","Las Vegas","NV","89146",36.1259475,-115.2189011,"1","Barbeque, Chinese, Cantonese, Restaurants, Food"
"18",24067,"Cafe100% Devoted","Calgary","AB","T3K 5P4",51.1425015832,-114.0717122194,"1","Restaurants, Cantonese, Chinese, Asian Fusion, Cafes"
"19",107565,"Hop Feng Kitchen","Charlotte","NC","28214",35.2461067,-80.9381321,"1","Cantonese, Restaurants, Chinese"
"20",22905,"Lin's Grand Buffet","Phoenix","AZ","85035",33.4662093811,-112.2189348,"1","Buffets, Restaurants, Cantonese, Chinese, Sushi Bars"
"21",80352,"Joyful House Chinese Cuisine","Las Vegas","NV","89102",36.1259553166,-115.203431297,"1","Chinese, Seafood, Restaurants, Cantonese"
"22",63625,"Pepper Cafe","Gilbert","AZ","85233",33.3344692826,-111.8048200384,"0","Vietnamese, Restaurants, Cantonese, Chinese"
"23",6581,"Maple Yip Seafood Restaurant","Scarborough","ON","M1S 5H5",43.7847607,-79.2778242,"1","Restaurants, Seafood, Cantonese, Chinese"
"24",165360,"Yum Cha","Las Vegas","NV","89103",36.0997018912,-115.2084732056,"1","Restaurants, Cantonese, Hot Pot, Chinese, Dim Sum"
"25",130774,"ChowKing","Las Vegas","NV","89119",36.1182191,-115.1357269,"1","Restaurants, Cantonese, Filipino, Fast Food, Asian Fusion, Chinese"
"26",52021,"Red Lotus","Mississauga","ON","L5C 4P3",43.5679681336,-79.6613666788,"1","Chinese, Cantonese, Restaurants"
"27",67529,"Ohana Hawaiian BBQ","Las Vegas","NV","89139",36.0387297,-115.1986027,"1","Hawaiian, Chinese, Barbeque, Restaurants, Cantonese"
"28",98232,"HK Seafood Garden","Las Vegas","NV","89102",36.126625,-115.197839,"1","Chinese, Cantonese, Seafood, Restaurants"
"29",127967,"Little Hong Kong","North Ridgeville","OH","44039",41.3975673,-81.9949634,"1","Chinese, Cantonese, Restaurants, Szechuan"
"30",109192,"Mandarin Super Buffet","Phoenix","AZ","85015",33.524008,-112.091192,"1","Restaurants, Asian Fusion, Buffets, Cantonese, Food, Chinese"
"31",25491,"Little Honey Tea Shop","Markham","ON","L6G 0E3",43.8505186029,-79.3256872147,"0","Restaurants, Bubble Tea, Hong Kong Style Cafe, Cantonese, Chinese, Food"
"32",157029,"China Tang","Las Vegas","NV","89109",36.1022507,-115.1699679,"1","Dim Sum, Szechuan, Chinese, Cantonese, Restaurants"
"33",177486,"Ann's Asian Bistro & Bar","Surprise","AZ","85378",33.639932,-112.303818,"0","Chinese, Bars, Cantonese, Nightlife, Restaurants, Asian Fusion"
"34",83054,"Wild Ginger Asian Bistro","Gilbert","AZ","85234",33.3660444254,-111.7201108107,"1","Nightlife, Chinese, Restaurants, Cantonese, Salad, Asian Fusion, Bars"
"35",10955,"Wonton Gourmet & BBQ","Cleveland","OH","44114",41.5089027,-81.6662795,"1","Chinese, Restaurants, Cantonese, Barbeque"
"36",186114,"SK Seafood Restaurant 勝記","Las Vegas","NV","89146",36.1261158897,-115.2180899362,"1","Seafood, Chinese, Cantonese, Restaurants"
"37",162333,"Graceful Vegetarian Restaurant","Toronto","ON","M1V 4S5",43.824392,-79.302543,"1","Specialty Food, Food, Dim Sum, Cantonese, Gluten-Free, Vegetarian, Ethnic Food, Restaurants, Chinese, Imported Food"
"38",143315,"Yong Kang Street","Las Vegas","NV","89109",36.1125764522,-115.1708328437,"1","Cantonese, Restaurants, Dim Sum, Taiwanese, Chinese, Ramen, Japanese"
"39",9434,"Congee Palace","Mississauga","ON","L5L",43.525302887,-79.6843643188,"0","Cantonese, Restaurants, Chinese"
"40",47356,"Mekong Palace","Mesa","AZ","85202",33.413766,-111.876289,"1","Restaurants, Chinese, Cantonese, Ethnic Food, Food, Seafood, Dim Sum, Specialty Food"
"41",190192,"Fortune Fountain Chinese Restaurant","Las Vegas","NV","89102",36.1440254,-115.1938769,"0","Cantonese, Asian Fusion, Chinese, Restaurants"
"42",33010,"Lobster King Seafood Restaurant","Toronto","ON","L3R 0A1",43.8270043178,-79.2913137004,"1","Seafood, Restaurants, Chinese, Cantonese"
"43",190084,"Hakkasan Restaurant","Las Vegas","NV","89109",36.101422,-115.172448,"1","American (Traditional), Dim Sum, Nightlife, American (New), Bars, Lounges, Restaurants, Chinese, Dance Clubs, Cantonese"
"44",113109,"Gourmand d'Asie","Brossard","QC","J4X 1C2",45.4512901471,-73.4683400668,"1","Chinese, Cantonese, Restaurants"
"45",18985,"Noble Seafood","Toronto","ON","M5T 2E7",43.6529859,-79.3989901,"0","Chinese, Restaurants, Seafood, Cantonese, Dim Sum"
"46",181383,"Lucky Pot","Toronto","ON","M1V 5K1",43.8278563,-79.2877916,"1","Cantonese, Restaurants, Chinese"
"47",32999,"Li Wah","Cleveland","OH","44114",41.5083668054,-81.6693706559,"1","Cantonese, Restaurants, Chinese, Dim Sum"
"48",154199,"Nani Restaurant","Madison","WI","53719",43.0551558,-89.497509,"1","Cantonese, Restaurants, Dim Sum, Chinese"
"49",162848,"Red Onion","Toronto","ON","M5T 2G3",43.6557684,-79.3990253,"0","Chinese, Restaurants, Portuguese, Cantonese"
"50",50080,"Szechuan Express","Pittsburgh","PA","15213",40.4417932,-79.9571431,"1","Chinese, Cantonese, Szechuan, Restaurants"
"51",190881,"Hong Kong Kitchen","Phoenix","AZ","85042",33.3785493093,-112.0666978093,"1","Szechuan, Cantonese, Chinese, Restaurants"
"52",40800,"La Maison de Kum Mon Restaurant","Montréal","QC","H3S 2A5",45.5023947,-73.6351948,"1","Cantonese, Restaurants, Chinese"
"53",100251,"Nuro bistro","Las Vegas","NV","89147",36.112131,-115.279456,"1","Restaurants, Chicken Shop, Chinese, Asian Fusion, Cantonese"
"54",11383,"Liwan Kitchen","Toronto","ON","M1S",43.7855274049,-79.2762500793,"1","Breakfast & Brunch, Chinese, Restaurants, Cantonese"
"55",2299,"Tai Wah Asian Cuisine","Streetsboro","OH","44241",41.2396916527,-81.3421118345,"1","Bakeries, Restaurants, Cantonese, Food, Chinese, Thai"
"56",142905,"Lim's Chinese Restaurant","Phoenix","AZ","85033",33.494652,-112.2221676,"0","Cantonese, Chinese, Specialty Food, Food, Ethnic Food, Restaurants"
"57",182339,"Emperor's Palace","Cleveland","OH","44114",41.508385,-81.678449,"1","Chinese, Dim Sum, Cantonese, Restaurants, Vegetarian"
"58",92131,"Le Gourmand","Pointe-Claire","QC","H9S 4P8",45.42924,-73.825997,"1","Restaurants, Wine Bars, Cantonese, French, Bars, Chinese, Nightlife"
"59",145764,"Hong Kong Garden Restaurant","Calgary","AB","T2Y 2Z3",50.9056134,-114.065011,"1","Restaurants, Cantonese, Chinese"
"60",20723,"Panda Bowl","Las Vegas","NV","89101",36.1739669702,-115.1183161139,"1","Restaurants, Chinese, Food, Cantonese"
"61",164807,"Chang's Hong Kong Cuisine","Las Vegas","NV","89103",36.105081,-115.20764,"1","Dim Sum, Diners, Seafood, Cantonese, Chinese, Restaurants"
"62",43948,"MY Restaurant","Markham","ON","L3P 2R2",43.8748998,-79.2591737,"1","Hong Kong Style Cafe, Chinese, Cantonese, Cafes, Hakka, Restaurants, Thai"
"63",67194,"Sakina Thai Cuisine","Las Vegas","NV","89102",36.144051,-115.198702,"0","Chinese, Restaurants, Thai, Halal, Cantonese"
"64",164339,"Simi's Cafe","Gilbert","AZ","85234",33.3788895537,-111.7797506829,"1","Thai, Vietnamese, Restaurants, Food, Chinese, Poke, Cantonese"
"65",121061,"Pho Hùng","Verdun","QC","H4G 2A1",45.4642920532,-73.5647508,"0","Vietnamese, Restaurants, Thai, Cantonese, Chinese"
"66",50179,"Jade The Taste of China","Phoenix","AZ","85051",33.574409,-112.121729,"1","Chinese, Cantonese, Restaurants"
"67",71250,"The Jade Restaurant","Las Vegas","NV","89146",36.126670533,-115.2135920994,"0","Chinese, Dim Sum, Cantonese, Restaurants, Seafood"
"68",88564,"Tasty China","North Las Vegas","NV","89032",36.2397130021,-115.2023684978,"1","Szechuan, Restaurants, Cantonese, Chinese"
"69",28395,"Expression d'Asie","Lachine","QC","H8S 2W3",45.4418029,-73.6692329,"1","Cantonese, Restaurants, Thai, Chinese, Pan Asian, French"
"70",160081,"GoGo Chicken Pot","Richmond Hill","ON","L4C 3N8",43.8899241,-79.4200135,"1","Restaurants, Chicken Shop, Hot Pot, Hong Kong Style Cafe, Chinese, Cantonese"
"71",139385,"China House","Bay Village","OH","44140",41.4844092,-81.9218547,"1","Restaurants, Chinese, Seafood, Cantonese, Szechuan"
"72",166572,"Bayview Garden Restaurant","Mississauga","ON","L5M 5Y7",43.5649076224,-79.7010390585,"1","Chinese, Restaurants, Cantonese"
"73",63206,"Silver Dragon Chinese Restaurant","Phoenix","AZ","85021",33.538144,-112.096976,"0","Cantonese, Szechuan, Chinese, Restaurants"
"74",183535,"Harbor Palace Seafood Restaurant","Las Vegas","NV","89102",36.1258564,-115.1970731,"1","Seafood, Chinese, Cantonese, Dim Sum, Restaurants"
"75",99272,"Abacus Inn Chinese Restaurant","Phoenix","AZ","85053",33.6092435,-112.1345905,"1","Cantonese, Hotels, Vegetarian, Hotels & Travel, Restaurants, Chinese, Event Planning & Services, Caterers, Chicken Wings, Soup, Noodles"
"76",188387,"New North China","Phoenix","AZ","85022",33.603719,-112.036227,"1","Restaurants, Cantonese, Chinese"
"77",124328,"Delicious Paradise Kitchen","Toronto","ON","M1V",43.8214974258,-79.2990110758,"1","Food Court, Chinese, Cantonese, Restaurants"
"78",143775,"Restaurant Ruby Rouge","Montréal","QC","H2Z 1J9",45.507367,-73.559772,"1","Chinese, Shopping, Restaurants, Cantonese, Home & Garden, Dim Sum, Kitchen & Bath"
"79",32056,"Yan's Soy Foods","Markham","ON","L3R 6E4",43.83368,-79.3074718,"1","Restaurants, Chinese, Cantonese"
"80",45016,"Chinese Cultural Centre Cuisine","Calgary","AB","T2P 4M4",51.0513904,-114.0654545,"1","Chinese, Restaurants, Cantonese, Dim Sum, Seafood"
"81",63777,"Chin Garden","Charlotte","NC","28215",35.249628745,-80.7797294855,"1","Restaurants, Cantonese, Chinese, Szechuan"
"82",152565,"Hong Kong Garden Seafood & Dim Sum Cafe","Las Vegas","NV","89146",36.126605,-115.213535,"1","Dim Sum, Restaurants, Chinese, Seafood, Cantonese"
"83",47043,"Great Wall Cuisine","Phoenix","AZ","85017",33.5109875515,-112.1332770941,"1","Cantonese, Dim Sum, Chinese, Restaurants"
"84",82152,"Hong Kong Asian Cuisine","Scottsdale","AZ","85260",33.6227399,-111.8970917,"0","Chinese, Restaurants, Cantonese"
"85",180743,"Kosher Gourmet","Las Vegas","NV","89109",36.106542,-115.17204,"0","Chinese, Cantonese, Restaurants, Kosher"
"86",67653,"China Bay","Cleveland","OH","44144",41.431217,-81.7332203,"1","Restaurants, Cantonese, Chinese, Szechuan"
"87",92635,"Co Anh Sandwich & Noodle Kitchen","Las Vegas","NV","89102",36.1254098,-115.2052654,"1","Vietnamese, Restaurants, Sandwiches, Cantonese, Noodles, Chinese"
