"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",113186,"Impressionz","Pittsburgh","PA","15206",40.4623454064,-79.9241651595,"0","Restaurants, Caribbean"
"2",20760,"T&T Roti Trinidad & Toronto Roti","Toronto","ON","",43.6521961365,-79.4055628113,"1","Caribbean, Restaurants"
"3",91598,"Drupatis Doubles & Roti Shop","Brampton","ON","L7A 3E9",43.6993912066,-79.8227834796,"1","Restaurants, Caribbean, Halal"
"4",27889,"The Hummingbird Caribbean Cuisine","Toronto","ON","M4L 2L1",43.6636872,-79.3287741,"0","Caribbean, Restaurants"
"5",31888,"Patois Jamaican Food Restaurant","Pickering","ON","L1V 1B7",43.8355745,-79.0918898,"1","Restaurants, Caribbean"
"6",74719,"Kings Delight Caribbean Cuisine","Toronto","ON","M9N 2S1",43.7019167,-79.5035253,"1","Ethnic Food, Food, Fish & Chips, Restaurants, Specialty Food, Barbeque, Caribbean"
"7",177124,"Calypso Hut Family Restaurant and Bar","Brampton","ON","L6W 4K6",43.7017176,-79.7425213,"1","Bars, Nightlife, Chinese, Restaurants, Caribbean"
"8",50227,"Caribbean Palm - Scottsdale","Scottsdale","AZ","85257",33.4656047,-111.9293095,"1","Restaurants, Seafood, Bars, Diners, Caribbean, Nightlife"
"9",144809,"Betta Jerk","Brampton","ON","L6T",43.7395903,-79.6993696,"1","Caribbean, Restaurants"
"10",131143,"Casa Rasta","Pittsburgh","PA","15216",40.4052704,-80.0302382,"0","Mexican, Restaurants, Caribbean"
"11",114248,"Flavours","Ajax","ON","L1S 6L9",43.8543021,-79.0555956,"1","Food Delivery Services, Food, Restaurants, Caribbean"
"12",31329,"1 Love Kitchen","Toronto","ON","M5V 1Z4",43.6502718,-79.3887054,"0","Caribbean, Restaurants"
"13",78188,"Dewdney Delish","Las Vegas","NV","89108",36.196751,-115.223802,"1","Restaurants, Caribbean"
"14",166709,"The Trane Studio","Toronto","ON","M5R 3G5",43.6695092,-79.413069,"0","Restaurants, Caribbean, Nightlife, Music Venues, Arts & Entertainment, Jazz & Blues"
"15",117588,"Jam Rock Cafe and Grill","Phoenix","AZ","85007",33.4515502,-112.0964669,"0","Caribbean, Seafood, Soul Food, Cafes, Restaurants"
"16",54415,"Twilight Lounge","Charlotte","NC","28269",35.3495452064,-80.8439844847,"0","Bars, Restaurants, Trinidadian, Caribbean, Nightlife, Music Venues, Arts & Entertainment"
"17",9417,"Jerkup Central","Toronto","ON","M1S 4N7",43.789956322,-79.2689159239,"1","Gluten-Free, Restaurants, Caribbean, Event Planning & Services, Caterers"
"18",156635,"Over By Stuch","Calgary","AB","T2A",51.0524184,-113.9776231,"0","Restaurants, Caribbean, Food"
"19",35914,"Sunshine Caribbean Restaurant","Toronto","ON","M4J 1L8",43.6801301,-79.3380133,"0","Caribbean, Restaurants"
"20",83294,"Local Jerk","Montréal","QC","H2W 1G6",45.5171696,-73.5790995,"1","Restaurants, Steakhouses, Caribbean, Chicken Shop"
"21",163427,"Jamerica Food Cart","Madison","WI","53715",43.0757312674,-89.3851399991,"1","Southern, Food Stands, Caribbean, Food, Restaurants, Street Vendors"
"22",125212,"Xaymaca Restaurant","Brampton","ON","L6W 3E2",43.693045,-79.745969,"1","Caterers, Nightlife, Caribbean, Restaurants, Event Planning & Services, Sports Bars, Bars"
"23",87538,"Island Grocery","Charlotte","NC","28212",35.2039919,-80.7462014,"1","Restaurants, Caribbean, Food, Soul Food, Grocery"
"24",42508,"Casa Rasta","Pittsburgh","PA","15216",40.405401,-80.0301225,"0","Caribbean, Restaurants, Mexican"
"25",151896,"The Jerk Spot","Toronto","ON","M5V 2W9",43.6428729,-79.4070948,"0","Caribbean, Restaurants"
"26",179352,"Taste of T & T","Ajax","ON","L1S 7J4",43.8628777,-79.0181543,"1","Caribbean, Restaurants"
"27",102928,"Bubbles' Doubles","Madison","WI","53706",43.0709434125,-89.4061112931,"0","Restaurants, Food, Caribbean, Trinidadian, Food Trucks, Street Vendors"
"28",153937,"Steady's Jamaican Home Cooking","Toronto","ON","M4K 3T6",43.6839915,-79.3467715,"1","Caribbean, Restaurants"
"29",17161,"Patties Express","Toronto","ON","M5G 1G7",43.6578559,-79.381882,"1","Specialty Food, Restaurants, Ethnic Food, Bakeries, Caribbean, Food"
"30",16495,"Aunt Elsie's Carribean Kitchen","Toronto","ON","M1K 2S3",43.7362402,-79.2499133,"1","Food, Restaurants, Caribbean"
"31",80277,"Nun Such Jerk","Scarborough","ON","M1P 2L1",43.7536661,-79.2765364,"0","Restaurants, Caribbean"
"32",114386,"Caribbean Roti Palace","Toronto","ON","M5S 2R6",43.6639823,-79.4109262,"0","Restaurants, Event Planning & Services, Caribbean, Caterers"
"33",187859,"Marché Méli-Mélo","Montréal","QC","H2P 1V7",45.5447305591,-73.6275914858,"1","Restaurants, Haitian, Convenience Stores, Food, Ethnic Food, Caribbean, Cajun/Creole, Imported Food, Specialty Food, Delicatessen"
"34",68027,"O Rhéma","Montréal","QC","H2S 3C4",45.5300853,-73.6084883,"1","Seafood, Restaurants, Caribbean, Cajun/Creole"
"35",168105,"Aquarela Restaurant","Toronto","ON","M3M 1H5",43.722994,-79.4980982,"1","Restaurants, Latin American, Caribbean"
"36",46422,"Taste of Jamaica","Lyndhurst","OH","44124",41.518802,-81.49556,"1","Restaurants, Caribbean"
"37",61319,"MamaLand Resto-Lounge","Toronto","ON","M6H 3Y9",43.6588937,-79.4427568,"1","African, Lounges, Caribbean, Bars, Nightlife, Restaurants"
"38",111741,"One Love Vegetarian","Toronto","ON","M5R 3G2",43.6667741,-79.4120657,"1","Vegetarian, Restaurants, Caribbean"
"39",156402,"El New Yorican Central Catering & Delivery","Peoria","AZ","85345",33.5810937434,-112.2404557094,"0","Restaurants, Puerto Rican, Spanish, Caribbean"
"40",20366,"Pilón Dominican Kitchen","Concord","NC","28025",35.3834685,-80.5844283,"0","Dominican, Restaurants, Spanish, Caribbean"
"41",149774,"Mckoy's Caribbean Fusion","Mississauga","ON","L5J 2Y4",43.5084547,-79.6322049,"1","Caribbean, Restaurants"
"42",108161,"Patty Time","Scarborough","ON","M1P 2S8",43.7538088,-79.2520875,"1","Caribbean, Restaurants"
"43",24510,"Elvira's Belizean Cafe","Chandler","AZ","85224",33.3403592,-111.8596998,"1","Restaurants, American (Traditional), Caribbean"
"44",44220,"Roywoods Ossington","Toronto","ON","M6J 2Z7",43.6486658,-79.4207925,"1","Caribbean, Restaurants"
"45",185786,"The Jerk Spot","Toronto","ON","M1E 5K4",43.790302,-79.1957593,"0","Restaurants, Caribbean"
"46",33206,"The World Carribean Bistro","Toronto","ON","M4K 2P7",43.6769993,-79.3587876,"0","Caribbean, Restaurants"
"47",130937,"Luna Restaurant and Lounge","Charlotte","NC","28206",35.2536124,-80.805372,"0","Caribbean, Dominican, Restaurants, Salad, Latin American"
"48",141848,"Kaya","Pittsburgh","PA","15222",40.4516553,-79.9844699,"1","Restaurants, Nightlife, Bars, Latin American, Caribbean"
"49",62725,"Wok & Fortune","Toronto","ON","M1J 2E4",43.7393264837,-79.2378300199,"1","Chinese, Caribbean, Restaurants"
"50",191264,"SunRise Caribbean Restaraunt","Newmarket","ON","L3Y 3E6",44.0756472825,-79.434302263,"1","Soul Food, Restaurants, Caribbean"
"51",77984,"Kiskidee Restaurant & Bar","Ajax","ON","L1S 2C1",43.8605663,-79.0248191,"1","Caterers, Nightlife, Bars, Event Planning & Services, Caribbean, Restaurants"
"52",120524,"La Taguara Johnson","Madison","WI","53703",43.0837417,-89.3769002,"1","Caribbean, Colombian, Latin American, Restaurants, Brazilian, Cuban, Venezuelan"
"53",139807,"Cocoa's Jamaican Jerk","Charlotte","NC","28269",35.3334785,-80.796379,"1","Restaurants, Caribbean"
"54",76997,"Ange Ricky","Montréal","QC","H2P 1T4",45.5406715,-73.6305108,"0","Restaurants, Haitian, Caribbean"
"55",36782,"Potluck Restaurant","Mississauga","ON","L5A 1V9",43.58125,-79.616055,"1","Restaurants, Caribbean, Diners, Vegetarian"
"56",14067,"Village Suya","Mississauga","ON","L5C 4L2",43.5782985,-79.6612622,"1","Restaurants, Caribbean, African, Barbeque"
"57",142278,"Peppers","North York","ON","M9L 2K9",43.7596488584,-79.5703868608,"1","Indian, Restaurants, Caribbean"
"58",70337,"Jerk Spot","Toronto","ON","M5T 1L8",43.6549112,-79.3994556,"1","Caribbean, Restaurants"
"59",93193,"Caribbean Choice","Calgary","AB","T2E 2T4",51.0721549,-114.0629827,"1","Event Planning & Services, Caterers, Sandwiches, Grocery, Delis, Restaurants, Caribbean, Food"
"60",75014,"The Breadfruit & Rum Bar","Phoenix","AZ","85004",33.4557075,-112.0720114,"1","Cocktail Bars, Restaurants, Caribbean, Nightlife, Bars, Vegan, Lounges, Active Life, Seafood"
"61",14918,"Tropical Nights Roti House","Pickering","ON","L1V 3E2",43.847526153,-79.0756265322,"1","Restaurants, Caribbean"
"62",57781,"Mr Pattie","Montréal","QC","H4V 1Z2",45.4602064,-73.6543716,"1","Restaurants, Caribbean"
"63",46952,"Pelican's Patio Bar & Grill","Cornelius","NC","28031",35.481292,-80.8844,"0","Buffets, Restaurants, Caribbean"
"64",33569,"Ocean Blue Caribbean Restaurant and Bar","Chandler","AZ","85226",33.3059385,-111.9471779,"1","Restaurants, Sandwiches, Buffets, Seafood, Caribbean"
"65",174307,"Sunrise Caribbean Restaurant","Toronto","ON","M3N 2V3",43.756264,-79.518164,"1","Caribbean, Restaurants"
"66",97463,"Beryl's Pepper Pot","Toronto","ON","M4L 1G2",43.6663973,-79.3168252,"0","Caribbean, Restaurants"
"67",41603,"Carib Patties","Montréal","QC","H8R 1E8",45.4430816,-73.6486059,"1","Caribbean, Restaurants"
"68",47700,"Michael's West Indian Flavor","Toronto","ON","M8V 4C9",43.5995201976,-79.5102864872,"1","Restaurants, Canadian (New), Indian, Caribbean, Ethnic Food, Food, Specialty Food, Imported Food"
"69",119989,"Bacchus Roti Shop","Toronto","ON","M6K 1L7",43.6414885,-79.4332219,"1","Restaurants, Indian, Caribbean"
"70",174539,"Z Bar & Grille","York","ON","M6M 1T2",43.690807,-79.4712894,"1","Caterers, Caribbean, Southern, Indian, Nightlife, Bars, Event Planning & Services, Restaurants"
"71",122198,"Brampton Roti Shop","Brampton","ON","L6W 3P3",43.6884192,-79.7407323,"1","Restaurants, Caribbean"
"72",188216,"La Bodega","Calgary","AB","T2N 1V8",51.0548050702,-114.0856991047,"1","Tapas Bars, Lounges, Restaurants, Bars, Nightlife, Cajun/Creole, Mexican, Breakfast & Brunch, Caribbean"
"73",66149,"FrinGo's Kitchen","Chandler","AZ","85224",33.3375314,-111.8596545,"0","Restaurants, Latin American, Puerto Rican, Caribbean"
"74",19868,"Enmore Paradise Restaurant","Newmarket","ON","L3Y 2R2",44.0628087366,-79.4463564456,"1","Restaurants, Chinese, Caribbean"
"75",56626,"Punta Cana","Madison","WI","53713",43.034577,-89.4235659,"0","Restaurants, Caribbean"
"76",141068,"Nina's Tropical Island","Vaughan","ON","L4K 3N3",43.8116071647,-79.4817111597,"1","Soul Food, Caribbean, Restaurants"
"77",185602,"Caribbean Hut","Charlotte","NC","28262",35.3171887,-80.7391541,"1","Caribbean, Restaurants, Soul Food"
"78",151384,"Sabor de Puerto Rico","Charlotte","NC","28208",35.2463499037,-80.9040200338,"1","Puerto Rican, Restaurants, Spanish, Caribbean"
"79",41882,"Ceylon Flavor","Toronto","ON","M1X 0A5",43.8363841,-79.2510473,"0","Asian Fusion, Ethnic Food, Health Markets, Specialty Food, Restaurants, Caribbean, Indian, Sri Lankan, Southern, Food"
"80",128180,"Soul Jerk","Toronto","ON","M6A 2S9",43.71456104,-79.4548845927,"1","Restaurants, Caribbean, Soul Food"
"81",188082,"Twilight Family Restaurant & Bar","Scarborough","ON","M1S 3L1",43.792085,-79.2595355,"1","Restaurants, Nightlife, Bars, Caribbean"
"82",166122,"Vena's Restaurant","Toronto","ON","M6H 1N7",43.6584445,-79.4417519,"1","Restaurants, Caribbean"
"83",115227,"The Canal Club","Scottsdale","AZ","85251",33.5088053,-111.9252515,"1","American (New), Latin American, Caribbean, Restaurants, Cuban"
"84",108894,"The Jerk Joint","Toronto","ON","M5V 1Z9",43.650344,-79.390459,"0","Specialty Food, Ethnic Food, Food, Caribbean, Restaurants"
"85",107048,"Drupati's Doubles and Roti Shop","Toronto","ON","M1H 3C7",43.7754964,-79.2419031,"1","Caribbean, Restaurants, Indian"
"86",121533,"Allwyn's Bakery","Toronto","ON","M3A 1K8",43.7459284,-79.3246225,"1","Bakeries, Food, Restaurants, Caribbean"
"87",151559,"Tropical Nights Restaurant & Lounge","Toronto","ON","M1B",43.800607,-79.199402,"1","Restaurants, Caribbean, Nightlife, Lounges, Chinese, Bars"
"88",159106,"Kalalu Fusion Caraibes","Montréal","QC","H2J 2K9",45.522903,-73.580071,"0","Caribbean, Restaurants"
"89",49942,"Ernie's Caribbean Restaurant","North York","ON","M3N 2L2",43.7696049,-79.5214291,"1","Restaurants, Caribbean"
"90",22100,"Jerk Hut Jamaican Grille","Phoenix","AZ","85015",33.4956607,-112.0997467,"0","Caribbean, Latin American, Breakfast & Brunch, Food, Restaurants"
"91",181942,"Rasta House Caribbean Resturant","Pittsburgh","PA","15212",40.456127,-80.006524,"0","Caribbean, Restaurants"
"92",36789,"The Avenue Restaurant & Lounge","Scarborough","ON","M1H 3C7",43.7754726,-79.2415026,"1","American (Traditional), Caribbean, Nightlife, Lounges, Cocktail Bars, Bars, Restaurants, Chinese"
"93",180649,"Alima's Roti and Pastry","Brampton","ON","L6T 5K9",43.7357084,-79.6490702,"1","Restaurants, Caribbean, Specialty Food, Food, Indian"
"94",81760,"Irie Food Joint","Toronto","ON","M6J 1G1",43.646449,-79.4071412,"0","Caribbean, Restaurants"
"95",137628,"Palme","Montréal","QC","H2L 2H9",45.5210222,-73.5540002,"1","Cajun/Creole, Cafes, Caribbean, Restaurants"
"96",92334,"Quisqueya La Bella","Cleveland","OH","44102",41.4698021,-81.7189132,"1","Dominican, Caribbean, Restaurants, Latin American"
"97",80605,"Havana Cafe","Phoenix","AZ","85018",33.509198,-111.988715,"0","Spanish, Cuban, Restaurants, Caribbean"
"98",185082,"Ackee Tree Dynamite Jamaican Jerk","Toronto","ON","M5A 1T1",43.6559115,-79.3637094,"1","Caribbean, Restaurants"
"99",12017,"Jamaican Joint Catering","Las Vegas","NV","89103",36.1104125,-115.2067011,"1","Restaurants, Food, Event Planning & Services, Caterers, Caribbean, Food Delivery Services, Street Vendors"
"100",132186,"Boom J's Cuisine","Montréal","QC","H3K 1W7",45.4788153,-73.5588964,"1","Caribbean, Restaurants"
