"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",105372,"Pearl Garden","Calgary","AB","T1Y",51.0811622,-113.9934738,"0","Chinese, Dim Sum, Restaurants"
"2",20037,"Nee House Chinese Restaurant","Phoenix","AZ","85032",33.6130201898,-111.9770356779,"1","Chinese, Restaurants"
"3",111668,"Yummy Yummy Chinese Restaurant","Scottsdale","AZ","85257",33.478754,-111.925484,"1","Chinese, Restaurants"
"4",101172,"China Gourmet","Mesa","AZ","85204",33.39486287,-111.7560359322,"0","Chinese, Restaurants"
"5",165961,"Pearl King","Toronto","ON","M5V 1J5",43.6464782,-79.3900189,"0","Dim Sum, Chinese, Tapas/Small Plates, Restaurants"
"6",138910,"Jardin Tiki","Montréal","QC","H1V 1A1",45.5679434,-73.5526664,"0","Local Flavor, Chinese, Nightlife, Restaurants, Bars, Buffets, Asian Fusion"
"7",102449,"China AAA","Henderson","NV","89052",35.99822,-115.102246,"1","Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food"
"8",72511,"ChinaTown Buffet","Champaign","IL","61822",40.13727,-88.2560426,"1","Sushi Bars, Buffets, Restaurants, Chinese"
"9",157896,"Golden Flower Cafe","Richmond Hill","ON","L4B 2Y1",43.8611126,-79.394803,"1","Chinese, Restaurants, Fast Food"
"10",63916,"Wong's Asian Cuisine","Scarborough","ON","M1P 2P5",43.7472771,-79.2838487,"1","Hakka, Indian, Asian Fusion, Restaurants, Chinese"
"11",175422,"Sunny China Buffet","Urbana","IL","61802",40.0976392,-88.1912166,"1","Buffets, Chinese, Restaurants"
"12",166729,"Empress Court","Las Vegas","NV","89109",36.1161559,-115.1750576,"0","Seafood, Chinese, Steakhouses, Restaurants, Italian"
"13",95396,"Red Lotus","Richmond Hill","ON","L4C 3E3",43.8914289676,-79.4404220581,"0","Chinese, Restaurants"
"14",41536,"Genghis Grill","Matthews","NC","28105",35.1338014,-80.7117827,"1","Do-It-Yourself Food, Asian Fusion, Chinese, Mongolian, Food, Restaurants"
"15",158881,"Yao Fine Chinese Cuisine","Gilbert","AZ","85295",33.30483,-111.788866,"1","Chinese, Restaurants"
"16",123943,"Panda Express","Tempe","AZ","85282",33.3831468,-111.9647254,"0","Restaurants, Fast Food, Chinese"
"17",54320,"Teriwoki","Las Vegas","NV","89123",36.0164931,-115.1170689,"0","Restaurants, Food, Do-It-Yourself Food, Chinese, Asian Fusion"
"18",72504,"King Wok","Gilbert","AZ","85296",33.3369054333,-111.7717713333,"1","Chinese, Restaurants"
"19",86768,"Hong Kong Bistro Cafe","Toronto","ON","M5T 1G8",43.6534452,-79.3968608,"1","Cafes, Chinese, Restaurants"
"20",36425,"Tott's Asian Diner","Chandler","AZ","85226",33.3212645,-111.9116902,"1","Restaurants, Chinese, Asian Fusion"
"21",128522,"Mandarin Restaurant - Queensway","Etobicoke","ON","M8Z 1S1",43.621045152,-79.52306148,"1","Chinese, Restaurants, Buffets"
"22",129478,"Jade Fine Chinese Dining","Phoenix","AZ","85085",33.7971416,-112.1180452,"0","Chinese, Beer, Wine & Spirits, Restaurants, Food"
"23",10168,"Fortune Chinese Restaurant","Las Vegas","NV","89102",36.1440254,-115.1938769,"0","Restaurants, Chinese"
"24",2796,"Lee Asian Bistro","Madison","WI","53716",43.0699604,-89.3259043,"0","Restaurants, Vietnamese, Chinese"
"25",55428,"KooKoo Chicken","Mississauga","ON","L5M 4Z1",43.586622408,-79.6990653767,"0","Chinese, Restaurants, Taiwanese"
"26",165265,"Shanghai Palace Restaurant","Calgary","AB","T3K 4W7",51.1382074284,-114.1574763741,"0","Chinese, Restaurants"
"27",167409,"Niwan Rolls King","Toronto","ON","M1V 0C5",43.804666915,-79.2867640033,"0","Restaurants, Chinese"
"28",91649,"Tangerine Asian Cuisine","Mississauga","ON","L5N",43.5862087814,-79.74122344,"0","Chinese, Asian Fusion, Indian, Restaurants"
"29",46488,"Blue Ginger Asian Bistro","Parma","OH","44134",41.3598122952,-81.6856487672,"1","Sushi Bars, Japanese, Asian Fusion, Restaurants, Chinese"
"30",182589,"Soho Cafe Chinese Cuisine & Bar","Harrisburg","NC","28075",35.3271726,-80.6480489,"0","Restaurants, Chinese"
"31",7245,"Happy Garden","Medina","OH","44256",41.1378021,-81.8214969,"1","Food, Chinese, Restaurants, Seafood, Poke"
"32",78276,"Tottie's Asian Kitchen","Scottsdale","AZ","85254",33.639741,-111.9443776,"1","Laotian, Vietnamese, Chinese, Restaurants, Thai"
"33",77679,"GB Hand-pulled Noodles","Toronto","ON","M5G 1C9",43.6567548,-79.3837248,"1","Chinese, Restaurants, Noodles"
"34",163925,"M.Gao","Montréal","QC","H3G 1N2",45.4958614157,-73.5789760532,"1","Chinese, Restaurants"
"35",151960,"Canton Chang Fen","Markham","ON","L3R 3P9",43.8497806727,-79.3473188952,"1","Restaurants, Fast Food, Chinese"
"36",149506,"Noodle Asia","Las Vegas","NV","89109",36.122689,-115.170163,"1","Restaurants, Asian Fusion, Chinese, Dim Sum, Noodles"
"37",66296,"Gou Bu Li","Richmond Hill","ON","L4B 3B1",43.8439761,-79.3878015,"1","Restaurants, Chinese"
"38",104723,"Oriental Wok","Madison","WI","53715",43.0611378,-89.4010411,"1","Restaurants, Chinese"
