"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",157908,"New Granada","Las Vegas","NV","89146",36.1586808,-115.2367199,"1","Restaurants, Latin American, American (New), Colombian, Fast Food"
"2",15575,"Brasa Roja","Las Vegas","NV","89104",36.1436636,-115.1418906,"1","Latin American, Food, Colombian, Empanadas, Restaurants, Juice Bars & Smoothies, Seafood"
"3",120524,"La Taguara Johnson","Madison","WI","53703",43.0837417,-89.3769002,"1","Caribbean, Colombian, Latin American, Restaurants, Brazilian, Cuban, Venezuelan"
"4",40343,"Barroco","Lakewood","OH","44107",41.4770749,-81.7783377,"1","Colombian, Gluten-Free, Sandwiches, Nightlife, Latin American, American (Traditional), Restaurants, Bars"
"5",38467,"Mangoland","Rocky View County","AB","T4A 0G3",51.2032209,-113.9930715,"1","Food Stands, Food, Latin American, Ice Cream & Frozen Yogurt, Restaurants, Colombian, Specialty Food"
"6",180733,"Antojitos","Mississauga","ON","L5E 1W8",43.572276,-79.5640995,"1","Food, Bakeries, Breakfast & Brunch, Colombian, Restaurants, Latin American"
"7",82217,"Pupuseria La Bendicion","Cleveland","OH","44111",41.4521182,-81.7589193,"1","Latin American, Colombian, Delis, Sandwiches, Imported Food, Food, Salvadoran, Ethnic Food, Restaurants, Specialty Food"
"8",29159,"Moncho's Bar & Grill","Cleveland","OH","44109",41.4504863,-81.6997559,"0","Colombian, Tapas Bars, Seafood, Latin American, Restaurants"
"9",22949,"Arepazo Express","Toronto","ON","M5T 2L6",43.6533779,-79.4012455,"0","Canadian (New), Venezuelan, Gluten-Free, Restaurants, Latin American, Sandwiches, Colombian"
"10",169387,"La Taguara","Madison","WI","53704",43.1146792,-89.3285605,"1","Restaurants, Colombian, Venezuelan, Latin American, Caribbean"
"11",101412,"Cookie Martinez","Toronto","ON","M5T 2W6",43.6514248,-79.4041234,"1","Colombian, Food, Latin American, Restaurants, Bakeries, Street Vendors, Food Delivery Services"
"12",12462,"Arepa Xpress","Las Vegas","NV","89146",36.143203,-115.2344,"0","Restaurants, Food Stands, Street Vendors, Colombian, Food, Latin American"
"13",34493,"La Tiendita Colombian Restaurant","Mesa","AZ","85201",33.4154777,-111.8425801,"1","Food, Colombian, Arts & Crafts, Latin American, Couriers & Delivery Services, Restaurants, Cafes, Ethnic Food, Local Services, Shopping, Specialty Food"
"14",43426,"Mamma's Bakery","Aurora","ON","L4G 2N9",43.998056,-79.474905,"0","Colombian, Coffee & Tea, Food, Restaurants, Bakeries, Latin American"
"15",122574,"Hello Chicken","Charlotte","NC","28210",35.0895008,-80.865205,"1","Salad, Latin American, Restaurants, Colombian, Chicken Shop"
"16",99125,"El Cafetal","Indian Trail","NC","28079",35.0680557747,-80.6771468233,"1","Latin American, Coffee & Tea, Colombian, Spanish, Restaurants, Food, Mexican"
"17",190359,"My Empanada","Mississauga","ON","L5A 4E4",43.5821821,-79.6185279,"1","Restaurants, Colombian, Food, Latin American"
"18",165086,"El Arepazo Y Pupuseria","Fairview Park","OH","44126",41.4378589592,-81.8729844689,"1","Colombian, Restaurants, Salvadoran, Latin American"
"19",10563,"Tropicalyyc","Calgary","AB","T2T 0E3",51.0381349,-114.094277,"1","Nightlife, Restaurants, Mexican, Cocktail Bars, Tex-Mex, Latin American, Bars, Colombian"
"20",57816,"Barroco","Cleveland","OH","44120",41.4874122,-81.5937045,"1","Colombian, Bars, Nightlife, Venezuelan, Latin American, Restaurants, Caribbean"
"21",10647,"Barroco express","Cleveland","OH","44113",41.4982016,-81.7019598,"0","Restaurants, Cuban, Colombian, Latin American"
"22",42702,"Pollos Mario Restaurant","Charlotte","NC","28212",35.2036261,-80.7425316,"1","Mexican, Colombian, Restaurants, Latin American"
"23",76667,"Las Delicias","Mississauga","ON","L5B 1H7",43.5789270202,-79.6181294695,"1","Restaurants, Latin American, Colombian"
"24",23478,"El Cafetal Restaurant & Bakery","Toronto","ON","M6E 1A2",43.6793591,-79.4374897,"0","Restaurants, Latin American, Peruvian, Colombian, Mexican"
"25",117091,"Todo Rico Bakery","Mississauga","ON","L5C 4L3",43.5789259112,-79.6607345657,"0","Latin American, Restaurants, Bakeries, Food, Colombian"
"26",67246,"Aracely's Sazón Colombian Restaurant","Las Vegas","NV","89103",36.1230052,-115.2241611,"1","Food, Comfort Food, Colombian, Specialty Food, Breakfast & Brunch, Seafood, Ethnic Food, Restaurants, Latin American"
