"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",176920,"Sabor Cubano Restaurant","Phoenix","AZ","85015",33.509991,-112.103239,"0","Cuban, Restaurants, Buffets"
"2",67079,"Babaloos Cuban Cafe","Phoenix","AZ","85048",33.304331,-112.054775,"0","Ethnic Food, Cuban, Specialty Food, Restaurants, Food"
"3",152661,"Comfort Cravings","Phoenix","AZ","85003",33.4495511,-112.0789355,"0","Food, Food Trucks, Sandwiches, Barbeque, Restaurants, American (Traditional), Cuban, Comfort Food"
"4",120524,"La Taguara Johnson","Madison","WI","53703",43.0837417,-89.3769002,"1","Caribbean, Colombian, Latin American, Restaurants, Brazilian, Cuban, Venezuelan"
"5",11745,"Cuban Pete's Cafe","Charlotte","NC","28205",35.2204138,-80.8106706,"0","Cuban, Restaurants"
"6",115227,"The Canal Club","Scottsdale","AZ","85251",33.5088053,-111.9252515,"1","American (New), Latin American, Caribbean, Restaurants, Cuban"
"7",33828,"Varadero Cuban Restaurant","Las Vegas","NV","89130",36.254519,-115.242815,"0","Restaurants, Cuban"
"8",179832,"Havana Go Go","Las Vegas","NV","89109",36.0998842,-115.1722956,"0","Food, Coffee & Tea, Cuban, Restaurants"
"9",159488,"El Varaderito","Las Vegas","NV","89107",36.1688488707,-115.2081237151,"1","Desserts, Sandwiches, Restaurants, Food, Cuban, Pizza, Latin American"
"10",80605,"Havana Cafe","Phoenix","AZ","85018",33.509198,-111.988715,"0","Spanish, Cuban, Restaurants, Caribbean"
"11",185959,"Carlitos Cuban Food","Las Vegas","NV","89109",36.1413554,-115.1355893,"1","Cuban, Restaurants"
"12",39402,"Carlitos Cuban Food","Las Vegas","NV","89107",36.17529,-115.2065097,"1","Restaurants, Cuban, Cafeteria"
"13",104081,"Café Cubano","Montréal","QC","H2S 1R2",45.5315456,-73.6069402,"1","Cuban, Restaurants"
"14",44629,"Roly's Bakery","Las Vegas","NV","89119",36.1002484,-115.1395558,"0","Food, Sandwiches, Restaurants, Bakeries, Cuban"
"15",107190,"La Cubana","Toronto","ON","M6R 2M9",43.650882,-79.4510015,"1","Restaurants, Cuban, Mexican"
"16",124597,"Black Bean Cuban Cuisine","Pittsburgh","PA","15213",40.440304,-79.956279,"0","Restaurants, Cuban"
"17",155241,"Julie's Cuban Restaurant","Toronto","ON","M6J 3C8",43.6469601,-79.4240341,"1","Restaurants, Cuban"
"18",73574,"Delicia's Latina's","Las Vegas","NV","",36.1600037195,-115.1185779646,"1","Cuban, Food, Mexican, Restaurants, Food Trucks"
"19",178488,"Havana Carolina Cafe","Concord","NC","28025",35.4103843,-80.5815915,"0","Restaurants, Cuban"
"20",107243,"Havana Cafe","Scottsdale","AZ","85254",33.6397015,-111.9443831,"0","Restaurants, Nightlife, Bars, Cuban, Latin American"
"21",62985,"Cuban Sylvain Bakery","Las Vegas","NV","89121",36.1002674956,-115.1162912174,"1","Bakeries, Cuban, Restaurants, Pizza, Food"
"22",182133,"Delux","Toronto","ON","M6J 2Z4",43.6462035,-79.4196776,"0","Restaurants, Women's Clothing, Cuban, Fashion, French, Shopping"
"23",169156,"Bisteces","Phoenix","AZ","85304",33.5834732056,-112.1509857178,"0","Restaurants, Cuban"
"24",93846,"Republic Cafe","Las Vegas","NV","89128",36.2075183,-115.2681365,"0","Restaurants, Cuban, Cafes, Breakfast & Brunch, Coffee & Tea, Food"
"25",93516,"Latin Fish","Las Vegas","NV","89128",36.2074847,-115.2682033,"0","American (New), Cuban, Restaurants, Latin American, Seafood"
"26",32168,"Calle 8 Restaurant & Lounge","Phoenix","AZ","85013",33.5102606,-112.0819424,"0","American (New), Mexican, Cuban, Restaurants"
"27",151587,"Carlo's Cafe","Rock Hill","SC","29732",34.9620504,-81.0029872,"0","Mexican, Restaurants, Cuban, Food"
"28",42477,"El Habanero & Churrobar","Toronto","ON","M1V 4Z4",43.8271892,-79.2909971,"1","Caterers, Food, Event Planning & Services, Caribbean, Cuban, Latin American, Donuts, Desserts, Spanish, Restaurants"
"29",41931,"Cuban Foods Bakery & Restaurant","Phoenix","AZ","85029",33.5834916,-112.1508229,"1","Food, Specialty Food, Ethnic Food, Cuban, Mexican, Restaurants, Bakeries"
"30",35666,"Mojito Cubano","Toronto","ON","M6R 1A4",43.640361,-79.4383991,"1","Restaurants, Nightlife, Bars, Cuban, Beer Bar, Latin American"
"31",140105,"The Spirit of Cuba","Las Vegas","NV","89102",36.15858,-115.1968823,"0","Cuban, Caterers, Restaurants, Lounges, Nightlife, Event Planning & Services, Bars"
"32",153782,"El Pequeño Bar","Montréal","QC","H2Y 1G8",45.5071216,-73.553145,"1","Sandwiches, Cocktail Bars, Nightlife, Bars, Cuban, Restaurants"
"33",137219,"Earth Bistro Cafe","Cleveland","OH","44102",41.4863845,-81.7626989,"1","Food, Vegetarian, Breakfast & Brunch, Restaurants, Cuban, Vegan, Juice Bars & Smoothies"
"34",10647,"Barroco express","Cleveland","OH","44113",41.4982016,-81.7019598,"0","Restaurants, Cuban, Colombian, Latin American"
"35",75466,"Seviche","Pittsburgh","PA","15222",40.4440334,-79.9970421,"0","Tapas/Small Plates, Latin American, Cuban, Restaurants"
"36",28792,"Danna's Caribbean Grill","Las Vegas","NV","89101",36.1673841,-115.1458384,"0","Caribbean, Cuban, Latin American, Asian Fusion, Restaurants"
"37",21485,"Mimita's Cuban Cafe","Chandler","AZ","85225",33.3345642,-111.8427377,"0","Restaurants, Cafes, Food, Cuban"
"38",32241,"Punta Cana Restaurant & Grill","Charlotte","NC","28217",35.166205,-80.876446,"1","Cuban, Latin American, Caterers, Caribbean, Dominican, Restaurants, Event Planning & Services"
"39",49199,"The Sugar Corner","Las Vegas","NV","89119",36.1006924561,-115.1394493587,"0","Restaurants, Latin American, Bakeries, Specialty Food, Ethnic Food, Breakfast & Brunch, Food, Cuban"
"40",191460,"Carlos Cafe","Tega Cay","SC","29708",35.048263,-80.992767,"0","Restaurants, Cuban"
"41",107155,"Florida Cafe Cuban Bar & Grill","Las Vegas","NV","89104",36.155323,-115.149618,"1","Restaurants, Nightlife, Food, Cuban, Bars, Bakeries"
"42",148072,"The Latin Kitchen","Mesa","AZ","85210",33.4084223,-111.8440909,"1","Nightlife, Cuban, Restaurants, Latin American, Bars, Bartenders, Event Planning & Services"
"43",21931,"El Tinajon Cuban Food","Las Vegas","NV","89121",36.1153713947,-115.0930788741,"1","Restaurants, Cuban"
"44",126858,"La Cubana","Toronto","ON","M4M 1Z5",43.6690485,-79.3371899,"1","Restaurants, Cuban"
"45",186984,"Cuba Cafe","Las Vegas","NV","89119",36.1002707,-115.1252239,"1","Cuban, Tapas Bars, Restaurants"
"46",142829,"Not Your Typical Deli","Gilbert","AZ","85296",33.32878,-111.794915,"1","Restaurants, Caterers, Cuban, Sandwiches, Event Planning & Services, Delis"
"47",180653,"Cortadito Express","Madison","WI","53703",43.0757413,-89.3769773,"0","Coffee & Tea, Cuban, Food, Restaurants, Cafes"
"48",91846,"Mambo Lounge","Toronto","ON","M4K 1N1",43.6765213,-79.3581172,"1","Tapas Bars, Cuban, Restaurants"
"49",94317,"Taste of Havana","Charlotte","NC","28212",35.2038446,-80.7538188,"0","Cuban, Restaurants"
"50",73633,"La Habanera","Montréal","QC","H3B 3C4",45.5031149,-73.5680785,"1","Nightlife, Bars, Restaurants, Cuban, Latin American"
"51",191339,"Babalu Tapas & Tacos","Charlotte","NC","28203",35.200279,-80.841758,"0","Cuban, Latin American, Restaurants, Tapas Bars, Mexican, Tapas/Small Plates"
"52",49398,"A Piece Of Havana","Charlotte","NC","28273",35.116692,-80.962647,"1","Restaurants, Cuban"
"53",136489,"El Rinconcito","Charlotte","NC","28273",35.1338559,-80.893259,"0","Mexican, Puerto Rican, Latin American, Caterers, Event Planning & Services, Breakfast & Brunch, Caribbean, Cuban, Restaurants"
"54",126140,"Havana Express Cuban Kitchen & Bakery","Las Vegas","NV","89121",36.1003583,-115.1148517,"1","Bakeries, Food, Restaurants, Cuban"
"55",84950,"La Cecilia","Montréal","QC","H2S 1G4",45.5379212,-73.6109626,"1","Restaurants, Cuban"
"56",55589,"Coquito's Deli & Bakery","Lorain","OH","44053",41.4295576,-82.2033511,"0","Puerto Rican, Cuban, Delis, Caribbean, Bakeries, Food, Restaurants"
