"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",20366,"Pilón Dominican Kitchen","Concord","NC","28025",35.3834685,-80.5844283,"0","Dominican, Restaurants, Spanish, Caribbean"
"2",130937,"Luna Restaurant and Lounge","Charlotte","NC","28206",35.2536124,-80.805372,"0","Caribbean, Dominican, Restaurants, Salad, Latin American"
"3",92334,"Quisqueya La Bella","Cleveland","OH","44102",41.4698021,-81.7189132,"1","Dominican, Caribbean, Restaurants, Latin American"
"4",68380,"Delicious by Aldu Dominican Cuisine","Gilbert","AZ","85296",33.3346675,-111.7844293,"1","Burgers, Beer, Wine & Spirits, Sandwiches, Latin American, Nightlife, Salad, Breakfast & Brunch, Dominican, Soup, Restaurants, Caribbean, Food, Bars"
"5",185819,"De Mi Tierra Restaurant","Scottsdale","AZ","85257",33.4666298,-111.9000416,"0","Caribbean, Restaurants, Peruvian, Latin American, Puerto Rican, Dominican"
"6",74011,"Tropical Delights","Charlotte","NC","28262",35.3121668,-80.7450891,"0","Haitian, Caribbean, Puerto Rican, Dominican, Restaurants"
"7",77772,"Mambo's Dominican Kitchen","Chandler","AZ","85225",33.3345013,-111.842792,"1","Latin American, Bars, Restaurants, Nightlife, Dominican, Caribbean"
"8",87976,"Sazon Bachata Restaurant","Phoenix","AZ","85007",33.4580382,-112.0914374,"0","Dominican, Caribbean, Restaurants"
"9",55968,"Cosmokat","Phoenix","AZ","85224",33.3391887,-111.8601656,"0","Caribbean, Hair Salons, Beauty & Spas, Hair Stylists, Dominican, Restaurants"
"10",169698,"Mi Barrio Halal Latin Grill","Charlotte","NC","28227",35.160978,-80.7400635,"1","Halal, Caribbean, Dominican, Restaurants, Seafood, Chicken Shop"
"11",114712,"Saona Dominican Restaurant & Bar","Charlotte","NC","28205",35.2500759,-80.7813192,"1","Restaurants, Food, Caribbean, Dominican, Latin American"
"12",32241,"Punta Cana Restaurant & Grill","Charlotte","NC","28217",35.166205,-80.876446,"1","Cuban, Latin American, Caterers, Caribbean, Dominican, Restaurants, Event Planning & Services"
"13",124930,"El Fogón Dominican Restaurant","Gastonia","NC","28054",35.2613685105,-81.1703234911,"1","Restaurants, Caribbean, Nightlife, Cocktail Bars, Specialty Food, Ethnic Food, Dominican, Bars, Food"
