"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",130309,"Abugida Ethiopian Cafe & Restaurant","Charlotte","NC","28205",35.217977394,-80.7939415053,"1","Ethiopian, Restaurants"
"2",175053,"Cazino Lounge and Gallery","Las Vegas","NV","89146",36.1261896213,-115.2114880085,"0","Ethiopian, Nightlife, Restaurants, Bars, Hookah Bars, Arts & Entertainment, Music Venues"
"3",164831,"Dukem Restaurant","Toronto","ON","M4J 1L9",43.6803779,-79.3381599,"0","Restaurants, Ethiopian"
"4",100329,"Freta Enjera","Toronto","ON","M6G 1M3",43.6624268,-79.4228459,"1","Restaurants, Imported Food, Ethnic Food, Food, Specialty Food, Ethiopian, Convenience Stores"
"5",119289,"Queen Of Sheba","Las Vegas","NV","89103",36.1183672,-115.2098916,"0","Ethiopian, Restaurants"
"6",73670,"Yogurt Mart","Phoenix","AZ","85028",33.5839174,-112.0120821,"1","Food, Restaurants, Ethiopian, Ice Cream & Frozen Yogurt"
"7",130433,"Empress Taytu Ethiopian Restaurant","Cleveland","OH","44103",41.5240959,-81.648597,"1","Specialty Food, Restaurants, Gluten-Free, Vegetarian, Ethnic Food, Food, Vegan, Ethiopian"
"8",122144,"Merkato Ethiopian Cafe","Las Vegas","NV","89169",36.1216467,-115.144848,"0","Ethiopian, Restaurants, Vegetarian, Cafes"
"9",93142,"Hdmona Restaurant","Calgary","AB","T2A",51.0373696132,-113.992038779,"1","Restaurants, Ethiopian"
"10",24447,"Lalibela Ethiopian Restaurant","Toronto","ON","M6G 1M4",43.6620391,-79.4248298,"1","Ethiopian, Caterers, Restaurants, Event Planning & Services"
"11",22307,"Cottage Cafe","Las Vegas","NV","89169",36.1046561,-115.1510031,"0","Ethiopian, Restaurants"
"12",177849,"Blue Nile Restaurant","Toronto","ON","M4J 1M6",43.6820083,-79.3309105,"1","Ethiopian, Restaurants"
"13",161265,"Ethiopia vegan  Restaurant","Toronto","ON","M4J 1M3",43.6812109,-79.3346294,"0","Vegan, Restaurants, Ethiopian"
"14",147868,"Ethiopian Famous Restaurant & Coffee","Phoenix","AZ","85008",33.4653292,-111.9925464,"0","Restaurants, Food, Specialty Food, Ethiopian, Ethnic Food"
"15",63802,"Red Sea Restaurant & Bar","Charlotte","NC","28205",35.195245,-80.788236,"1","Seafood, Bars, Ethiopian, Restaurants, Nightlife"
"16",123205,"Tana Ethiopian Cuisine","Pittsburgh","PA","15206",40.4606745,-79.9269328,"1","Restaurants, Nightlife, Bars, Ethiopian"
"17",167511,"Hirut","Toronto","ON","M4C 1J6",43.6856017,-79.3138254,"1","Restaurants, Nightlife, Ethiopian, Arts & Entertainment, Music Venues"
"18",184433,"Authentic Ethio African","Phoenix","AZ","85006",33.4659491565,-112.0438096799,"1","Restaurants, Gluten-Free, Ethnic Food, Vegetarian, Bakeries, Ethiopian, African, Food, Specialty Food"
"19",184349,"Abyssinia Ethiopian Restaurant","Las Vegas","NV","89103",36.1017505628,-115.2053383195,"1","Ethiopian, Restaurants"
