"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",160520,"Little Manila","Mississauga","ON","L5C 4L2",43.5786394466,-79.6614813432,"1","Restaurants, Filipino"
"2",170103,"Cusina Lounge","Toronto","ON","M3H 1S8",43.7372891748,-79.4349258766,"1","Barbeque, Filipino, Buffets, Fish & Chips, Restaurants"
"3",184144,"Bar Kada Avenue","Las Vegas","NV","89102",36.142762,-115.209066,"0","Specialty Food, Street Vendors, Filipino, Asian Fusion, Food, Nightlife, Restaurants, Karaoke, Ethnic Food, Bars, Beer, Wine & Spirits"
"4",120030,"Port Union Bakery","Scarborough","ON","M1C 2L3",43.7895037615,-79.139930168,"1","Food, Restaurants, Filipino, Bakeries, Coffee & Tea"
"5",117604,"Mayettes","Toronto","ON","M1L 1C5",43.6927912,-79.2811846,"1","Ethnic Food, Personal Chefs, Restaurants, Seafood, Event Planning & Services, Fast Food, Specialty Food, Barbeque, Party & Event Planning, Filipino, Local Flavor, Food, Caterers"
"6",50129,"Nelia's Smokehouse","Ambridge","PA","15003",40.5879393,-80.2248851,"0","Filipino, Food, Restaurants, Barbeque, Smokehouse"
"7",176248,"Pinoy Market","Las Vegas","NV","89146",36.1451927237,-115.2414472774,"0","Grocery, Restaurants, Filipino, Cosmetics & Beauty Supply, Food, Shopping, Farmers Market, Beauty & Spas"
"8",118223,"Mely's Kainan","Cleveland","OH","44134",41.414498,-81.710924,"1","Filipino, Restaurants"
"9",78392,"Manila BBQ","Henderson","NV","89014",36.0723568358,-115.0758828586,"1","Restaurants, Barbeque, Filipino, Asian Fusion"
"10",88118,"Cuisine de Manille","Montréal","QC","H3W",45.4930207327,-73.6342323809,"1","Restaurants, Filipino"
"11",165417,"DJ Bibingkahan","Las Vegas","NV","89109",36.1410827,-115.1364641,"0","Ethnic Food, Food, Filipino, Fast Food, Restaurants, Specialty Food"
"12",132703,"Red Ribbon Bakeshop","Las Vegas","NV","89117",36.1459755,-115.3009363,"1","Filipino, Restaurants, Food, Fast Food, Bakeries"
"13",4434,"Bella's Lechon","Toronto","ON","M1B 0A7",43.8011937,-79.1985036,"1","Desserts, Food, Restaurants, Filipino, Seafood"
"14",89649,"Lamesa Filipino Kitchen","Toronto","ON","M6J",43.647069,-79.404677,"1","Restaurants, Filipino"
"15",124488,"Mama Nita's Binalot","Calgary","AB","T2B 0S8",51.036631,-113.989815,"0","Restaurants, Filipino"
"16",138590,"McDonald's","Richfield","OH","44286",41.2211289,-81.6291927,"1","Fast Food, Food, Filipino, Restaurants, Coffee & Tea, Burgers"
"17",112852,"Joy's Restaurant","Las Vegas","NV","89104",36.1585529,-115.1341506,"0","Party & Event Planning, Restaurants, Event Planning & Services, Fast Food, Buffets, Filipino, Noodles"
"18",90697,"Ftrip","Toronto","ON","M3H",43.7385224203,-79.4345222041,"1","Filipino, Restaurants"
"19",157787,"Dolly's Mojito Bar","Toronto","ON","M6H 1N7",43.6582991,-79.4424949,"1","Cocktail Bars, Bars, Mexican, Nightlife, Filipino, Restaurants"
"20",159053,"Little Hong Kong","Las Vegas","NV","89115",36.2402607933,-115.0571248641,"1","Filipino, Chinese, Restaurants"
"21",44054,"DT's Filipino Food and Karaoke","Las Vegas","NV","89123",36.0553574,-115.2414974,"0","Noodles, Restaurants, Seafood, Filipino"
"22",80841,"Kapit Bahay Filipino Restaurant","Toronto","ON","M1E 4S6",43.7686131,-79.1852935,"1","Specialty Food, Filipino, Ethnic Food, Food, Restaurants"
"23",42222,"Kusina Ni Lorraine","Las Vegas","NV","89130",36.2385588,-115.2333307,"1","Filipino, Restaurants, Food, Grocery"
"24",15970,"Tina's Filipino Cuisine","Las Vegas","NV","89139",36.048884235,-115.2244691891,"1","Restaurants, Filipino"
"25",182000,"La Republika","Montréal","QC","H3S 1Y7",45.4990743,-73.6277977,"1","Filipino, Restaurants"
"26",50891,"CASA manila Restaurant","Toronto","ON","M3B 1Y5",43.754956,-79.3488879,"1","Fast Food, Restaurants, Chinese, Filipino"
"27",192058,"Grill City","Las Vegas","NV","89119",36.1181769595,-115.1360216169,"1","Barbeque, Seafood, Filipino, Restaurants"
"28",40734,"Gingerroot","Chandler","AZ","85224",33.306107,-111.8609857,"0","Filipino, Restaurants"
