"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",44769,"Megas Restaurant","Toronto","ON","M4K 1P3",43.6777565,-79.3515772,"1","Restaurants, Greek, Mediterranean, Caterers, Event Planning & Services"
"2",64317,"Restaurant Agora Souvlaki","Montréal","QC","H4V 1S8",45.4673896,-73.6386165,"0","Greek, Restaurants, Mediterranean"
"3",12197,"Showmars - Seventh Street","Charlotte","NC","28204",35.212005,-80.817991,"1","Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean"
"4",126044,"Le Chalet Grec","Saint-Sauveur","QC","J0R 1R6",45.8972035,-74.1515048,"1","Greek, Restaurants"
"5",123650,"Pita Gourmet","Montréal","QC","H2S 1Z4",45.5322357611,-73.5975787416,"1","Restaurants, Turkish, Greek, Middle Eastern, Mediterranean, Lebanese, Kebab, Sandwiches"
"6",44082,"Moe's Tavern & Grill","Madison","WI","53703",43.0747406,-89.3865796,"0","Greek, American (Traditional), Burgers, Restaurants"
"7",75179,"My Big Fat Greek Gyro","Mount Lebanon","PA","15228",40.3813236,-80.0440054,"0","Greek, Restaurants"
"8",11569,"Pita Kitchen - Arrowhead","Glendale","AZ","85308",33.6702064,-112.2004519,"1","Mediterranean, Greek, Restaurants, Vegetarian"
"9",73265,"Alexandris Restaurant","Medina","OH","44256",41.1367315,-81.7893027,"1","Restaurants, Greek, Breakfast & Brunch"
"10",116578,"Sorento Restaurant Fine Mediterranean Cuisine","North York","ON","M3C 1V6",43.7269871,-79.3414943,"1","Restaurants, Italian, Local Services, Mediterranean, Greek"
"11",88176,"Mrs. Greek Souvlaki Express","Vaughan","ON","L4L 4Y6",43.7712021,-79.545334,"1","Greek, Restaurants"
"12",172513,"Opa Life Greek Cafe","Glendale","AZ","85308",33.6419971901,-112.2254376858,"1","Greek, Coffee & Tea, Food, Restaurants"
"13",164785,"Mr. Greek","Pickering","ON","L1V 1B5",43.829074,-79.096309,"1","Mediterranean, Restaurants, Greek"
"14",132796,"101 Bistro","Phoenix","AZ","85003",33.449799,-112.074714,"0","Greek, American (New), Restaurants, Mediterranean"
"15",180559,"Herb 'n Flavors","Tempe","AZ","85281",33.4065733395,-111.9081115723,"0","Restaurants, American (New), Mediterranean, Greek, Gluten-Free, Italian"
"16",190125,"Leena's Food","Pittsburgh","PA","15289",40.4418197,-79.9571314,"0","Halal, Vegan, Sandwiches, Vegetarian, Ethnic Food, Greek, Middle Eastern, Restaurants, Specialty Food, Mediterranean, Food"
"17",162322,"Restaurant Village Grec","Laval","QC","H7W 2H2",45.5298712,-73.7558925,"1","Restaurants, Greek"
"18",138164,"New Midway Restaurant","Mississauga","ON","L5T 2B8",43.6633367,-79.6698193,"1","Restaurants, Diners, Greek, Breakfast & Brunch"
"19",170636,"Greco Fresh Grille","Fort Mill","SC","29708",35.0473222131,-80.991676636,"1","Mediterranean, Greek, Restaurants"
"20",121469,"Maxwell's Tavern","Waxhaw","NC","28173",34.9246135,-80.7430295,"1","Greek, Southern, American (Traditional), Restaurants"
"21",59985,"Estiatorio Yia Sou!","Montréal","QC","H3X 1V1",45.4824558,-73.6302635,"1","Mediterranean, Restaurants, Greek"
"22",79033,"Tasso Bar a Mezze","Montréal","QC","H2W 2M4",45.519507,-73.5730557,"0","Seafood, Greek, Food, Restaurants, Tapas Bars"
"23",152703,"Greek House","Newmarket","ON","L3Y 2R9",44.0683036432,-79.4292091502,"1","Imported Food, Specialty Food, Greek, Food, Restaurants, Ethnic Food"
"24",3465,"The Simple Greek","Pittsburgh","PA","15222",40.4411266,-80.0025216,"1","Greek, Restaurants"
"25",63144,"Bangkok Thai Restaurant","Stow","OH","44224",41.1673719905,-81.4399877563,"1","Asian Fusion, Chinese, Restaurants, Thai, Greek, Cambodian"
"26",95164,"My Big Fat Greek Express","Tempe","AZ","85283",33.3782241,-111.936102,"0","Greek, Restaurants"
"27",25436,"Soulas Modern Greek Cuisine","Toronto","ON","M4K 1P6",43.6782533847,-79.3488195911,"1","Greek, Restaurants"
"28",143398,"Casa Grecque","Dollard-des-Ormeaux","QC","H9G 1X2",45.474503,-73.835546,"1","Greek, Restaurants, Seafood, Barbeque"
"29",86056,"Landmark Diner Restaurant","Charlotte","NC","28205",35.2139396,-80.7694598,"1","Mediterranean, Italian, Restaurants, Greek, Breakfast & Brunch, Diners"
"30",37048,"Kalyvia On the Danforth","Toronto","ON","M4K 1P3",43.6777591,-79.3509223,"1","Greek, Mediterranean, Restaurants"
"31",82187,"Nick's Restaurant","Madison","WI","53703",43.0749558,-89.389168,"1","Mediterranean, Bars, Diners, Restaurants, Nightlife, Greek"
"32",24475,"Zoes Kitchen","Chandler","AZ","85226",33.3179531038,-111.9671074491,"1","Restaurants, Kebab, Greek, American (New), Mediterranean, Southern, Sandwiches"
"33",87088,"Rock Hill Diner","Rock Hill","SC","29732",34.9662888,-80.9961289,"1","Breakfast & Brunch, American (Traditional), Diners, Greek, Restaurants, Seafood"
"34",88871,"Kyklos Greek Cafe","Henderson","NV","89014",36.0677813671,-115.0415401663,"1","Restaurants, Mediterranean, Greek, Vegetarian"
"35",11952,"Peño Mediterranean Grill","Charlotte","NC","28262",35.3374379,-80.7570791,"1","Restaurants, Greek, Mediterranean"
"36",152652,"Mickele's Bistro","Etobicoke","ON","M9C 5K5",43.6532211,-79.6007767,"0","Greek, Italian, Pizza, Mediterranean, Restaurants"
"37",117986,"It's Greek To Me","Pittsburgh","PA","15226",40.3919796,-80.0173011,"0","Restaurants, Greek"
"38",104475,"Greek Stop","Markham","ON","L3R 0B5",43.857985,-79.331777,"1","Greek, Restaurants"
"39",90532,"Zante Bistro","Toronto","ON","M4E 2B1",43.680955053,-79.3104485795,"0","Greek, Mediterranean, Restaurants"
