"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",187859,"Marché Méli-Mélo","Montréal","QC","H2P 1V7",45.5447305591,-73.6275914858,"1","Restaurants, Haitian, Convenience Stores, Food, Ethnic Food, Caribbean, Cajun/Creole, Imported Food, Specialty Food, Delicatessen"
"2",76997,"Ange Ricky","Montréal","QC","H2P 1T4",45.5406715,-73.6305108,"0","Restaurants, Haitian, Caribbean"
"3",27329,"Ti-Mama","Verdun","QC","H4G 1N1",45.4571558,-73.571723,"0","Caribbean, Restaurants, Haitian"
"4",172336,"Tassot Créole","Laval","QC","H7M 4M2",45.610642,-73.735443,"1","Haitian, Restaurants, Caribbean"
"5",121916,"Bienvenue Chez Fusion","Montréal","QC","H4G 1N1",45.4571558,-73.571723,"1","Caribbean, Cajun/Creole, Haitian, African, Restaurants"
"6",74011,"Tropical Delights","Charlotte","NC","28262",35.3121668,-80.7450891,"0","Haitian, Caribbean, Puerto Rican, Dominican, Restaurants"
"7",163447,"Casse-Croûte Sissi & Paul","Montréal","QC","H2A 1T6",45.553933,-73.602052,"1","Caribbean, Restaurants, Haitian"
"8",191421,"Steve Anna","Montréal","QC","H1X 1A1",45.557919,-73.5931674,"1","Haitian, Restaurants, Caribbean"
"9",116089,"Kwizinn Resto-Bar Créole","Montréal","QC","H2S 2M3",45.537362,-73.606202,"1","Caribbean, Haitian, Restaurants, Cajun/Creole"
"10",10391,"Casserole Kréole","Montreal-Nord","QC","H1H 1V4",45.5968355,-73.6307483,"1","Caribbean, Haitian, Restaurants"
"11",109009,"La Creole","Toronto","ON","M6C 1B6",43.6808858,-79.4303072,"0","Cajun/Creole, Arts & Entertainment, Event Planning & Services, French, Music Venues, Restaurants, Haitian, Nightlife, Caterers, Party & Event Planning, Caribbean"
"12",79598,"Agrikol","Montréal","QC","H2L 3L6",45.5197118,-73.5621687,"1","Caribbean, Restaurants, Haitian, Cocktail Bars, Nightlife, Bars"
"13",101917,"Le Fils à Maman","Laval","QC","H7G 2B7",45.5719939,-73.689915,"1","Restaurants, Haitian, Caribbean"
