"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",102449,"China AAA","Henderson","NV","89052",35.99822,-115.102246,"1","Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food"
"2",33495,"Big Tuna Poké Bar","Toronto","ON","M6G 1K5",43.6646035,-79.4129342,"0","Poke, Asian Fusion, Food, Restaurants, Hawaiian, Japanese"
"3",170505,"Lomi Poki","Scottsdale","AZ","85260",33.6268709,-111.8931338,"1","Food, Hawaiian, Salad, Restaurants, Seafood, Sushi Bars, Asian Fusion, Poke"
"4",155221,"Roy's Restaurant","Las Vegas","NV","89119",36.1151569,-115.14971,"0","Seafood, Restaurants, Sushi Bars, Hawaiian, Steakhouses, Asian Fusion"
"5",125537,"House of Aloha","Las Vegas","NV","89130",36.243284399,-115.2352181696,"0","Hawaiian, Restaurants"
"6",180127,"Honi Honi","Montréal","QC","H4G 1W8",45.4587111,-73.5675442,"1","Restaurants, Hawaiian"
"7",42544,"Roy's Restaurant","Las Vegas","NV","89117",36.158503,-115.285177,"0","Asian Fusion, Restaurants, Hawaiian"
"8",129872,"Kauai Cafe","Las Vegas","NV","89147",36.10048,-115.31433,"0","Hawaiian, Restaurants"
"9",175469,"Da Valley Grill","Phoenix","AZ","85027",33.6839914013,-112.104022082,"1","Asian Fusion, Hawaiian, Restaurants"
"10",3915,"Teriyaki Madness","Las Vegas","NV","89169",36.1075332165,-115.1530606168,"1","Hawaiian, Japanese, Asian Fusion, Restaurants"
"11",35706,"808 Island Craves","Henderson","NV","89015",36.062976781,-114.9551010132,"0","Restaurants, Specialty Food, Desserts, Seafood Markets, Food, Hawaiian"
"12",183995,"Le Poke Shop","Montréal","QC","H3W 3C2",45.484839,-73.630869,"1","Hawaiian, Restaurants, Japanese, Poke, Food"
"13",3634,"Island Style 2","Las Vegas","NV","89146",36.1269755434,-115.2414607999,"1","Korean, Asian Fusion, Restaurants, Hawaiian"
"14",190583,"Island Style Restaurant","Las Vegas","NV","89102",36.1440350372,-115.1933891745,"1","Restaurants, Japanese, Hawaiian, Korean, Asian Fusion"
"15",116750,"Poke Maki","Glendale","AZ","85308",33.6391591,-112.1901999,"1","Food, Poke, Hawaiian, Restaurants, Food Trucks, Sushi Bars"
"16",8188,"Mom's Teriyaki","Las Vegas","NV","89146",36.1433289011,-115.2254093438,"1","Japanese, Restaurants, Hawaiian, Asian Fusion"
"17",112722,"Poke Express","Las Vegas","NV","89123",36.018156,-115.117786,"0","Specialty Food, Sandwiches, Poke, Breakfast & Brunch, Ethnic Food, Hawaiian, Restaurants, Food"
