"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",124559,"Borobudur Resto Indonesian Food","Calgary","AB","T2G 1R7",51.0300903,-114.0354355,"1","Restaurants, Asian Fusion, Indonesian"
"2",170068,"Gypsy","Montréal","QC","H2J 2H2",45.522853,-73.577077,"1","Indonesian, Restaurants"
"3",29418,"Lion City Restaurant","Mississauga","ON","L5C 4P3",43.5670258133,-79.6595937386,"1","Indonesian, Singaporean, Restaurants, Malaysian, Thai"
"4",45395,"Gado Gado Indonesian Cuisine","Montréal","QC","H3G 2H5",45.495379,-73.576272,"0","Restaurants, Indonesian"
"5",30711,"Indonesian Kitchen","Calgary","AB","T2A 0S5",51.0374795,-113.9775749,"1","Seafood, Halal, Asian Fusion, Restaurants, Indonesian"
"6",17057,"Satay Hut","Phoenix","AZ","",33.4483771,-112.0740373,"1","Food Trucks, Indonesian, Food, Asian Fusion, Restaurants"
"7",71523,"Warung Kampung","Toronto","ON","M1J 2G2",43.7423310046,-79.2223531008,"0","Food Stands, Indonesian, Restaurants"
"8",123683,"MIA Tapas Indonésiens","Montréal","QC","H2R 1P8",45.5384967,-73.6175869,"1","Breakfast & Brunch, Tapas/Small Plates, Indonesian, Restaurants"
"9",43372,"Bandung Indonesian Restaurant","Madison","WI","53703",43.076604,-89.3745656,"1","Seafood, Indonesian, Asian Fusion, Thai, Restaurants, Vegetarian"
"10",58768,"Satay Sate","Toronto","ON","M2J 0E9",43.7701517,-79.3326077,"1","Restaurants, Indonesian"
"11",23807,"Satay Mama","Markham","ON","L3R 0M3",43.8539142,-79.3381945,"1","Asian Fusion, Seafood, Malaysian, Japanese, Indonesian, Restaurants"
"12",81420,"Ohiyo 68 Asian Cuisine","Independence","OH","44131",41.385197,-81.639656,"0","Japanese, Sushi Bars, Chicken Wings, Restaurants, Indonesian, Asian Fusion"
"13",167051,"Warung Indonesia D'Eglinton","Toronto","ON","M4P",43.7107979,-79.3991937,"0","Indonesian, Restaurants"
"14",59677,"Calasan","Madison","WI","53717",43.076105,-89.5186896,"0","Indonesian, Restaurants"
"15",76397,"Satay Brothers","Montréal","QC","H4C 2H6",45.4794723,-73.5768225,"1","Indonesian, American (New), Canadian (New), Asian Fusion, Restaurants, Singaporean, Malaysian"
"16",110077,"Nonya","Montréal","QC","H2T 2K3",45.5254798,-73.6040783,"1","Restaurants, Indonesian, Tapas/Small Plates, Vegetarian, Seafood, Vegan"
"17",42466,"Satay Brothers","Montréal","QC","H4C 1P8",45.4792794164,-73.5816477612,"1","Malaysian, Indonesian, Restaurants, Singaporean, Asian Fusion, Canadian (New)"
"18",148471,"Satay Sate","Toronto","ON","M2N 5P2",43.7668728,-79.4119567,"1","Indonesian, Restaurants"
"19",38177,"Kusuka Indonesian Cuisine","North Huntingdon","PA","15642",40.3426865,-79.7607816,"0","Indonesian, Restaurants"
"20",66000,"Gourmet Malaysia","Scarborough","ON","M1S 1V2",43.7885129161,-79.2665494794,"1","Restaurants, Indonesian, Singaporean, Halal, Malaysian"
"21",8949,"Bar Bataviato","Toronto","ON","M4S 2A2",43.7015792,-79.3969905,"1","Restaurants, Bars, Cocktail Bars, Indonesian, Nightlife"
"22",70251,"Souvenirs d'Indochine","Montréal","QC","H2T 2T2",45.5177116,-73.5887789,"0","Canadian (New), Restaurants, Indonesian"
"23",183549,"Kakilima Food Cart","Madison","WI","53703",43.0753917,-89.3989853,"1","Food, Restaurants, Food Trucks, Indonesian"
