"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",87979,"Sully's Irish Pub","Medina","OH","44256",41.1393615,-81.8647896,"1","Nightlife, Bars, Restaurants, Irish, Pubs"
"2",182686,"Fionn MacCool's Irish Pub","Brampton","ON","L6Y 5L8",43.658148,-79.723291,"1","Pubs, Nightlife, Beer, Wine & Spirits, Food, Irish Pub, Restaurants, Gastropubs, Bars"
"3",167421,"Scruffy Murphy's Irish Pub","Toronto","ON","M4P 1E8",43.708009,-79.393628,"0","Nightlife, Restaurants, Pubs, Performing Arts, Irish Pub, Irish, Arts & Entertainment, Cajun/Creole, Bars"
"4",41254,"Parnell's Irish Pub","Cleveland","OH","44115",41.5024757478,-81.683625942,"1","Irish, Irish Pub, Bars, Restaurants, Pubs, Nightlife"
"5",102154,"Tyber Creek Pub","Charlotte","NC","28203",35.2099102,-80.8593356,"1","Irish Pub, Bars, British, Pubs, Burgers, Restaurants, Sandwiches, Irish, American (New), Nightlife"
"6",119031,"Le Trèfle","Montréal","QC","H4G 1X3",45.457592,-73.56729,"1","Restaurants, Nightlife, Bars, Pubs, Irish Pub, Irish"
"7",131626,"Molly MacPherson's Scottish Pubs & Grill","Charlotte","NC","28202",35.2283649,-80.842652,"0","Scottish, Nightlife, Restaurants, Irish, Pubs, Bars"
"8",169589,"Johnny J's Pub & Grille","Medina","OH","44256",41.150824802,-81.8644467325,"1","Nightlife, Pubs, Bars, Irish, Restaurants, Sports Bars"
"9",4702,"Muckish Irish Pub","Toronto","ON","M1L 4B2",43.7200413,-79.284063,"1","Irish Pub, Beer, Wine & Spirits, Pubs, Food, American (New), Bars, Irish, Nightlife, Restaurants, Canadian (New)"
"10",30528,"St James's Gate Toronto","Toronto","ON","M9A 1C2",43.6439152,-79.5336798,"1","Irish, Restaurants, Pubs, Food, Beer, Wine & Spirits, Nightlife, Bars"
"11",146439,"Hooley House Sports Pub & Grille","Westlake","OH","44145",41.474893,-81.896429,"1","Irish, Arts & Entertainment, Sports Bars, Restaurants, Bars, Nightlife, Music Venues"
"12",139531,"The Belfast Lounge","Mississauga","ON","L4W 4G1",43.6398192,-79.6253481,"0","Restaurants, Nightlife, Irish, Pubs, Bars"
"13",15054,"Ye Olde Orchard Pub & Grill","Saint-Sauveur","QC","J0R 1R0",45.89652,-74.1545896,"1","Irish Pub, Restaurants, Pubs, Bars, Sports Bars, Irish, Nightlife"
"14",86504,"Fibber Magees","Chandler","AZ","85224",33.348885,-111.874809,"1","Irish, Local Flavor, Restaurants, Bars, Irish Pub, Nightlife, Pubs"
"15",27912,"Duke and Devines","Beaconsfield","QC","H9W 4C3",45.419878,-73.88143,"1","Bars, Pubs, Irish Pub, Nightlife, Restaurants, Irish"
"16",19646,"McFadden's Saloon","Pittsburgh","PA","15212",40.4464586,-80.00777,"1","Restaurants, Irish, Arts & Entertainment, Bars, American (Traditional), Nightlife"
"17",93290,"Seanachie Irish Pub","Calgary","AB","T3H 3P8",51.017772596,-114.1738476202,"1","Irish Pub, Nightlife, Bars, American (Traditional), Restaurants, Pubs, Sports Bars, Irish"
"18",71809,"The Unicorn Restaurant & Pub","Grafton","OH","44044",41.28497,-82.0645052,"1","Seafood, Restaurants, Steakhouses, Nightlife, Bars, Irish Pub"
"19",119215,"Hurley's Irish Pub","Montréal","QC","H3G 2B1",45.4968584315,-73.5746447806,"1","Irish, Restaurants, Irish Pub, Nightlife, Pubs, Bars"
