"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",19533,"Buk Chang Dong Soon Tofu","Mississauga","ON","L5A",43.582262,-79.618858,"1","Restaurants, Korean"
"2",145384,"Served","Henderson","NV","89012",36.0107451,-115.0648029,"1","Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
"3",133846,"Kimchi House","Toronto","ON","M6G 1K4",43.6649582,-79.4127496,"1","Restaurants, Korean"
"4",121816,"Jun's Korean Restaurant","Las Vegas","NV","89123",36.029295364,-115.1158845155,"1","Korean, Restaurants"
"5",88325,"Jiep Jiep","Montréal","QC","H2R 2W9",45.533148,-73.619872,"1","Asian Fusion, Restaurants, Japanese, Pan Asian, Korean"
"6",145985,"Greenland Supermarket","Las Vegas","NV","89146",36.127061,-115.241457,"1","Ethical Grocery, Grocery, Shopping, Food Stands, Food, Korean, Restaurants"
"7",81529,"New Seoul Korean","Madison","WI","53717",43.0756462,-89.5175603,"1","Restaurants, Korean"
"8",47616,"Asiana Kitchen Tofu & Grill","Mesa","AZ","85202",33.3940119,-111.8729745,"1","Restaurants, Korean"
"9",5082,"Malado Sushi","Toronto","ON","M9M 2E7",43.7498162,-79.5493678,"1","Restaurants, Sushi Bars, Korean, Japanese"
"10",181507,"YasikNara","Las Vegas","NV","89102",36.1258783,-115.203633,"1","Soup, Nightlife, Bars, Korean, Restaurants"
"11",145149,"Dear & Fro","Toronto","ON","M1V",43.8067504,-79.2888581,"1","Ice Cream & Frozen Yogurt, Food, Restaurants, Cafes, Desserts, Korean"
"12",176617,"Seoul House","Thornhill","ON","L4J 2L1",43.7967303,-79.4264179,"1","Restaurants, Korean, Japanese, Barbeque, Chinese"
"13",129086,"Huh Ga Ne","Toronto","ON","M2N 7K4",43.7791694,-79.4172467,"1","Restaurants, Korean"
"14",71096,"Beach Sushi House","Toronto","ON","M4E 1E9",43.672626,-79.2880939,"0","Japanese, Korean, Restaurants"
"15",189440,"Buldogis Gourmet Hot Dogs","Las Vegas","NV","89117",36.1470835,-115.2982993,"1","Korean, Restaurants, Asian Fusion, Chicken Wings, Hot Dogs"
"16",173947,"Jun's Korean","North Las Vegas","NV","89032",36.2389994,-115.1467185,"1","Restaurants, Korean"
"17",156529,"Little Piggy's","Toronto","ON","M5S 1X9",43.6659576268,-79.4067151693,"1","Korean, Barbeque, Restaurants"
"18",81878,"Mon Ami - Brossard","Brossard","QC","J4Z 3H1",45.477253,-73.447508,"1","Buffets, Barbeque, Korean, Restaurants"
"19",135639,"Hibi","Saint-Laurent","QC","H4R 1K4",45.5198942059,-73.7020041794,"1","Barbeque, Korean, Restaurants"
"20",132004,"Sunny Kitchen","Las Vegas","NV","89183",36.0118343,-115.1530647,"1","Restaurants, Japanese, Korean"
"21",14280,"Cafe Bene","North York","ON","M2N 5S1",43.7783805,-79.4147773,"1","Food, Desserts, Restaurants, Coffee & Tea, Korean"
"22",158643,"Asahi Sushi","Toronto","ON","M4W 3T5",43.6699469,-79.3829001,"1","Korean, Japanese, Restaurants, Sushi Bars"
"23",61616,"Nolbu","Toronto","ON","M2N 1R3",43.7629644,-79.4119734,"1","Ethnic Food, Sushi Bars, Restaurants, Specialty Food, Food, Korean"
"24",79212,"J.K. Sushi","Phoenix","AZ","85022",33.639101,-112.0630967,"1","Japanese, Korean, Sushi Bars, Restaurants"
"25",32435,"Four Seasons Noodle Soup and Shabu-Shabu","Richmond Hill","ON","L4C 2Y1",43.8856322611,-79.4403560087,"0","Korean, Restaurants"
"26",83888,"Seoul Taco","Champaign","IL","61820",40.110832,-88.2301846,"1","Soul Food, Mexican, Asian Fusion, Korean, Food Trucks, Restaurants, Food"
"27",34886,"Yuki Japanese & Korean Restaurant","North York","ON","M6A 2T2",43.7206501,-79.455697,"1","Japanese, Korean, Restaurants"
"28",83821,"Woo Chun Korean BBQ","Las Vegas","NV","89109",36.1436636,-115.1418906,"0","Restaurants, Korean"
"29",91506,"Yupdduk","Toronto","ON","M2N",43.7793264,-79.4175692,"1","Imported Food, Food, Korean, Restaurants, Ethnic Food, Specialty Food"
"30",101327,"UmJi","Toronto","ON","M1T 3J7",43.7766273,-79.3171808,"0","Barbeque, Buffets, Korean, Restaurants"
"31",22487,"Cafe Hesed","Newmarket","ON","L3Y 3Z4",44.0519496,-79.4563833,"1","Sandwiches, Korean, Coffee & Tea, Food, Restaurants"
"32",119115,"Han Corea","Calgary","AB","T2H 0T2",50.9922103882,-114.0600128174,"1","Food, Korean, Restaurants"
"33",116732,"Haroo","Toronto","ON","M2M 3V7",43.787427,-79.4170912,"0","Restaurants, Korean, Barbeque"
"34",30675,"Red Gate Wok","Las Vegas","NV","89146",36.1263808965,-115.2416794466,"0","Chinese, Korean, Restaurants"
"35",113448,"Go Topoki","Toronto","ON","M2N 7A1",43.7748838435,-79.4140006774,"1","Korean, Restaurants, Specialty Food, Desserts, Food"
"36",2405,"Mon Ami Express","Montréal","QC","H3W 2R5",45.493481,-73.635202,"1","Chicken Shop, Restaurants, Korean, Asian Fusion"
"37",3634,"Island Style 2","Las Vegas","NV","89146",36.1269755434,-115.2414607999,"1","Korean, Asian Fusion, Restaurants, Hawaiian"
"38",132800,"Gal's Sushi","Markham","ON","L3R 0G6",43.8542018307,-79.3372418359,"1","Sushi Bars, Korean, Restaurants, Japanese"
"39",190583,"Island Style Restaurant","Las Vegas","NV","89102",36.1440350372,-115.1933891745,"1","Restaurants, Japanese, Hawaiian, Korean, Asian Fusion"
"40",89171,"Sinchon Food","North York","ON","M2M 2E3",43.7902933,-79.3931787,"0","Korean, Restaurants"
"41",86308,"SanToki Korean BBQ & Shabu Bar","Las Vegas","NV","89169",36.1088013,-115.152093,"0","Korean, Restaurants, Barbeque"
"42",95068,"Korean Delicious Restaurant","Las Vegas","NV","89146",36.126211,-115.209584,"0","Korean, Restaurants"
"43",19919,"Tsuki Izakaya","Richmond Hill","ON","L4B 3B4",43.8473508,-79.3762452,"1","Korean, Japanese, Restaurants"
"44",16245,"Kim Chi","Mont-Royal","QC","H3P 3E9",45.52849,-73.647797,"1","Korean, Restaurants"
"45",54372,"Shilla Korean BBQ","Las Vegas","NV","89102",36.1438599,-115.178936,"0","Barbeque, Japanese, Vietnamese, Restaurants, Korean"
"46",35016,"Camto Restaurant","Toronto","ON","M6G 1L4",43.6639602,-79.4173785,"0","Korean, American (New), Restaurants"
"47",115941,"Lee's Korean BBQ","Las Vegas","NV","89146",36.1267945039,-115.2410376816,"1","Local Services, Korean, Restaurants"
"48",95249,"Bowl Tique Avenue","Las Vegas","NV","89147",36.1154018,-115.2806748,"0","Korean, Restaurants, Noodles, Salad, Asian Fusion"
"49",52069,"The O Bar","Toronto","ON","M6G 1L5",43.6638646,-79.4179249,"0","Korean, Restaurants"
"50",30695,"Chicken Monster","Toronto","ON","M2N 5S3",43.7783035425,-79.414961189,"1","Korean, Restaurants"
"51",39881,"Club House Family Restaurant & Lounge","Calgary","AB","T3B 0N3",51.0736135,-114.1649073,"0","Korean, Restaurants, Nightlife"
"52",76828,"Korean Grill House","Toronto","ON","M5B 1S1",43.6585068,-79.3814547,"0","Restaurants, Korean"
"53",104734,"Yum Yum BBQ","Las Vegas","NV","89183",36.0130882,-115.1530086,"0","Japanese, Hawaiian, Korean, Restaurants, Sushi Bars"
"54",132752,"Woo Che","Las Vegas","NV","89102",36.1261038,-115.2054322,"0","Barbeque, Buffets, Restaurants, Korean"
"55",43371,"Cafe Bora","Toronto","ON","M5R 1B9",43.6706858,-79.391561,"1","Desserts, Korean, Restaurants, Food, Ice Cream & Frozen Yogurt"
"56",61410,"Buk Chang Dong Soon Tofu","Richmond Hill","ON","L4B 1Y3",43.8503381,-79.4079651,"1","Soup, Restaurants, Korean"
"57",29680,"Red Kimchi Korean Restaurant","Scottsdale","AZ","85257",33.4643735,-111.9275459,"1","Food, Restaurants, Juice Bars & Smoothies, Korean"
"58",187287,"Hiya Food Truck","Charlotte","NC","28269",35.2263905,-80.8559848,"1","Street Vendors, Food Trucks, Food, Korean, Restaurants"
"59",7457,"San Dong Banjeom","Calgary","AB","T3E 6V7",51.0297183,-114.1417858,"1","Restaurants, Korean"
"60",65124,"Q Bistro","Las Vegas","NV","89146",36.1273969,-115.2240685,"1","American (New), Nightlife, Korean, Bars, Barbeque, Chicken Wings, Restaurants, Asian Fusion, Pizza, Soup"
"61",119070,"702 Karaoke","Las Vegas","NV","89102",36.1268216,-115.196836,"1","Restaurants, Korean, Karaoke, Nightlife"
"62",186502,"Wow Korean Restaurant","Vaughan","ON","L4J 1V7",43.7989185,-79.4213717,"1","Fast Food, Korean, Restaurants"
"63",59737,"Red Bean Waffle House","Vaughan","ON","L4J 7Y1",43.7979636,-79.4250025,"1","Coffee & Tea, Food, Bakeries, Korean, Desserts, Restaurants, Waffles"
"64",171549,"Buldogis Eatery","Las Vegas","NV","89103",36.1002959743,-115.2266693115,"0","Restaurants, Korean, Burgers, Hot Dogs"
"65",40962,"Hansik Korea","Toronto","ON","M3J 2C9",43.7687378377,-79.4696001336,"1","Korean, Seafood, Barbeque, Restaurants"
"66",192172,"Resto Les Saisons de Corée","Montréal","QC","H3G 2M5",45.4957059,-73.5748946,"1","Restaurants, Korean"
"67",483,"Samdae Korean BBQ","Las Vegas","NV","89103",36.1160823641,-115.2255387604,"0","Food, Barbeque, Juice Bars & Smoothies, Restaurants, Korean"
"68",1235,"Jangwon","Richmond Hill","ON","L4B 3Z1",43.8434746,-79.3876864,"0","Korean, Restaurants"
"69",15367,"Manna Korean BBQ","Las Vegas","NV","89146",36.1586808,-115.2367199,"1","Korean, Restaurants, Soul Food, Bubble Tea, Barbeque, Food"
"70",29979,"Zenbu","Airdrie","AB","T4B",51.2918972,-114.0243086,"1","Korean, Japanese, Sushi Bars, Restaurants"
"71",76662,"Elephant Bar Restaurant","Peoria","AZ","85382",33.6340691,-112.2353196,"0","Nightlife, Asian Fusion, Bars, Restaurants, American (New), Korean"
"72",156705,"The Fry","Toronto","ON","M2M 3V9",43.7889140388,-79.4183313847,"1","Bars, Nightlife, Pubs, Korean, Restaurants"
"73",47465,"Cheers Chicken & Beers","Toronto","ON","M2N 7K4",43.7792257255,-79.4173240849,"1","Restaurants, Korean"
"74",129087,"Jung Soo Ne","Vaughan","ON","L4J 6X2",43.7960823,-79.4339068,"1","Korean, Restaurants"
"75",87452,"Barrio Coreano","Toronto","ON","M6G 1K9",43.6645245,-79.4150668,"1","Korean, Restaurants, Mexican"
"76",42614,"Mirak","Las Vegas","NV","89146",36.1268108556,-115.2416182682,"0","Restaurants, Asian Fusion, Korean, Food Court"
"77",153013,"Ho-Shim Japanese & Korean Restaurant & Take Out","Toronto","ON","M5X",43.6486362,-79.3817439,"0","Japanese, Restaurants, Korean"
"78",20,"Apkujung Restaurant","North York","ON","M2M 3X7",43.7957727,-79.4190902,"1","Korean, Restaurants"
"79",160877,"Jung Soo Nae Restaurant","North York","ON","M2M 3T6",43.7833387,-79.4168637,"1","Restaurants, Korean"
"80",15484,"Dani Sushi Japanese & Korean Restaurant","Toronto","ON","M8W 1N2",43.5954378212,-79.5286374939,"1","Restaurants, Korean, Japanese"
"81",7662,"Soyo Korean Barstaurant","Las Vegas","NV","89139",36.0468023773,-115.2441707253,"1","Nightlife, Korean, Barbeque, Restaurants, Bars"
"82",113343,"Shabu & Congbul","Vaughan","ON","L4J 6X3",43.7960823,-79.4339068,"1","Restaurants, Korean"
"83",185779,"Han Mi Jeong","Richmond Hill","ON","L4B 3N7",43.8663797,-79.386063,"1","Korean, Restaurants"
"84",106509,"Cho Dang Soon Tofu","Toronto","ON","M9A 1B9",43.6442389,-79.5334172,"1","Restaurants, Korean"
"85",16389,"Manna BBQ","Peoria","AZ","85382",33.6368949,-112.2339774,"1","Barbeque, Restaurants, Korean"
"86",62614,"The One Sushi","Calgary","AB","T2H 0J4",51.007827,-114.068006,"0","Korean, Sushi Bars, Restaurants, Japanese, Thai, Barbeque"
"87",127373,"Bryan's BBQ Real Korean","Toronto","ON","M6G 1K4",43.6647836,-79.4133806,"1","Korean, Hot Pot, Restaurants, Barbeque"
"88",84043,"B Korean BBQ","Toronto","ON","M5T 1G9",43.6532539109,-79.3969659135,"0","Barbeque, Korean, Restaurants"
"89",102150,"Pojangmacha Restaurant","North York","ON","M2N 5R4",43.7736511,-79.4139139,"0","Lounges, Restaurants, Korean, Nightlife, Bars, Seafood"
"90",152630,"Chez Bong","Montréal","QC","H2Z 1J4",45.5081382,-73.5596558,"1","Restaurants, Korean"
"91",85569,"Momofuku Noodle Bar","Toronto","ON","M5H 0A3",43.649678,-79.386275,"1","Ramen, Soup, Korean, Japanese, Asian Fusion, American (New), Chinese, Restaurants"
"92",82966,"Windup Bird Cafe","Toronto","ON","M5T 1S7",43.6570912,-79.405361,"0","Korean, Restaurants, Asian Fusion, Japanese, Cafes, Breakfast & Brunch"
"93",176315,"Gen Korean BBQ House","Las Vegas","NV","89146",36.1441245,-115.2108226,"1","Barbeque, Korean, Restaurants"
"94",133085,"Sushi Kee","Tempe","AZ","85284",33.334831,-111.927071,"0","Restaurants, Chinese, Korean, Sushi Bars, Japanese"
"95",41775,"Kookminhakgyo","Toronto","ON","M2M 3W2",43.788963,-79.4183573,"1","Korean, Barbeque, Restaurants"
"96",51358,"Young's Hawaiian Style Kitchen","Las Vegas","NV","89130",36.2183313,-115.2081814,"0","Restaurants, Sushi Bars, Hawaiian, Korean, Fast Food, Barbeque"
"97",43211,"Spring Rolls","Toronto","ON","M5G 2C2",43.6563391,-79.382401,"1","Thai, Korean, Sushi Bars, Chinese, Asian Fusion, Restaurants"
"98",176418,"Seoul Garden Korean","Markham","ON","L3R 9V4",43.8254466,-79.3050432,"0","Restaurants, Korean"
"99",6756,"Restaurant Hoya","Montréal","QC","H2T 1P8",45.5230871,-73.5838585,"1","Restaurants, Korean"
"100",87484,"Makkal Chon","Toronto","ON","M1R 2Z2",43.7446409,-79.296277,"1","Restaurants, Greek, Korean"
"101",173991,"Fujiyama","Charlotte","NC","28202",35.2253544,-80.8461468,"1","Seafood, Korean, Japanese, Restaurants"
"102",19135,"Doo Roo Ae","Toronto","ON","M6G 1K9",43.6640738,-79.4156109,"1","Restaurants, Korean"
