"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",78276,"Tottie's Asian Kitchen","Scottsdale","AZ","85254",33.639741,-111.9443776,"1","Laotian, Vietnamese, Chinese, Restaurants, Thai"
"2",80451,"Hà","Montréal","QC","H2T 2T2",45.5177116,-73.5887789,"1","Nightlife, Restaurants, Bars, Asian Fusion, Vietnamese, Laotian"
"3",159848,"Laos Asia Market","Las Vegas","NV","89121",36.130554,-115.10901,"1","Ethnic Grocery, International Grocery, Restaurants, Grocery, Food, Laotian"
"4",49267,"Luang Prabang","Madison","WI","53706",43.0755641,-89.3974633,"1","Food Stands, Thai, Laotian, Restaurants"
"5",170474,"Sa Bai Dee Thai Cuisine","Phoenix","AZ","85051",33.5803604126,-112.120513916,"0","Laotian, Restaurants, Ethnic Food, Specialty Food, Thai, Food"
"6",85980,"JP Food To Go","Charlotte","NC","28214",35.2432675035,-80.9382414707,"1","Food Trucks, Food, Laotian, Thai, Restaurants"
"7",66975,"Ha Long Bay","Madison","WI","53703",43.0855448,-89.3607155,"1","Thai, Restaurants, Vietnamese, Laotian"
"8",96233,"Sabai Sabai Kitchen and Bar","Toronto","ON","M4W 1A9",43.6704534404,-79.3847215949,"1","Restaurants, Vegan, Tapas/Small Plates, Laotian, Thai"
"9",172436,"Sunrise Thai Cuisine","Rock Hill","SC","29732",34.9558363,-81.0481916,"0","Laotian, Asian Fusion, Thai, Restaurants"
"10",86686,"Sticky Rice","Champaign","IL","61820",40.1194276897,-88.2438507269,"1","Noodles, Restaurants, Thai, Laotian"
"11",8472,"Smile Lao Thai","Tempe","AZ","85282",33.4059958,-111.9258616,"0","Restaurants, Laotian, Food, Thai, Desserts"
"12",21156,"Lao Thai Restaurant","Toronto","ON","M6J 3K6",43.6427919,-79.427495,"1","Laotian, Thai, Asian Fusion, Restaurants"
"13",125897,"Olay's Thai Express","Las Vegas","NV","89120",36.0794322,-115.1016447,"0","Laotian, Vegetarian, Restaurants, Thai"
"14",118453,"Bahama Breeze","Pittsburgh","PA","15205",40.4506444723,-80.1592732328,"1","Latin American, Seafood, Laotian, Caribbean, Restaurants, Nightlife, Bars"
"15",127190,"Kin Khao 25","Montréal","QC","H2T 2N6",45.5217551,-73.594198,"1","Laotian, Thai, Restaurants, Tapas/Small Plates"
"16",53633,"Thai Sep","Montréal","QC","H2E 1T6",45.5487224,-73.6061555,"1","Restaurants, Thai, Laotian"
"17",150880,"Bahama Breeze","Las Vegas","NV","89169",36.1150923353,-115.1546845794,"1","Seafood, Nightlife, Latin American, Laotian, Caribbean, Bars, Restaurants"
"18",169642,"Thai Khao San Asian Fusion","Gastonia","NC","28052",35.2397975,-81.1946647,"1","Asian Fusion, Chinese, Restaurants, Laotian, Thai"
"19",122210,"Lao Laan-Xang","Madison","WI","53704",43.0928326884,-89.3519827939,"1","Laotian, Restaurants, Thai"
"20",178417,"Sister's Oriental Market & Video","Las Vegas","NV","89101",36.1624234,-115.1258725,"1","Restaurants, Grocery, Thai, Food, Laotian"
"21",145204,"Lao Laan-Xang Restaurant","Madison","WI","53703",43.0830979,-89.3649155,"1","Vegetarian, Restaurants, Thai, Laotian"
"22",81191,"Bahama Breeze","Beachwood","OH","44122",41.4554605666,-81.4896052103,"1","Latin American, Laotian, Seafood, American (New), Bars, Restaurants, Nightlife, Caribbean"
"23",161352,"Pho Daravan Restaurant","Charlotte","NC","28213",35.2562941,-80.7911635,"0","Laotian, Vietnamese, Restaurants"
