"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",63384,"La Flor De Calabaza","Phoenix","AZ","85004",33.4559491,-112.072089,"1","Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants"
"2",80781,"Bomberos Cafe & Wine Bar","Phoenix","AZ","85020",33.5650982,-112.0737503,"0","Nightlife, Latin American, Wine Bars, Restaurants, Bars, Lounges"
"3",184443,"Tacos Chiwas","Phoenix","AZ","85006",33.465551,-112.0401151,"1","Restaurants, Latin American, Mexican, Tacos"
"4",156595,"Bahía Centroamerica Restaurant","Las Vegas","NV","89146",36.159578,-115.208656,"1","Honduran, Salvadoran, Nicaraguan, Mexican, Latin American, Restaurants"
"5",187969,"Mi Peru South American Grill","Henderson","NV","89012",36.0230899638,-115.0489987523,"1","Restaurants, American (Traditional), Spanish, Latin American, Peruvian"
"6",8890,"Sabor Latin Street Grill - Davidson","Davidson","NC","28036",35.5017212,-80.8610002,"1","Mexican, Restaurants, Venezuelan, Latin American"
"7",65464,"The Boulevard Cafe","Toronto","ON","M5S 1H1",43.6619075,-79.4068878,"0","Breakfast & Brunch, Cafes, Latin American, Event Planning & Services, Restaurants, Peruvian, Caterers"
"8",166485,"Fuego Tacos","Phoenix","AZ","85016",33.5085330166,-112.0290667251,"0","Restaurants, Latin American"
"9",120506,"Makers & Finders Coffee","Las Vegas","NV","89135",36.1486981,-115.3331133,"1","Food, Coffee & Tea, Breakfast & Brunch, Latin American, Restaurants"
"10",81596,"Arepa Market","Toronto","ON","M5T 2L6",43.654787,-79.4021369,"0","Gluten-Free, Latin American, Sandwiches, Restaurants"
"11",160663,"El Buen Gusto","Las Vegas","NV","89101",36.1882094,-115.1165816,"1","Latin American, Restaurants, Salvadoran, Mexican"
"12",65908,"El Carbonero","Phoenix","AZ","85017",33.4951679345,-112.1182567355,"1","Salvadoran, Latin American, Restaurants"
"13",176626,"Lula Lounge","Toronto","ON","M6K 1T9",43.6497277,-79.4345802,"1","Event Planning & Services, Breakfast & Brunch, Dance Clubs, Restaurants, Music Venues, Nightlife, Latin American, Arts & Entertainment, Venues & Event Spaces"
"14",144230,"Rincon De Buenos Aires","Las Vegas","NV","89146",36.126315,-115.214259,"1","Argentine, Delis, Specialty Food, Ethnic Food, Italian, Restaurants, Food, Latin American, Grocery, Steakhouses"
"15",188504,"Arepiando","North York","ON","M6B 3S7",43.7078094,-79.4536285,"0","Latin American, Restaurants"
"16",25817,"Kage Restobar","Mississauga","ON","L5B 3B9",43.5809503862,-79.617787999,"1","Japanese, Restaurants, Asian Fusion, Bars, Nightlife, Tapas Bars, Latin American, Cocktail Bars"
