"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",129696,"Boustan","Kirkland","QC","H9H 3C3",45.459048,-73.866167,"1","Middle Eastern, Lebanese, Restaurants"
"2",123650,"Pita Gourmet","Montréal","QC","H2S 1Z4",45.5322357611,-73.5975787416,"1","Restaurants, Turkish, Greek, Middle Eastern, Mediterranean, Lebanese, Kebab, Sandwiches"
"3",153384,"Arousse","Sainte-Thérèse","QC","J7E 1W9",45.6397087,-73.8418121,"0","Restaurants, French, Middle Eastern, Lebanese"
"4",160080,"Restaurant Shish-Kebab","Montréal","QC","H4N 3H1",45.533408,-73.658515,"1","Restaurants, Middle Eastern, Lebanese"
"5",133869,"Cedar Land","Charlotte","NC","28205",35.211861,-80.761811,"1","Restaurants, Greek, Lebanese, Specialty Food, Middle Eastern, Ethnic Food, Food, Mediterranean, Grocery"
"6",75163,"Shawarma Boys","Toronto","ON","M4K 3S7",43.6793101098,-79.3448318169,"1","Lebanese, Greek, Middle Eastern, Restaurants"
"7",145812,"Paramount Fine Foods","Toronto","ON","M5R 2A7",43.6706282,-79.3903515,"1","Lebanese, Restaurants, Middle Eastern"
"8",182467,"Shawarma Grill Xpress","Toronto","ON","M8Z 1R8",43.6216183124,-79.5225061194,"1","Restaurants, Lebanese, Fast Food, Middle Eastern"
"9",131645,"Oasis Cafe","Scottsdale","AZ","85251",33.5017293,-111.9233567,"1","Mediterranean, Lebanese, Middle Eastern, Restaurants, Bars, Hookah Bars, Nightlife"
"10",181445,"Pita Stop","Calgary","AB","T2W 0K1",50.9607187,-114.1052556,"1","Falafel, Mediterranean, Middle Eastern, Donairs, Lebanese, Restaurants, Food"
"11",8514,"Shawarma King","Calgary","AB","T2N 3R1",51.0524,-114.093864,"1","Donairs, Food, Restaurants, Halal, Caterers, Middle Eastern, Lebanese, Mediterranean, Event Planning & Services"
"12",23520,"Zyara","Brossard","QC","J4Y 0L2",45.4467253702,-73.4373557665,"1","Nightlife, Lebanese, Lounges, Restaurants, Bars, Middle Eastern"
"13",89113,"Sittoo's Pita & Salad","North Olmsted","OH","44070",41.4253082,-81.8979079,"1","Sandwiches, Restaurants, Mediterranean, Vegetarian, Salad, Lebanese, Middle Eastern"
"14",57767,"Altaïb","Montréal","QC","H3G 2J1",45.4965332,-73.5791187,"1","Lebanese, Pizza, Restaurants, Middle Eastern"
"15",187804,"Joe's Deli","Rocky River","OH","44116",41.4711936929,-81.8358972759,"1","Lebanese, American (Traditional), Delis, Restaurants, Middle Eastern, American (New)"
"16",130994,"Taza - A Lebanese Grill","Woodmere","OH","44122",41.463026,-81.477387,"1","Food, Mediterranean, Desserts, Salad, Lebanese, Middle Eastern, Vegetarian, Restaurants"
"17",20830,"Beirut Street Food","Calgary","AB","T2H 0X7",50.9885255785,-114.0633053397,"1","Mediterranean, Falafel, Lebanese, Donairs, Food, Restaurants, Middle Eastern"
"18",140592,"Basha - Des Sources","Dollard-des-Ormeaux","QC","H9B 1Z8",45.4840219594,-73.7955109456,"1","Indian, Lebanese, Middle Eastern, Restaurants, Pakistani"
"19",36913,"Aux Lilas","Montréal","QC","H2V 4H1",45.5222102,-73.6028603,"1","Event Planning & Services, Middle Eastern, Restaurants, Mediterranean, Vegetarian, Lebanese, Caterers"
"20",189167,"Zeitouni Grill","Charlotte","NC","28277",35.0686131,-80.8425752,"1","Middle Eastern, Lebanese, Restaurants, Mediterranean"
