"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",12089,"Pacific East","Solon","OH","44139",41.3860677,-81.4446929,"0","Food, Malaysian, Restaurants, Japanese"
"2",153206,"Malaysia Grill","Markham","ON","L3P",43.8748998,-79.2591737,"0","Asian Fusion, Thai, Restaurants, Malaysian"
"3",18021,"Cuisine Malaya","Charlotte","NC","28204",35.2154777,-80.8285213,"0","Asian Fusion, Restaurants, Vegetarian, Malaysian, Sushi Bars"
"4",133648,"Real Thai On","Toronto","ON","M9N 2R8",43.7009257,-79.5032563,"0","Breakfast & Brunch, Malaysian, Restaurants, Thai"
"5",114977,"Breakfast ING","Mississauga","ON","L5C 4E3",43.5680670047,-79.6662918851,"1","Breakfast & Brunch, Malaysian, Cafes, Sandwiches, Restaurants, Singaporean"
"6",146210,"South Asia Malaysian Cuisine","Toronto","ON","M1V 5B5",43.8146311,-79.2932514,"1","Chinese, Restaurants, Malaysian"
"7",94570,"Mom's Deli","Madison","WI","53716",43.070096,-89.3253969,"0","Delis, Asian Fusion, Chicken Wings, Malaysian, Restaurants"
"8",101726,"Island Malaysian Cuisine","Las Vegas","NV","89103",36.125592,-115.211199,"1","Asian Fusion, Malaysian, Ethnic Food, Food, Specialty Food, Thai, Singaporean, Chinese, Restaurants"
"9",118448,"Soos","Toronto","ON","M6J 2Y7",43.6462416,-79.4197717,"1","Malaysian, Restaurants"
"10",70074,"Mosaic Southeast Asian","Richmond Hill","ON","L4B 3K4",43.8643608,-79.3834238,"1","Asian Fusion, Vietnamese, Pan Asian, Malaysian, Restaurants"
"11",89433,"Bali Restaurant","Richmond Hill","ON","L4B 1K9",43.8534828,-79.3839517,"1","Restaurants, Singaporean, Malaysian, Thai"
"12",29418,"Lion City Restaurant","Mississauga","ON","L5C 4P3",43.5670258133,-79.6595937386,"1","Indonesian, Singaporean, Restaurants, Malaysian, Thai"
"13",32018,"Spice Cafe and Lounge","Calgary","AB","T2P",51.0482063,-114.0790428,"1","Asian Fusion, Restaurants, Malaysian, Soup, Burgers"
"14",188480,"Garlic Onion","Richmond Hill","ON","L4S",43.899441,-79.3956036,"1","Restaurants, Thai, Chinese, Malaysian"
"15",113473,"Bp Street Cafe","Tempe","AZ","85282",33.4066242,-111.9076282,"1","Malaysian, Chinese, Restaurants"
"16",145126,"Restoran Malaysia","Richmond Hill","ON","L4C 9X2",43.875849,-79.413679,"1","Malaysian, Restaurants"
"17",141102,"Jean's Vegetarian Kitchen","Toronto","ON","M4J 1M6",43.6819991,-79.3307375,"0","Salad, Malaysian, Vegetarian, Noodles, Thai, Restaurants"
"18",149962,"Gourmet Garden Restaurant","Scarborough","ON","M1S 5H9",43.7879399,-79.2658103,"0","Singaporean, Malaysian, Restaurants"
"19",51902,"Lime Leaf","Toronto","ON","M4A 2M2",43.7224834,-79.3020196,"0","Restaurants, Malaysian, Thai"
"20",42491,"Thai Villa","Aurora","ON","L4G 0H5",44.0150879,-79.4151795,"1","Restaurants, Malaysian, Thai, Singaporean"
"21",54856,"Thai Restaurant","Toronto","ON","M4L 1Z9",43.67243,-79.321314,"0","Malaysian, Restaurants, Thai"
"22",161296,"Tom Yam Thai","Ajax","ON","L1S 3K3",43.8411331,-79.0264528,"0","Restaurants, Thai, Malaysian"
"23",21347,"Thai Room","Toronto","ON","M4C",43.6854751,-79.3131434,"1","Restaurants, Thai, Taiwanese, Malaysian"
"24",173504,"Cravings","Champaign","IL","61820",40.1112203703,-88.2290604075,"1","Pan Asian, Malaysian, Asian Fusion, Chinese, Restaurants"
"25",29930,"Saltlik Calgary","Calgary","AB","T2P 1B4",51.0452993,-114.0633359,"1","Malaysian, Nightlife, Restaurants, Cocktail Bars, Bars, Steakhouses, Venues & Event Spaces, Event Planning & Services"
"26",59172,"Thai-SuShi101","Huntersville","NC","28078",35.409145,-80.860164,"0","Sushi Bars, Thai, Malaysian, Asian Fusion, Restaurants"
"27",89576,"Tropical Delight Noodle House","Calgary","AB","T3A 5Z7",51.1470907,-114.1065494,"1","Malaysian, Asian Fusion, Restaurants"
"28",138644,"Pacific East Japanese And Maylaysian","Kent","OH","44240",41.1535545,-81.3580092,"1","Asian Fusion, Japanese, Chinese, Sushi Bars, Singaporean, Malaysian, Restaurants"
"29",18070,"Kerol's Kitchen","Madison","WI","53703",43.0833196,-89.3724769,"0","Malaysian, American (New), Restaurants, Local Flavor"
"30",64830,"Senwell Vegetarian Cuisine","Markham","ON","L3T 7P6",43.8420875,-79.3859893,"0","Thai, Vegetarian, Restaurants, Malaysian"
"31",158172,"Pacific East Japanese Restaurant","Cleveland Heights","OH","44118",41.51154,-81.579857,"1","Sushi Bars, Restaurants, Malaysian, Japanese"
"32",77545,"Tropika Malaysian Cuisine","Calgary","AB","T2E 2R9",51.0654237,-114.0625414,"0","Malaysian, Restaurants"
"33",172484,"Hung Long Restaurant","Toronto","ON","M3M 1G7",43.7266608,-79.4834781,"1","Restaurants, Malaysian, Vietnamese, Thai"
"34",10805,"Thai Room","Toronto","ON","M3H 5Y4",43.7860721876,-79.4697755395,"1","Thai, Malaysian, Restaurants"
"35",23807,"Satay Mama","Markham","ON","L3R 0M3",43.8539142,-79.3381945,"1","Asian Fusion, Seafood, Malaysian, Japanese, Indonesian, Restaurants"
"36",42733,"Thai Villa Restaurant","Whitchurch-Stouffville","ON","L0H 1J0",43.9560867,-79.2767389,"1","Singaporean, Malaysian, Thai, Restaurants"
"37",37144,"Thai Room","Toronto","ON","M5A 2L2",43.664132,-79.36817,"1","Food Delivery Services, Malaysian, Food, Thai, Restaurants"
"38",146490,"Villa Malaysia Lounge & Grill","Richmond Hill","ON","L4B 3J6",43.8476342,-79.3763881,"0","Restaurants, Malaysian"
"39",122778,"Sun Penang","Pittsburgh","PA","15217",40.4382561,-79.9218667,"1","Restaurants, Singaporean, Malaysian"
"40",154894,"Big Wong Restaurant","Las Vegas","NV","89146",36.126663,-115.20992,"1","Chinese, Restaurants, Noodles, Taiwanese, Malaysian, Soup, Asian Fusion"
"41",117915,"Asian Delight","Richmond Hill","ON","L4B 4C4",43.8728403,-79.3902677,"0","Restaurants, Malaysian, Chinese, Asian Fusion"
"42",176722,"Red House","Pickering","ON","L1V 6K3",43.8195876,-79.1138711,"1","Thai, Malaysian, Restaurants"
"43",8493,"Satay Thai Bistro & Bar","Las Vegas","NV","89169",36.1181994101,-115.1542528015,"1","Malaysian, Asian Fusion, Dance Clubs, Singaporean, Thai, Nightlife, Chinese, Restaurants"
"44",76397,"Satay Brothers","Montréal","QC","H4C 2H6",45.4794723,-73.5768225,"1","Indonesian, American (New), Canadian (New), Asian Fusion, Restaurants, Singaporean, Malaysian"
"45",42466,"Satay Brothers","Montréal","QC","H4C 1P8",45.4792794164,-73.5816477612,"1","Malaysian, Indonesian, Restaurants, Singaporean, Asian Fusion, Canadian (New)"
"46",52988,"Angus Pho House","Toronto","ON","M2N 5S1",43.7770441,-79.4146454,"1","Malaysian, Vietnamese, Asian Fusion, Restaurants"
"47",66000,"Gourmet Malaysia","Scarborough","ON","M1S 1V2",43.7885129161,-79.2665494794,"1","Restaurants, Indonesian, Singaporean, Halal, Malaysian"
"48",27528,"White Orchid","Richmond Hill","ON","L4B 3Y7",43.8417684,-79.3968244,"1","Thai, Malaysian, Chinese, Restaurants, Singaporean"
"49",147589,"Bagahon Singapore Bak Kwa Jerky","Markham","ON","L3R 0Y5",43.824173,-79.3055344,"0","Restaurants, Chinese, Malaysian, Ethnic Food, Specialty Food, Food, Singaporean"
"50",141932,"China Chili","Phoenix","AZ","85012",33.4858192,-112.0691361,"1","Restaurants, Malaysian, Singaporean, Chinese"
"51",174461,"One2 Snacks","Toronto","ON","M1S 2C1",43.7871904907,-79.2766229063,"1","Asian Fusion, Fast Food, Malaysian, Restaurants, Chinese"
"52",178108,"Malay Thaï","Montréal","QC","H1L 2N6",45.6047706,-73.5182077,"1","Thai, Malaysian, Restaurants"
"53",91318,"Malaysian Garam Masala","Toronto","ON","M1S 4K4",43.8089509523,-79.2636310418,"1","Restaurants, Malaysian, Food, Indian"
"54",123378,"Chef Lin Restaurant","Markham","ON","L3P 2R2",43.8748998,-79.2591737,"0","Vegan, Halal, Thai, Taiwanese, Chinese, Restaurants, Malaysian"
"55",43048,"Thai Room","Toronto","ON","M3H 4Y4",43.7865611812,-79.4688353688,"1","Malaysian, Restaurants, Thai"
"56",102529,"Yummy Garden","Toronto","ON","M4A 2M2",43.7224834,-79.3020196,"0","Restaurants, Chinese, Malaysian, Thai"
"57",163247,"America's Taco Shop","Tempe","AZ","85281",33.4217344,-111.9271489,"0","Restaurants, Mexican, Malaysian"
"58",46804,"Thai Room","Vaughan","ON","L3T 7P6",43.823412298,-79.4730377197,"0","Thai, Malaysian, Restaurants"
"59",124357,"The Friendly Thai","Toronto","ON","M6R 2L6",43.645908,-79.4486592,"1","Malaysian, Restaurants, Thai"
"60",188214,"Tropical Delight Noodle House","Calgary","AB","T2E 4R3",51.0934627,-114.0334586,"0","Restaurants, Malaysian"
"61",50964,"Green Lemon Grass","Richmond Hill","ON","L4B 3N8",43.8662922087,-79.3864051095,"1","Restaurants, Thai, Malaysian, Asian Fusion, Vietnamese"
"62",84310,"Coconut Island Restaurant","Markham","ON","L3R 9W5",43.860397,-79.303184,"0","Restaurants, Malaysian"
"63",140308,"Thai One On","Toronto","ON","M5V 2B6",43.6477453,-79.4018186,"0","Restaurants, Thai, Malaysian"
"64",104710,"Lime Asian Kitchen","Toronto","ON","M4N 2L5",43.7289535239,-79.4030993401,"1","Malaysian, Restaurants, Thai, Asian Fusion, Chinese"
