"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",167387,"Mad Crush Wine Bar","Toronto","ON","M6G 1B3",43.6554201,-79.4133518,"0","Restaurants, Breakfast & Brunch, Bars, Modern European, Nightlife, Wine Bars"
"2",184313,"Apteka","Pittsburgh","PA","15224",40.4656937,-79.9493238,"1","Nightlife, Bars, Polish, Modern European, Restaurants, Vegan"
"3",85184,"The Golden Pheasant","Mississauga","ON","L5G 1J7",43.5707634,-79.5655653,"1","Modern European, Restaurants"
"4",32114,"Prince Restaurant","Las Vegas","NV","89103",36.1140708,-115.2409255,"1","American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
"5",17430,"La Raclette","Montréal","QC","H2J 1P7",45.5295503804,-73.5827571103,"1","German, Modern European, Restaurants, Breakfast & Brunch, Fondue, French"
"6",79717,"Île Flottante","Montréal","QC","H2T 2L3",45.5236393,-73.6007158,"1","Restaurants, Diners, Modern European, French"
"7",140812,"Olde Wine Cellar Bistro & Bottle Shop","Olmsted Falls","OH","44138",41.376812,-81.901644,"1","Tapas/Small Plates, Bars, Wineries, Beer, Wine & Spirits, Food, Arts & Entertainment, Wine Bars, Restaurants, Wine Tasting Room, Nightlife, Modern European"
"8",78935,"Napoca Restaurant","Mississauga","ON","L5G 1E1",43.5526198,-79.5847025,"0","Italian, Modern European, Restaurants"
"9",67331,"Bodega 13","Scottsdale","AZ","85255",33.7008135,-111.8890438,"1","Tapas/Small Plates, Sandwiches, Jazz & Blues, Tapas Bars, Nightlife, Modern European, Restaurants, Arts & Entertainment"
"10",19441,"Dubrovnik Garden Restaurant","Eastlake","OH","44095",41.6626265,-81.4411049,"1","Italian, Modern European, Restaurants"
"11",163251,"Schnitzel Hub","Vaughan","ON","L4J 7Y2",43.7982121768,-79.4253806455,"0","Restaurants, German, Modern European, Food, Austrian"
"12",52017,"The Red Chimney","Cleveland","OH","44105",41.4563071,-81.6447659,"1","American (Traditional), Modern European, Restaurants, Breakfast & Brunch"
"13",178440,"Tverskaya Russian Restaurant","Las Vegas","NV","89103",36.1148713,-115.2066735,"0","Restaurants, Modern European, Russian"
"14",185395,"Provision","Calgary","AB","T2R 1N8",51.0408406,-114.0707798,"1","Modern European, Vegetarian, Breakfast & Brunch, American (Traditional), Wine Bars, Nightlife, Restaurants, French, Food, Sandwiches, Coffee & Tea, Bars"
"15",68194,"Sofia - Istanbul Grill","Vaughan","ON","L4K 2Y7",43.7829713,-79.4898389,"0","Turkish, Modern European, Restaurants"
"16",22586,"Moldova Restaurant","North York","ON","M3H 5T5",43.7820293,-79.4712674,"1","Ukrainian, Restaurants, Russian, Modern European"
"17",111709,"Pierre et Pierre","Montréal","QC","H2J 2L4",45.5243634,-73.5831934,"0","Nightlife, Food, Bars, Beer, Wine & Spirits, Canadian (New), Restaurants, Modern European, Gastropubs"
"18",80758,"Prague Fine Food Emporium","Toronto","ON","M6J 1E4",43.6469359,-79.4060298,"0","Czech/Slovakian, Czech, Delis, Modern European, Event Planning & Services, Sandwiches, Restaurants, Caterers"
"19",5145,"Real Mo-Mo's","Toronto","ON","M5E 1E3",43.6490687312,-79.3749376014,"0","Canadian (New), Modern European, Restaurants, Breakfast & Brunch, Fish & Chips"
"20",62254,"Buna's Kitchen","Toronto","ON","M5V 3P1",43.6481726,-79.3947836,"1","Sandwiches, Salad, Restaurants, Specialty Food, Cafes, Food, Modern European"
"21",95905,"Dilworth Tasting Room","Charlotte","NC","28203",35.2087438,-80.8586005,"1","Food, Wine Tasting Room, Nightlife, Bars, Modern European, American (Traditional), Beer, Wine & Spirits, Arts & Entertainment, Tapas/Small Plates, Wine Bars, Wineries, Restaurants"
"22",149044,"Posh Improvisational Cuisine","Scottsdale","AZ","85251",33.506543,-111.92655,"0","Japanese, Modern European, American (New), Restaurants, Ramen"
"23",41507,"Le Tire Bouchon Bistro Gourmand","Verdun","QC","H4H 1N1",45.45448,-73.5677512,"0","Tapas Bars, Cafes, Restaurants, Modern European, French"
"24",174007,"Stanley's Home Made Sausage Company - Westside","Phoenix","AZ","85023",33.6407809,-112.0962906,"1","Delis, Restaurants, Specialty Food, Modern European, Meat Shops, Food"
"25",127691,"Restaurant Europa","Pepper Pike","OH","44124",41.4631591,-81.4625796,"1","Restaurants, Modern European, Russian"
"26",13786,"Crêpe Cellar","Charlotte","NC","28205",35.2467073,-80.8059197,"1","American (New), Creperies, Sandwiches, Gastropubs, Restaurants, Modern European"
"27",60256,"Chez Sophie","Montréal","QC","H3J 1M8",45.4865205,-73.5696234,"1","Modern European, French, Restaurants, Wine Bars, Bars, Nightlife"
"28",4176,"Club Cafe","Pittsburgh","PA","15203",40.4289084,-79.9866474,"1","Restaurants, Pubs, Lounges, Arts & Entertainment, Modern European, Bars, Nightlife, Breakfast & Brunch, Music Venues, American (Traditional)"
"29",100360,"En Cachette","Montréal","QC","H2X 3K4",45.5158997,-73.5649147,"0","Speakeasies, Bars, Restaurants, Modern European, Nightlife, Lounges"
"30",8594,"3734","Montréal","QC","H4C 1P7",45.479002,-73.581785,"1","Cafes, Specialty Food, Restaurants, Delicatessen, Food, Mediterranean, Portuguese, Modern European, Breakfast & Brunch, Bistros"
"31",36450,"Ol'chefskis BBQ","Aurora","OH","44202",41.3185659,-81.302344,"1","Modern European, Restaurants, Sandwiches, Barbeque"
"32",36433,"Bodega 13","Carefree","AZ","85377",33.8258928,-111.9244293,"0","Nightlife, Restaurants, Modern European, Tapas Bars, Tapas/Small Plates, Cocktail Bars, Spanish, Bars"
"33",50735,"Ferreira Café","Montréal","QC","H3A 1S8",45.5003193,-73.5741445,"1","Restaurants, Seafood, Italian, Modern European, Portuguese"
"34",168398,"Sugar For My Honey","Toronto","ON","M8W 1N2",43.5955581,-79.5280602,"0","Coffee & Tea, Austrian, Nightlife, Modern European, Bars, Desserts, German, Breakfast & Brunch, Cafes, Restaurants, Beer, Wine & Spirits, Food"
"35",35162,"Georgia Restaurant","Toronto","ON","M3J 3J4",43.767518673,-79.4752967733,"1","Modern European, Event Planning & Services, Middle Eastern, Restaurants, Russian, Venues & Event Spaces"
"36",24440,"Parkette","Toronto","ON","M6J 1G3",43.6451986,-79.4143964,"0","Restaurants, Modern European, Italian"
"37",141323,"Le Contemporain","Montréal","QC","H3B 1B1",45.507828,-73.56679,"0","Restaurants, French, Modern European"
"38",43210,"Bocata","Montréal","QC","H2Y 2A3",45.501442,-73.55588,"1","Restaurants, Nightlife, Wine Bars, Modern European, Bars, Tapas/Small Plates"
"39",155132,"Three Brothers Restaurant","Etobicoke","ON","M8Y 1K8",43.6270685,-79.4985962,"1","Soup, Restaurants, Barbeque, Canadian (New), Salad, Mediterranean, Nightlife, Modern European, Bars"
"40",26878,"Le Provencal European Bistro","Pickering","ON","L1W 3M1",43.833759,-79.068909,"1","Restaurants, German, French, Modern European, Bistros"
"41",27439,"Parcae","Toronto","ON","M5V 1R7",43.6472265,-79.3932255,"0","Modern European, Nightlife, Canadian (New), Cocktail Bars, Bars, Restaurants"
"42",88966,"Amuse Bouche","Surprise","AZ","85374",33.6404695,-112.4259385,"1","Event Planning & Services, Caterers, Breakfast & Brunch, Modern European, American (New), Restaurants, Sandwiches, French"
"43",102286,"Shawarma 360","Toronto","ON","M1P 2Y4",43.7703745164,-79.2786932364,"1","Middle Eastern, Modern European, Arabian, Restaurants"
"44",101083,"Vienna Fine Foods","Scarborough","ON","M1K 1S4",43.7338749,-79.279494,"1","Sandwiches, Caterers, Modern European, Delis, Comfort Food, Restaurants, Food, Ethnic Food, Event Planning & Services, Specialty Food"
"45",135217,"Bis","Montréal","QC","H3G 1Z2",45.4977437,-73.5742144,"1","Italian, Modern European, Restaurants"
"46",61690,"Table 51","Laval","QC","H7T 1C8",45.571529,-73.754888,"1","Restaurants, French, Modern European"
