"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",41536,"Genghis Grill","Matthews","NC","28105",35.1338014,-80.7117827,"1","Do-It-Yourself Food, Asian Fusion, Chinese, Mongolian, Food, Restaurants"
"2",124808,"Genghis Grill","Charlotte","NC","28208",35.2205241,-80.944528,"0","Mongolian, Chinese, Restaurants"
"3",141803,"Stirfry Republic","Las Vegas","NV","89118",36.0877226,-115.243403,"1","Mongolian, Asian Fusion, Restaurants, Fast Food"
"4",149921,"HuHot Mongolian Grill","Madison","WI","53717",43.0732552,-89.5266501,"1","Restaurants, Chinese, Mongolian, Asian Fusion"
"5",95299,"Peony Garden Buffet","Phoenix","AZ","85048",33.3038845,-111.9787978,"0","Buffets, Mongolian, Sushi Bars, Restaurants, Chinese"
"6",64028,"YC's Mongolian Grill","Tempe","AZ","85282",33.394965,-111.909476,"1","Chinese, Mongolian, Asian Fusion, Restaurants, Vegan, Gluten-Free, Buffets"
"7",74498,"Genghis Grill","Chandler","AZ","85226",33.3184353787,-111.9690317969,"0","Restaurants, Mongolian, Buffets"
"8",72591,"Mongolian Grill","Whitby","ON","L1N 9S2",43.8696508507,-78.9130130424,"1","Restaurants, Buffets, Mongolian"
"9",155924,"Little Sheep Mongolian Hot Pot","Calgary","AB","T2A 7X6",51.06126,-113.983917,"1","Mongolian, Chinese, Hot Pot, Restaurants"
"10",40076,"Genghis Khan Mongolian Grill","North York","ON","M3C 1V6",43.7269871,-79.3414943,"1","Barbeque, Buffets, Mongolian, Restaurants, Chinese"
"11",78746,"Lai Lai Mongolian Bbq","Phoenix","AZ","85051",33.5527544,-112.1356087,"0","Restaurants, Mongolian, Barbeque"
"12",191546,"Little Sheep Mongolian Hot Pot","Montreal","QC","H2Z 1C1",45.5076014,-73.5602577,"1","Mongolian, Restaurants, Hot Pot, Chinese"
"13",97478,"Great Khan Mongolian Grill","Markham","ON","L3R 9W1",43.828703,-79.306172,"0","Chinese, Mongolian, Restaurants"
"14",147399,"YC's Mongolian Grill","Tempe","AZ","85284",33.3496395266,-111.9491835778,"1","Vegan, Buffets, Asian Fusion, Chinese, Gluten-Free, Restaurants, Mongolian"
"15",144987,"Little Sheep Mongolian Hot Pot","Brossard","QC","J4Y 1A1",45.4613321,-73.4651173,"1","Fondue, Hot Pot, Mongolian, Restaurants, Chinese"
"16",125332,"El Regio","Las Vegas","NV","89130",36.2636158,-115.2513918,"0","Mexican, Mongolian, Restaurants"
"17",147142,"301 Mongolia","Champaign","IL","61820",40.1189773,-88.2442721,"0","Mongolian, American (New), Restaurants"
"18",41792,"Genghis Grill","Tempe","AZ","85281",33.4324571,-111.9023035,"1","Vegetarian, Restaurants, Buffets, Mongolian, Asian Fusion, Korean, Food, Thai, Chinese, Vegan"
"19",17982,"Little Sheep Mongolian Hot Pot","Toronto","ON","M1W 2H5",43.7915365481,-79.3127724142,"1","Hot Pot, Chinese, Restaurants, Mongolian"
"20",27565,"Leaf and Plate","Pittsburgh","PA","15232",40.4577813,-79.9279191,"0","Sandwiches, Soup, Restaurants, Mongolian, Food, Chinese, Salad, Tea Rooms"
"21",83760,"World Buffet","Madison","WI","53719",43.057758331,-89.5138889074,"1","Buffets, Mongolian, Restaurants, American (New), Chinese"
"22",80749,"AJ's Mongolian BBQ","Phoenix","AZ","85051",33.5734857,-112.1257641,"0","Mongolian, Barbeque, Restaurants, Chinese"
"23",118303,"Ling & Louie's Asian Bar and Grill","Chandler","AZ","85226",33.281405,-111.973505,"1","Thai, Mongolian, Asian Fusion, Bars, Chinese, Restaurants, Nightlife"
"24",78486,"YC's Mongolian Grill","Chandler","AZ","85286",33.2788302,-111.7904534,"1","Restaurants, Asian Fusion, Vegan, Chinese, Specialty Food, Mongolian, Food, Buffets, Ethnic Food, Vegetarian"
"25",87757,"YC's Mongolian Grill","Scottsdale","AZ","85256",33.5404748854,-111.8852450311,"1","Gluten-Free, Mongolian, Asian Fusion, Chinese, Vegan, Vegetarian, Restaurants"
"26",107248,"YC's Mongolian Grill","Gilbert","AZ","85296",33.3221715,-111.6875461,"1","Mongolian, Vegan, Buffets, Chinese, Asian Fusion, Restaurants"
"27",152747,"Blazin Mongolian BBQ","Phoenix","AZ","85051",33.5734409,-112.1256961,"1","Barbeque, Mongolian, Chinese, Gluten-Free, Restaurants, Food, Asian Fusion, Buffets, Do-It-Yourself Food"
"28",123415,"Stir Krazy Mongolian Grill","Las Vegas","NV","89120",36.0789113018,-115.1024759933,"1","Asian Fusion, Restaurants, Mongolian, Chinese"
"29",92856,"HuHot Mongolian Grill","Champaign","IL","61822",40.1470254,-88.2586659,"0","Food, Mongolian, Buffets, Asian Fusion, Restaurants, Desserts"
"30",173775,"Little Sheep Mongolian Hot Pot","Mississauga","ON","L5C 4E9",43.5698487,-79.6611291,"1","Comfort Food, Hot Pot, Mongolian, Restaurants"
"31",31324,"Stir Krazy Mongolian Grill","Las Vegas","NV","89119",36.10259,-115.136559,"0","Mongolian, Asian Fusion, Restaurants"
"32",78332,"Wok On In","Las Vegas","NV","89119",36.1164875,-115.1410747,"0","Chinese, Mongolian, Restaurants"
"33",376,"Genghis Grill","Scottsdale","AZ","85260",33.6372504,-111.9210056,"0","Restaurants, Mongolian"
"34",8698,"BD's Mongolian Grill","Cleveland Heights","OH","44118",41.508652,-81.580318,"1","Asian Fusion, Mongolian, Restaurants"
"35",74118,"Genghis Grill","Phoenix","AZ","85032",33.5986921,-111.9783076,"0","Restaurants, Buffets, Mongolian"
"36",1270,"Genghis Grill","Henderson","NV","89014",36.0601343,-115.0456074,"1","Restaurants, Mongolian, Asian Fusion, Chinese"
"37",146858,"Khublai Mongolian Szechuan Cuisine","Calgary","AB","T2R 0A5",51.0434471,-114.070839,"1","Chinese, Imported Food, Food, Ethnic Food, Specialty Food, Restaurants, Mongolian"
"38",48233,"Genghis Grill","Glendale","AZ","85032",33.6386479,-112.2172122,"1","Mongolian, Thai, American (Traditional), Asian Fusion, Korean, Chinese, Restaurants, Vegetarian, Vegan"
"39",107197,"World Buffet","Monona","WI","53713",43.046421,-89.352063,"1","Buffets, Mongolian, Restaurants, Chinese"
"40",186627,"BD's Mongolian Grill","Pittsburgh","PA","15203",40.428375,-79.96611,"1","Food, Restaurants, Do-It-Yourself Food, Beer, Wine & Spirits, Mongolian, Asian Fusion"
"41",101862,"Mongo's Grill","Brampton","ON","L6T",43.7379561,-79.7003175,"0","Restaurants, Mongolian, Asian Fusion"
"42",156973,"Fondue Kim Long","Montréal","QC","H2A 2Y6",45.562726,-73.605534,"1","Hot Pot, Pan Asian, Mongolian, Fondue, Restaurants, Chinese"
"43",109642,"Genghis Grill","Charlotte","NC","28277",35.0553287,-80.8350541,"1","Asian Fusion, Mongolian, Chinese, Restaurants"
