"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",129363,"Big Horn Restaurant","Boulder City","NV","89005",35.9782674,-114.8364718,"0","Restaurants, American (Traditional), Moroccan"
"2",81747,"Couscous Express","Phoenix","AZ","85006",33.4656279532,-112.0409429446,"0","Moroccan, Vegan, Halal, Mediterranean, Restaurants"
"3",82861,"Safran Et Canelle","Montréal","QC","H2Y 2H2",45.5013662,-73.5592059,"1","Restaurants, Moroccan"
"4",134210,"Birona Hummus Bar","Montréal","QC","H2T 1S5",45.5253466,-73.5974198,"1","Restaurants, Mediterranean, Salad, Sandwiches, Moroccan"
"5",1645,"Tangia","Montréal","QC","H3G 1W9",45.4995605,-73.5771599,"1","Restaurants, Moroccan"
"6",7693,"Atlas","Toronto","ON","M5R 1V2",43.6771569338,-79.3984616869,"1","Moroccan, Canadian (New), Restaurants"
"7",183990,"Marrakesh Express","Henderson","NV","89011",36.1136776,-114.9231635,"1","Food, Restaurants, Moroccan, Coffee & Tea, Cafes"
"8",77219,"Restaurant Au-Tarot","Montréal","QC","H2S 1Z7",45.5337243,-73.5962238,"1","Pizza, Restaurants, Canadian (New), Moroccan"
"9",98889,"Restaurant Casablanca Francais Italien Marocain","Saint-Sauveur","QC","J0R 1R0",45.8963642,-74.1550775,"1","Mediterranean, Restaurants, Moroccan"
"10",93131,"Centrale Bergham","Montréal","QC","H1M 1A9",45.5872902,-73.5607079,"1","Restaurants, Fast Food, Burgers, Middle Eastern, Moroccan"
"11",150029,"Darna Casablanca","Cleveland","OH","44120",41.4834747,-81.5911337,"0","Moroccan, Restaurants"
"12",145830,"Au Coin Berbere","Montréal","QC","H2W 1G9",45.5177751,-73.5787522,"1","Restaurants, Moroccan, Mediterranean, Canadian (New)"
"13",65404,"MoMo's Kebab","Cleveland Heights","OH","44118",41.4999656,-81.5651956,"1","Moroccan, Mediterranean, Middle Eastern, Falafel, Restaurants"
"14",119689,"Lulu's Deli and Restaurant","Madison","WI","53774",43.072576,-89.42972,"0","Restaurants, Mediterranean, Moroccan, Greek, Vegetarian, Middle Eastern"
"15",172883,"Casa Maroc","Toronto","ON","M5M 4A1",43.7339729,-79.4195399,"0","Moroccan, Bars, Nightlife, Restaurants, Hookah Bars"
"16",180212,"Moroccan Paradise","Tempe","AZ","85281",33.4152426,-111.9196665,"0","Bars, Arabian, Hookah Bars, Restaurants, Buffets, Burgers, Halal, Salad, Sandwiches, Nightlife, Moroccan, Mediterranean"
