"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",15088,"Los Dos Molinos","Phoenix","AZ","85042",33.3671700568,-112.073720529,"1","New Mexican Cuisine, Restaurants, Mexican"
"2",176434,"Rivas Mexican Grill #7","North Las Vegas","NV","89032",36.2378822561,-115.1523848623,"1","Restaurants, Mexican, New Mexican Cuisine"
"3",83623,"Mi Cocina","Avondale","AZ","85392",33.4928558,-112.2861491,"1","Mexican, Cafes, New Mexican Cuisine, Restaurants"
"4",111439,"El Taco Macho","Painesville","OH","44077",41.6963743383,-81.2779645622,"1","Fast Food, Latin American, Tacos, Food, Street Vendors, New Mexican Cuisine, Restaurants, Mexican"
"5",136446,"Casa Amigos","Coraopolis","PA","15108",40.5017951536,-80.2113790625,"1","Mexican, Nightlife, Cocktail Bars, Tacos, Restaurants, Vegetarian, Bars, Seafood, New Mexican Cuisine"
"6",162597,"Mesa","Pittsburgh","PA","15213",40.4425967878,-79.9528667692,"1","New Mexican Cuisine, Restaurants, Breakfast & Brunch"
"7",79222,"Gil's Taste of Taos","Phoenix","AZ","85022",33.6395204,-112.047311,"1","Tex-Mex, Restaurants, Diners, New Mexican Cuisine, Breakfast & Brunch, Mexican, Caterers, Event Planning & Services"
"8",139123,"La Villa DF","Phoenix","AZ","85051",33.5540218,-112.1171303,"1","Restaurants, Mexican, New Mexican Cuisine"
"9",154734,"Richardson's","Phoenix","AZ","85016",33.5303926,-112.0470548,"1","Tex-Mex, Mexican, New Mexican Cuisine, Restaurants, Salad, Breakfast & Brunch"
"10",32760,"Mesa Grill","Las Vegas","NV","89109",36.1171245659,-115.174792707,"1","American (Traditional), Restaurants, Mexican, New Mexican Cuisine, Barbeque, Spanish, Southern, Tex-Mex, American (New)"
"11",115850,"Culichi Town","Las Vegas","NV","89130",36.2014618841,-115.1951955074,"1","Sushi Bars, Mexican, Restaurants, New Mexican Cuisine, Seafood"
"12",111681,"Chile Addiction","Las Vegas","NV","89120",36.0785072,-115.1025234,"1","New Mexican Cuisine, Restaurants"
"13",39813,"Maskadores Taco Shop","Phoenix","AZ","85021",33.55346,-112.09834,"1","New Mexican Cuisine, Restaurants, Mexican, Tacos"
"14",99898,"Nacho Daddy","Las Vegas","NV","89109",36.1080857621,-115.1711108926,"1","Restaurants, Mexican, Tex-Mex, Vegan, American (New), American (Traditional), Breakfast & Brunch, New Mexican Cuisine"
"15",7706,"Nuevo Modern Mexican & Tequila Bar","Cleveland","OH","44114",41.510561,-81.695971,"1","New Mexican Cuisine, Nightlife, Bars, Cocktail Bars, Restaurants"
"16",18036,"Senor Pancho Villa","Chandler","AZ","85226",33.3162784,-111.9680317,"0","Nightlife, Bars, Restaurants, New Mexican Cuisine, Salad, Mexican"
"17",119088,"2601 on Central","Phoenix","AZ","85004",33.476879,-112.0734163,"1","New Mexican Cuisine, Pubs, American (Traditional), American (New), Restaurants, Sandwiches, Cocktail Bars, Comfort Food, Mexican, Nightlife, Bars"
"18",177006,"Veganos Kitchen","Las Vegas","NV","89130",36.2161409,-115.213356,"1","Vegan, Vegetarian, Restaurants, Mexican, New Mexican Cuisine"
"19",86453,"Good Time Charli's Neighborhood Craft Pub","Chandler","AZ","85226",33.3045804,-111.9470082,"1","Nightlife, New Mexican Cuisine, Restaurants, American (New), Mexican, Bars"
"20",40388,"Sí Señor Restaurant","Chandler","AZ","85224",33.3136533,-111.8596998,"1","Restaurants, New Mexican Cuisine, Mexican"
"21",96308,"Calakmul","Cave Creek","AZ","85331",33.8304371,-111.9317087,"0","Mexican, New Mexican Cuisine, Restaurants, Latin American, Tacos"
"22",55451,"Antojitos Sinaloa Mexican Restaurant","Las Vegas","NV","89104",36.1585441,-115.121042,"1","Restaurants, Seafood, New Mexican Cuisine, Mexican, Comfort Food"
"23",72098,"Bobby Mao's Chinese Kitchen & Mexican Cuisine","Henderson","NV","89014",36.0667640552,-115.0414410322,"1","Asian Fusion, Mexican, New Mexican Cuisine, Chinese, Restaurants"
"24",173656,"Slick's Garage","Peoria","AZ","85382",33.6354989,-112.2348482,"0","Cocktail Bars, Nightlife, Restaurants, Bars, New Mexican Cuisine, Pubs, Sandwiches, Burgers"
