"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",106451,"Tandoori Xpress","Laval","QC","H7G 2E1",45.576182,-73.683505,"1","Restaurants, Vegetarian, Pakistani, Middle Eastern, Indian"
"2",118317,"Sree's Foods","Pittsburgh","PA","15213",40.4407672,-79.9587973,"1","Pakistani, Indian, Restaurants, Food"
"3",83826,"Mirchi Restaurant","Calgary","AB","T2R 0J2",51.0417258,-114.0804603,"1","Pakistani, Halal, Restaurants, Indian"
"4",173823,"Biryani King","Brampton","ON","L6X 4X7",43.702387,-79.7866815,"1","Pakistani, Restaurants, Indian"
"5",56836,"Lahori Tarka","Toronto","ON","M1H 2Y2",43.7675222,-79.2289379,"1","Vegetarian, Restaurants, Pakistani, Halal"
"6",39702,"Bombay Buffet Indian Cuisine","Scarborough","ON","M1H 2Y1",43.7670713,-79.2280617,"0","Event Planning & Services, Caterers, Restaurants, Pakistani, Indian"
"7",138057,"Taj Mahal Indian Cuisine","Tempe","AZ","85281",33.4502544,-111.9255745,"0","Asian Fusion, Restaurants, Pakistani, Buffets, Indian"
"8",42229,"Indian Paradise","Scottsdale","AZ","85260",33.6222859533,-111.9041715755,"0","Indian, Restaurants, Gluten-Free, Pakistani, Halal, Buffets"
"9",166181,"Biryani House","Tempe","AZ","85281",33.4153283,-111.9182786,"0","Halal, Indian, Restaurants, Pakistani"
"10",136801,"India Gate Exclusive Indian Cuisine","Newmarket","ON","L3Y 2N1",44.0550795,-79.474812,"1","Pakistani, Middle Eastern, Indian, Restaurants"
"11",4783,"Mirchi","Calgary","AB","T2P 0E4",51.0515752,-114.0781162,"0","Indian, Restaurants, Pakistani"
"12",36270,"Anondo Restaurant","Toronto","ON","M4C 1M3",43.6897032,-79.2942628,"0","Restaurants, Bangladeshi, Pakistani, Indian"
"13",28091,"Mother India","Toronto","ON","M6K 1M2",43.6408144,-79.4362132,"1","Middle Eastern, Indian, Pakistani, Restaurants"
"14",6793,"Shalimar Restaurant","Mississauga","ON","L5L 1P5",43.5253002,-79.6842355,"0","Restaurants, Pakistani"
"15",89584,"Zauq","Mississauga","ON","L4W 4L9",43.635445,-79.622726,"1","Restaurants, Food, Pakistani, Indian"
"16",42612,"Tamarind Savoring India","Pittsburgh","PA","15220",40.3905324708,-80.0717178281,"1","Food, Pakistani, Indian, Restaurants, Bakeries"
"17",94587,"Taj Mahal Restaurant","Calgary","AB","T2G 0A8",51.0098859,-114.0668856,"1","Restaurants, Indian, Event Planning & Services, Caterers, Middle Eastern, Pakistani"
"18",124026,"Yuva India Kitchen + Bar","Pittsburgh","PA","15213",40.444838,-79.9488538,"1","Food, Halal, Food Delivery Services, Wineries, Bars, Restaurants, Nightlife, Arts & Entertainment, Indian, Pakistani"
"19",50031,"Cafe De Khan","Mississauga","ON","L5N 6A3",43.5895002,-79.7388544,"1","Pakistani, Restaurants, Indian"
"20",158103,"Chef of India","Toronto","ON","M4P 1A6",43.7070001967,-79.3971258402,"0","Indian, Middle Eastern, Buffets, Restaurants, Pakistani"
"21",9613,"Chaat Cafe","Madison","WI","53719",43.0496478,-89.5028208,"1","Pakistani, Halal, Indian, Restaurants"
"22",20400,"India Delight","Gilbert","AZ","85234",33.381279,-111.724168,"0","Specialty Food, Pakistani, Food, Restaurants, Indian"
"23",188561,"Delhi Palace Cuisine of India","Tempe","AZ","85281",33.4212886,-111.9246995,"1","Pakistani, Indian, Buffets, Restaurants"
"24",73070,"Kabob N More","Las Vegas","NV","89109",36.1317540411,-115.1642730431,"1","Arabian, Indian, Restaurants, Pakistani, Halal"
"25",177348,"Madras Palace","Richmond Hill","ON","L4B 3H7",43.8444089,-79.3854153,"0","Restaurants, Indian, Middle Eastern, Pakistani"
"26",110960,"Indian Maharaja Palace","Glendale","AZ","85308",33.6367211,-112.1836222,"0","Pakistani, Indian, Buffets, Restaurants"
"27",83899,"Jewel of the Crown","Scottsdale","AZ","85251",33.4922108,-111.9231385,"1","Restaurants, Indian, Pakistani, Vegetarian"
"28",330,"Al Mustafa Catering","Mississauga","ON","L5G 1H9",43.567352,-79.5684689,"1","Halal, Pakistani, Indian, Restaurants"
"29",112646,"Patna Kabab House","Scarborough","ON","M1R 2Y3",43.743447,-79.3015134,"1","Restaurants, Indian, Desserts, Middle Eastern, Food, Pakistani"
