"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",9619,"Super Zamani","Toronto","ON","M2M 3W8",43.7915874,-79.4188972,"1","Restaurants, Grocery, Halal, Food, Persian/Iranian"
"2",103809,"Shater Abbas Restaurant","Vaughan","ON","L4J 1W5",43.826012,-79.4261855,"1","Restaurants, Persian/Iranian"
"3",110594,"Aladdin's Eatery","Middleburg Heights","OH","44130",41.373934,-81.830332,"1","Restaurants, Persian/Iranian, Mediterranean, Middle Eastern"
"4",138655,"Shish Kebab House","Glendale","AZ","85302",33.5674844,-112.1673493,"0","Persian/Iranian, Greek, Restaurants, Mediterranean"
"5",4951,"Kabul Kebob and Shawarma","Toronto","ON","M4R 1A1",43.7064550832,-79.3997823183,"0","Afghan, Restaurants, Persian/Iranian"
"6",158115,"Château Kabab","Montréal","QC","H3H 2L8",45.4958633,-73.5802841,"1","Kebab, Persian/Iranian, Middle Eastern, Restaurants, Halal"
"7",62237,"Oasis Restaurant & Cafe","Scarborough","ON","M1R 2Y8",43.7441494,-79.297816,"0","Nightlife, Hookah Bars, Bars, Persian/Iranian, Restaurants"
"8",90684,"Grill Sélect","Kirkland","QC","H9H 3B6",45.4460023,-73.8524816,"1","Restaurants, Persian/Iranian, Greek"
"9",133974,"Zaher Restaurant","Richmond Hill","ON","L4E 3K2",43.942933967,-79.4544386119,"0","Middle Eastern, Afghan, Persian/Iranian, Restaurants"
"10",48765,"Baran Catering","Aurora","ON","L4G 3V5",43.9905650256,-79.4536075613,"1","Persian/Iranian, Middle Eastern, Restaurants, Caterers, Event Planning & Services"
"11",189092,"Pomegranate Restaurant","Toronto","ON","M5T 1T3",43.6567916,-79.4069317,"1","Restaurants, Middle Eastern, Persian/Iranian"
"12",36117,"Cafe Cocoa Boulangerie","Etobicoke","ON","M8V 4G1",43.6276596,-79.47698,"1","Coffee & Tea, Restaurants, Desserts, Food, Bakeries, Cafes, Persian/Iranian"
"13",183494,"Golden Shawarma","Toronto","ON","M2N 7A1",43.7751786,-79.4140328,"0","Restaurants, Persian/Iranian, Fast Food"
