"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",88804,"Circles Grill and Market","Charlotte","NC","28277",35.0393909574,-80.7950710445,"0","Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food"
"2",187969,"Mi Peru South American Grill","Henderson","NV","89012",36.0230899638,-115.0489987523,"1","Restaurants, American (Traditional), Spanish, Latin American, Peruvian"
"3",65464,"The Boulevard Cafe","Toronto","ON","M5S 1H1",43.6619075,-79.4068878,"0","Breakfast & Brunch, Cafes, Latin American, Event Planning & Services, Restaurants, Peruvian, Caterers"
"4",124083,"Tumi Fine Peruvian Cuisine","Chandler","AZ","85225",33.3200036,-111.8583025,"1","Peruvian, Restaurants, Latin American"
"5",160905,"Villa Wellington","Verdun","QC","H4G 1X2",45.4577749,-73.5676826,"1","Restaurants, Peruvian"
"6",135193,"Inka Grill","Las Vegas","NV","89123",36.0180731813,-115.1179540157,"0","Peruvian, Restaurants"
"7",75372,"El Toque Del Sabor","Las Vegas","NV","89121",36.0994266527,-115.1162015962,"1","Bars, Restaurants, Nightlife, Peruvian"
"8",104384,"Solymar","Montréal","QC","H2R 2N6",45.543636,-73.620003,"1","Peruvian, Restaurants"
"9",93659,"Ardor Bistro","Toronto","ON","M6J 2Y9",43.6455388,-79.419174,"0","Latin American, Restaurants, Canadian (New), Peruvian, Tapas/Small Plates"
"10",60577,"Las Americas","Bedford","OH","44146",41.408098,-81.497417,"1","Grocery, Mexican, Beauty & Spas, Hair Salons, Restaurants, Latin American, Food, Peruvian"
"11",113384,"Rincon Peruano","Glendale","AZ","85302",33.5674685,-112.1872492,"0","Restaurants, Peruvian"
"12",159397,"Once","Las Vegas","NV","89109",36.1249493045,-115.1679912955,"1","Japanese, Restaurants, Latin American, Asian Fusion, Peruvian"
"13",50352,"El Chullo Peruvian Restaurant & Bar","Phoenix","AZ","85006",33.4770298133,-112.0648466176,"1","Restaurants, Peruvian"
"14",124431,"Pio Peruvian Rotisserie Chicken","Calgary","AB","T1Y 7K7",51.0686993,-113.9945828,"1","Restaurants, Peruvian"
"15",5816,"Nazca Bar & Grill","Eastlake","OH","44095",41.434188,-81.498748,"0","Latin American, Peruvian, Restaurants, Nightlife, Bars"
"16",128881,"Inka Heritage","Madison","WI","53715",43.0608425,-89.4009947,"0","Peruvian, Restaurants, Latin American, Seafood"
"17",185819,"De Mi Tierra Restaurant","Scottsdale","AZ","85257",33.4666298,-111.9000416,"0","Caribbean, Restaurants, Peruvian, Latin American, Puerto Rican, Dominican"
"18",90861,"Callao","Montréal","QC","H2T 2N7",45.5215434,-73.5940401,"0","Peruvian, Restaurants"
"19",54109,"Las Americas","Las Vegas","NV","89104",36.1452382,-115.1181012,"0","Peruvian, Restaurants"
"20",179667,"New Sky Restaurant","Toronto","ON","M5T 2G3",43.6554097,-79.3987492,"1","Restaurants, Food, Peruvian, Specialty Food, Chinese, Ethnic Food"
"21",77204,"MAS","Tempe","AZ","85281",33.4508727,-111.9250589,"0","Peruvian, Seafood, Nightlife, Restaurants, Breakfast & Brunch, Cocktail Bars, Bars, Latin American, Sandwiches"
"22",173420,"Inti - Modern Peruvian","Calgary","AB","T1Y 6Z1",51.0791889314,-113.9976656772,"0","Chicken Shop, Buffets, Restaurants, Peruvian"
"23",175202,"Tiradito","Montréal","QC","H2Z 1N1",45.5045353,-73.5634405,"1","Cocktail Bars, Nightlife, Bars, Peruvian, Restaurants"
"24",139313,"La Selva","Montréal","QC","H2J 2A9",45.5251927,-73.5781704,"1","Mexican, Restaurants, Peruvian"
"25",100211,"Inca vs Azteca","Las Vegas","NV","89141",36.007747,-115.208258,"1","Restaurants, Peruvian, Mexican, Food, Food Trucks"
"26",124967,"Paracas Peruvian","Toronto","ON","M6E 1A2",43.6794411,-79.436944,"1","Restaurants, Peruvian"
"27",60131,"Pisco","Toronto","ON","M4N 2L5",43.7290624,-79.4030983,"0","Restaurants, Canadian (New), Peruvian, Latin American"
"28",35938,"Viva Chicken - Gastonia","Gastonia","NC","28054",35.2615792,-81.1403486,"1","Restaurants, Peruvian"
"29",146446,"Pat'e Palo","Montréal","QC","H1Y 1G2",45.540899,-73.598482,"1","International, Restaurants, Peruvian"
"30",143052,"Las Tres Conchitas","Montréal","QC","H2R 2N3",45.5425580157,-73.6175761888,"1","Seafood, Restaurants, Musicians, Peruvian, Event Planning & Services"
"31",9312,"Kay Pacha","Toronto","ON","M6C 1B5",43.6813999,-79.4278949,"1","Peruvian, Restaurants"
"32",127913,"Puca Puca","Montréal","QC","H2T 1S1",45.5250352,-73.5976426,"1","Restaurants, Peruvian"
"33",189676,"Pisco 1641","Toronto","ON","M6G 1B4",43.655075,-79.414619,"0","Peruvian, Restaurants"
"34",7404,"Machu Picchu Peruvian Cuisine & Bar","Pineville","NC","28134",35.0831648,-80.8843741,"1","Latin American, Restaurants, Peruvian"
"35",15597,"Villa Peru Restaurant & Bar","Tempe","AZ","85281",33.4508772606,-111.9251943202,"0","Cocktail Bars, Bars, Restaurants, Nightlife, Peruvian, Latin American, Sandwiches"
"36",99623,"Bar Mar","Toronto","ON","M4S 2M9",43.7045219,-79.3883282,"0","Peruvian, Restaurants, Tapas Bars, Latin American"
