"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",119092,"Braseiro","Montréal","QC","H2P 2M1",45.5397329,-73.633639,"1","Canadian (New), Portuguese, Restaurants"
"2",180402,"Romados","Montréal","QC","H2W 1C8",45.51931,-73.580749,"1","Restaurants, Portuguese, Bakeries, Food, Chicken Shop, Barbeque"
"3",47236,"Nandos","Calgary","AB","T2T 0B8",51.03766,-114.086165,"1","Chicken Shop, Restaurants, Portuguese"
"4",155884,"Porto Rotisserie House","Toronto","ON","M6E 1C4",43.67662,-79.4497558,"0","Restaurants, Seafood, Portuguese"
"5",102851,"Empire Grill","Toronto","ON","M6C 2E2",43.699788833,-79.4318662615,"1","Nightlife, Wine Bars, Thai, Restaurants, Portuguese, Seafood, Chicken Shop, Barbeque, Bars, Indian"
"6",45133,"Viana","LaSalle","QC","H8N 2S2",45.4366637,-73.6152847,"1","Portuguese, Restaurants"
"7",2826,"The Junction Grill","Toronto","ON","M6P 2R1",43.6651845,-79.4686334,"1","Coffee & Tea, Sandwiches, Breakfast & Brunch, Desserts, Restaurants, Portuguese, Creperies, Food"
"8",63126,"The Grill House Churrasquira","Vaughan","ON","L4H 0B9",43.828116,-79.5522657,"0","Chicken Wings, Restaurants, Canadian (New), Portuguese"
"9",112821,"Fishbone By The Lake","Stouffville","ON","L4A 7X3",44.0342869,-79.2706688,"1","Restaurants, Portuguese, Canadian (New)"
"10",123467,"Galina's BBQ","Maple","ON","L6A 4E1",43.8903664,-79.5202178,"1","Portuguese, Restaurants"
"11",81227,"Adega Restaurante","Toronto","ON","M5G 1H1",43.6573112,-79.3832292,"1","Restaurants, Portuguese, Spanish"
"12",151684,"Casa Alentejo","Montréal","QC","H2S 2L7",45.5338324,-73.5983174,"1","Barbeque, Portuguese, Restaurants"
"13",37377,"O Poleiro BBQ","Bradford","ON","L3Z 0G1",44.109183945,-79.5852348581,"1","Restaurants, Portuguese, Barbeque"
"14",126154,"Chiado","Toronto","ON","M6H 1A3",43.6541868418,-79.4242468866,"1","Restaurants, Seafood, Portuguese"
"15",40137,"Taberna","Montréal","QC","H2Y 2A6",45.5008349,-73.5564927,"1","Portuguese, Restaurants"
"16",135088,"Via Norte Restaurant","Toronto","ON","M6H 1A4",43.653749,-79.4262491,"1","Restaurants, Portuguese, Mediterranean, Canadian (New)"
"17",9259,"Panelo","Saint-Hyacinthe","QC","J2S 5N8",45.622989164,-72.9495041388,"1","Restaurants, Portuguese"
"18",74983,"Pepper's Cafe","Toronto","ON","M6H 1V5",43.6621703,-79.4446327,"1","Portuguese, American (Traditional), Canadian (New), Restaurants, Nightlife, Bars"
"19",156991,"Grill Barroso","Montréal","QC","H2L 1S3",45.5238193,-73.5603887,"1","Portuguese, Restaurants"
"20",111301,"Costa Verde BBQ Chicken","Toronto","ON","M6M 1T4",43.6906996,-79.4717288,"0","Restaurants, Portuguese, Barbeque"
"21",18019,"Cantanhede O Bairradino","Toronto","ON","M6H 3Y8",43.6625541,-79.4449107,"1","Restaurants, Portuguese"
"22",63866,"Galo Do Sardinha Churrasqeira","Toronto","ON","M6E 2W1",43.6877675,-79.4387488,"1","Portuguese, Nightlife, American (Traditional), Barbeque, Caterers, Event Planning & Services, Restaurants, Bars"
"23",170776,"Churrasqueira Portugal BBQ & Grill","Toronto","ON","M6E 2J5",43.6953698,-79.4523379,"1","Portuguese, Restaurants"
"24",70098,"Alcoa Bakery","Toronto","ON","M6H 2G4",43.6744014,-79.4315547,"0","Portuguese, Restaurants, Food, Bakeries"
"25",186522,"Le Coq Rico","Montréal","QC","H2M 1P5",45.547047057,-73.6420729477,"1","Restaurants, Barbeque, Portuguese"
"26",90558,"Ital Pizza","Etobicoke","ON","M9R 2H1",43.6902521,-79.5617049,"0","Portuguese, Pizza, Restaurants"
"27",155090,"Ma Poule Mouillée","Montréal","QC","H2J 2J4",45.5252188,-73.5750686,"1","Restaurants, Portuguese"
"28",56220,"Churrasco of Portugal","Ajax","ON","L1T 0A9",43.8971681626,-79.033591604,"1","Barbeque, Portuguese, Restaurants, Food"
"29",31766,"Nando's Flame Grilled Chicken","Calgary","AB","T1Y 6M5",51.0811507159,-113.9872353842,"1","Restaurants, African, South African, American (Traditional), Chicken Wings, Portuguese"
"30",144960,"Rotisserie Piri Piri Plateau","Montréal","QC","H2J 1W1",45.5242539,-73.5828093,"1","Portuguese, Restaurants"
"31",8594,"3734","Montréal","QC","H4C 1P7",45.479002,-73.581785,"1","Cafes, Specialty Food, Restaurants, Delicatessen, Food, Mediterranean, Portuguese, Modern European, Breakfast & Brunch, Bistros"
"32",168192,"Fernanda's BBQ Chichen","Mississauga","ON","L5C 4E3",43.5681748639,-79.6662932262,"0","Portuguese, Restaurants"
"33",160022,"Les 3 Maria","Dollard-des-Ormeaux","QC","H8Y 3C7",45.5045656715,-73.8180620119,"1","Barbeque, Portuguese, Restaurants, Chicken Shop"
"34",50735,"Ferreira Café","Montréal","QC","H3A 1S8",45.5003193,-73.5741445,"1","Restaurants, Seafood, Italian, Modern European, Portuguese"
"35",167683,"Silva Grillades","Longueuil","QC","J4H 1C8",45.5385246,-73.5100854,"1","Portuguese, Restaurants"
"36",136866,"Cervéjaria","Boucherville","QC","J4B 0G6",45.5882285397,-73.4294742103,"1","Tapas Bars, Seafood, Portuguese, Restaurants"
"37",156381,"Iberia-Sur Restaurant","Toronto","ON","M6H 1A1",43.6542445,-79.4229429,"0","Restaurants, Portuguese, Argentine, Steakhouses"
"38",121753,"Moliceiro Restaurant","Toronto","ON","M6J 2Z8",43.6488321,-79.4204173,"1","Restaurants, Sandwiches, Chicken Shop, Portuguese"
"39",88293,"Courense Bakery","Toronto","ON","M6H 1M2",43.6609655,-79.4308594,"0","Bakeries, Portuguese, Restaurants, Food"
"40",62553,"Beira Mar","Laval","QC","H7T 1C5",45.549197,-73.76877,"0","Portuguese, Restaurants"
"41",185633,"Churrasqueira Grelha D'ouro","Brampton","ON","L6W 1V1",43.688504313,-79.7418001906,"1","Restaurants, Portuguese, Barbeque"
"42",191871,"Via Brasil Steakhouse on South Fort Apache and Charleston","Las Vegas","NV","89117",36.1568983622,-115.2919117492,"1","Diners, Desserts, Steakhouses, Food, Restaurants, Seafood, Buffets, Beer, Wine & Spirits, Brazilian, Portuguese"
"43",13005,"Sweet Tooth Tea House","Toronto","ON","M6N 1H8",43.674768,-79.4584266,"0","Restaurants, Food, Beer, Wine & Spirits, Portuguese, Coffee & Tea"
"44",105508,"Red Rooster Portuguese BBQ","Vaughan","ON","L6A 1W2",43.8545768,-79.5161502,"1","Chicken Shop, Restaurants, Portuguese, Barbeque"
"45",1201,"Nosso Talho","Toronto","ON","M6H 1M3",43.660933,-79.43225,"1","Butcher, Meat Shops, Food, Restaurants, Specialty Food, Portuguese, Grocery"
"46",49347,"Café Central Portugais","Montréal","QC","H2W 2A6",45.517546,-73.5789464,"1","Sports Bars, Portuguese, Bars, Restaurants, Cafes, Nightlife"
