"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",156595,"Bahía Centroamerica Restaurant","Las Vegas","NV","89146",36.159578,-115.208656,"1","Honduran, Salvadoran, Nicaraguan, Mexican, Latin American, Restaurants"
"2",160663,"El Buen Gusto","Las Vegas","NV","89101",36.1882094,-115.1165816,"1","Latin American, Restaurants, Salvadoran, Mexican"
"3",65908,"El Carbonero","Phoenix","AZ","85017",33.4951679345,-112.1182567355,"1","Salvadoran, Latin American, Restaurants"
"4",153449,"La Guanaquita","Montréal","QC","H8N 1T7",45.4285793,-73.629909,"1","Restaurants, Salvadoran, Latin American, Food"
"5",131957,"La Carreta","Montréal","QC","H2S 1L7",45.5348518,-73.6088861,"1","Salvadoran, Latin American, Canadian (New), Restaurants"
"6",72815,"Fruit Palace","Henderson","NV","89015",36.032499,-114.972222,"1","Salvadoran, Desserts, Food, Fast Food, Latin American, Restaurants, Mexican"
"7",174524,"La Providencia","Montréal","QC","H2R 1X1",45.5378306929,-73.6270617426,"1","Bakeries, Restaurants, Latin American, Salvadoran, Food"
"8",68729,"Miramar","Cleveland","OH","44111",41.4637757,-81.7588813,"0","Restaurants, Latin American, Salvadoran"
"9",130669,"La Casona Bar & Grill","Las Vegas","NV","89121",36.1153932,-115.1140608,"1","Dance Clubs, Latin American, Mexican, Bars, Nightlife, Restaurants, Salvadoran, Seafood"
"10",134792,"El Salvador 503","Las Vegas","NV","89146",36.1519891821,-115.243704021,"0","Restaurants, Spanish, Latin American, Salvadoran, Mexican"
"11",149652,"La Pupusa Loka","Toronto","ON","M3K 1E6",43.7303069,-79.466719,"1","Bars, Pubs, Restaurants, Nightlife, Latin American, Salvadoran"
"12",186543,"Iris","Montréal","QC","H2P 1T1",45.5395725,-73.6308094,"1","Restaurants, Salvadoran, Irish, Latin American"
"13",82217,"Pupuseria La Bendicion","Cleveland","OH","44111",41.4521182,-81.7589193,"1","Latin American, Colombian, Delis, Sandwiches, Imported Food, Food, Salvadoran, Ethnic Food, Restaurants, Specialty Food"
"14",141320,"Cuscatlan Latin American Cuisine","Toronto","ON","M3H 5T8",43.7751395352,-79.5258289434,"1","Salvadoran, Restaurants, Latin American"
"15",62415,"Santa Ana Cafe","Las Vegas","NV","89110",36.1729211,-115.061751,"1","Salvadoran, Latin American, Restaurants, Soul Food, Mexican"
"16",104294,"Morazan Restaurant","Charlotte","NC","28217",35.160745,-80.875748,"1","Salvadoran, Latin American, Restaurants, Spanish, Mexican"
"17",103283,"El Pulgarcito","Toronto","ON","M1S 3A7",43.7926683,-79.2591224,"1","Latin American, Restaurants, Salvadoran"
"18",71608,"Salsa Restaurant & Bar","Calgary","AB","T2A",51.0374175,-113.9841626,"1","Mexican, Bars, Nightlife, Salvadoran, Latin American, Restaurants"
"19",72365,"Mary's Restaurant","Phoenix","AZ","85009",33.4396524,-112.1128617,"1","Latin American, Mexican, Restaurants, Salvadoran"
"20",95654,"Cuzcatlan Restaurant","Charlotte","NC","28205",35.2117687,-80.7625127,"1","Latin American, Seafood, Spanish, Restaurants, Mexican, Salvadoran"
"21",126118,"El Chalateco","Montréal","QC","H2S 1S5",45.5348774,-73.6037492,"1","Latin American, Salvadoran, Restaurants"
"22",90211,"Restaurant Qué Querés","Montréal","QC","H2R 2N2",45.5414642,-73.6146105,"0","Restaurants, Latin American, Salvadoran"
