"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",114977,"Breakfast ING","Mississauga","ON","L5C 4E3",43.5680670047,-79.6662918851,"1","Breakfast & Brunch, Malaysian, Cafes, Sandwiches, Restaurants, Singaporean"
"2",101726,"Island Malaysian Cuisine","Las Vegas","NV","89103",36.125592,-115.211199,"1","Asian Fusion, Malaysian, Ethnic Food, Food, Specialty Food, Thai, Singaporean, Chinese, Restaurants"
"3",167066,"E-Tea - Bubble Tea and Singaporean Cuisine","Toronto","ON","M5T 1G6",43.6537169,-79.3950274,"0","Restaurants, Coffee & Tea, Food, Singaporean"
"4",89433,"Bali Restaurant","Richmond Hill","ON","L4B 1K9",43.8534828,-79.3839517,"1","Restaurants, Singaporean, Malaysian, Thai"
"5",29418,"Lion City Restaurant","Mississauga","ON","L5C 4P3",43.5670258133,-79.6595937386,"1","Indonesian, Singaporean, Restaurants, Malaysian, Thai"
"6",52076,"Phu Quoc Island Vietnamese Restaurant","Richmond Hill","ON","L4B 3Z4",43.8448702,-79.383705,"0","Thai, Tea Rooms, Singaporean, Restaurants, Soup, Vietnamese, Food"
"7",149962,"Gourmet Garden Restaurant","Scarborough","ON","M1S 5H9",43.7879399,-79.2658103,"0","Singaporean, Malaysian, Restaurants"
"8",42491,"Thai Villa","Aurora","ON","L4G 0H5",44.0150879,-79.4151795,"1","Restaurants, Malaysian, Thai, Singaporean"
"9",138644,"Pacific East Japanese And Maylaysian","Kent","OH","44240",41.1535545,-81.3580092,"1","Asian Fusion, Japanese, Chinese, Sushi Bars, Singaporean, Malaysian, Restaurants"
"10",12989,"Kid Lee","Toronto","ON","M9N 1L3",43.6487084957,-79.3814887517,"1","Food Court, Singaporean, Restaurants, Asian Fusion"
"11",42733,"Thai Villa Restaurant","Whitchurch-Stouffville","ON","L0H 1J0",43.9560867,-79.2767389,"1","Singaporean, Malaysian, Thai, Restaurants"
"12",134504,"Flock & Fowl","Las Vegas","NV","89101",36.1699583,-115.1397038,"1","American (New), Chicken Shop, Bars, Singaporean, Restaurants, Asian Fusion, Nightlife"
"13",187766,"Hawker Bar","Toronto","ON","M6J 2Z7",43.6482809,-79.4203829,"0","Australian, Nightlife, Bars, Restaurants, Cocktail Bars, Asian Fusion, Singaporean"
"14",122778,"Sun Penang","Pittsburgh","PA","15217",40.4382561,-79.9218667,"1","Restaurants, Singaporean, Malaysian"
"15",8493,"Satay Thai Bistro & Bar","Las Vegas","NV","89169",36.1181994101,-115.1542528015,"1","Malaysian, Asian Fusion, Dance Clubs, Singaporean, Thai, Nightlife, Chinese, Restaurants"
"16",76397,"Satay Brothers","Montréal","QC","H4C 2H6",45.4794723,-73.5768225,"1","Indonesian, American (New), Canadian (New), Asian Fusion, Restaurants, Singaporean, Malaysian"
"17",42466,"Satay Brothers","Montréal","QC","H4C 1P8",45.4792794164,-73.5816477612,"1","Malaysian, Indonesian, Restaurants, Singaporean, Asian Fusion, Canadian (New)"
"18",66000,"Gourmet Malaysia","Scarborough","ON","M1S 1V2",43.7885129161,-79.2665494794,"1","Restaurants, Indonesian, Singaporean, Halal, Malaysian"
"19",27528,"White Orchid","Richmond Hill","ON","L4B 3Y7",43.8417684,-79.3968244,"1","Thai, Malaysian, Chinese, Restaurants, Singaporean"
"20",147589,"Bagahon Singapore Bak Kwa Jerky","Markham","ON","L3R 0Y5",43.824173,-79.3055344,"0","Restaurants, Chinese, Malaysian, Ethnic Food, Specialty Food, Food, Singaporean"
"21",141932,"China Chili","Phoenix","AZ","85012",33.4858192,-112.0691361,"1","Restaurants, Malaysian, Singaporean, Chinese"
"22",41655,"Eat Jackpot","Toronto","ON","M5T 2E7",43.6536138,-79.398664,"0","Singaporean, Restaurants, Chinese, Nightlife, Bars, Pan Asian"
"23",165816,"New Oriental Recipes","Markham","ON","L3R 3P9",43.84985,-79.3476695,"1","Food, Restaurants, Ethnic Food, Singaporean, Specialty Food"
"24",87559,"Kim Jen Ming","Montréal","QC","H4A 3J1",45.473132,-73.600681,"1","Noodles, Food, Restaurants, Singaporean"
"25",7393,"Sweet & Spicy","Las Vegas","NV","89147",36.1154018,-115.2805173,"1","Asian Fusion, Chinese, Restaurants, Singaporean"
"26",111237,"Mamak Dang Malaysian Fusion Cuisine","Calgary","AB","T2G 0B6",51.0503479,-114.060811,"1","Singaporean, Restaurants, Asian Fusion, Malaysian"
"27",72788,"Wok To Go","Longueuil","QC","J4H 3M8",45.5335971206,-73.4913507075,"1","Vietnamese, Chinese, Restaurants, Singaporean"
