"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",68236,"Galito's Flame Grilled Chicken","Mississauga","ON","L4W 1E4",43.6397403013,-79.6270518377,"1","African, South African, Restaurants"
"2",163504,"The Pie Guyz","Brampton","ON","L6S 0C9",43.7507998,-79.7267107,"1","Restaurants, British, Indian, African, South African"
"3",31766,"Nando's Flame Grilled Chicken","Calgary","AB","T1Y 6M5",51.0811507159,-113.9872353842,"1","Restaurants, African, South African, American (Traditional), Chicken Wings, Portuguese"
"4",87213,"Milky Lane","Richmond Hill","ON","L4C 0M5",43.8639399879,-79.4354499131,"0","South African, African, Diners, Sandwiches, Restaurants, Desserts, Food, Coffee & Tea, Ice Cream & Frozen Yogurt, Comfort Food"
"5",176831,"Mnandi Pies","Toronto","ON","M5T 2W6",43.6521127399,-79.4046432429,"0","South African, Restaurants, Food Stands, African"
"6",111941,"Nando's","Calgary","AB","T3M 0T3",50.8977901727,-113.9411140233,"1","Chicken Shop, Sandwiches, African, Chicken Wings, South African, Portuguese, Restaurants"
"7",73245,"Very Peri Chicken","Toronto","ON","M1T 3K8",43.7800117,-79.2998901,"1","African, Restaurants, Portuguese, Pakistani, South African, Chicken Shop, Halal"
"8",54346,"Chick Fiesta","Scarborough","ON","M1H 2R5",43.7616208,-79.2257096,"1","Portuguese, Chicken Shop, African, South African, Restaurants"
"9",152782,"Chiamaka Food","Las Vegas","NV","89119",36.0986458,-115.1360641,"1","African, South African, Restaurants"
"10",180734,"Nando's","Oakville","ON","L6H 6K7",43.4845818,-79.7145772,"1","South African, African, Portuguese, Restaurants"
"11",161244,"Nando's Flame Grilled Chicken","Toronto","ON","M5S 1Z6",43.6617048,-79.3862897,"1","South African, Restaurants, African, American (Traditional), Portuguese, Chicken Wings"
"12",122995,"Nando's","Toronto","ON","M6J 1G1",43.646351,-79.4069366,"1","African, South African, Restaurants, Portuguese"
"13",135928,"Nandos Danforth","Toronto","ON","M4J 1L3",43.678817,-79.34451,"1","Restaurants, Portuguese, African, South African"
"14",30430,"Nando's Flame Grilled Chicken","Toronto","ON","M4G 4E8",43.7130336385,-79.3597540197,"1","Restaurants, American (Traditional), Chicken Wings, South African, African, Portuguese, Barbeque"
"15",42972,"Barcelos Flame Grilled Chicken","Calgary","AB","T3R 0S4",51.1691149244,-114.1453330695,"1","Portuguese, Restaurants, African, South African"
"16",91689,"Nando's Flame Grilled Chicken","Richmond Hill","ON","L4C 5T2",43.8612015894,-79.4343149423,"1","Halal, African, American (Traditional), Restaurants, South African, Portuguese"
