"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",187969,"Mi Peru South American Grill","Henderson","NV","89012",36.0230899638,-115.0489987523,"1","Restaurants, American (Traditional), Spanish, Latin American, Peruvian"
"2",81880,"Arpa","Charlotte","NC","28202",35.2279912,-80.843388,"0","Basque, Spanish, Tapas Bars, Wine Bars, Nightlife, Bars, Restaurants"
"3",20336,"Mesón","Montréal","QC","H2R 2C7",45.5400188,-73.6235891,"1","Spanish, Breakfast & Brunch, Restaurants"
"4",98501,"Toro Toro","Montréal","QC","H2Y 1T6",45.5029256099,-73.558037281,"0","Spanish, Restaurants, Tapas/Small Plates"
"5",46415,"Sabor Tapas Lounge","Glendale","AZ","85308",33.6538699,-112.1862539,"0","Restaurants, Spanish"
"6",125045,"Reyna","Toronto","ON","M5H 3K6",43.6503522,-79.3837951,"1","Salad, Shopping, Public Markets, Mediterranean, Tapas/Small Plates, Spanish, Food, Restaurants, Nightlife, Cocktail Bars, Bars"
"7",97797,"Estrellón","Madison","WI","53703",43.0743805808,-89.3903519958,"1","Spanish, Tapas Bars, Restaurants, Basque, Cafes"
"8",73665,"Sol Y Sombra","Scottsdale","AZ","85250",33.519588,-111.909524,"0","Basque, Restaurants, Bars, Lounges, Spanish, Nightlife"
"9",81227,"Adega Restaurante","Toronto","ON","M5G 1H1",43.6573112,-79.3832292,"1","Restaurants, Portuguese, Spanish"
"10",146212,"Tapeo","Montréal","QC","H2R 1H5",45.5415392,-73.6226968,"1","Restaurants, Tapas Bars, Spanish"
"11",156402,"El New Yorican Central Catering & Delivery","Peoria","AZ","85345",33.5810937434,-112.2404557094,"0","Restaurants, Puerto Rican, Spanish, Caribbean"
"12",20366,"Pilón Dominican Kitchen","Concord","NC","28025",35.3834685,-80.5844283,"0","Dominican, Restaurants, Spanish, Caribbean"
"13",83214,"Sole","Charlotte","NC","28263",35.22711,-80.84351,"0","Basque, Spanish, Restaurants"
"14",48875,"Morcilla","Pittsburgh","PA","15201",40.4645572158,-79.9661576054,"1","Spanish, Restaurants"
"15",73167,"Ibéricos","Montréal","QC","H2J 2L2",45.5239019496,-73.5824299604,"1","Tapas Bars, Specialty Food, Food, Spanish, Imported Food, Restaurants"
"16",28055,"Casa Galicia","Montréal","QC","H2X 3K8",45.516671,-73.566597,"1","Restaurants, Spanish, Basque"
"17",189294,"El Tenedor","Toronto","ON","M4W 2H2",43.6749085,-79.3884712,"1","Nightlife, Restaurants, Bars, Wine Bars, Spanish"
"18",29376,"Bar Raval","Toronto","ON","M6G 1A4",43.6559438483,-79.4100996852,"1","Restaurants, Nightlife, Spanish, Bars, Tapas Bars, Cocktail Bars, Tapas/Small Plates"
"19",81807,"Labora Restaurant","Toronto","ON","M5V 1K4",43.6451109,-79.3953411,"1","Nightlife, Spanish, Bars, Restaurants, Tapas Bars"
"20",106625,"Talavera","Scottsdale","AZ","85262",33.731996,-111.8537854,"1","American (New), Restaurants, Steakhouses, Spanish, Tapas/Small Plates"
"21",23844,"Arepas Grill","Charlotte","NC","28217",35.1763731,-80.8800294,"1","Restaurants, Latin American, Basque, Bakeries, Food, Spanish, Venezuelan, Vegetarian"
"22",151384,"Sabor de Puerto Rico","Charlotte","NC","28208",35.2463499037,-80.9040200338,"1","Puerto Rican, Restaurants, Spanish, Caribbean"
"23",83200,"Restaurant Les Pyrénées","Montréal","QC","H2Y 2A3",45.5012927,-73.5560523,"1","French, Restaurants, Spanish"
"24",134792,"El Salvador 503","Las Vegas","NV","89146",36.1519891821,-115.243704021,"0","Restaurants, Spanish, Latin American, Salvadoran, Mexican"
"25",36433,"Bodega 13","Carefree","AZ","85377",33.8258928,-111.9244293,"0","Nightlife, Restaurants, Modern European, Tapas Bars, Tapas/Small Plates, Cocktail Bars, Spanish, Bars"
"26",171901,"Segovia Restaurant","Toronto","ON","M4Y 1W5",43.665070327,-79.385549616,"0","Restaurants, Spanish, Tapas Bars"
