"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",76638,"Canbe Foods","Ajax","ON","L1Z 0L9",43.8836886954,-79.0172266692,"1","Indian, Restaurants, Sri Lankan"
"2",22133,"Banana Leaf Catering and Take Out","Scarborough","ON","M1H 2Y2",43.7672196,-79.2288708,"1","Restaurants, Sri Lankan"
"3",132454,"Sahana's Srilankan and South Indian Fusion","Calgary","AB","T1Y 6Z1",51.0798067,-113.9979131,"0","Indian, Sri Lankan, Restaurants"
"4",143190,"Gasa Resturant","Markham","ON","L3X 0B5",43.848985,-79.251394,"1","Sri Lankan, Indian, Restaurants"
"5",41882,"Ceylon Flavor","Toronto","ON","M1X 0A5",43.8363841,-79.2510473,"0","Asian Fusion, Ethnic Food, Health Markets, Specialty Food, Restaurants, Caribbean, Indian, Sri Lankan, Southern, Food"
"6",127539,"Restaurant Jolee","Montréal","QC","H3W 2P9",45.4918169,-73.6312684,"1","Indian, Sri Lankan, Restaurants"
"7",58085,"Poorani Vilaas","Toronto","ON","M1X 0A7",43.8365383,-79.2496081,"1","Restaurants, Indian, Sri Lankan"
"8",134722,"Golden Taste of Asia","Bradford West Gwillimbury","ON","L3Z 1J2",44.111527,-79.576007,"1","Indian, Restaurants, Sri Lankan, Southern"
"9",188367,"Masala Bhavan","Calgary","AB","T3E 3C9",51.0130118841,-114.1401257646,"1","Vegetarian, Restaurants, Chinese, Hakka, Bars, Nightlife, Pakistani, Indian, Sri Lankan"
"10",32643,"Mooon Rice","Mississauga","ON","L5B 3Z6",43.5779732,-79.6214787,"1","Restaurants, Sri Lankan, Indian"
"11",157193,"New Spiceland Restaurant","Toronto","ON","M1X 0B1",43.8365904448,-79.2486990988,"1","Indian, Sri Lankan, Restaurants"
"12",15611,"Nantha Caters","Scarborough","ON","M1W 3P7",43.7965339,-79.3167447,"1","Sri Lankan, Restaurants, Indian"
"13",102086,"Taste & Spicy","Toronto","ON","M1V 5K1",43.8277451903,-79.2877054587,"0","Caterers, Event Planning & Services, Sri Lankan, Restaurants"
"14",138639,"Hopper Hut","Scarborough","ON","M1P 2W6",43.7660006,-79.2820232,"1","Salad, Indian, Pakistani, Restaurants, Sri Lankan"
"15",40438,"Rusi","Toronto","ON","M5C 3C5",43.6490655,-79.37693,"1","Sri Lankan, Restaurants"
"16",176396,"Araliya Take-out & Catering","Toronto","ON","M1S 5E8",43.8122294,-79.2495952,"0","Caterers, Sri Lankan, Indian, Restaurants, Event Planning & Services"
"17",115023,"SLS Eazy Carry","Mississauga","ON","L5M 2G6",43.5832516317,-79.7294022515,"1","Indian, Sri Lankan, Restaurants"
"18",102343,"Kottu Kadai","Toronto","ON","M1X 0A6",43.8363264,-79.2504891,"1","Restaurants, Indian, Specialty Food, Food, Sri Lankan"
"19",144866,"Canbe Foods","Scarborough","ON","M1H 2V5",43.7738866,-79.2462162,"1","Food, Indian, Grocery, Restaurants, Sri Lankan"
"20",24307,"Thinusha","Brampton","ON","L6W 3G2",43.6860989,-79.7376215,"1","Imported Food, Indian, Specialty Food, Sri Lankan, Restaurants, Food, Ethnic Food"
"21",21486,"Annapoorna","Mississauga","ON","L5V 0A5",43.5948478,-79.6851588,"1","Restaurants, Indian, Asian Fusion, Sri Lankan"
"22",113973,"Taste of Jaffna","Scarborough","ON","M1H 2Y2",43.7669769,-79.2287758,"1","Sri Lankan, Restaurants, Indian, Caterers, Event Planning & Services"
"23",60088,"Touch Down Foods","Toronto","ON","M1B 2G1",43.8075868,-79.2345232,"1","Grocery, Imported Food, Food, Sri Lankan, Specialty Food, Ethnic Food, Desserts, Restaurants"
"24",29125,"Rashnaa Restaurant","Toronto","ON","M4X 1H2",43.668096,-79.368979,"0","Pakistani, Restaurants, Sri Lankan, Indian"
"25",131047,"Thavas Boite à Curry","Montréal","QC","H3G 2E2",45.4962872,-73.57578,"0","Sri Lankan, Indian, Restaurants"
"26",81949,"Nama Bar & Kitchen","Montréal","QC","H2X 3L1",45.5174507,-73.5681999,"1","Sri Lankan, Restaurants, Nightlife, Bars"
"27",52676,"Nantha Caters","Toronto","ON","M1V",43.8271892,-79.2909971,"1","Indian, Sri Lankan, Restaurants"
"28",179481,"5 Spice Dining","Toronto","ON","M1X 1E6",43.8233758093,-79.248042294,"1","Indian, Pan Asian, Restaurants, Sri Lankan"
