"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",56506,"Cha Me Cha","Markham","ON","L3R 1J5",43.8563274289,-79.3038838729,"1","Bubble Tea, Food, Restaurants, Taiwanese, Coffee & Tea"
"2",55428,"KooKoo Chicken","Mississauga","ON","L5M 4Z1",43.586622408,-79.6990653767,"0","Chinese, Restaurants, Taiwanese"
"3",20272,"Papa Chang's Express","Markham","ON","L3R 0N8",43.8252272021,-79.304227531,"1","Taiwanese, Restaurants, Japanese"
"4",87117,"Cun Wei Chinese Restaurant","Markham","ON","L6C 0A2",43.8891304078,-79.3148598075,"0","Noodles, Taiwanese, Chinese, Restaurants"
"5",98194,"Enerje Bubble Tea Cafe","Calgary","AB","T3J",51.0990089086,-113.9556113631,"0","Taiwanese, Food, Coffee & Tea, Cafes, Restaurants, Pizza"
"6",129713,"Chatime","Calgary","AB","T2L 1K8",51.0870403404,-114.1283447112,"1","Restaurants, Bubble Tea, Food, Coffee & Tea, Cafes, Taiwanese"
"7",51227,"Taiwanese Bistro Cafe 33","Pittsburgh","PA","15217",40.4376110828,-79.9191114697,"1","Noodles, Seafood, Restaurants, Taiwanese"
"8",66483,"teashop 168","Toronto","ON","M5T 1S2",43.6576853,-79.4023603,"1","Taiwanese, Cafes, Restaurants, Coffee & Tea, Food"
"9",169824,"Ten Ren's Tea","Toronto","ON","M6A 2T9",43.8765007,-79.4115633,"1","Tea Rooms, Coffee & Tea, Food, Taiwanese, Restaurants"
"10",97925,"Taiwan Little Eats","Madison","WI","53703",43.0749538,-89.3907598,"1","Taiwanese, Bubble Tea, Restaurants, Asian Fusion, Chinese, Food"
"11",169492,"China Sea by CSU","Cleveland","OH","44115",41.5012603,-81.6774073,"1","Social Clubs, Chinese, Arts & Entertainment, Food, Bubble Tea, Restaurants, Taiwanese"
"12",148685,"Ô Thé","Saint-Laurent","QC","H4L 3L2",45.509813,-73.675366,"1","Restaurants, Coffee & Tea, Bubble Tea, Taiwanese, Food, Bakeries"
"13",129935,"Bubble Republic Tea House","Mississauga","ON","L5C 3Y8",43.5681185051,-79.6663337946,"1","Food, Taiwanese, Restaurants, Bubble Tea, Coffee & Tea, Tea Rooms"
"14",156644,"I Tea Cafe","Pittsburgh","PA","15232",40.4521797,-79.9342336,"1","Bubble Tea, Juice Bars & Smoothies, Taiwanese, Coffee & Tea, Restaurants, Food"
"15",77520,"Taipei South","Charlotte","NC","28210",35.092986,-80.8591842,"1","Taiwanese, Chinese, Restaurants"
"16",149998,"Chan Yang","Toronto","ON","M2N 7A1",43.7743736325,-79.4140428131,"0","Restaurants, Asian Fusion, Taiwanese"
"17",62682,"Booming Pot Noodles","Las Vegas","NV","89102",36.1268272,-115.2075436,"0","Taiwanese, Restaurants, Chinese, Soup"
"18",188522,"Hoja LuWei","Toronto","ON","M6G 1K8",43.6644506,-79.4137859,"0","Taiwanese, Restaurants"
"19",59947,"Sesame & Soy","Cleveland","OH","44113",41.4823993,-81.6871554,"1","Chinese, Restaurants, Taiwanese"
"20",149522,"Ten Ren's Tea","Thornhill","ON","L3T 0A2",43.841488,-79.391353,"1","Food, Restaurants, Coffee & Tea, Tea Rooms, Taiwanese, Chinese, Nightlife"
"21",165627,"Green Grotto","Vaughan","ON","L4H 3T8",43.8275413,-79.5511004,"1","Bubble Tea, Restaurants, Internet Cafes, Taiwanese, Food"
"22",68690,"Nudo","Montréal","QC","H2Z 1J6",45.5083011,-73.560133,"1","Restaurants, Taiwanese, Chinese"
"23",77295,"Beef Noodle King","Markham","ON","L6G 0A4",43.8478088,-79.348674,"0","Taiwanese, Restaurants, Chinese"
"24",82571,"Hot Point Fusion Cafe","Calgary","AB","T2G 0A4",51.0146975,-114.0645,"1","Asian Fusion, Restaurants, Chinese, Coffee & Tea, Food, Taiwanese, Hot Pot, Cafes"
"25",72779,"TenRen Tea","Toronto","ON","M2N 6Z6",43.7687386,-79.4121421,"1","Food, Taiwanese, Restaurants, Coffee & Tea, Tea Rooms"
"26",91408,"Tea Station","Las Vegas","NV","89102",36.125964,-115.1976,"1","Chinese, Restaurants, Taiwanese, Juice Bars & Smoothies, Coffee & Tea, Bubble Tea, Desserts, Food, Tea Rooms"
"27",27314,"Chopsticks House","Toronto","ON","M4Y 1E7",43.664923,-79.3851073,"0","Restaurants, Chinese, Noodles, Seafood, Taiwanese"
"28",138535,"Nos Thés","Montréal","QC","H2L 2H1",45.5186956,-73.5561635,"0","Bubble Tea, Food, Tea Rooms, Restaurants, Taiwanese"
"29",121278,"Icy Juicy","Las Vegas","NV","89146",36.1266569491,-115.2242819387,"1","Bubble Tea, Coffee & Tea, Food, Restaurants, Taiwanese"
"30",160295,"Tavernakaya","Madison","WI","53703",43.074343,-89.381956,"1","Japanese, Asian Fusion, Restaurants, Bars, Taiwanese, Cocktail Bars, Pubs, Nightlife, Chinese, Sushi Bars"
"31",104510,"Zheng Qing Qiao","Montréal","QC","H2Z 1Y2",45.5075526631,-73.5618257056,"0","Chinese, Soup, Fast Food, Taiwanese, Restaurants"
"32",191156,"One Stop Seat","North York","ON","M2N 5P6",43.7703586,-79.4133914,"0","Bars, Food, Restaurants, Taiwanese, Coffee & Tea, Nightlife"
"33",139301,"Running Pig","Markham","ON","L3R 1K9",43.8186557443,-79.3304511532,"1","Japanese, Taiwanese, Restaurants"
"34",935,"One Two Snack","Toronto","ON","M2N 7L4",43.7755828922,-79.4134399477,"1","Restaurants, Asian Fusion, Street Vendors, Juice Bars & Smoothies, Japanese, Food Stands, Taiwanese, Food"
"35",184193,"Papa Chang's Take Out and Catering","Markham","ON","L3R 3L4",43.8341669,-79.3323853,"1","Chinese, Food, Coffee & Tea, Restaurants, Taiwanese"
"36",43389,"Sugar Marmalade","Montréal","QC","H3G 2E3",45.4959047324,-73.5755065084,"0","Bubble Tea, Food, Desserts, Chinese, Restaurants, Taiwanese"
"37",148883,"Ku Noodle by José Andrés","Las Vegas","NV","89109",36.1427564,-115.1578748,"0","Japanese, Chinese, Asian Fusion, Taiwanese, Restaurants, Ramen"
