"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",68431,"Sofra Mediterranean Cuisine","Richmond Hill","ON","L4E 0T8",43.9137233065,-79.4738390741,"1","Mediterranean, Restaurants, Middle Eastern, Turkish"
"2",123650,"Pita Gourmet","Montréal","QC","H2S 1Z4",45.5322357611,-73.5975787416,"1","Restaurants, Turkish, Greek, Middle Eastern, Mediterranean, Lebanese, Kebab, Sandwiches"
"3",157073,"Pizza Zozan","Vaughan","ON","L4H",43.8341051021,-79.5572428371,"0","Pizza, Restaurants, Turkish"
"4",156980,"Café Replika","Montréal","QC","H2W 1E5",45.5204940225,-73.5794209852,"1","Turkish, Cafes, Restaurants, Food"
"5",147073,"Restaurant Kebab Express","Montréal","QC","H3T 1Y8",45.4977296,-73.6252734,"1","Turkish, Restaurants"
"6",13912,"The Doner Kebab House","Pittsburgh","PA","15213",40.4364494,-79.9544242,"0","Restaurants, Turkish"
"7",158519,"Ephesus Pizza - Pittsburgh","Pittsburgh","PA","15222",40.4399009,-80.0023653,"1","Pizza, Mediterranean, Food, Turkish, Food Delivery Services, Restaurants"
"8",158610,"Home Sweet Home","Toronto","ON","M3J 3A7",43.7552182,-79.4685428,"1","Turkish, Mediterranean, Restaurants, Halal"
"9",178270,"Anatolia Cafe","Cleveland Heights","OH","44118",41.4977513,-81.5655053,"1","Mediterranean, Restaurants, Middle Eastern, Turkish"
"10",81340,"Chef Greywolf","University Heights","OH","44118",41.494428,-81.5475371,"1","Food Trucks, Mediterranean, Restaurants, Turkish, Street Vendors, Food"
"11",68194,"Sofia - Istanbul Grill","Vaughan","ON","L4K 2Y7",43.7829713,-79.4898389,"0","Turkish, Modern European, Restaurants"
"12",28711,"Adana Shawarma & Grill","Calgary","AB","T2T 0A7",51.037657,-114.085132,"0","Restaurants, Falafel, Turkish, Mediterranean"
"13",62139,"Chef 47","Toronto","ON","M3K 1E6",43.7304223,-79.4663674,"1","Turkish, Restaurants"
"14",27646,"Holy Land Mediterranean Grill","Champaign","IL","61820",40.1221403,-88.243543,"0","Mediterranean, Turkish, Restaurants, Middle Eastern"
"15",8713,"Mersin Mediterranean Cuisine","Toronto","ON","M6P 1A6",43.6558598,-79.4556316,"0","Turkish, Restaurants, Mediterranean"
"16",124466,"Istanbul","Pittsburgh","PA","15201",40.4701982,-79.9605128,"0","Turkish, Middle Eastern, Restaurants"
"17",75315,"Mr Zagros","Toronto","ON","M6L 1A4",43.708955,-79.4773587584,"1","Restaurants, Turkish, Mediterranean, Kebab"
"18",2133,"Istanbul Grille","Pittsburgh","PA","15222",40.4423622,-80.0002018,"0","Middle Eastern, Restaurants, Turkish, Mediterranean"
"19",84642,"Forbes Gyro","Pittsburgh","PA","15213",40.4414677,-79.9574362,"1","Food, American (New), Pizza, Restaurants, Ice Cream & Frozen Yogurt, Turkish, Middle Eastern"
"20",91688,"Troy Mediterranean Grill","Charlotte","NC","28273",35.145733,-80.936552,"0","Restaurants, Mediterranean, Turkish, Greek"
"21",87223,"Restaurant TGV","Montréal","QC","H1S 1K4",45.572998,-73.586169,"1","Halal, Turkish, Mediterranean, Restaurants"
"22",4116,"Kabab House","Phoenix","AZ","85032",33.6412984,-112.0063922,"0","Lebanese, Restaurants, Mediterranean, Middle Eastern, Food, Arabian, Juice Bars & Smoothies, Halal, Turkish, Greek"
"23",107173,"Mr Zagros","Vaughan","ON","L4J 8W1",43.8470324554,-79.4598543271,"1","Donairs, Food, Middle Eastern, Mediterranean, Turkish, Restaurants"
"24",109081,"Istanbul Grille","Pittsburgh","PA","15215",40.4416716211,-79.9979904477,"1","Turkish, Restaurants, Delis"
"25",77103,"Leaf Donair House","Mississauga","ON","L5E 4E4",43.5818697,-79.6184997,"0","Restaurants, Turkish"
"26",170642,"Hubbly Bubbly Hookah Bar & Lounge","Tempe","AZ","85281",33.413166,-111.90956,"1","Hookah Bars, Turkish, Restaurants, Nightlife, Karaoke, Bars"
"27",148327,"Yalova","Montréal","QC","H3T 1Y5",45.4969352,-73.6236614,"0","Cafes, Turkish, Breakfast & Brunch, Restaurants"
"28",57386,"Koza Kebab & Grill House","Toronto","ON","M2M 3X4",43.794230278,-79.4201155779,"0","Middle Eastern, Turkish, Mediterranean, Restaurants"
"29",162680,"Metin Chef Mediterranean Restaurant","Vaughan","ON","L4K 5Y6",43.8290106751,-79.5375022665,"1","Kebab, Mediterranean, Restaurants, Middle Eastern, Turkish"
"30",36996,"Best Istanbul Kebab Doner Pide","Toronto","ON","M3M",43.7267230644,-79.4821719825,"1","Turkish, Restaurants"
"31",51064,"Best Bite Bar & Grill","Toronto","ON","M9C 5K5",43.653043,-79.6005931,"1","Pubs, Turkish, Nightlife, Bars, American (Traditional), Restaurants"
"32",66252,"Beyti Kebab","Mississauga","ON","L4X 2Z3",43.6148396581,-79.5772702079,"1","Restaurants, Turkish, Mediterranean, Middle Eastern"
"33",4098,"Euro Shawarma","Toronto","ON","M3M 3G5",43.7257250991,-79.4820323753,"1","Restaurants, Turkish"
"34",124067,"Euro Grill & Cafe","Charlotte","NC","28205",35.2189966,-80.797147,"1","American (New), Turkish, Modern European, American (Traditional), Restaurants, Mediterranean"
"35",82356,"Shwrap","Mississauga","ON","L5N 0B1",43.5931073007,-79.7883433193,"0","Turkish, Restaurants, Mediterranean, Middle Eastern"
"36",164802,"Antioch Shawarma","Toronto","ON","M3K 2B5",43.7543301,-79.4685369,"1","Restaurants, Middle Eastern, Turkish, Kebab"
"37",16104,"Istanbul Mediterranean Cuisine","Champaign","IL","61822",40.0816364,-88.2963618,"0","Mediterranean, Restaurants, Turkish"
"38",123209,"Kroran Uyghur Cuisine","Toronto","ON","M1P 2G7",43.7586616,-79.2888924,"1","Chinese, Halal, Restaurants, Turkish"
"39",89035,"Turkish Grill","Toronto","ON","M3K 1E8",43.7308846,-79.465716,"0","Turkish, Restaurants"
"40",15479,"Kebab Time","North York","ON","M2R 2A5",43.792466,-79.445073,"1","Turkish, Restaurants, Sandwiches, Middle Eastern, Mediterranean, Seafood"
