"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",32114,"Prince Restaurant","Las Vegas","NV","89103",36.1140708,-115.2409255,"1","American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
"2",22586,"Moldova Restaurant","North York","ON","M3H 5T5",43.7820293,-79.4712674,"1","Ukrainian, Restaurants, Russian, Modern European"
"3",68876,"Caspi Restaurant","Toronto","ON","M3J 3G9",43.7823849454,-79.4892023396,"1","Food, Russian, Ukrainian, Specialty Food, Restaurants"
"4",32465,"Baby Point Lounge","Toronto","ON","M6S 3Z3",43.6573337,-79.4873715,"1","Venues & Event Spaces, Ukrainian, Event Planning & Services, Caterers, Restaurants"
"5",141133,"Kiev Restaurant","Vaughan","ON","L4K 3B9",43.7879311,-79.4718826,"1","Ukrainian, Restaurants, Russian"
"6",66091,"Soup & Sausage Bistro","Phoenix","AZ","85022",33.6068355,-112.0656616,"1","Modern European, Polish, Restaurants, Ukrainian"
"7",135721,"Zagloba Deli & Restaurant","Mississauga","ON","L4Y 4C4",43.6088907,-79.5822314,"1","Ukrainian, Delis, Russian, Sandwiches, Polish, Restaurants"
"8",107265,"All Pierogi Kitchen & Euro Market","Mesa","AZ","85202",33.3781389,-111.8613802,"1","Ethnic Food, Food Delivery Services, Food, Restaurants, Polish, Specialty Food, Event Planning & Services, Caterers, Grocery, Ukrainian, Russian"
"9",172812,"Schnitzel Hub Express","Toronto","ON","M5S 1X5",43.6659756,-79.4077326,"0","Ukrainian, Modern European, Middle Eastern, Restaurants, Bars, Fast Food, Sandwiches, Nightlife, German"
"10",110217,"Green Dacha Grill & Hookah","Las Vegas","NV","89103",36.0998469,-115.220449,"0","Ukrainian, Nightlife, Mediterranean, Restaurants, Hookah Bars, American (Traditional), Mexican, Bars, Russian"
"11",98476,"Ukrainian Fine Food","Calgary","AB","T2G 4A9",51.0173365,-114.0531681,"1","Ukrainian, Restaurants"
"12",14716,"Natalie's Kitchen","Etobicoke","ON","M9A 3W6",43.6735777,-79.5490243,"1","Sandwiches, Food, Event Planning & Services, Restaurants, Ukrainian, Caterers, Local Flavor, Canadian (New), Delis"
"13",20065,"Crepes Club","Toronto","ON","M5T 1L3",43.6558431,-79.3938967,"1","Polish, Ukrainian, Breakfast & Brunch, Delicatessen, Restaurants, Russian, Cafes, Salad, Food"
"14",44265,"Zytynsky's Deli","Montréal","QC","H1X 3A6",45.5559231,-73.58537,"1","Specialty Food, Delis, Restaurants, Ukrainian, Sandwiches, Food"
"15",115081,"Chopin Restaurant","Toronto","ON","M6R 2L3",43.6442149,-79.4480908,"1","Polish, Restaurants, Ukrainian"
"16",174954,"Perogy Boyz","Calgary","AB","T2P",51.0515385453,-114.0713882446,"1","Restaurants, Polish, Food Stands, Ukrainian, Food, Street Vendors"
"17",110586,"Schnitzel Hub","Toronto","ON","M4T 1Y7",43.6873613,-79.3936296,"1","Restaurants, German, Ukrainian, Modern European, Russian"
"18",77895,"Olesia's Place","North Royalton","OH","44133",41.3165918,-81.7700952,"1","Modern European, Ukrainian, Restaurants, American (New)"
