"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",8890,"Sabor Latin Street Grill - Davidson","Davidson","NC","28036",35.5017212,-80.8610002,"1","Mexican, Restaurants, Venezuelan, Latin American"
"2",123267,"Pabellon","Pittsburgh","PA","15216",40.4021,-80.0414641,"1","Latin American, Venezuelan, Mexican, Restaurants"
"3",120524,"La Taguara Johnson","Madison","WI","53703",43.0837417,-89.3769002,"1","Caribbean, Colombian, Latin American, Restaurants, Brazilian, Cuban, Venezuelan"
"4",23844,"Arepas Grill","Charlotte","NC","28217",35.1763731,-80.8800294,"1","Restaurants, Latin American, Basque, Bakeries, Food, Spanish, Venezuelan, Vegetarian"
"5",140483,"Sabor Latin Street Grill - Pineville","Pineville","NC","28134",35.0884141,-80.8721544,"1","Mexican, Latin American, Venezuelan, Restaurants"
"6",91366,"Parthenon Bakery","Calgary","AB","T3E 3B3",51.0292542,-114.1421267,"1","Latin American, Venezuelan, Restaurants, Food, Bakeries, Grocery"
"7",42853,"Rika Arepa Express","Las Vegas","NV","89121",36.115773504,-115.0957367136,"1","Venezuelan, Food Trucks, Vegan, Gluten-Free, Latin American, Food, Restaurants, Street Vendors"
"8",22949,"Arepazo Express","Toronto","ON","M5T 2L6",43.6533779,-79.4012455,"0","Canadian (New), Venezuelan, Gluten-Free, Restaurants, Latin American, Sandwiches, Colombian"
"9",169387,"La Taguara","Madison","WI","53704",43.1146792,-89.3285605,"1","Restaurants, Colombian, Venezuelan, Latin American, Caribbean"
"10",84304,"Gordo EX Cafe","Toronto","ON","M5R 3G7",43.6722312,-79.4143193,"1","Venezuelan, Restaurants, Latin American"
"11",13504,"Cacique Grill","Montréal","QC","H2T",45.5200929437,-73.5864438862,"1","Latin American, Venezuelan, Restaurants"
"12",108049,"Mr. Cooker","Las Vegas","NV","89044",35.9208835,-115.1652008,"1","Latin American, Restaurants, Food Trucks, Venezuelan, Food"
"13",57816,"Barroco","Cleveland","OH","44120",41.4874122,-81.5937045,"1","Colombian, Bars, Nightlife, Venezuelan, Latin American, Restaurants, Caribbean"
"14",174617,"Pomarosa Coffee Shop & Kitchen","Toronto","ON","M4J 1N4",43.683242,-79.32545,"1","Coffee & Tea, Cafes, Latin American, Food, Restaurants, Venezuelan, Sandwiches"
"15",89384,"Arepera","Montréal","QC","H2X 1B4",45.5147831155,-73.5720007059,"1","Vegetarian, Gluten-Free, Restaurants, Venezuelan, Latin American, Vegan"
"16",158336,"Arepa Café","Toronto","ON","M5V 2B3",43.6479538471,-79.4008710352,"1","Latin American, Salad, Coffee & Tea, Desserts, Venezuelan, Restaurants, Food"
"17",147584,"Que Chevere","Phoenix","AZ","85014",33.5083316,-112.0565795,"1","Event Planning & Services, Food Trucks, Food, Caterers, Venezuelan, Restaurants, Latin American"
"18",75326,"Tostadas Grill","Toronto","ON","M6B 3S7",43.7077512821,-79.4537546486,"1","American (Traditional), Venezuelan, Restaurants, Latin American"
"19",5910,"Cachitos","Montréal","QC","H2X 3V4",45.5098058,-73.5640372,"1","Food, Bakeries, Venezuelan, Restaurants, Cafes, Latin American"
"20",143254,"Bocadillo","Montréal","QC","H2S 3C7",45.533132,-73.615348,"1","Latin American, Restaurants, Venezuelan"
"21",115494,"Street Dogs","Las Vegas","NV","",36.169478833,-115.1410046428,"0","Venezuelan, Food Trucks, Food, Restaurants, Latin American"
"22",84757,"Viva Las Arepas","Las Vegas","NV","89104",36.1518972,-115.1525341,"1","Latin American, Venezuelan, Food Stands, Restaurants"
"23",161857,"Cà Phê Con Leche","Montréal","QC","H2S 2L7",45.533654,-73.598045,"0","Restaurants, Coffee & Tea, Latin American, Food, Vietnamese, Venezuelan"
"24",165034,"Lucy's Bake & Deli","Stallings","NC","28104",35.0841220633,-80.6968826411,"1","Ethnic Food, Food, Latin American, Bakeries, Restaurants, Sandwiches, Venezuelan, Specialty Food, Colombian"
"25",162097,"Sabor Latin Street Grill - Huntersville","Huntersville","NC","28078",35.408391,-80.8629505,"1","Latin American, Restaurants, Mexican, Venezuelan"
