"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",116415,"Panera Bread","Richmond Hill","ON","L4C 5G2",43.8568578495,-79.4344568253,"1","Salad, Bagels, Breakfast & Brunch, Sandwiches, Food, Bakeries, Soup, Restaurants"
"2",177308,"New York Bagels 'N Bialys","Scottsdale","AZ","85253",33.5796797,-111.9275444,"1","Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels"
"3",62236,"Dunkin' Donuts","Moon","PA","15108",40.5157666,-80.2216573,"1","Bagels, Donuts, Coffee & Tea, Breakfast & Brunch, Restaurants, Food"
"4",53529,"Einstein Bros Bagels","Las Vegas","NV","89119",36.0574675327,-115.1207419292,"1","Restaurants, Pizza, Food, Bagels, Sandwiches, Breakfast & Brunch"
"5",7207,"Winchell's Donut House","Las Vegas","NV","89146",36.1282146,-115.2252957,"1","Sandwiches, Food, Donuts, Bagels, Restaurants"
"6",153541,"Bagel St-Lo","Montréal","QC","H4H 1K6",45.4529067,-73.5724513,"1","Food, Internet Cafes, Bagels"
"7",150322,"Patisserie Lavande","Montréal","QC","H4R 1T4",45.4985638,-73.7497567,"1","Food Delivery Services, Food, Bagels, Bakeries"
"8",89018,"Panera Bread","North Ridgeville","OH","44039",41.385899,-81.9751,"1","Sandwiches, Bagels, Soup, Breakfast & Brunch, Salad, Restaurants, Bakeries, Food"
"9",10248,"What A Bagel","North York","ON","M3B 1X8",43.7545229757,-79.3575244778,"1","Bagels, Food"
"10",100815,"Nu Bügel","Toronto","ON","M5T 2L7",43.6553612109,-79.4023953024,"1","Bagels, Food"
"11",121582,"Rainbow Donuts Cafe and Deli","Phoenix","AZ","85032",33.611676987,-111.9984461607,"1","Bagels, Restaurants, Donuts, Sandwiches, Cafes, Food, Breakfast & Brunch, Delis"
"12",18060,"Panera Bread","Murrysville","PA","15668",40.421806,-79.661538,"1","Restaurants, Breakfast & Brunch, Sandwiches, Bagels, Food, Salad, Soup"
"13",139494,"Panera Bread","Allison Park","PA","15101",40.602218,-79.945617,"1","Bagels, Soup, Salad, Restaurants, Food, Sandwiches, Breakfast & Brunch"
"14",34869,"Einstein Bros Bagels","Tempe","AZ","85284",33.3218022,-111.9304637,"1","Restaurants, Breakfast & Brunch, Food, Delis, Bagels"
"15",158694,"Einstein Bros Bagels","Pittsburgh","PA","15241",40.3475049005,-80.0545406342,"0","Breakfast & Brunch, Food, Sandwiches, Bagels, Restaurants"
"16",45221,"Madhouse Coffee","Las Vegas","NV","89123",36.0280976,-115.1189137,"1","Bagels, Restaurants, Juice Bars & Smoothies, Breakfast & Brunch, Food, Coffee & Tea, Bakeries"
"17",184843,"The Cuppa","Las Vegas","NV","89135",36.1488913095,-115.3333637771,"0","Bagels, Coffee & Tea, Sandwiches, Bakeries, Food, Restaurants"
"18",22814,"The Bagel Cafe","Las Vegas","NV","89145",36.1761018,-115.2602821,"1","Breakfast & Brunch, Bagels, Delis, Coffee & Tea, Comfort Food, Cafes, Bakeries, Food, Restaurants"
"19",139269,"Panera Bread","Highland Heights","OH","44143",41.539594,-81.451432,"1","Bagels, Restaurants, Sandwiches, Soup, Breakfast & Brunch, Salad, Bakeries, Food"
"20",115733,"Einstein Bros Bagels","Chandler","AZ","85224",33.3065952578,-111.8891021576,"1","Delis, Food, Restaurants, Bagels"
"21",103412,"Bagelino's","Calgary","AB","T2P 1Z5",51.0457559,-114.0791699,"1","Bagels, Food, Sandwiches, Breakfast & Brunch, Cafes, Restaurants"
"22",68592,"Krispy Kreme","Las Vegas","NV","89109",36.1370185301,-115.1640695141,"1","Coffee & Tea, Donuts, Bagels, Food"
"23",165748,"Dunkin' Donuts","Crafton","PA","15205",40.4400217488,-80.0691623849,"1","Donuts, Coffee & Tea, Food, Bagels"
"24",55563,"Einstein Bros Bagels","Lakewood","OH","44107",41.4850286,-81.7977859,"1","Food, Caterers, Restaurants, Event Planning & Services, Bagels"
"25",58745,"Bagel Bin","Huntersville","NC","28078",35.442567,-80.860933,"1","Bagels, Restaurants, Delis, Coffee & Tea, Food"
"26",78879,"Tim Hortons","Toronto","ON","M5G 1X8",43.6597276849,-79.3907524248,"1","Food, Bagels, Coffee & Tea, Bakeries"
"27",107367,"Bagel World","Markham","ON","L6E 0H7",43.9043010026,-79.2690962926,"0","Breakfast & Brunch, Restaurants, Bagels, Waffles, Food"
"28",167791,"Einstein Bros","Las Vegas","NV","89119",36.1056431,-115.1368196,"1","Bagels, Restaurants, Breakfast & Brunch, Delis, Food"
"29",46425,"Einstein Bros Bagels","Glendale","AZ","85308",33.6392147652,-112.2302141629,"1","Food, Bagels, Coffee & Tea"
"30",8820,"Owen's Bagel & Deli","Charlotte","NC","28203",35.208424,-80.859759,"1","Coffee & Tea, Food, Delis, Restaurants, Bagels"
"31",100262,"Caribou Coffee And Einsteins Bros Bagels","Phoenix","AZ","85021",33.5531876399,-112.1038430913,"1","Food, Coffee & Tea, Juice Bars & Smoothies, Bagels"
"32",86922,"Caribou Coffee & Einstein Bros. Bagels","Tempe","AZ","85281",33.4227444,-111.9258396,"1","Restaurants, Sandwiches, Bagels, Food, Coffee & Tea, Internet Cafes"
"33",50920,"Bruegger's Bagels","Pittsburgh","PA","15213",40.4412932,-79.9569755,"1","Bagels, Sandwiches, Restaurants, Food, Breakfast & Brunch"
"34",89872,"Big City Bagels","Scottsdale","AZ","85260",33.627288,-111.89567,"1","Restaurants, Breakfast & Brunch, Food, Bagels, Delis"
"35",138510,"St-Viateur Bagel & Café","Montréal","QC","H2J 1X9",45.528427,-73.57911,"1","Cafes, Breakfast & Brunch, Bagels, Restaurants, Bakeries, Food, Coffee & Tea, Fast Food"
"36",20514,"St-Viateur Bagel & Café DDO","Pointe-Claire","QC","H9R 4X8",45.4751833936,-73.8123833354,"1","Food, Bagels, Breakfast & Brunch, Restaurants, Cafes, Bakeries"
"37",61332,"Toquoi","Montréal","QC","H2V 1L4",45.5187458,-73.6166623,"1","Food, Juice Bars & Smoothies, Coffee & Tea, Bagels"
"38",44496,"Einstein Bros","Las Vegas","NV","89119",36.1032874506,-115.14194525,"1","Sandwiches, Coffee & Tea, Food, Restaurants, Bagels"
"39",72633,"Bagel Nash","Thornhill","ON","L4J 0A6",43.8283387,-79.4787377,"1","Food, Bakeries, Bagels"
"40",42967,"The Great American Bagel Bakery","Charlotte","NC","28208",35.2184907,-80.9453334,"1","Bagels, Food"
"41",115735,"Panera Bread","Strongsville","OH","44136",41.3141693629,-81.83472,"1","Breakfast & Brunch, Bagels, Soup, Sandwiches, Salad, Food, Restaurants"
"42",72739,"Bagel World","Vaughan","ON","L6A 0A9",43.8621337551,-79.4857406616,"0","Food, Bagels, Restaurants, Breakfast & Brunch"
"43",80187,"Schmaltz","Toronto","ON","M6J 2Z9",43.6492114,-79.4209224,"1","Bagels, Coffee & Tea, Food"
"44",141072,"Howbowda Bagel","Champaign","IL","61820",40.1164204,-88.2433829,"0","Food, Bagels"
"45",165016,"Einstein Bros Bagels","Charlotte","NC","28207",35.19508,-80.825792,"0","Bagels, Food, Coffee & Tea"
"46",177304,"Rockaberry","Dollard-Des-Ormeaux","QC","H9B 1Z8",45.484633,-73.796026,"1","Salad, Diners, Desserts, Sandwiches, Cafes, Bagels, Restaurants, Food"
"47",68439,"Bruegger's Bagels","Cleveland Hghts.","OH","44106",41.5012588,-81.5929132,"1","Bagels, Breakfast & Brunch, Food, Restaurants, Sandwiches"
"48",172455,"Panera Bread","Charlotte","NC","28210",35.151154,-80.841072,"1","Restaurants, Bagels, Breakfast & Brunch, Bakeries, Soup, Salad, Sandwiches, Food"
"49",80583,"Einstein Bros","Las Vegas","NV","89103",36.1161032,-115.2425,"1","Delis, Restaurants, Bakeries, Bagels, Food"
"50",149904,"Einstein Brothers Bagels","Madison","WI","53704",43.1215580306,-89.318560982,"1","Food, Bagels"
"51",121315,"Mako Espresso Bar","Toronto","ON","M4E 2W2",43.6844069,-79.2974463,"1","Food, Coffee & Tea, Bagels, Desserts"
"52",72338,"Hot Bagels & Deli","Glendale Az","AZ","85310",33.7135958371,-112.2001252952,"1","Food, Delis, Restaurants, Breakfast & Brunch, Bagels"
