"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",31395,"Baby Cakes","Willoughby","OH","44094",41.6398599,-81.4063963,"1","Bakeries, Food"
"2",46345,"Bakery Gateau","Toronto","ON","M3B 1Y6",43.7540931,-79.3495479,"1","Bakeries, Food"
"3",50897,"Nothing Bundt Cakes","Scottsdale","AZ","85255",33.6403078149,-111.9245281399,"1","Desserts, Food, Cupcakes, Bakeries"
"4",178009,"Fabulous Cakes and Confections Inc.","Vaughan","ON","L4L 4C2",43.7675451093,-79.5617757296,"1","Bakeries, Food, Event Planning & Services, Desserts"
"5",118045,"Bonjour Bakery & Deli","Las Vegas","NV","89103",36.1161693,-115.2418516,"1","Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea"
"6",174590,"Flyjin Café","Montréal","QC","H2Y",45.5016615,-73.556605,"1","Coffee & Tea, Cafes, Restaurants, Bakeries, Juice Bars & Smoothies, Local Flavor, Food"
"7",132930,"Panera Bread","Chandler","AZ","85248",33.2481682645,-111.8397652668,"0","Food, Sandwiches, Restaurants, Soup, Bakeries, Salad"
"8",52077,"La Barista Café","Toronto","ON","M4T",43.688486,-79.393215,"1","Food, Bakeries, Coffee & Tea"
"9",100003,"Rosso Coffee Roasters","Calgary","AB","T2G 0Y4",51.0421039,-114.0540648,"1","Restaurants, Coffee & Tea, Bakeries, Food, Breakfast & Brunch, Coffee Roasteries"
"10",192586,"Cakes On the Move","Henderson","NV","89002",35.9870045,-114.942718,"1","Restaurants, Bakeries, Food"
"11",146966,"2 Girls' Cafe & Bakery","Stow","OH","44224",41.1654526,-81.4392963,"1","Food, Restaurants, Bakeries, Cafes"
"12",191259,"Albinas Italian American Bakery","Las Vegas","NV","89121",36.0992176,-115.1096599,"0","Food, Bakeries, Restaurants"
"13",183145,"Ben & Jerry's","Davidson","NC","28036",35.4981372,-80.8493039,"1","Restaurants, Desserts, Food, Caterers, Ice Cream & Frozen Yogurt, Bakeries, Event Planning & Services"
"14",116415,"Panera Bread","Richmond Hill","ON","L4C 5G2",43.8568578495,-79.4344568253,"1","Salad, Bagels, Breakfast & Brunch, Sandwiches, Food, Bakeries, Soup, Restaurants"
"15",5548,"Nancy B's Bakery","West Homestead","PA","15120",40.4028552,-79.9171699,"1","Bakeries, Food, Restaurants"
"16",52267,"La Vida Cocoa Craft Bakery & Cafe","Thornhill","ON","L4J 6X3",43.7953286,-79.4347723,"1","Gluten-Free, Food, Bakeries, Restaurants, Vegan, Cafes"
"17",33045,"Camille By Manon","Las Vegas","NV","89146",36.1481125,-115.2425536,"0","Food, Bakeries"
"18",109704,"Golden Bakeshop","Toronto","ON","M8W 1N1",43.5960867387,-79.5267761783,"0","Bakeries, Food"
"19",177308,"New York Bagels 'N Bialys","Scottsdale","AZ","85253",33.5796797,-111.9275444,"1","Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels"
"20",51804,"Foote's Valley Farm","Valley View","OH","44125",41.3981336104,-81.6262366623,"1","Fruits & Veggies, Delis, Restaurants, Bakeries, Specialty Food, Farms, Arts & Entertainment, Food"
"21",167529,"Bliss & Co.","Calgary","AB","T2K 3K2",51.0824831,-114.0922536,"1","Food, Bakeries"
"22",116586,"Jules Cafe Patisserie","Toronto","ON","M4S 2M5",43.7041655,-79.3882122,"1","Bakeries, Food, Mediterranean, French, Restaurants"
"23",145615,"Cinnabon","Toronto","ON","M2J 5A7",43.7778779699,-79.3446541205,"1","Desserts, Food, Bakeries"
"24",18020,"Jerry's Iga","Champaign","IL","61821",40.1117131,-88.281506,"0","Bakeries, Shopping, Flowers & Gifts, Food, Restaurants, Florists"
"25",88114,"Roselle","Toronto","ON","M5A 1K9",43.6535432,-79.3620478,"1","Food, Coffee & Tea, Bakeries, Ice Cream & Frozen Yogurt, Specialty Food"
"26",117426,"The Thumb BBQ","Scottsdale","AZ","85260",33.6393699646,-111.8792572021,"1","Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services"
"27",37330,"JJ Bean","Toronto","ON","M5H",43.6496512778,-79.3836130493,"1","Coffee & Tea, Coffee Roasteries, Food, Bakeries"
"28",102108,"Marie Callendar","Henderson","NV","89014",36.0530335,-115.0457036,"0","American (Traditional), Bakeries, Food, Restaurants"
"29",98473,"Zekes Coffee Drive Thru","Pittsburgh","PA","15206",40.4603272,-79.9183738,"1","Coffee Roasteries, Bakeries, Food, Coffee & Tea"
"30",143409,"Paradise Bakery & Cafe","Tempe","AZ","85281",33.4339009093,-111.9020921101,"0","Food, Restaurants, Bakeries, Cafes, Sandwiches"
"31",150322,"Patisserie Lavande","Montréal","QC","H4R 1T4",45.4985638,-73.7497567,"1","Food Delivery Services, Food, Bagels, Bakeries"
"32",1559,"Carl's Cakes","Madison","WI","53590",43.1823763,-89.2114354,"1","Restaurants, Food, Bakeries"
"33",89018,"Panera Bread","North Ridgeville","OH","44039",41.385899,-81.9751,"1","Sandwiches, Bagels, Soup, Breakfast & Brunch, Salad, Restaurants, Bakeries, Food"
"34",116036,"Baker Wee","Phoenix","AZ","85053",33.6099016098,-112.1506690979,"1","Caterers, Desserts, Bakeries, Event Planning & Services, Custom Cakes, Sandwiches, Coffee & Tea, Party & Event Planning, Restaurants, Food"
"35",83960,"Cravin' Cake Bakery","Las Vegas","NV","89120",36.073884,-115.110093,"1","Bakeries, Food"
"36",120030,"Port Union Bakery","Scarborough","ON","M1C 2L3",43.7895037615,-79.139930168,"1","Food, Restaurants, Filipino, Bakeries, Coffee & Tea"
"37",110480,"Maraschino Cafe and Italian Bakery","Ajax","ON","L1T 3A6",43.8538369,-79.0599095,"0","Restaurants, Italian, Food, Bakeries, Cafes"
"38",180979,"Dana's Bakery","Pittsburgh","PA","15208",40.4561116,-79.8965418,"1","Bakeries, Restaurants, Food"
"39",79013,"Gimme Some Sugar","Henderson","NV","89012",36.0281354672,-115.0483156803,"0","Coffee & Tea, Restaurants, Bakeries, Beer, Wine & Spirits, Desserts, Food, Cafes"
"40",124584,"Steeles Bakery","North York","ON","M2R 2A5",43.79199,-79.44453,"1","Bakeries, Food"
"41",29630,"Boulangerie Le Fournil","Westmount","QC","H3Y 2R4",45.4784023,-73.6022038,"0","Bakeries, Desserts, Food"
"42",4980,"Pink Lemon Bake Shop","Richmond Hill","ON","L4C 3B6",43.8766288,-79.4385863,"0","Desserts, Bakeries, Food, Event Planning & Services, Caterers"
"43",179885,"Crown Bakery","Las Vegas","NV","89102",36.125897,-115.198185,"1","Bakeries, Desserts, Food, Coffee & Tea"
"44",180402,"Romados","Montréal","QC","H2W 1C8",45.51931,-73.580749,"1","Restaurants, Portuguese, Bakeries, Food, Chicken Shop, Barbeque"
"45",77499,"Tammie Coe Cakes","Phoenix","AZ","85004",33.4586921291,-112.0655679703,"1","Restaurants, Bakeries, Desserts, Coffee & Tea, Food, Sandwiches"
"46",74238,"La Novita Bakery","Mississauga","ON","L5A 1Y5",43.5843766,-79.6210645,"1","Food, Restaurants, Bakeries, Delis, Sandwiches"
"47",113268,"Bakie Bites Bakery","Chandler","AZ","85224",33.3517148445,-111.8585135043,"0","American (Traditional), Restaurants, Desserts, Food, Bakeries"
"48",110161,"French Grocery","Phoenix","AZ","85013",33.5164493875,-112.0821531733,"0","Restaurants, Bars, Wine Bars, Bakeries, Coffee & Tea, Breakfast & Brunch, Food, French, Macarons, Nightlife, Grocery, Specialty Food, Beer, Wine & Spirits"
"49",178955,"Moochs Munchies","Las Vegas","NV","89145",36.1731059,-115.2433798,"1","Food, Bakeries, Pet Stores, Pets"
"50",79831,"Treats","Toronto","ON","M5H 3T9",43.6477755,-79.3831243,"1","Bakeries, Coffee & Tea, Desserts, Food"
"51",136485,"Jadon Foods","Las Vegas","NV","89130",36.2386901,-115.23341,"1","Gluten-Free, Food, Bakeries, Restaurants"
"52",109965,"Giant Eagle","Bridgeville","PA","15017",40.367489,-80.109477,"1","Books, Mags, Music & Video, Specialty Food, Grocery, Bakeries, Videos & Video Game Rental, International Grocery, Shopping, Food, Drugstores"
"53",151557,"Ruelo Patisserie","Richmond Hill","ON","L4B 3Z4",43.8450437738,-79.3835495587,"1","Bakeries, Desserts, Food, Coffee & Tea"
"54",143422,"Smith's","Henderson","NV","89014",36.0718407,-115.0741199,"1","Bakeries, Meat Shops, Food, Grocery, Specialty Food"
"55",59108,"Fresh & Easy","Henderson","NV","89015",36.0159182952,-114.953011844,"0","Convenience Stores, Food, Bakeries, Grocery"
"56",178477,"Daylight Donuts","Mesa","AZ","85202",33.3632486,-111.8611309,"1","Donuts, Food, Bakeries, Desserts, Coffee & Tea"
