"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",192016,"B & M Bar-B-Que Shaw","Cleveland","OH","44108",41.5408904,-81.5953266,"1","Barbeque, Restaurants"
"2",25779,"The Pit","Beachwood","OH","44122",41.4675893,-81.4932632,"0","Barbeque, Restaurants"
"3",72460,"Woody's Barbq","Calgary","AB","T2A 6L8",51.0601777,-113.9810304,"0","Sandwiches, Restaurants, Barbeque, Salad"
"4",44219,"Piggly's At the Fair","Mesa","AZ","85204",33.38449,-111.80411,"0","Food, Beer, Wine & Spirits, Restaurants, Barbeque, Local Flavor, American (Traditional)"
"5",158496,"Ryan's Pub","Pittsburgh","PA","15221",40.4393965,-79.8971839,"0","Restaurants, Barbeque, Bars, Pubs, Burgers, Nightlife"
"6",170103,"Cusina Lounge","Toronto","ON","M3H 1S8",43.7372891748,-79.4349258766,"1","Barbeque, Filipino, Buffets, Fish & Chips, Restaurants"
"7",32114,"Prince Restaurant","Las Vegas","NV","89103",36.1140708,-115.2409255,"1","American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
"8",68394,"JP's Dog House","Phoenix","AZ","85016",33.5238568924,-112.0472845529,"1","Barbeque, Restaurants, Hot Dogs, Food Stands, American (New)"
"9",82720,"Uncle Bo's Slow-n-low","North Ridgeville","OH","44039",41.3644602254,-82.056653629,"1","Restaurants, Barbeque"
"10",171468,"Big Foot Smoke House And Bar","Newmarket","ON","L3Y 8Y8",44.0524455,-79.4265604,"0","Restaurants, American (Traditional), Steakhouses, Bars, Nightlife, Barbeque"
"11",117426,"The Thumb BBQ","Scottsdale","AZ","85260",33.6393699646,-111.8792572021,"1","Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services"
"12",172634,"Top Notch Barbeque","Las Vegas","NV","89146",36.158189,-115.214682,"0","Street Vendors, Barbeque, Restaurants, Food Stands, Food"
"13",182464,"Texas Roadhouse","Peoria","AZ","85382",33.6321621,-112.2375661,"1","Restaurants, American (Traditional), Steakhouses, Barbeque"
"14",88859,"La Station des Sports","Montréal","QC","H3H 1M6",45.4917988,-73.5818589,"1","Restaurants, Bars, Burgers, French, Nightlife, Sports Bars, Barbeque"
"15",15858,"The Dixie Pig Tega Cay","Fort Mill","SC","29708",35.0544299,-81.0073289,"1","Barbeque, Specialty Food, Food, Restaurants, Sandwiches"
"16",4354,"Treehouse Bourbon & BBQ","Charlotte","NC","28211",35.150823,-80.827849,"1","Restaurants, Barbeque, Bars, Nightlife, Whiskey Bars"
"17",28890,"AAA Bar","Toronto","ON","M4M 1Y3",43.6658422,-79.3519276,"1","Restaurants, Nightlife, Bars, Barbeque"
"18",74719,"Kings Delight Caribbean Cuisine","Toronto","ON","M9N 2S1",43.7019167,-79.5035253,"1","Ethnic Food, Food, Fish & Chips, Restaurants, Specialty Food, Barbeque, Caribbean"
"19",114530,"Harvard Wine & Grill","Cleveland","OH","44128",41.449265,-81.5827479,"1","Bars, Restaurants, Wine Bars, American (Traditional), Nightlife, Barbeque"
"20",117604,"Mayettes","Toronto","ON","M1L 1C5",43.6927912,-79.2811846,"1","Ethnic Food, Personal Chefs, Restaurants, Seafood, Event Planning & Services, Fast Food, Specialty Food, Barbeque, Party & Event Planning, Filipino, Local Flavor, Food, Caterers"
"21",145856,"Dickey's Barbecue Pit","Avondale","AZ","85392",33.4643167426,-112.2751433775,"1","Restaurants, Barbeque, American (Traditional), American (New), Southern"
"22",136054,"Tha Spot BBQ","Glendale","AZ","85306",33.611161,-112.153974,"0","Restaurants, Barbeque"
"23",180402,"Romados","Montréal","QC","H2W 1C8",45.51931,-73.580749,"1","Restaurants, Portuguese, Bakeries, Food, Chicken Shop, Barbeque"
"24",134856,"Sandoozles Smokehouse & Pub","Toronto","ON","M4S 2N4",43.7074876432,-79.3896615989,"0","Restaurants, Barbeque"
"25",140460,"House of Blues Restaurant & Bar","Cleveland","OH","44114",41.499225,-81.6906427,"1","American (New), Restaurants, Barbeque, Burgers, Southern"
"26",162994,"Place Western","Montréal","QC","H2V 4E8",45.5259188,-73.6106939,"0","Barbeque, American (New), Restaurants, Smokehouse, Food"
"27",176617,"Seoul House","Thornhill","ON","L4J 2L1",43.7967303,-79.4264179,"1","Restaurants, Korean, Japanese, Barbeque, Chinese"
"28",5146,"Sing Sing Barbeque House","Toronto","ON","M4M 2H1",43.6651176,-79.3522683,"1","Restaurants, Barbeque"
"29",73824,"Smoke N Pig","Las Vegas","NV","89166",36.3138121777,-115.3060238063,"0","Food Trucks, Food, Barbeque, Sandwiches, Street Vendors, Restaurants, Specialty Food"
"30",95525,"Chat Bar","Toronto","ON","M1V 5N1",43.822058,-79.298592,"1","Restaurants, Barbeque, Tapas Bars, Chinese"
"31",182261,"Texas Roadhouse","Tempe","AZ","85284",33.3383358638,-111.9703973585,"1","American (New), Barbeque, Restaurants, Sandwiches, American (Traditional), Salad, Steakhouses"
