"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",16100,"PA Wine & Spirits Store","Wexford","PA","15090",40.6320526,-80.0564758,"1","Beer, Wine & Spirits, Food"
"2",170311,"Ohio Beer Garden","North Olmsted","OH","44070",41.4165875685,-81.9043700652,"1","Restaurants, Pubs, Bars, Nightlife, American (Traditional), Beer Gardens"
"3",87650,"Vince Neil's Tatuado | Eat, Drink, Party","Las Vegas","NV","89169",36.1020497898,-115.1562883,"1","Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)"
"4",170257,"Arc Bar","Las Vegas","NV","89109",36.1121506,-115.17155,"1","Hotels & Travel, Nightlife, Food, Beer, Wine & Spirits"
"5",44219,"Piggly's At the Fair","Mesa","AZ","85204",33.38449,-111.80411,"0","Food, Beer, Wine & Spirits, Restaurants, Barbeque, Local Flavor, American (Traditional)"
"6",56109,"Carolina Beer Company","Charlotte","NC","28208",35.2205899237,-80.940057576,"1","Local Flavor, Beer, Wine & Spirits, Food"
"7",191469,"Minotti's Wine & Liquor","Rocky River","OH","44116",41.4788179,-81.840142,"1","Beer, Wine & Spirits, Food"
"8",31873,"Uncle Joe's Bar & Grill","Parma Heights","OH","44130",41.394558,-81.783869,"1","Beer Bar, Beer, Wine & Spirits, Restaurants, American (New), Nightlife, Bars, Food"
"9",75692,"Bathurst Local","Toronto","ON","M5T 2S3",43.6514918,-79.4058339,"1","Beer, Wine & Spirits, Whiskey Bars, Coffee & Tea, Beer Bar, Breakfast & Brunch, Bars, Cocktail Bars, Food, Cafes, Wine Bars, Restaurants, Local Flavor, Nightlife"
"10",25777,"Saq","Montreal","QC","H3B 1H4",45.4989869,-73.5734636,"1","Food, Beer, Wine & Spirits"
"11",31059,"Sam's Market & Liquor","Scottsdale","AZ","85257",33.4663854,-111.8934221,"1","Food, Beer, Wine & Spirits, Shopping, Tobacco Shops"
"12",129478,"Jade Fine Chinese Dining","Phoenix","AZ","85085",33.7971416,-112.1180452,"0","Chinese, Beer, Wine & Spirits, Restaurants, Food"
"13",183677,"Jones Market & Deli","Las Vegas","NV","89146",36.1274446,-115.2250141,"0","Grocery, Food, Imported Food, Beer, Wine & Spirits"
"14",61008,"Assorted Table Wine Shoppe","Charlotte","NC","28202",35.2273295255,-80.838524611,"1","Food, Arts & Entertainment, Beer, Wine & Spirits, Wineries"
"15",78516,"Ohio Liquor Agency","Painesville","OH","44077",41.7242327,-81.2402355,"1","Beer, Wine & Spirits, Food"
"16",24476,"Lake Town Tavern","Cornelius","NC","28031",35.4631169,-80.8887062,"1","Nightlife, Food, Beer, Wine & Spirits, Burgers, Restaurants, American (Traditional), Chicken Wings, Arts & Entertainment, Music Venues, Pubs, Sports Bars, Bars"
"17",76113,"Devils Den Sports Grill","Tempe","AZ","85281",33.4231472,-111.9328392,"0","Bars, Restaurants, Burgers, Beer, Wine & Spirits, Food, Nightlife"
"18",61712,"Délires du Terroir","Montréal","QC","H2S 2M2",45.5358641,-73.6028048,"1","Food, Farmers Market, Local Flavor, Beer, Wine & Spirits"
"19",182686,"Fionn MacCool's Irish Pub","Brampton","ON","L6Y 5L8",43.658148,-79.723291,"1","Pubs, Nightlife, Beer, Wine & Spirits, Food, Irish Pub, Restaurants, Gastropubs, Bars"
"20",152557,"North Coast Wine & Beer","Lakewood","OH","44107",41.477248,-81.7691747,"1","Food, Beer, Wine & Spirits"
"21",160591,"Il Tetto:  A Rooftop Beer Garden","Pittsburgh","PA","15222",40.4439496,-79.9964366,"1","Italian, Restaurants, Bars, Nightlife, Beer Gardens"
"22",91984,"City Brew Tours Pittsburgh","Pittsburgh","PA","15213",40.4394236,-79.9921601,"1","Beer Tours, Hotels & Travel, Bar Crawl, Tours, Event Planning & Services, Breweries, Team Building Activities, Nightlife, Food"
"23",187547,"LCBO","Mississauga","ON","L5B 1M2",43.5972926288,-79.6432664848,"1","Beer, Wine & Spirits, Food"
"24",184144,"Bar Kada Avenue","Las Vegas","NV","89102",36.142762,-115.209066,"0","Specialty Food, Street Vendors, Filipino, Asian Fusion, Food, Nightlife, Restaurants, Karaoke, Ethnic Food, Bars, Beer, Wine & Spirits"
"25",23868,"Rockne's","Medina","OH","44256",41.1358602,-81.8146315,"1","Sandwiches, American (New), Bars, Beer Bar, Restaurants, Nightlife"
"26",124138,"Liberty Beer","Pittsburgh","PA","15224",40.4638608,-79.953304,"1","Beer, Wine & Spirits, Food"
"27",24497,"Bonfyre American Grille","Madison","WI","53713",43.034735369,-89.4225611388,"1","Bars, Cocktail Bars, Nightlife, American (New), American (Traditional), Restaurants, Beer Bar"
"28",129329,"Twisted Rose Winery and Eatery","Scottsdale","AZ","85260",33.6222438,-111.8974713,"0","Sandwiches, Wineries, Food, Beer, Wine & Spirits, Arts & Entertainment, American (New), Restaurants"
"29",98471,"The Lion's Tail Tavern","Las Vegas","NV","89117",36.1467032996,-115.3008587093,"0","Nightlife, Bars, Food, Beer, Wine & Spirits"
"30",79013,"Gimme Some Sugar","Henderson","NV","89012",36.0281354672,-115.0483156803,"0","Coffee & Tea, Restaurants, Bakeries, Beer, Wine & Spirits, Desserts, Food, Cafes"
"31",177875,"Rott n' Grapes Uptown","Phoenix","AZ","85012",33.5071180897,-112.0742981546,"1","Lounges, Gastropubs, Sports Bars, Breakfast & Brunch, Bars, Wine Bars, Nightlife, Restaurants, Pubs, Italian, Beer, Wine & Spirits, Food, Tapas/Small Plates, Beer Bar"
"32",107548,"The Coal Mine","Pittsburgh","PA","15234",40.3717019,-80.0090216,"1","Pubs, Pizza, Chicken Wings, American (Traditional), Beer, Wine & Spirits, Restaurants, Bars, Food, Nightlife"
