"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",50474,"Taco Bell","Phoenix","AZ","85016",33.4951941,-112.0285876,"1","Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food"
"2",109616,"The Steady Cafe & Bar","Toronto","ON","M6H 1M4",43.6604937,-79.432099,"0","Restaurants, Nightlife, Breakfast & Brunch, Vegan, Food, Tapas Bars, Bars, Southern, Coffee & Tea"
"3",167387,"Mad Crush Wine Bar","Toronto","ON","M6G 1B3",43.6554201,-79.4133518,"0","Restaurants, Breakfast & Brunch, Bars, Modern European, Nightlife, Wine Bars"
"4",159174,"Paramount Fine Foods","Toronto","ON","M6K 3K4",43.6384423,-79.4172366,"1","Middle Eastern, Restaurants, Salad, Breakfast & Brunch"
"5",145384,"Served","Henderson","NV","89012",36.0107451,-115.0648029,"1","Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
"6",59401,"Phil's Restaurants","Calgary","AB","T2A 0P9",51.0381747,-113.9892355,"1","Breakfast & Brunch, Diners, Restaurants, Coffee & Tea, Food"
"7",64215,"Ricky's All Day Grill","Calgary","AB","T2E 5T1",51.0972241226,-114.0322342038,"1","Breakfast & Brunch, Restaurants, Canadian (New), Diners"
"8",96427,"Steak ’n Shake","Brunswick","OH","44212",41.2378014833,-81.8060022,"1","American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)"
"9",72315,"Marcello's Market & Deli","Toronto","ON","M5H 1B6",43.649321,-79.378413,"1","Food, Grocery, Delis, Buffets, Event Planning & Services, Breakfast & Brunch, Restaurants, Caterers"
"10",28413,"Starbucks","Brampton","ON","L6W 2B3",43.6937692,-79.7521383,"1","Restaurants, Breakfast & Brunch, Food, Coffee & Tea"
"11",100003,"Rosso Coffee Roasters","Calgary","AB","T2G 0Y4",51.0421039,-114.0540648,"1","Restaurants, Coffee & Tea, Bakeries, Food, Breakfast & Brunch, Coffee Roasteries"
"12",47323,"Hoche Café","Montréal","QC","H1V 1K4",45.5524867983,-73.5399850964,"1","Breakfast & Brunch, Food, Restaurants, Coffee & Tea"
"13",142416,"Sunset Grill","Newmarket","ON","L3Y 8E4",44.0587246395,-79.4296261825,"1","Breakfast & Brunch, Restaurants, Canadian (New), Diners"
"14",63384,"La Flor De Calabaza","Phoenix","AZ","85004",33.4559491,-112.072089,"1","Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants"
"15",23517,"Pita Pit","Indian Trail","NC","28079",35.0631169,-80.633164,"1","Mediterranean, Restaurants, Breakfast & Brunch, Fast Food, Middle Eastern, Sandwiches"
"16",164561,"Mimi's Cafe","Glendale","AZ","85308",33.6386542,-112.219354,"1","Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French"
"17",37063,"Steak ’n Shake","Willoughby","OH","44094",41.6234487,-81.4392608,"1","Restaurants, Fast Food, Burgers, American (Traditional), American (New), Breakfast & Brunch, Diners"
"18",61192,"Eggstasy","Scottsdale","AZ","85254",33.5825076235,-111.9312195007,"1","Diners, Breakfast & Brunch, Restaurants"
"19",86248,"Waffle House","Pineville","NC","28134",35.087963,-80.858488,"1","Diners, American (Traditional), Restaurants, Breakfast & Brunch, Waffles, American (New), Fast Food, Burgers"
"20",72222,"Eggspectation","Montréal","QC","H2X 2X3",45.507291,-73.565672,"1","Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food"
"21",116415,"Panera Bread","Richmond Hill","ON","L4C 5G2",43.8568578495,-79.4344568253,"1","Salad, Bagels, Breakfast & Brunch, Sandwiches, Food, Bakeries, Soup, Restaurants"
"22",133412,"OK OK Diner","Toronto","ON","M4M 1K8",43.6623207,-79.3351048,"1","Restaurants, Breakfast & Brunch, Diners"
"23",27289,"JC's Restaurant","Burton","OH","44021",41.4709663391,-81.1464233398,"1","Burgers, American (New), Sandwiches, Breakfast & Brunch, Restaurants"
"24",133490,"The Cure","Toronto","ON","M6K 1T5",43.6497245738,-79.4315845899,"0","Sandwiches, Breakfast & Brunch, Nightlife, Cocktail Bars, Food, Bars, Restaurants, American (Traditional), Canadian (New), Diners, Specialty Food, Delis, Meat Shops, Delicatessen"
"25",153713,"Even Stevens Sandwiches","Gilbert","AZ","85234",33.3568181,-111.7897728,"0","Gluten-Free, Breakfast & Brunch, Sandwiches, Restaurants, Salad"
"26",134546,"York Street Cafe","Toronto","ON","M5J 1S8",43.6462793,-79.3830074,"1","Breakfast & Brunch, Restaurants"
"27",25141,"Roots Cafe","Charlotte","NC","28203",35.2065071258,-80.8602583075,"1","Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food"
"28",108050,"Farmer Boy Restaurant","Amherst","OH","44001",41.3622256,-82.2208599,"1","Salad, Restaurants, Burgers, Breakfast & Brunch"
"29",50948,"Denny's","Surprise","AZ","85374",33.6589000674,-112.376867598,"1","Restaurants, Diners, Breakfast & Brunch, American (Traditional)"
"30",177308,"New York Bagels 'N Bialys","Scottsdale","AZ","85253",33.5796797,-111.9275444,"1","Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels"
"31",27907,"Café Mezcal","Montréal","QC","H2X 1B7",45.515404,-73.571156,"1","Food, Breakfast & Brunch, Ice Cream & Frozen Yogurt, Mexican, Cafes, Restaurants"
"32",50476,"Denny's","Phoenix","AZ","85027",33.6833375,-112.1149421,"1","American (Traditional), Breakfast & Brunch, Diners, American (New), Restaurants"
"33",56894,"Le Peep","Charlotte","NC","28277",35.096737,-80.778558,"1","Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food"
"34",62236,"Dunkin' Donuts","Moon","PA","15108",40.5157666,-80.2216573,"1","Bagels, Donuts, Coffee & Tea, Breakfast & Brunch, Restaurants, Food"
"35",12197,"Showmars - Seventh Street","Charlotte","NC","28204",35.212005,-80.817991,"1","Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean"
"36",56935,"Le Gourmand","Toronto","ON","M5V 3S6",43.6481229,-79.3966409,"1","Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch"
"37",75692,"Bathurst Local","Toronto","ON","M5T 2S3",43.6514918,-79.4058339,"1","Beer, Wine & Spirits, Whiskey Bars, Coffee & Tea, Beer Bar, Breakfast & Brunch, Bars, Cocktail Bars, Food, Cafes, Wine Bars, Restaurants, Local Flavor, Nightlife"
"38",46707,"Valliant's Diner","Pittsburgh","PA","15237",40.5390935,-80.023619,"1","Restaurants, Breakfast & Brunch"
"39",80696,"Daisy Mountain Coffee Roasters","Phoenix","AZ","85086",33.7996940069,-112.1286818051,"1","Sandwiches, Restaurants, Breakfast & Brunch, Coffee & Tea, Internet Cafes, Food"
"40",135832,"A&W","Montréal","QC","H3A 1K1",45.5047528,-73.5725866,"1","Burgers, Breakfast & Brunch, Restaurants, Fast Food"
"41",9557,"Brooklyn Bagel","Henderson","NV","89052",35.9992533,-115.1040028,"0","American (Traditional), Breakfast & Brunch, Restaurants"
"42",112719,"The Good Egg - Carefree","Scottsdale","AZ","85266",33.7978115,-111.9292904,"0","Breakfast & Brunch, Diners, Restaurants"
"43",53529,"Einstein Bros Bagels","Las Vegas","NV","89119",36.0574675327,-115.1207419292,"1","Restaurants, Pizza, Food, Bagels, Sandwiches, Breakfast & Brunch"
"44",45316,"IHOP","Las Vegas","NV","89108",36.21935,-115.24493,"1","Breakfast & Brunch, American (New), Restaurants, American (Traditional), Public Services & Government, Burgers"
"45",59993,"Gus's Family Restaurant","Cleveland","OH","44109",41.4351813,-81.7066462,"1","Breakfast & Brunch, Restaurants, American (Traditional)"
"46",117426,"The Thumb BBQ","Scottsdale","AZ","85260",33.6393699646,-111.8792572021,"1","Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services"
"47",9067,"City Oven","Pittsburgh","PA","15216",40.400967,-80.0425457,"0","Pizza, Food Stands, Sandwiches, Restaurants, Breakfast & Brunch"
"48",162067,"Michelle's Place","Medina","OH","44256",41.1404321,-81.8636042,"1","Desserts, American (New), Restaurants, American (Traditional), Sandwiches, Breakfast & Brunch, Food"
"49",148659,"Arcade Basile","Sainte-Anne-De-Bellevue","QC","H9X 1L8",45.4031443,-73.950558,"1","Amusement Parks, Restaurants, Active Life, Breakfast & Brunch, Pizza"
"50",153036,"Tempe City Tacos","Tempe","AZ","85282",33.3915708,-111.9383874,"1","Breakfast & Brunch, Specialty Food, Food, Tacos, Salad, Restaurants, Event Planning & Services, Caterers, Mexican"
"51",42063,"Waffles Cafe","North Las Vegas","NV","89084",36.285657,-115.178948,"1","Breakfast & Brunch, Bubble Tea, Restaurants, Cafes, Food, Juice Bars & Smoothies"
"52",75689,"Œuf et Bœuf","Montréal","QC","H1Y 1X8",45.54922,-73.5741848,"0","Restaurants, Breakfast & Brunch, Soup"
"53",113273,"Village Inn - North Peoria","Peoria","AZ","85383",33.7118664044,-112.2702986773,"1","Breakfast & Brunch, Burgers, Restaurants, Sandwiches"
"54",17430,"La Raclette","Montréal","QC","H2J 1P7",45.5295503804,-73.5827571103,"1","German, Modern European, Restaurants, Breakfast & Brunch, Fondue, French"
"55",80157,"Mesquite Grille","Scottsdale","AZ","85255",33.616114,-111.853388,"1","American (New), Event Planning & Services, Breakfast & Brunch, Venues & Event Spaces, Restaurants"
"56",17716,"Cranberry Hills Eatery & Catering","Phoenix","AZ","85012",33.4826645,-112.0732533,"1","Caterers, Coffee & Tea, Food, American (New), Cafes, Event Planning & Services, Restaurants, Breakfast & Brunch"
"57",143717,"Delightful Cafe","Calgary","AB","T2G 0S9",51.041804,-114.0360541,"1","Food, Coffee & Tea, Vietnamese, Restaurants, Donuts, Breakfast & Brunch"
"58",28619,"Songbird Coffee & Tea House","Phoenix","AZ","85004",33.458999,-112.070481,"0","Coffee & Tea, Cafes, Food, Tea Rooms, Restaurants, Breakfast & Brunch"
"59",73265,"Alexandris Restaurant","Medina","OH","44256",41.1367315,-81.7893027,"1","Restaurants, Greek, Breakfast & Brunch"
"60",96542,"Buca Yorkville","Toronto","ON","M5R 0A1",43.6721423,-79.3893921,"1","Seafood, Breakfast & Brunch, Italian, Restaurants"
"61",89018,"Panera Bread","North Ridgeville","OH","44039",41.385899,-81.9751,"1","Sandwiches, Bagels, Soup, Breakfast & Brunch, Salad, Restaurants, Bakeries, Food"
"62",101667,"Denny's","Calgary","AB","T2H 0B8",50.9825411813,-114.0450462699,"1","Breakfast & Brunch, American (Traditional), Restaurants, Diners"
"63",158801,"Pastel Creperies & Dessert House","North York","ON","M2N 5R6",43.7762933,-79.4142988,"1","Food, Restaurants, Coffee & Tea, Creperies, Desserts, Breakfast & Brunch"
"64",139476,"Sunset Grill","Mississauga","ON","L5G 1H9",43.5655026,-79.5713627,"1","Diners, Canadian (New), Breakfast & Brunch, Restaurants"
"65",81075,"Earth Rosedale","Toronto","ON","M4W 2L2",43.6783912,-79.3898247,"0","Breakfast & Brunch, Restaurants, Local Flavor, American (New), Canadian (New)"
"66",93828,"Bbreakfasts","Toronto","ON","M5S 3L9",43.6680033,-79.3885578,"0","Fast Food, Breakfast & Brunch, Restaurants, Burgers"
"67",32911,"Bistro 243","Toronto","ON","M5A 1J9",43.6510114,-79.3684537,"0","Breakfast & Brunch, Bistros, Restaurants"
"68",119752,"Morning Kick","Gilbert","AZ","85297",33.2774819,-111.7316557,"1","Food Trucks, Food, Coffee & Tea, Breakfast & Brunch, Restaurants"
"69",50641,"Sammy's Grille","Cleveland","OH","44103",41.5005090569,-81.6888530137,"0","Diners, American (Traditional), Salad, Breakfast & Brunch, Burgers, Restaurants"
"70",125157,"Sonic Drive-In","Las Vegas","NV","89031",36.2402917349,-115.1200517288,"1","Fast Food, Hotels & Travel, Ice Cream & Frozen Yogurt, Food, Bed & Breakfast, Restaurants, American (Traditional), Burgers, Breakfast & Brunch"
"71",177875,"Rott n' Grapes Uptown","Phoenix","AZ","85012",33.5071180897,-112.0742981546,"1","Lounges, Gastropubs, Sports Bars, Breakfast & Brunch, Bars, Wine Bars, Nightlife, Restaurants, Pubs, Italian, Beer, Wine & Spirits, Food, Tapas/Small Plates, Beer Bar"
"72",40263,"The Crepe Club","Phoenix","AZ","85016",33.5104431,-112.0287274,"0","Food, Sandwiches, Party & Event Planning, Caterers, Restaurants, French, Desserts, Creperies, Juice Bars & Smoothies, Event Planning & Services, Breakfast & Brunch"
"73",52465,"Village Inn","Mesa","AZ","85204",33.3798442,-111.8064161,"1","American (New), Breakfast & Brunch, Restaurants, American (Traditional)"
"74",155538,"Main's Mansion","Markham","ON","L3P 5T3",43.8792378,-79.2614496,"1","Breakfast & Brunch, Canadian (New), Pubs, Food, Restaurants, Bars, American (Traditional), Tapas Bars, Nightlife"
"75",20336,"Mesón","Montréal","QC","H2R 2C7",45.5400188,-73.6235891,"1","Spanish, Breakfast & Brunch, Restaurants"
"76",65658,"Cora Breakfast and Lunch","Richmond Hill","ON","L4B 3K4",43.8643608,-79.3834238,"1","Breakfast & Brunch, Restaurants"
"77",95303,"Ancora Coffee","Madison","WI","53703",43.0744759,-89.3811339,"1","Food, Cafes, Coffee & Tea, Breakfast & Brunch, Restaurants"
"78",182149,"Eggs Crepes Restaurant","Ajax","ON","L1S 3V4",43.8425617954,-79.0277136148,"1","Restaurants, Creperies, Breakfast & Brunch"
"79",8251,"Now That's Class Lounge","Cleveland","OH","44102",41.482563,-81.7656037,"1","Restaurants, Dive Bars, Bars, Arts & Entertainment, Music Venues, Nightlife, Breakfast & Brunch"
"80",170115,"Starliner Diner","Glendale","AZ","85301",33.5307526249,-112.1706569195,"1","Breakfast & Brunch, Restaurants, American (Traditional), Diners"
"81",110161,"French Grocery","Phoenix","AZ","85013",33.5164493875,-112.0821531733,"0","Restaurants, Bars, Wine Bars, Bakeries, Coffee & Tea, Breakfast & Brunch, Food, French, Macarons, Nightlife, Grocery, Specialty Food, Beer, Wine & Spirits"
"82",149555,"Silver Platter","Fort Mcdowell","AZ","85264",33.582406,-111.680802,"1","Burgers, Diners, Restaurants, Breakfast & Brunch"
"83",78651,"Johnson Public House","Madison","WI","53703",43.084781,-89.376208,"1","Bars, Breakfast & Brunch, Pubs, Coffee & Tea, Food, Nightlife, Restaurants, Beer, Wine & Spirits"
"84",53418,"URBO","Phoenix","AZ","85003",33.454725,-112.081398,"1","Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Convenience Stores, Beer, Wine & Spirits"
"85",84373,"Tutti Frutti Dejeuners","Laval","QC","H7V 4C2",45.5580244,-73.7434682,"1","Restaurants, Breakfast & Brunch"
"86",180261,"The Manor","King","ON","L7B 0C7",44.007103,-79.602347,"1","Restaurants, Breakfast & Brunch, Event Planning & Services, Venues & Event Spaces"
"87",26163,"Biscuitville","Indian Trail","NC","28079",35.085914,-80.661845,"1","Restaurants, Food, Breakfast & Brunch"
"88",69077,"First Watch","University Heights","OH","44118",41.5007664,-81.5377888,"1","American (Traditional), Cafes, Restaurants, Breakfast & Brunch"
"89",33726,"Denny's","Mentor","OH","44060",41.6590021038,-81.3658992987,"1","Fast Food, Breakfast & Brunch, American (Traditional), Diners, Restaurants"
"90",97168,"Bob Evans","Stow","OH","44224",41.1644441723,-81.476444006,"1","Food, Breakfast & Brunch, Hotels & Travel, Desserts, Bed & Breakfast, Salad, American (Traditional), Comfort Food, Restaurants"
"91",65464,"The Boulevard Cafe","Toronto","ON","M5S 1H1",43.6619075,-79.4068878,"0","Breakfast & Brunch, Cafes, Latin American, Event Planning & Services, Restaurants, Peruvian, Caterers"
"92",127513,"King's Diner","Toronto","ON","M4E 1S5",43.6805101,-79.2895166,"1","Restaurants, Breakfast & Brunch, Diners"
"93",68935,"The Covenant","Phoenix","AZ","85028",33.5831802,-111.9786115,"1","American (New), Food, Nightlife, Wine Bars, Bars, Coffee & Tea, Restaurants, Breakfast & Brunch"
"94",120506,"Makers & Finders Coffee","Las Vegas","NV","89135",36.1486981,-115.3331133,"1","Food, Coffee & Tea, Breakfast & Brunch, Latin American, Restaurants"
"95",83606,"Manhattan Deli Bar & Grille","Willoughby","OH","44094",41.6071023,-81.4414043,"1","Sandwiches, Delis, American (Traditional), Restaurants, Bars, Beer Bar, Nightlife, Breakfast & Brunch, Event Planning & Services, Caterers"
"96",121582,"Rainbow Donuts Cafe and Deli","Phoenix","AZ","85032",33.611676987,-111.9984461607,"1","Bagels, Restaurants, Donuts, Sandwiches, Cafes, Food, Breakfast & Brunch, Delis"
"97",132729,"Wildflower","Scottsdale","AZ","85253",33.5391796555,-111.9236706253,"1","Food, American (New), Restaurants, Breakfast & Brunch, Bakeries"
"98",92982,"BB Cafe","Chandler","AZ","85224",33.3061249,-111.8609991,"0","Restaurants, Breakfast & Brunch, Caterers, Sandwiches, Event Planning & Services, Cafes"
"99",148378,"Bareburger","Toronto","ON","M5G",43.6556244,-79.3841428,"0","Vegetarian, Burgers, Salad, Breakfast & Brunch, Restaurants, American (Traditional)"
"100",138164,"New Midway Restaurant","Mississauga","ON","L5T 2B8",43.6633367,-79.6698193,"1","Restaurants, Diners, Greek, Breakfast & Brunch"
"101",54990,"Luckee","Toronto","ON","M5V 3T4",43.6446974,-79.3923951,"1","Breakfast & Brunch, Chinese, Dim Sum, Restaurants"
"102",80928,"City Diner","North Ridgeville","OH","44039",41.3949925315,-82.0048069954,"1","Breakfast & Brunch, American (Traditional), Restaurants"
"103",133648,"Real Thai On","Toronto","ON","M9N 2R8",43.7009257,-79.5032563,"0","Breakfast & Brunch, Malaysian, Restaurants, Thai"
"104",173266,"Denny's","Scottsdale","AZ","85250",33.5387649,-111.8848847,"1","American (Traditional), Breakfast & Brunch, Restaurants, Diners"
"105",18060,"Panera Bread","Murrysville","PA","15668",40.421806,-79.661538,"1","Restaurants, Breakfast & Brunch, Sandwiches, Bagels, Food, Salad, Soup"
"106",139494,"Panera Bread","Allison Park","PA","15101",40.602218,-79.945617,"1","Bagels, Soup, Salad, Restaurants, Food, Sandwiches, Breakfast & Brunch"
"107",100001,"32 Shea","Phoenix","AZ","85028",33.5834783394,-112.0134559392,"1","Nightlife, Food, Restaurants, Beer, Wine & Spirits, Coffee & Tea, Breakfast & Brunch, Bars, Wine Bars, Do-It-Yourself Food, Cafes"
"108",158002,"O'Charley's Restaurant & Bar","Charlotte","NC","28213",35.295787,-80.741674,"1","Breakfast & Brunch, Restaurants, American (Traditional), Southern, Burgers"
"109",47787,"Bobby's Hideaway","Mississauga","ON","L5G 1H5",43.5635359,-79.5719144,"1","Diners, Breakfast & Brunch, Restaurants, Canadian (New)"
"110",138216,"Blanche Neige","Montréal","QC","H3S 1Y7",45.4992253,-73.6281621,"0","Restaurants, Breakfast & Brunch, Coffee & Tea, Pizza, Food"
"111",13597,"Bob Evans","Pittsburgh","PA","15237",40.5417427189,-80.0121000409,"1","Hotels & Travel, American (Traditional), Bed & Breakfast, Restaurants, Breakfast & Brunch, Salad, Comfort Food, American (New)"
"112",120433,"Royale","Calgary","AB","T2S 0B7",51.0380986,-114.0786792,"1","Desserts, Brasseries, Restaurants, Food, Breakfast & Brunch, French"
"113",37321,"Urban Beans Cafe & Bar","Phoenix","AZ","85014",33.4885590269,-112.0653334273,"1","Bars, Vegetarian, Coffee & Tea, Nightlife, Bakeries, Cafes, Breakfast & Brunch, Sandwiches, Restaurants, Food"
"114",90950,"Yolis Café","Chandler","AZ","85225",33.299873,-111.842586,"0","Salad, American (New), Burgers, Restaurants, American (Traditional), Breakfast & Brunch"
"115",132869,"Swan Restaurant","Toronto","ON","M6J 1G3",43.6452774,-79.4149396,"0","Restaurants, American (Traditional), Breakfast & Brunch, Diners"
"116",49405,"Love Acai Bowls Food Truck","Phoenix","AZ","85001",33.4499672,-112.0702225,"1","Food, Breakfast & Brunch, Restaurants, Acai Bowls"
"117",25672,"What's Brew'n In Sun Prairie","Sun Prairie","WI","53590",43.1886096,-89.2784323,"1","Restaurants, Breakfast & Brunch, Food, Ice Cream & Frozen Yogurt, Coffee & Tea"
"118",5708,"Lulu's 13 Pub","Madison","WI","53704",43.1282826,-89.3042583,"1","Restaurants, American (Traditional), Breakfast & Brunch, Nightlife, Bars, Pubs, American (New)"
"119",74729,"Holy Grill","Calgary","AB","T2P 2T8",51.048892,-114.0711799,"1","Sandwiches, Food, Restaurants, Burgers, Breakfast & Brunch"
"120",45216,"Beach Cafe","Las Vegas","NV","89139",36.0484864,-115.2243463,"1","Restaurants, Burgers, Diners, Breakfast & Brunch"
"121",151723,"Courtyard Restaurant and Rockies Sports Bar","Calgary","AB","T2M 3Y7",51.0684064,-114.1166808,"1","Pizza, Mediterranean, Breakfast & Brunch, Nightlife, Sports Bars, Bars, Burgers, Restaurants"
"122",93616,"Lou's Diner","Las Vegas","NV","89107",36.167739,-115.2059208,"1","Breakfast & Brunch, Diners, American (Traditional), Restaurants"
"123",37812,"The Block","Calgary","AB","T2M 2Z8",51.0735029799,-114.0725108858,"0","Restaurants, Nightlife, Lounges, Breakfast & Brunch, Food, Bars, Gluten-Free, Beer, Wine & Spirits"
"124",128470,"Mimi's Cafe","Charlotte","NC","28216",35.3481546,-80.8519109,"0","American (New), Cajun/Creole, Breakfast & Brunch, Restaurants"
"125",22467,"Original ChopShop","Phoenix","AZ","85018",33.5028289,-112.0127286,"1","Restaurants, Salad, Juice Bars & Smoothies, Food, American (New), Breakfast & Brunch"
"126",99114,"Jack-In-the Box","Phoenix","AZ","85009",33.4656892,-112.134034,"1","Desserts, Burgers, Breakfast & Brunch, Food, Restaurants"
"127",46190,"Denny's","Las Vegas","NV","89101",36.1699356,-115.1414301,"1","Diners, Restaurants, American (Traditional), Breakfast & Brunch, Sandwiches"
"128",2895,"Chez Roger & Denise","Montréal","QC","H2J 1J3",45.535916794,-73.5815996944,"1","Food, Juice Bars & Smoothies, Cafes, Coffee & Tea, Restaurants, Breakfast & Brunch"
"129",142811,"Dr Generosity","Toronto","ON","M6S 1N2",43.6513457,-79.4752937,"0","Breakfast & Brunch, Bars, Nightlife, Restaurants, Pubs"
"130",70230,"Château d'Or","Boisbriand","QC","J7G 1C8",45.6193537,-73.8130869,"1","Breakfast & Brunch, Pizza, Steakhouses, Italian, Delis, Restaurants"
"131",188741,"Tim Hortons","Prévost","QC","J0R 1T0",45.8417249557,-74.0611622549,"1","Coffee & Tea, Breakfast & Brunch, Cafes, Restaurants, Food"
"132",4121,"Sunsational Coffee","Surprise","AZ","85374",33.6266784668,-112.3937759399,"1","Breakfast & Brunch, Food, Cafes, Restaurants, Coffee & Tea"
"133",34869,"Einstein Bros Bagels","Tempe","AZ","85284",33.3218022,-111.9304637,"1","Restaurants, Breakfast & Brunch, Food, Delis, Bagels"
"134",130848,"International House of Pancakes","Tempe","AZ","85281",33.4143794,-111.9359999,"0","American (Traditional), Breakfast & Brunch, Restaurants"
"135",86056,"Landmark Diner Restaurant","Charlotte","NC","28205",35.2139396,-80.7694598,"1","Mediterranean, Italian, Restaurants, Greek, Breakfast & Brunch, Diners"
"136",149332,"Georgeview Open Kitchen Restaurant","Georgetown","ON","L7G 4A6",43.6503545,-79.909963,"1","Restaurants, Breakfast & Brunch"
"137",119489,"My Sister's Kitchen","Middleton","WI","53562",43.0999368,-89.5111999,"1","Restaurants, American (Traditional), Diners, Breakfast & Brunch"
"138",158694,"Einstein Bros Bagels","Pittsburgh","PA","15241",40.3475049005,-80.0545406342,"0","Breakfast & Brunch, Food, Sandwiches, Bagels, Restaurants"
"139",185769,"Lazy Dog Restaurant & Bar","Las Vegas","NV","89119",36.0701464765,-115.1738562678,"1","Comfort Food, American (New), Restaurants, Bars, Breakfast & Brunch, Wine Bars, Tapas/Small Plates, Burgers, Nightlife, Cocktail Bars, Beer, Wine & Spirits, Food, Beer Bar"
"140",101121,"Tim Hortons","Montréal","QC","H3H 1N2",45.4897905,-73.5849415,"1","Coffee & Tea, Breakfast & Brunch, Donuts, Food, Restaurants"
"141",96535,"Bon Appétit Chéri","Laval","QC","H7V 3Z3",45.5491665,-73.7444668,"1","Salad, Restaurants, Steakhouses, Burgers, Breakfast & Brunch"
"142",7485,"District 28 Bar Bistro","Toronto","ON","M4M 2M8",43.6552665,-79.3405143,"1","Bars, Sandwiches, Breakfast & Brunch, Event Planning & Services, Burgers, Restaurants, Cafes, Nightlife, Venues & Event Spaces"
"143",50997,"El Chorro","Paradise Valley","AZ","85253",33.532125,-111.96086,"1","Salad, Venues & Event Spaces, Food, Event Planning & Services, American (Traditional), Burgers, Desserts, Bars, American (New), Nightlife, Restaurants, Diners, Breakfast & Brunch"
"144",166732,"Nook","Toronto","ON","M5V 1K4",43.644829,-79.396777,"1","Caterers, Event Planning & Services, Restaurants, Cafes, Breakfast & Brunch, Sandwiches"
"145",143456,"Famous Toastery","Rock Hill","SC","29732",34.9712463424,-81.0300523537,"1","Caterers, Breakfast & Brunch, Restaurants, Event Planning & Services, American (Traditional)"
"146",87088,"Rock Hill Diner","Rock Hill","SC","29732",34.9662888,-80.9961289,"1","Breakfast & Brunch, American (Traditional), Diners, Greek, Restaurants, Seafood"
"147",67059,"Jardin Nelson","Montréal","QC","H2Y 3B1",45.5079436,-73.5526169,"1","Restaurants, Jazz & Blues, Nightlife, Breakfast & Brunch, Creperies, Arts & Entertainment"
"148",12263,"Farine","Montréal","QC","H2T 2L1",45.5244186,-73.6000477,"1","Pizza, Breakfast & Brunch, Bakeries, Cafes, Specialty Food, Sandwiches, Food, Restaurants, Italian"
"149",192579,"OverEasy Restaurant","Toronto","ON","M5S 3B4",43.6686587,-79.395839,"1","Restaurants, Breakfast & Brunch"
"150",44530,"Postino Kierland","Scottsdale","AZ","85254",33.623665,-111.929272,"1","Restaurants, Breakfast & Brunch, Nightlife, Wine Bars, Italian, Bars"
"151",15323,"The Breakfast Joynt","Scottsdale","AZ","85255",33.6745561417,-111.8892102521,"0","Breakfast & Brunch, Restaurants"
"152",107855,"Wagon Wheel","Cave Creek","AZ","85331",33.817695,-111.95425,"1","Breakfast & Brunch, Burgers, Steakhouses, Restaurants"
