"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",1037,"Feast Buffet","Las Vegas","NV","89102",36.1421161808,-115.1742515629,"1","Buffets, Restaurants"
"2",138910,"Jardin Tiki","Montréal","QC","H1V 1A1",45.5679434,-73.5526664,"0","Local Flavor, Chinese, Nightlife, Restaurants, Bars, Buffets, Asian Fusion"
"3",72511,"ChinaTown Buffet","Champaign","IL","61822",40.13727,-88.2560426,"1","Sushi Bars, Buffets, Restaurants, Chinese"
"4",72315,"Marcello's Market & Deli","Toronto","ON","M5H 1B6",43.649321,-79.378413,"1","Food, Grocery, Delis, Buffets, Event Planning & Services, Breakfast & Brunch, Restaurants, Caterers"
"5",135798,"Misaki","Pittsburgh","PA","15226",40.411302,-80.007324,"0","Buffets, Restaurants"
"6",175422,"Sunny China Buffet","Urbana","IL","61802",40.0976392,-88.1912166,"1","Buffets, Chinese, Restaurants"
"7",170103,"Cusina Lounge","Toronto","ON","M3H 1S8",43.7372891748,-79.4349258766,"1","Barbeque, Filipino, Buffets, Fish & Chips, Restaurants"
"8",128522,"Mandarin Restaurant - Queensway","Etobicoke","ON","M8Z 1S1",43.621045152,-79.52306148,"1","Chinese, Restaurants, Buffets"
"9",13423,"The Buffet at Bellagio","Las Vegas","NV","89109",36.11322,-115.17689,"1","American (New), Buffets, Restaurants"
"10",111667,"Fu Lam","Montréal","QC","H8N 2K3",45.4439834839,-73.6162743853,"1","Buffets, Restaurants, Chinese"
"11",4754,"Cicis","Gastonia","NC","28056",35.2593786197,-81.1130197521,"1","American (Traditional), Pizza, Restaurants, Buffets"
"12",117385,"King Buffet","Belmont","NC","28012",35.253526,-81.0436409,"0","Restaurants, Buffets"
"13",117272,"Super Buffet","Scarborough","ON","M1H 3E2",43.7786531,-79.2321322,"0","Food, Buffets, Restaurants"
"14",185095,"Peter Piper Pizza","Scottsdale","AZ","85260",33.6282559148,-111.8928736698,"1","Chicken Wings, Restaurants, Buffets, Pizza"
"15",20620,"World Buffet","Las Vegas","NV","89128",36.1976942,-115.2470842,"0","Restaurants, Buffets"
"16",187567,"Great Wall Buffet","Pickering","ON","L1V 1B5",43.8279946,-79.0976787,"0","Restaurants, Buffets"
"17",81878,"Mon Ami - Brossard","Brossard","QC","J4Z 3H1",45.477253,-73.447508,"1","Buffets, Barbeque, Korean, Restaurants"
"18",84719,"Ichiban Buffet","Charlotte","NC","28227",35.204845,-80.721379,"1","Buffets, Restaurants, Chinese"
"19",73030,"Peter Piper Pizza","Phoenix","AZ","85033",33.4934232,-112.204681,"1","Restaurants, Chicken Wings, Pizza, Buffets"
"20",143790,"Sky Asian Bistro","Pineville","NC","28134",35.0867844,-80.8810593,"1","Seafood, Asian Fusion, Chinese, Buffets, Sushi Bars, Restaurants"
"21",188906,"Buffet Yangtze","Calgary","AB","T2E 7P4",51.1085655575,-114.0400811411,"1","Chinese, Dim Sum, Buffets, Restaurants, Asian Fusion"
"22",111867,"Zen Buffet","Glendale","AZ","85308",33.6383418,-112.2163379,"0","Restaurants, Buffets, Chinese"
"23",32595,"Sushiya","Sainte-Julie","QC","J3E 2T6",45.5753626,-73.3266204,"1","Buffets, Restaurants, Japanese, Sushi Bars"
"24",52272,"Curry Bowl","Chandler","AZ","85248",33.2324025,-111.8569985,"1","Vegetarian, Indian, Buffets, Pan Asian, Restaurants, Food, Desserts"
"25",138057,"Taj Mahal Indian Cuisine","Tempe","AZ","85281",33.4502544,-111.9255745,"0","Asian Fusion, Restaurants, Pakistani, Buffets, Indian"
"26",160168,"Red Rock Buffet","Fort McDowell","AZ","85264",33.581892,-111.6811641,"1","Buffets, Restaurants"
"27",42229,"Indian Paradise","Scottsdale","AZ","85260",33.6222859533,-111.9041715755,"0","Indian, Restaurants, Gluten-Free, Pakistani, Halal, Buffets"
"28",101327,"UmJi","Toronto","ON","M1T 3J7",43.7766273,-79.3171808,"0","Barbeque, Buffets, Korean, Restaurants"
"29",167105,"NY Seafood Buffet","Glendale","AZ","85308",33.6377979,-112.168226,"0","Seafood, Buffets, Restaurants, Chinese"
"30",44978,"Jogoya Sushi Seafood Buffet","Chandler","AZ","85286",33.2767552948,-111.7921988809,"1","Buffets, Seafood, Sushi Bars, Chinese, Restaurants"
"31",34201,"Buffet Vichy St Hubert","Saint-Hubert","QC","J4T 3K1",45.4995538,-73.4861534,"1","Buffets, Restaurants"
"32",128283,"Peter Piper Pizza","Glendale","AZ","85301",33.5370013,-112.152069,"1","Buffets, Chicken Wings, Pizza, Restaurants"
"33",114955,"Sweet Tomatoes","Phoenix","AZ","85012",33.5096666571,-112.0717401263,"0","Buffets, Salad, Soup, Vegetarian, Restaurants"
"34",100372,"Dragon Buffet","Charlotte","NC","28263",35.1457769,-80.9365337,"1","Restaurants, Chinese, Buffets"
"35",43982,"Kirin Buffet","Las Vegas","NV","89119",36.115613,-115.132619,"1","Buffets, Seafood, Chinese, Asian Fusion, Restaurants"
"36",151564,"Yu's Old Town Buffet","Pleasant Hills","PA","15236",40.3326499,-79.9460512,"0","Buffets, Restaurants"
"37",185291,"Big Kitchen Buffet","Las Vegas","NV","89109",36.1142773,-115.1709763,"0","Buffets, Restaurants"
"38",128739,"Great China","Scottsdale","AZ","85254",33.5978405,-111.9781111,"0","Restaurants, Buffets"
"39",157910,"Cravings Buffet","Las Vegas","NV","89109",36.121237,-115.174105,"1","American (New), Buffets, Restaurants, American (Traditional)"
"40",101458,"Village Seafood Buffet","Las Vegas","NV","89103",36.118117,-115.187298,"0","Restaurants, Seafood, Buffets"
"41",8536,"Lotus Buffet","Charlotte","NC","28262",35.3171937,-80.740204,"1","Buffets, Restaurants, Chinese"
"42",10903,"Eastern Buffet","Phoenix","AZ","85016",33.4799005,-112.046838,"0","Restaurants, Chinese, Buffets"
"43",103889,"China Star Buffet","Las Vegas","NV","89103",36.099494,-115.2083645,"0","Buffets, Restaurants"
"44",190145,"Sweet Tomatoes Field Kitchen","Peoria","AZ","85382",33.637715,-112.2223053,"0","Vegetarian, Soup, Restaurants, Buffets, Salad"
"45",154435,"Jumbo Buffet","Phoenix","AZ","85041",33.3931495,-112.1317218,"0","Buffets, Chinese, Restaurants"
"46",137087,"Corner Market Buffet","Las Vegas","NV","89109",36.124829,-115.171991,"1","Event Planning & Services, Buffets, Asian Fusion, Restaurants, Hotels & Travel, American (Traditional), Sushi Bars, Hotels, Breakfast & Brunch"
"47",112451,"Fresh Buffet","Las Vegas","NV","89109",36.1362575,-115.1512526,"1","Buffets, Restaurants"
"48",182500,"Cowboys Casino","Calgary","AB","T2G 1A5",51.041175,-114.0544367,"1","Cafes, Casinos, Nightlife, Buffets, Restaurants, Arts & Entertainment"
