"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",24340,"Marathon Diner","Pittsburgh","PA","15231",40.4961769456,-80.2460112364,"1","Sandwiches, Salad, Restaurants, Burgers, Comfort Food"
"2",145384,"Served","Henderson","NV","89012",36.0107451,-115.0648029,"1","Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
"3",183647,"Heart Attack Grill","Chandler","AZ","85226",33.3047634,-111.948079,"0","Burgers, Restaurants"
"4",120464,"Wendy's","Madison","WI","53716",43.062872,-89.308293,"1","Fast Food, Sandwiches, Restaurants, Burgers"
"5",176917,"Gourmet Burger Company","Toronto","ON","M8Z 5G9",43.6332914,-79.5317683,"0","Burgers, Food, Restaurants"
"6",114126,"Big Boy's Burgers","Pickering","ON","L1V 6K3",43.8195876,-79.1138711,"1","Restaurants, Burgers"
"7",44971,"Wendy's","Mississauga","ON","L5K 2R8",43.5283821484,-79.6750115673,"1","Restaurants, Burgers, Fast Food"
"8",87016,"Five Guys","Phoenix","AZ","85042",33.3786989221,-112.0310130715,"1","Fast Food, Restaurants, Burgers, Food"
"9",89524,"Jerry Ferrer","Montréal","QC","H2X 1C2",45.512532975,-73.5692959126,"0","Restaurants, Burgers, Poutineries, Canadian (New)"
"10",15650,"Hello Bistro","Pittsburgh","PA","15237",40.5701342672,-80.0214552865,"1","Burgers, Restaurants, Cafes, Salad, Sandwiches"
"11",96427,"Steak ’n Shake","Brunswick","OH","44212",41.2378014833,-81.8060022,"1","American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)"
"12",70480,"Ron's Restaurant","Monroe","NC","28110",35.027041,-80.603617,"1","Burgers, Restaurants, American (Traditional)"
"13",88804,"Circles Grill and Market","Charlotte","NC","28277",35.0393909574,-80.7950710445,"0","Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food"
"14",37063,"Steak ’n Shake","Willoughby","OH","44094",41.6234487,-81.4392608,"1","Restaurants, Fast Food, Burgers, American (Traditional), American (New), Breakfast & Brunch, Diners"
"15",2715,"The Turnhouse Grille","Charlotte","NC","28209",35.1717355947,-80.8492714539,"1","Burgers, Restaurants, American (New), Bars, American (Traditional), Nightlife"
"16",153313,"Nathan's Famous","Champlain","NY","12919",44.9811404098,-73.458718434,"1","Convenience Stores, Hot Dogs, Gas Stations, Burgers, Automotive, Food Stands, Restaurants, Comfort Food, Food, Fast Food"
"17",155975,"Long Wong's Famous Wings","Phoenix","AZ","85017",33.5194909639,-112.1173717113,"1","Pizza, Chicken Wings, Burgers, Restaurants"
"18",86248,"Waffle House","Pineville","NC","28134",35.087963,-80.858488,"1","Diners, American (Traditional), Restaurants, Breakfast & Brunch, Waffles, American (New), Fast Food, Burgers"
"19",72222,"Eggspectation","Montréal","QC","H2X 2X3",45.507291,-73.565672,"1","Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food"
"20",27289,"JC's Restaurant","Burton","OH","44021",41.4709663391,-81.1464233398,"1","Burgers, American (New), Sandwiches, Breakfast & Brunch, Restaurants"
"21",158496,"Ryan's Pub","Pittsburgh","PA","15221",40.4393965,-79.8971839,"0","Restaurants, Barbeque, Bars, Pubs, Burgers, Nightlife"
"22",79409,"Frite Alors","Montréal","QC","H1Y 2J7",45.5499455,-73.5742233,"1","Food Trucks, Burgers, Food, Sandwiches, Restaurants"
"23",108050,"Farmer Boy Restaurant","Amherst","OH","44001",41.3622256,-82.2208599,"1","Salad, Restaurants, Burgers, Breakfast & Brunch"
"24",170924,"Rally's","Elyria","OH","44035",41.3771708,-82.0770363,"1","Burgers, Fast Food, Restaurants"
"25",32114,"Prince Restaurant","Las Vegas","NV","89103",36.1140708,-115.2409255,"1","American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
"26",149006,"Tavern In The Wall","Pittsburgh","PA","15215",40.4903879,-79.9046284,"1","Nightlife, Restaurants, Bars, Burgers, Delis"
"27",135832,"A&W","Montréal","QC","H3A 1K1",45.5047528,-73.5725866,"1","Burgers, Breakfast & Brunch, Restaurants, Fast Food"
"28",82318,"Hero Certified Burgers - Colossus","Vaughan","ON","L4L 0B6",43.7887347653,-79.5448301604,"1","Burgers, Restaurants"
"29",6536,"Cheeks Homemade Burgers & Good Eats","Bolton","ON","L7E 1E8",43.8798484,-79.7375796,"1","Restaurants, Burgers, Hot Dogs"
"30",14399,"Burger King","Charlotte","NC","28210",35.0933956,-80.8584428,"0","Restaurants, Burgers"
"31",125801,"Wendys","Charlotte","NC","28269",35.3337597,-80.7937128,"1","Restaurants, Fast Food, Burgers"
"32",174115,"Firehouse Subs","Gastonia","NC","28054",35.262106,-81.138489,"1","Restaurants, Fast Food, Burgers, Delis, Sandwiches"
"33",45316,"IHOP","Las Vegas","NV","89108",36.21935,-115.24493,"1","Breakfast & Brunch, American (New), Restaurants, American (Traditional), Public Services & Government, Burgers"
"34",117426,"The Thumb BBQ","Scottsdale","AZ","85260",33.6393699646,-111.8792572021,"1","Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services"
"35",87342,"Burger King","Las Vegas","NV","89129",36.2191204,-115.280934,"1","Restaurants, Burgers, Fast Food"
"36",88859,"La Station des Sports","Montréal","QC","H3H 1M6",45.4917988,-73.5818589,"1","Restaurants, Bars, Burgers, French, Nightlife, Sports Bars, Barbeque"
"37",61421,"McDonald's","Oregon","WI","53575",42.9423148,-89.3837457,"1","Coffee & Tea, Burgers, Food, Fast Food, Restaurants"
"38",59363,"Harvey's","Bolton","ON","L7E 2B2",43.8737975,-79.7301414,"1","Restaurants, American (Traditional), Fast Food, Burgers"
"39",44082,"Moe's Tavern & Grill","Madison","WI","53703",43.0747406,-89.3865796,"0","Greek, American (Traditional), Burgers, Restaurants"
"40",176577,"The North Burger","Mount Albert","ON","L0G 1M0",44.1479094,-79.3246321,"1","Restaurants, Burgers"
"41",90260,"HUSH","Toronto","ON","M5V 1J5",43.6463659,-79.3902727,"0","Restaurants, Bars, Burgers, American (New), Canadian (New), Seafood, Nightlife"
"42",166237,"Burger 320","Calgary","AB","T2N 1V3",51.0529742,-114.0856596,"1","Restaurants, Burgers"
"43",67489,"Harry's Drive-In","Scarborough","ON","M1P 2P9",43.7493676,-79.2772453,"1","Restaurants, Burgers"
"44",171482,"The 3 Brewers","Toronto","ON","M5B 1N8",43.6555236,-79.3802224,"1","Breweries, Bars, Pubs, Food, Restaurants, Gastropubs, Burgers, Nightlife"
"45",113273,"Village Inn - North Peoria","Peoria","AZ","85383",33.7118664044,-112.2702986773,"1","Breakfast & Brunch, Burgers, Restaurants, Sandwiches"
"46",24476,"Lake Town Tavern","Cornelius","NC","28031",35.4631169,-80.8887062,"1","Nightlife, Food, Beer, Wine & Spirits, Burgers, Restaurants, American (Traditional), Chicken Wings, Arts & Entertainment, Music Venues, Pubs, Sports Bars, Bars"
"47",65884,"McDonald's","Akron","OH","44320",41.0841590818,-81.5813845878,"1","Coffee & Tea, Burgers, Fast Food, Restaurants, Food"
"48",76113,"Devils Den Sports Grill","Tempe","AZ","85281",33.4231472,-111.9328392,"0","Bars, Restaurants, Burgers, Beer, Wine & Spirits, Food, Nightlife"
"49",42648,"The Original OMG Steak & Hoagies","Vaughan","ON","L4H 2Z7",43.8383106,-79.5596136,"1","Cheesesteaks, Restaurants, Burgers, Sandwiches"
"50",115384,"Sonic Drive-In","Henderson","NV","89015",36.036526,-114.9774104,"1","American (Traditional), Food, Burgers, Restaurants, Fast Food, Ice Cream & Frozen Yogurt"
"51",43806,"Manhattans Hand-Made Burgers","Toronto","ON","M5H 2R2",43.6503406,-79.3805207,"0","Restaurants, Burgers"
"52",107359,"McDonald's","North Las Vegas","NV","89030",36.219109,-115.126973,"0","Restaurants, Burgers, Fast Food"
"53",93828,"Bbreakfasts","Toronto","ON","M5S 3L9",43.6680033,-79.3885578,"0","Fast Food, Breakfast & Brunch, Restaurants, Burgers"
"54",121641,"On the Bun Burgers","Mississauga","ON","L4W 1N5",43.6301814,-79.6278676,"1","Burgers, Restaurants, Halal"
"55",8760,"Mr. Brews Taphouse All American Burgers","Madison","WI","53717",43.0733000354,-89.5266863331,"1","Burgers, Pubs, Bars, Restaurants, American (New), Nightlife"
"56",123302,"Fuku Burger Chinatown","Las Vegas","NV","89146",36.126649,-115.225307,"1","Burgers, Fast Food, Restaurants"
"57",14304,"Chunky Chicken","Toronto","ON","M4H 1C3",43.7102476,-79.3353305,"1","Fast Food, Restaurants, Chicken Wings, Halal, Burgers, Pizza"
"58",17613,"Moe's Meaty Messy Meals","Las Vegas","NV","89119",36.1006404,-115.1331919,"1","American (New), Restaurants, Burgers"
"59",50641,"Sammy's Grille","Cleveland","OH","44103",41.5005090569,-81.6888530137,"0","Diners, American (Traditional), Salad, Breakfast & Brunch, Burgers, Restaurants"
"60",116080,"Life Cafe","Tempe","AZ","85284",33.3413432,-111.9643591,"1","Pizza, American (Traditional), Burgers, Cafes, Restaurants, American (New)"
"61",49006,"O'Burger","Montréal","QC","H3A 1Z4",45.5027449,-73.5726305,"0","Restaurants, Burgers, American (Traditional)"
"62",125157,"Sonic Drive-In","Las Vegas","NV","89031",36.2402917349,-115.1200517288,"1","Fast Food, Hotels & Travel, Ice Cream & Frozen Yogurt, Food, Bed & Breakfast, Restaurants, American (Traditional), Burgers, Breakfast & Brunch"
"63",103574,"DQ / Orange Julius","Thornhill","ON","L4J 8L7",43.8178353,-79.4507569,"1","Fast Food, Restaurants, Burgers, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Food"
"64",84766,"McDonald's","Scottsdale","AZ","85258",33.5442187,-111.9052801,"0","Burgers, Restaurants, Fast Food"
"65",135223,"American Deli","Montgomery","NC","28215",35.2355292586,-80.735678226,"1","Sandwiches, Burgers, Fast Food, Cheesesteaks, Restaurants, Chicken Wings"
"66",172593,"Crafty Burg'r","Cornelius","NC","28031",35.4474418914,-80.8913036808,"1","Bars, Restaurants, American (New), Burgers, Nightlife"
"67",50890,"La Rotonda","Montréal","QC","H1E 3N1",45.634278,-73.5939136,"0","Burgers, Restaurants, Pizza, Italian, Sandwiches"
"68",185991,"Lakewood Village Tavern","Lakewood","OH","44107",41.476796,-81.786777,"1","Burgers, Nightlife, Bars, Karaoke, Steakhouses, Dive Bars, Restaurants"
"69",140460,"House of Blues Restaurant & Bar","Cleveland","OH","44114",41.499225,-81.6906427,"1","American (New), Restaurants, Barbeque, Burgers, Southern"
"70",42776,"Burger Stop","Las Vegas","NV","89136",36.0993008,-115.1179154,"0","Food, Convenience Stores, Restaurants, Burgers"
"71",185966,"McDonald's","Cuyahoga Falls","OH","44224",41.1627833345,-81.4758901298,"1","Coffee & Tea, Restaurants, Hot Dogs, Burgers, Fast Food, Food"
"72",85832,"McDonald's","Phoenix","AZ","85018",33.4785773,-112.000875,"1","Coffee & Tea, Burgers, Restaurants, Food, Fast Food"
"73",41983,"Browns Socialhouse Chestermere","Chestermere","AB","T1X",51.0499405229,-113.8265129551,"1","Restaurants, Bars, American (Traditional), Nightlife, Canadian (New), Pubs, Burgers"
