"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",4441,"Aroma Espresso Bar","Toronto","ON","M3J 2S5",43.7698543376,-79.5019328828,"1","Sandwiches, Cafes, Food, Restaurants, Coffee & Tea"
"2",40969,"Vals Getaway DES Cafeteria","Phoenix","AZ","85007",33.4468055,-112.0971288,"1","Restaurants, Food, Cafes"
"3",174590,"Flyjin Café","Montréal","QC","H2Y",45.5016615,-73.556605,"1","Coffee & Tea, Cafes, Restaurants, Bakeries, Juice Bars & Smoothies, Local Flavor, Food"
"4",157550,"Game Mamba Studio","Tempe","AZ","85282",33.4078431,-111.9156935,"1","Food, Internet Cafes, Arts & Entertainment, Computers, Shopping, LAN Centers, Arcades"
"5",15650,"Hello Bistro","Pittsburgh","PA","15237",40.5701342672,-80.0214552865,"1","Burgers, Restaurants, Cafes, Salad, Sandwiches"
"6",88804,"Circles Grill and Market","Charlotte","NC","28277",35.0393909574,-80.7950710445,"0","Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food"
"7",146966,"2 Girls' Cafe & Bakery","Stow","OH","44224",41.1654526,-81.4392963,"1","Food, Restaurants, Bakeries, Cafes"
"8",122069,"Hingetown","Cleveland","OH","44113",41.4893428107,-81.711028698,"1","Flowers & Gifts, Art Galleries, Coffee & Tea, Arts & Entertainment, Food, Cafes, Museums, Restaurants, Local Flavor, Shopping Centers, Shopping, Florists"
"9",73653,"Spice Cafe","Pittsburgh","PA","15213",40.438875,-79.955248,"0","Cafes, Nightlife, Restaurants, Bars, Pubs"
"10",72222,"Eggspectation","Montréal","QC","H2X 2X3",45.507291,-73.565672,"1","Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food"
"11",40604,"D-Spot Dessert Cafe","Toronto","ON","M8Z 1P7",43.6232196,-79.5173811,"1","Desserts, Cafes, Food, Ice Cream & Frozen Yogurt, Restaurants, Bubble Tea"
"12",77322,"Brockton Haunt","Toronto","ON","M6H 1B6",43.652360563,-79.4339237061,"1","Juice Bars & Smoothies, Restaurants, Sandwiches, Food, Cafes, Coffee & Tea"
"13",52267,"La Vida Cocoa Craft Bakery & Cafe","Thornhill","ON","L4J 6X3",43.7953286,-79.4347723,"1","Gluten-Free, Food, Bakeries, Restaurants, Vegan, Cafes"
"14",25141,"Roots Cafe","Charlotte","NC","28203",35.2065071258,-80.8602583075,"1","Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food"
"15",27907,"Café Mezcal","Montréal","QC","H2X 1B7",45.515404,-73.571156,"1","Food, Breakfast & Brunch, Ice Cream & Frozen Yogurt, Mexican, Cafes, Restaurants"
"16",162376,"Margo's","Toronto","ON","M8V 1C4",43.6146607077,-79.4890733063,"0","Sandwiches, Poutineries, Restaurants, Cafes"
"17",60385,"Mornin' Moonshine","Phoenix","AZ","85003",33.4500119,-112.0756189,"0","Coffee & Tea, Food, Cafes, Restaurants"
"18",56935,"Le Gourmand","Toronto","ON","M5V 3S6",43.6481229,-79.3966409,"1","Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch"
"19",75692,"Bathurst Local","Toronto","ON","M5T 2S3",43.6514918,-79.4058339,"1","Beer, Wine & Spirits, Whiskey Bars, Coffee & Tea, Beer Bar, Breakfast & Brunch, Bars, Cocktail Bars, Food, Cafes, Wine Bars, Restaurants, Local Flavor, Nightlife"
"20",80696,"Daisy Mountain Coffee Roasters","Phoenix","AZ","85086",33.7996940069,-112.1286818051,"1","Sandwiches, Restaurants, Breakfast & Brunch, Coffee & Tea, Internet Cafes, Food"
"21",177646,"River Café","Calgary","AB","T2P 0R1",51.0547701109,-114.0714097023,"1","Restaurants, Wine Bars, Cafes, Food, American (New), Local Flavor, Nightlife, Canadian (New), Bars"
"22",86768,"Hong Kong Bistro Cafe","Toronto","ON","M5T 1G8",43.6534452,-79.3968608,"1","Cafes, Chinese, Restaurants"
"23",42063,"Waffles Cafe","North Las Vegas","NV","89084",36.285657,-115.178948,"1","Breakfast & Brunch, Bubble Tea, Restaurants, Cafes, Food, Juice Bars & Smoothies"
"24",18289,"Krazy 4 Koffee","Phoenix","AZ","85085",33.7977104,-112.0636901,"1","Coffee & Tea, Food, Internet Cafes, Juice Bars & Smoothies, Delis, Restaurants"
"25",46937,"Bulldog Coffee","Toronto","ON","M5H 3K6",43.6503522,-79.3837951,"1","Restaurants, Shopping, Cafes, Public Markets, Coffee & Tea, Food"
"26",59679,"Fat Freddy's Cafe","Surprise","AZ","85374",33.6294444,-112.368679,"0","Cafes, Restaurants, Food, Coffee & Tea"
"27",143409,"Paradise Bakery & Cafe","Tempe","AZ","85281",33.4339009093,-111.9020921101,"0","Food, Restaurants, Bakeries, Cafes, Sandwiches"
"28",124290,"The Poet Cafe","Toronto","ON","M5A 1J4",43.6504042,-79.3711469,"1","Food, Restaurants, Tapas/Small Plates, Coffee & Tea, Cafes"
"29",153541,"Bagel St-Lo","Montréal","QC","H4H 1K6",45.4529067,-73.5724513,"1","Food, Internet Cafes, Bagels"
