"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",119092,"Braseiro","Montréal","QC","H2P 2M1",45.5397329,-73.633639,"1","Canadian (New), Portuguese, Restaurants"
"2",59308,"Toad N Turtle Pubhouse & Grill","Calgary","AB","T2Z",50.9319378,-113.9616098,"1","Bars, Pubs, Gastropubs, Nightlife, Restaurants, Canadian (New)"
"3",137790,"Cibo","Calgary","AB","T2T 0A5",51.0380869,-114.0849675,"1","Italian, Canadian (New), Food, American (New), Restaurants"
"4",64215,"Ricky's All Day Grill","Calgary","AB","T2E 5T1",51.0972241226,-114.0322342038,"1","Breakfast & Brunch, Restaurants, Canadian (New), Diners"
"5",89524,"Jerry Ferrer","Montréal","QC","H2X 1C2",45.512532975,-73.5692959126,"0","Restaurants, Burgers, Poutineries, Canadian (New)"
"6",7904,"Chez ma Grosse Truie Chérie","Montréal","QC","H2K 1T5",45.5260887,-73.5595135,"1","Restaurants, Canadian (New), French, Brasseries"
"7",142416,"Sunset Grill","Newmarket","ON","L3Y 8E4",44.0587246395,-79.4296261825,"1","Breakfast & Brunch, Restaurants, Canadian (New), Diners"
"8",133490,"The Cure","Toronto","ON","M6K 1T5",43.6497245738,-79.4315845899,"0","Sandwiches, Breakfast & Brunch, Nightlife, Cocktail Bars, Food, Bars, Restaurants, American (Traditional), Canadian (New), Diners, Specialty Food, Delis, Meat Shops, Delicatessen"
"9",181670,"Original Joe's","Calgary","AB","T2P 1B4",51.0453002,-114.0636875,"1","Canadian (New), Bars, Nightlife, American (New), Restaurants, American (Traditional)"
"10",177646,"River Café","Calgary","AB","T2P 0R1",51.0547701109,-114.0714097023,"1","Restaurants, Wine Bars, Cafes, Food, American (New), Local Flavor, Nightlife, Canadian (New), Bars"
"11",721,"O.Noir","Toronto","ON","M4Y 2G2",43.6691213,-79.382764,"1","Canadian (New), American (New), Restaurants"
"12",182371,"Le Vin Papillon","Montréal","QC","H3J 1N4",45.48277,-73.5754852,"1","Nightlife, Wine Bars, Restaurants, Canadian (New), Bars"
"13",5843,"Croatia Restaurant","Mississauga","ON","L4X 1M1",43.622322,-79.572187,"1","Canadian (New), Restaurants"
"14",70359,"Les Cavistes","Montréal","QC","H3L 1T5",45.545757,-73.666302,"1","Sports Bars, Seafood, French, Bars, Nightlife, Bistros, Wine Bars, Canadian (New), Restaurants"
"15",191965,"The Pickle Barrel","Toronto","ON","M6A 2T9",43.7246888,-79.4538904,"1","Restaurants, Cocktail Bars, Canadian (New), Bars, Nightlife, Diners"
"16",90260,"HUSH","Toronto","ON","M5V 1J5",43.6463659,-79.3902727,"0","Restaurants, Bars, Burgers, American (New), Canadian (New), Seafood, Nightlife"
"17",45306,"National on 17th","Calgary","AB","T2S 0B1",51.0379995369,-114.074018537,"1","Pubs, Restaurants, Canadian (New), Bars, Nightlife"
"18",28928,"Milestones Restaurants","Toronto","ON","M1P 4P5",43.7767555,-79.2590081,"1","Restaurants, Nightlife, Bars, American (Traditional), Comfort Food, Canadian (New)"
"19",10584,"Ricky's All Day Grill","Calgary","AB","T2J",50.9455365,-114.0698417,"1","American (New), Restaurants, Canadian (New), Food, Diners"
"20",42290,"Fuzion","Toronto","ON","M4Y 2E5",43.6667854,-79.3815027,"0","Restaurants, American (New), Canadian (New)"
"21",188650,"La Réserve","Candiac","QC","J5R 0A1",45.3703799519,-73.5055055545,"1","Canadian (New), Tapas/Small Plates, Restaurants"
"22",62449,"Chasse Galerie","Montréal","QC","H2W 2M5",45.5208770821,-73.5764918849,"1","Canadian (New), Cocktail Bars, Bars, Nightlife, Restaurants"
"23",107407,"Annona Resturant","Toronto","ON","M5R 2E8",43.669154,-79.394715,"1","American (New), Canadian (New), Restaurants"
"24",122205,"3 Coins Open Kitchen","Richmond Hill","ON","L4C 1T6",43.8746365,-79.4382334,"1","Canadian (New), Restaurants, Diners, Fast Food"
"25",160929,"Le Ballpark","Montréal","QC","H2S 3E7",45.5313097,-73.6126688,"1","Canadian (New), Coffee & Tea, Italian, Food, Cocktail Bars, Comfort Food, Restaurants, Bars, Nightlife, Wine Bars"
"26",76983,"Restaurant La Belle Province","Montréal","QC","H3G 1R3",45.4959779,-73.5766764,"0","Restaurants, Fast Food, Canadian (New)"
"27",139476,"Sunset Grill","Mississauga","ON","L5G 1H9",43.5655026,-79.5713627,"1","Diners, Canadian (New), Breakfast & Brunch, Restaurants"
"28",29036,"Watts Restaurant","Scarborough","ON","M1L 2K1",43.7237816,-79.2991712,"0","British, Seafood, Restaurants, Italian, Canadian (New)"
"29",81075,"Earth Rosedale","Toronto","ON","M4W 2L2",43.6783912,-79.3898247,"0","Breakfast & Brunch, Restaurants, Local Flavor, American (New), Canadian (New)"
"30",127354,"Érablière Charbonneau","Mont-Saint-Grégoire","QC","J0J 1K0",45.353144,-73.154279,"1","Food, Sugar Shacks, Grocery, Restaurants, Canadian (New)"
"31",53701,"Fare Game Continental Cuisine","Toronto","ON","M5A 2K7",43.6636079,-79.3706368,"0","Restaurants, Canadian (New)"
"32",155538,"Main's Mansion","Markham","ON","L3P 5T3",43.8792378,-79.2614496,"1","Breakfast & Brunch, Canadian (New), Pubs, Food, Restaurants, Bars, American (Traditional), Tapas Bars, Nightlife"
"33",21781,"Brasserie Kensington","Calgary","AB","T2N 3P4",51.052264,-114.087783,"1","Brasseries, American (New), Canadian (New), Food, Restaurants"
"34",41983,"Browns Socialhouse Chestermere","Chestermere","AB","T1X",51.0499405229,-113.8265129551,"1","Restaurants, Bars, American (Traditional), Nightlife, Canadian (New), Pubs, Burgers"
"35",19714,"Earls Kitchen + Bar","Calgary","AB","T2P 1C4",51.0455991,-114.0690246,"1","Restaurants, Cocktail Bars, Bars, Nightlife, Canadian (New)"
"36",59911,"The Keg Steakhouse + Bar - Pointe-Claire","Pointe-Claire","QC","H9R 1C4",45.4640803605,-73.8300067602,"1","Seafood, Bars, Nightlife, Canadian (New), Steakhouses, Restaurants"
"37",97559,"Byla Byla Restaurant","Lasalle","QC","H8N 1T3",45.4269128,-73.626291,"1","American (New), Restaurants, Canadian (New)"
"38",47787,"Bobby's Hideaway","Mississauga","ON","L5G 1H5",43.5635359,-79.5719144,"1","Diners, Breakfast & Brunch, Restaurants, Canadian (New)"
"39",22086,"Beerbistro","Toronto","ON","M5C 1C4",43.649817,-79.377147,"1","Restaurants, Bistros, Bars, Beer Bar, Pubs, Nightlife, American (New), Canadian (New)"
"40",59034,"Local 8th Avenue","Calgary","AB","T2P 1C1",51.0456856,-114.0686148,"1","Canadian (New), Gastropubs, Bars, Nightlife, Restaurants, Pubs"
"41",11676,"CHPT 2","Newmarket","ON","L3Y 8X8",44.0647130582,-79.4311886885,"1","Canadian (New), Asian Fusion, Restaurants"
"42",157432,"Boulangerie Les Co'pains d'abord","Verdun","QC","H4G 1X2",45.457099,-73.5675136,"0","Restaurants, Canadian (New)"
"43",146611,"Swiss Chalet Rotisserie & Grill","East Gwillimbury","ON","L3Y 4V8",44.0715414,-79.481693,"0","Comfort Food, American (Traditional), Restaurants, Canadian (New)"
"44",1797,"Flock","Toronto","ON","M5S 1G4",43.662574,-79.403622,"1","Restaurants, Food, Canadian (New), Salad"
"45",59676,"Switch","Toronto","ON","M5E 1C6",43.6490711,-79.3746787,"1","Restaurants, Dance Clubs, Canadian (New), Nightlife"
"46",4449,"East York Restaurant","East York","ON","M4K 3W1",43.6889407,-79.3483598,"1","Restaurants, Canadian (New), American (New)"
"47",88953,"Borsalino","North York","ON","M4A 1X1",43.7218888,-79.3034121,"0","Italian, Restaurants, Nightlife, Diners, Cafes, Sports Bars, Mediterranean, Bars, Canadian (New)"
"48",20675,"Fred's Not Here","Toronto","ON","M5V 1J5",43.6461163,-79.3907967,"1","American (New), Canadian (New), Restaurants"
"49",100223,"Olde Village Bistro","Markham","ON","L3R 1M2",43.8612499,-79.3117388,"1","Restaurants, Canadian (New), American (Traditional), Breakfast & Brunch, Diners"
"50",86876,"RH Courtyard Cafe","Toronto","ON","M6A 2T9",43.7246843,-79.4541729,"1","Home & Garden, Restaurants, Canadian (New), American (Traditional), Mediterranean, Cafes, Furniture Stores, Shopping"
"51",4702,"Muckish Irish Pub","Toronto","ON","M1L 4B2",43.7200413,-79.284063,"1","Irish Pub, Beer, Wine & Spirits, Pubs, Food, American (New), Bars, Irish, Nightlife, Restaurants, Canadian (New)"
"52",52889,"The Good Fork","Toronto","ON","M6S 1P9",43.6495697,-79.4840826,"1","Canadian (New), Breakfast & Brunch, Restaurants, Diners, Cafes"
"53",26330,"Montana's BBQ & Bar","Calgary","AB","T3H 3P8",51.0195819431,-114.1679570385,"1","Restaurants, Steakhouses, Canadian (New), Barbeque, Comfort Food"
"54",116275,"Earls Kitchen + Bar","Calgary","AB","T2J 0P8",50.9579509,-114.0708429,"1","Cocktail Bars, American (New), Bars, Comfort Food, Restaurants, Nightlife, Canadian (New)"
"55",92032,"Vue Café","Calgary","AB","T2R 0E5",51.0428522,-114.0799963,"0","Restaurants, Canadian (New), American (New)"
"56",180665,"L'Orignal","Montréal","QC","H2Y 2N7",45.5027327,-73.55798,"1","Canadian (New), Restaurants, French"
"57",116471,"Milestones Restaurants","Richmond Hill","ON","L4B 4L9",43.8419930049,-79.4293430602,"1","Bars, Canadian (New), Comfort Food, American (Traditional), Restaurants, Nightlife"
"58",46213,"La Demande Générale","Montréal","QC","H2X 3L1",45.517522,-73.568246,"1","Bistros, Restaurants, Mediterranean, Canadian (New), Pizza, Food, Smokehouse"
"59",16209,"Aprilé Bambina","Toronto","ON","M4M 1Z8",43.6692354,-79.33609,"0","Comfort Food, Food, Gluten-Free, Breakfast & Brunch, Canadian (New), Restaurants, Italian, Beer, Wine & Spirits, Pizza"
"60",177728,"Parlor Foods & Co","Toronto","ON","M5V",43.6461508,-79.3912498,"0","Canadian (New), Restaurants, Nightlife, Bars"
"61",154215,"Masala Mahal","Markham","ON","L3R 3P9",43.84985,-79.3476695,"0","Indian, Restaurants, Canadian (New)"
"62",116231,"Corks Beer & Wine Bars","Toronto","ON","M4G 3V1",43.7056909,-79.3616027,"1","Food, Beer, Wine & Spirits, Restaurants, Bars, Canadian (New), Nightlife"
"63",135621,"État-Major","Montréal","QC","H1W",45.5494528512,-73.5419670975,"1","Canadian (New), Restaurants, French"
"64",166981,"Xocolat","Calgary","AB","T2R 0E3",51.0429489,-114.0798473,"0","Canadian (New), Restaurants, Mexican"
"65",164229,"Rush Ocean Prime","Calgary","AB","T2P 1K3",51.0443247967,-114.0660052005,"0","Restaurants, Canadian (New), Bars, Nightlife, American (New)"
"66",63126,"The Grill House Churrasquira","Vaughan","ON","L4H 0B9",43.828116,-79.5522657,"0","Chicken Wings, Restaurants, Canadian (New), Portuguese"
"67",99938,"Canyon Public House","Calgary","AB","T2J 7E5",50.9339403,-114.0671382,"1","Restaurants, Bars, Pubs, Breakfast & Brunch, Nightlife, Canadian (New)"
