"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",177055,"Marco's Pizza","Mentor-on-the-Lake","OH","44060",41.70852,-81.359556,"1","Italian, Restaurants, Pizza, Chicken Wings"
"2",62046,"Davidson Pizza Company","Davidson","NC","28036",35.5008943,-80.8540364,"1","Chicken Wings, Pizza, Salad, Restaurants"
"3",49334,"Pizza Hut","Phoenix","AZ","85006",33.479506,-112.046931,"1","Restaurants, Italian, Pizza, Fast Food, Chicken Wings"
"4",53291,"Church's Chicken","Peoria","AZ","85345",33.5788804,-112.2350045,"0","Restaurants, Fast Food, Chicken Wings"
"5",76609,"Hickory Tavern","Charlotte","NC","28269",35.344936,-80.842227,"1","Bars, Restaurants, Sports Bars, Chicken Wings, American (Traditional), Nightlife"
"6",155975,"Long Wong's Famous Wings","Phoenix","AZ","85017",33.5194909639,-112.1173717113,"1","Pizza, Chicken Wings, Burgers, Restaurants"
"7",80627,"Jet's Pizza","Parma","OH","44129",41.4155836,-81.731971,"1","Restaurants, Pizza, Chicken Wings, Sandwiches"
"8",161686,"KFC","Mississauga","ON","L4T 2T5",43.7169205,-79.6354071,"1","Chicken Wings, Fast Food, Restaurants, Chicken Shop"
"9",130916,"Pizza Pizza","Toronto","ON","M5V 1Z6",43.6503226,-79.3900762,"1","Pizza, Restaurants, Italian, Chicken Wings"
"10",90207,"St. Louis Bar & Grill","Maple","ON","L6A 3X5",43.843123,-79.53491,"1","Sports Bars, Nightlife, Bars, Chicken Wings, Restaurants, American (Traditional)"
"11",54889,"Wing It On!","Rock Hill","SC","29732",34.9654724465,-80.9949770789,"0","Chicken Wings, Restaurants, American (New), Chicken Shop"
"12",117928,"Pizza Ranchini","Verona","PA","15147",40.5024446,-79.8125826,"1","Italian, Restaurants, Chicken Wings, Soup, Pizza"
"13",57376,"Mama Rosa's Pizza Chicken Subs","Cuyahoga Falls","OH","44223",41.1407118,-81.5081646,"0","Italian, Restaurants, Chicken Wings, Pizza"
"14",104700,"NYPD Pizza","Glendale","AZ","85308",33.6531023,-112.2357715,"0","Salad, Chicken Wings, Restaurants, Italian, Pizza"
"15",75324,"Pastoli's Pizza, Pasta & Paisans","Pittsburgh","PA","15217",40.4358226,-79.9230998,"1","Gluten-Free, Italian, Chicken Wings, Restaurants, Vegan, Pizza, Vegetarian"
"16",18567,"Pizza Hut","Calgary","AB","T2A 0V1",51.0386268,-113.9667961,"1","Pizza, Chicken Wings, Restaurants, Italian"
"17",49714,"Hook Fish & Chicken","Pittsburgh","PA","15235",40.4652145,-79.8272067,"1","Restaurants, Chicken Wings, Seafood, Fish & Chips"
"18",24476,"Lake Town Tavern","Cornelius","NC","28031",35.4631169,-80.8887062,"1","Nightlife, Food, Beer, Wine & Spirits, Burgers, Restaurants, American (Traditional), Chicken Wings, Arts & Entertainment, Music Venues, Pubs, Sports Bars, Bars"
"19",48907,"Stella's Restaurant","New Kensington","PA","15068",40.5572525,-79.7608845,"1","American (Traditional), Restaurants, Pizza, Chicken Wings"
"20",88188,"Wing Warehouse","Northfield","OH","44067",41.3369371,-81.5293859,"1","Restaurants, Chicken Wings"
"21",111858,"LaRich's Pizza","Cleveland","OH","44143",41.5395116,-81.4780912,"1","Italian, Pizza, Chicken Wings, Restaurants"
"22",91760,"Aguila's Hidaway","Avondale","AZ","85323",33.4474664517,-112.3402951097,"1","Sports Bars, Seafood, Dive Bars, Chicken Wings, Restaurants, Nightlife, Bars, Dance Clubs"
"23",35478,"Wild Wing","Toronto","ON","M1V 1V2",43.8092547,-79.2696046,"1","Restaurants, American (Traditional), Chicken Wings"
"24",97282,"KFC","Sun City","AZ","85351",33.6020880774,-112.2895198281,"1","Chicken Wings, Fast Food, Chicken Shop, Restaurants"
"25",14304,"Chunky Chicken","Toronto","ON","M4H 1C3",43.7102476,-79.3353305,"1","Fast Food, Restaurants, Chicken Wings, Halal, Burgers, Pizza"
"26",107548,"The Coal Mine","Pittsburgh","PA","15234",40.3717019,-80.0090216,"1","Pubs, Pizza, Chicken Wings, American (Traditional), Beer, Wine & Spirits, Restaurants, Bars, Food, Nightlife"
"27",152768,"Yumys","Mississauga","ON","L4T 1A8",43.7129327,-79.6332796,"1","Fast Food, Chicken Wings, Restaurants, Seafood"
"28",135223,"American Deli","Montgomery","NC","28215",35.2355292586,-80.735678226,"1","Sandwiches, Burgers, Fast Food, Cheesesteaks, Restaurants, Chicken Wings"
"29",168553,"Blue Ribbon Fried Chicken - Downtown Summerlin","Las Vegas","NV","89135",36.1517914562,-115.3327068215,"0","Restaurants, Fast Food, American (New), Chicken Wings, Chicken Shop"
"30",55740,"KFC","Toronto","ON","M4S 2L5",43.699307,-79.386229,"1","Chicken Shop, Fast Food, Restaurants, American (Traditional), Chicken Wings"
"31",112270,"Wingstop","Charlotte","NC","28212",35.178868,-80.755892,"1","Restaurants, Chicken Wings"
"32",14859,"KFC","Calgary","AB","T3B 0N3",51.0733526,-114.1646684,"1","Fast Food, Chicken Shop, Restaurants, American (Traditional), Chicken Wings"
"33",36574,"St. Louis Bar & Grill","Newmarket","ON","L3Y 8V8",44.054461,-79.429734,"1","Sports Bars, Nightlife, Restaurants, Chicken Wings, Bars, American (Traditional)"
"34",43254,"Crossroads Grille","Monroe","NC","28110",35.04757,-80.644707,"1","Restaurants, American (Traditional), Chicken Wings, Sandwiches"
"35",185095,"Peter Piper Pizza","Scottsdale","AZ","85260",33.6282559148,-111.8928736698,"1","Chicken Wings, Restaurants, Buffets, Pizza"
"36",190630,"Boar N Wing Sports Grill","Toronto","ON","M9A 1C4",43.6430341,-79.5342349,"0","Restaurants, American (Traditional), Nightlife, Chicken Wings, Bars, Burgers, Sports Bars"
"37",120649,"Cactus Jacks Saloon","Las Vegas","NV","89183",35.9968968,-115.1371786,"1","Pizza, Beer, Wine & Spirits, Food, Restaurants, Nightlife, American (Traditional), Chicken Wings, Sports Bars, Bars"
"38",82032,"Anthonys Restaurant of Charlotte","Charlotte","NC","28262",35.300651,-80.802205,"0","American (Traditional), Restaurants, Chicken Wings"
"39",102264,"Chick-fil-A","Pittsburgh","PA","15275",40.4510215,-80.1749952,"1","Restaurants, Event Planning & Services, Chicken Wings, Fast Food, Caterers"
"40",118745,"Pizza Hut","Kannapolis","NC","28081",35.4367769658,-80.6797029963,"1","Restaurants, Italian, Pizza, Chicken Wings"
"41",144779,"WingTime","North Las Vegas","NV","89131",36.2795304427,-115.206069611,"1","Chicken Wings, Restaurants, Chicken Shop"
"42",163315,"KFC","Charlotte","NC","28213",35.2585,-80.7891,"1","Chicken Wings, Fast Food, Restaurants, Chicken Shop"
"43",190825,"Quaker Steak & Lube","Mentor","OH","44060",41.6577255335,-81.3782529441,"1","Restaurants, American (Traditional), Chicken Wings, Steakhouses"
"44",89088,"KFC","North Las Vegas","NV","89032",36.2398,-115.16,"1","Restaurants, Chicken Shop, Fast Food, Chicken Wings"
"45",130781,"Glass Nickel Pizza","Sun Prairie","WI","53590",43.1831104,-89.2138433,"1","Chicken Wings, Food, Event Planning & Services, Pizza, Sandwiches, Italian, Caterers, Salad, Restaurants, Food Delivery Services"
"46",189440,"Buldogis Gourmet Hot Dogs","Las Vegas","NV","89117",36.1470835,-115.2982993,"1","Korean, Restaurants, Asian Fusion, Chicken Wings, Hot Dogs"
"47",113094,"Babe's Sports Grille","Middleburg Heights","OH","44130",41.3521579,-81.7855489,"0","Chicken Wings, Burgers, Nightlife, Arts & Entertainment, Restaurants, Food, Wineries, Bars, Sports Bars"
"48",87567,"Athens Pizzeria","Cleveland","OH","44102",41.4640005,-81.7450118,"1","Chicken Wings, Salad, Pizza, Restaurants"
"49",9877,"Wok-A-Way Chinese Food & Wings","Mississauga","ON","L5L 5T3",43.5271536418,-79.676365514,"1","Chicken Wings, Specialty Food, Hakka, Chinese, Restaurants, Food, Ethnic Food"
"50",73986,"Pizza Hut","Las Vegas","NV","89103",36.115157,-115.2319877,"1","Chicken Wings, Pizza, Restaurants"
"51",52022,"Native Grill & Wings","Mesa","AZ","85202",33.363662,-111.873617,"1","Pizza, Chicken Wings, Restaurants, Bars, Nightlife, American (New), American (Traditional), Sports Bars"
"52",20652,"Domino's","Charlotte","NC","28227",35.2137877,-80.829107,"1","Sandwiches, Pizza, Chicken Wings, Fast Food, Restaurants"
"53",73030,"Peter Piper Pizza","Phoenix","AZ","85033",33.4934232,-112.204681,"1","Restaurants, Chicken Wings, Pizza, Buffets"
"54",178847,"Ash Kris Pizza","Pittsburgh","PA","15213",40.4366326,-79.953824,"1","Mediterranean, Restaurants, Chicken Wings, Pizza"
"55",8681,"1000 Degrees Neapolitan Pizzeria","Strongsville","OH","44136",41.3145385682,-81.8175763626,"1","Restaurants, Gluten-Free, Chicken Wings, Pizza"
"56",103681,"Lo-Lo's Chicken & Waffles","Gilbert","AZ","85233",33.3555888199,-111.7901026503,"1","Chicken Wings, Restaurants"
"57",12164,"Pizza Hut","Scarborough","ON","M1R 4E9",43.7637357,-79.2920401,"1","Pizza, Chicken Wings, Food Delivery Services, Restaurants, Italian, Food"
"58",3228,"Domino's Pizza","New Kensington","PA","15068",40.5897698975,-79.7250798717,"1","Sandwiches, Restaurants, Pizza, Chicken Wings"
"59",138441,"Zaxby's Chicken Fingers & Buffalo Wings","Huntersville","NC","28078",35.4401376443,-80.8659737486,"1","Fast Food, Salad, Chicken Wings, Restaurants"
"60",61469,"Pizza Hut","Tempe","AZ","85283",33.3644506,-111.9131709,"1","Fast Food, Italian, Pizza, Restaurants, Chicken Wings"
"61",48147,"Pizza Hut","Las Vegas","NV","89142",36.1441807,-115.0628631,"1","Chicken Wings, Pizza, Restaurants"
"62",180090,"Pizza Hut","Phoenix","AZ","85021",33.5551465,-112.1005889,"1","Pizza, Italian, Chicken Wings, Restaurants"
"63",179137,"Pizza Hut","Newmarket","ON","L3Y 2N1",44.0550795,-79.474812,"1","Pizza, Chicken Wings, Italian, Food, Food Delivery Services, Restaurants"
"64",104512,"RibCage","Henderson","NV","89052",35.9952822,-115.100014,"0","Food, Chicken Wings, Barbeque, Restaurants, Food Delivery Services"
"65",29212,"Duckworth's Kitchen & Taphouse","Charlotte","NC","28209",35.1708909,-80.8504498,"1","Bars, Sandwiches, Restaurants, Beer Bar, Nightlife, American (New), Beer, Wine & Spirits, Chicken Wings, Burgers, Sports Bars, Pizza, Food, American (Traditional), Cheesesteaks"
"66",42751,"KFC","Bethel Park","PA","15102",40.3367,-80.0236,"1","Restaurants, Chicken Shop, Chicken Wings, Fast Food"
"67",151732,"Hooters","Alberta","AB","T2G 5E8",51.0128779,-114.0657281,"0","Restaurants, Nightlife, Sports Bars, Bars, American (Traditional), Chicken Wings"
"68",167936,"Church's Chicken","Brampton","ON","L6Y 4M3",43.6586652,-79.7271161,"1","Fast Food, Restaurants, Chicken Wings, Burgers"
"69",101772,"Pizza Hut","White Oak","PA","15131",40.3369138,-79.8100027,"1","Restaurants, Pizza, Italian, Chicken Wings"
"70",152598,"KFC","Homestead","PA","15120",40.4033,-79.9157,"1","Chicken Shop, Restaurants, Fast Food, Chicken Wings"
"71",135084,"KFC","Sun Prairie","WI","53590",43.1866,-89.2315,"1","Chicken Wings, Fast Food, Restaurants, Chicken Shop"
"72",152215,"Happy's Pizza","Lorain","OH","44052",41.4423623,-82.1858509,"1","Pizza, Restaurants, Barbeque, Chicken Wings"
"73",180934,"Boil King","Toronto","ON","M5V 1J5",43.646035,-79.3911778,"0","Cajun/Creole, Chicken Wings, Seafood, Bars, Nightlife, Restaurants"
"74",67383,"Long Wong's","Scottsdale","AZ","85257",33.4666648,-111.900125,"1","Pizza, Chicken Wings, Restaurants, Burgers"
"75",28116,"Pizza Hut","Scarborough","ON","M1E 2M9",43.7705231,-79.1864221,"1","Food Delivery Services, Pizza, Italian, Restaurants, Chicken Wings, Food"
"76",171412,"CK'S BBQ & Catering","Henderson","NV","89002",35.9607337,-114.939821,"0","Street Vendors, Caterers, Barbeque, Event Planning & Services, Food, Burgers, Restaurants, Chicken Wings, Food Trucks"
"77",191515,"Scotty""s Kitchen","Las Vegas","NV","89121",36.1305272,-115.1084585,"0","Restaurants, Barbeque, Nightlife, American (Traditional), Chicken Wings, Burgers, Pubs, Bars"
"78",128283,"Peter Piper Pizza","Glendale","AZ","85301",33.5370013,-112.152069,"1","Buffets, Chicken Wings, Pizza, Restaurants"
"79",63126,"The Grill House Churrasquira","Vaughan","ON","L4H 0B9",43.828116,-79.5522657,"0","Chicken Wings, Restaurants, Canadian (New), Portuguese"
