"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",109616,"The Steady Cafe & Bar","Toronto","ON","M6H 1M4",43.6604937,-79.432099,"0","Restaurants, Nightlife, Breakfast & Brunch, Vegan, Food, Tapas Bars, Bars, Southern, Coffee & Tea"
"2",4441,"Aroma Espresso Bar","Toronto","ON","M3J 2S5",43.7698543376,-79.5019328828,"1","Sandwiches, Cafes, Food, Restaurants, Coffee & Tea"
"3",7475,"Starbucks","Las Vegas","NV","89134",36.191852,-115.304983,"1","Food, Coffee & Tea"
"4",31810,"Daily Donut","Peoria","AZ","85381",33.6092155475,-112.2556132078,"1","Donuts, Coffee & Tea, Juice Bars & Smoothies, Food"
"5",59401,"Phil's Restaurants","Calgary","AB","T2A 0P9",51.0381747,-113.9892355,"1","Breakfast & Brunch, Diners, Restaurants, Coffee & Tea, Food"
"6",118045,"Bonjour Bakery & Deli","Las Vegas","NV","89103",36.1161693,-115.2418516,"1","Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea"
"7",99937,"Starbucks","Gastonia","NC","28054",35.262558,-81.133545,"1","Coffee & Tea, Food"
"8",174590,"Flyjin Café","Montréal","QC","H2Y",45.5016615,-73.556605,"1","Coffee & Tea, Cafes, Restaurants, Bakeries, Juice Bars & Smoothies, Local Flavor, Food"
"9",33869,"Coffee, Tea, or Me","Las Vegas","NV","89102",36.1452198,-115.1766512,"0","Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Donuts, Ice Cream & Frozen Yogurt, Restaurants"
"10",52077,"La Barista Café","Toronto","ON","M4T",43.688486,-79.393215,"1","Food, Bakeries, Coffee & Tea"
"11",28413,"Starbucks","Brampton","ON","L6W 2B3",43.6937692,-79.7521383,"1","Restaurants, Breakfast & Brunch, Food, Coffee & Tea"
"12",63305,"Gelato 64","Chandler","AZ","85224",33.3372236,-111.8753378,"0","Coffee & Tea, Wedding Planning, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Party & Event Planning, Gelato"
"13",100003,"Rosso Coffee Roasters","Calgary","AB","T2G 0Y4",51.0421039,-114.0540648,"1","Restaurants, Coffee & Tea, Bakeries, Food, Breakfast & Brunch, Coffee Roasteries"
"14",56506,"Cha Me Cha","Markham","ON","L3R 1J5",43.8563274289,-79.3038838729,"1","Bubble Tea, Food, Restaurants, Taiwanese, Coffee & Tea"
"15",47323,"Hoche Café","Montréal","QC","H1V 1K4",45.5524867983,-73.5399850964,"1","Breakfast & Brunch, Food, Restaurants, Coffee & Tea"
"16",122069,"Hingetown","Cleveland","OH","44113",41.4893428107,-81.711028698,"1","Flowers & Gifts, Art Galleries, Coffee & Tea, Arts & Entertainment, Food, Cafes, Museums, Restaurants, Local Flavor, Shopping Centers, Shopping, Florists"
"17",18531,"Phó Lyn","Calgary","AB","T3G 3N7",51.1270899,-114.1957809,"0","Vietnamese, Coffee & Tea, Restaurants, Food"
"18",190727,"Paradise Boba Tea and Smoothie","Las Vegas","NV","89134",36.1931903,-115.3037626,"0","Restaurants, Food, Coffee & Tea, Juice Bars & Smoothies"
"19",94204,"Canterbury Booksellers Inn","Madison","WI","53703",43.0743929,-89.3918122,"0","Shopping, Bookstores, Coffee & Tea, Food, Books, Mags, Music & Video, Restaurants"
"20",115826,"The Coffee Bean & Tea Leaf","Peoria","AZ","85382",33.6377851,-112.2182363,"1","Food, Coffee & Tea"
