"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",24340,"Marathon Diner","Pittsburgh","PA","15231",40.4961769456,-80.2460112364,"1","Sandwiches, Salad, Restaurants, Burgers, Comfort Food"
"2",153313,"Nathan's Famous","Champlain","NY","12919",44.9811404098,-73.458718434,"1","Convenience Stores, Hot Dogs, Gas Stations, Burgers, Automotive, Food Stands, Restaurants, Comfort Food, Food, Fast Food"
"3",72222,"Eggspectation","Montréal","QC","H2X 2X3",45.507291,-73.565672,"1","Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food"
"4",48959,"Swiss Chalet Rotisserie & Grill","Ajax","ON","L1T 0J9",43.8980699691,-79.0290136315,"1","Comfort Food, Restaurants, American (Traditional)"
"5",28928,"Milestones Restaurants","Toronto","ON","M1P 4P5",43.7767555,-79.2590081,"1","Restaurants, Nightlife, Bars, American (Traditional), Comfort Food, Canadian (New)"
"6",160929,"Le Ballpark","Montréal","QC","H2S 3E7",45.5313097,-73.6126688,"1","Canadian (New), Coffee & Tea, Italian, Food, Cocktail Bars, Comfort Food, Restaurants, Bars, Nightlife, Wine Bars"
"7",184989,"Choco Choc Café","Lacolle","QC","J0J 1J0",45.0816015064,-73.3726096256,"1","Restaurants, Cafes, Comfort Food"
"8",9270,"Second Helping","Charlotte","NC","28205",35.2184940549,-80.7950326357,"0","Soul Food, American (Traditional), Comfort Food, Restaurants"
"9",45437,"I'll Be Seeing You","Toronto","ON","M4M 1H3",43.6589928,-79.3480738,"1","Bars, Wine Bars, Comfort Food, Cocktail Bars, Restaurants, Nightlife"
"10",97168,"Bob Evans","Stow","OH","44224",41.1644441723,-81.476444006,"1","Food, Breakfast & Brunch, Hotels & Travel, Desserts, Bed & Breakfast, Salad, American (Traditional), Comfort Food, Restaurants"
"11",176262,"Patsy's Place","Bethel Park","PA","15102",40.3105892,-80.0331978,"1","Comfort Food, Restaurants, American (New)"
"12",13597,"Bob Evans","Pittsburgh","PA","15237",40.5417427189,-80.0121000409,"1","Hotels & Travel, American (Traditional), Bed & Breakfast, Restaurants, Breakfast & Brunch, Salad, Comfort Food, American (New)"
"13",136890,"Boston Market","Cleveland","OH","44144",41.4255732,-81.7350157,"1","Caterers, American (Traditional), Restaurants, Comfort Food, Event Planning & Services"
"14",146611,"Swiss Chalet Rotisserie & Grill","East Gwillimbury","ON","L3Y 4V8",44.0715414,-79.481693,"0","Comfort Food, American (Traditional), Restaurants, Canadian (New)"
"15",154214,"Sticky Iggy's","Las Vegas","NV","89148",36.068215,-115.1539278,"1","Food Trucks, Restaurants, Waffles, Event Planning & Services, Caterers, Fast Food, Comfort Food, American (Traditional), Food, Party & Event Planning"
"16",185769,"Lazy Dog Restaurant & Bar","Las Vegas","NV","89119",36.0701464765,-115.1738562678,"1","Comfort Food, American (New), Restaurants, Bars, Breakfast & Brunch, Wine Bars, Tapas/Small Plates, Burgers, Nightlife, Cocktail Bars, Beer, Wine & Spirits, Food, Beer Bar"
"17",53047,"Dunkin' Donuts","Gilbert","AZ","85298",33.23437,-111.722122,"1","Restaurants, Donuts, Food, Comfort Food"
"18",26330,"Montana's BBQ & Bar","Calgary","AB","T3H 3P8",51.0195819431,-114.1679570385,"1","Restaurants, Steakhouses, Canadian (New), Barbeque, Comfort Food"
