"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",7746,"Stage Deli Of Las Vegas","Las Vegas","NV","89109",36.1173267,-115.1765011,"0","Sandwiches, Restaurants, Delis, Desserts, Food"
"2",118045,"Bonjour Bakery & Deli","Las Vegas","NV","89103",36.1161693,-115.2418516,"1","Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea"
"3",87154,"Jersey Mike's Subs","Middleton","WI","53562",43.0914253964,-89.527287314,"1","Fast Food, Restaurants, Delis, Sandwiches, Wraps"
"4",18143,"Jimmy John's","Wexford","PA","15090",40.6320562,-80.0585513,"1","Fast Food, Sandwiches, Restaurants, Food, Food Delivery Services, Delis"
"5",72315,"Marcello's Market & Deli","Toronto","ON","M5H 1B6",43.649321,-79.378413,"1","Food, Grocery, Delis, Buffets, Event Planning & Services, Breakfast & Brunch, Restaurants, Caterers"
"6",133490,"The Cure","Toronto","ON","M6K 1T5",43.6497245738,-79.4315845899,"0","Sandwiches, Breakfast & Brunch, Nightlife, Cocktail Bars, Food, Bars, Restaurants, American (Traditional), Canadian (New), Diners, Specialty Food, Delis, Meat Shops, Delicatessen"
"7",111748,"Ferrucci's Old Tyme Italian Market","Cornelius","NC","28031",35.4875889596,-80.875062168,"1","Event Planning & Services, Meat Shops, Italian, Caterers, Restaurants, Grocery, Specialty Food, Delis, Food"
"8",177308,"New York Bagels 'N Bialys","Scottsdale","AZ","85253",33.5796797,-111.9275444,"1","Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels"
"9",154220,"Deli Pizza Cafe","Las Vegas","NV","89123",36.0357393,-115.171471,"0","Delis, Restaurants, Sandwiches, Pizza"
"10",51804,"Foote's Valley Farm","Valley View","OH","44125",41.3981336104,-81.6262366623,"1","Fruits & Veggies, Delis, Restaurants, Bakeries, Specialty Food, Farms, Arts & Entertainment, Food"
"11",149006,"Tavern In The Wall","Pittsburgh","PA","15215",40.4903879,-79.9046284,"1","Nightlife, Restaurants, Bars, Burgers, Delis"
"12",2570,"Just Fresh","Charlotte","NC","28202",35.2283621,-80.8427789,"0","Restaurants, Delis"
"13",128729,"Biagio Deli & Beverage","Cleveland","OH","44143",41.5395398,-81.479358,"0","Restaurants, Delis"
"14",171664,"McAlister's Deli","Champaign","IL","61820",40.14166846,-88.2503601437,"1","Salad, Delis, Restaurants, Sandwiches, Food"
"15",174115,"Firehouse Subs","Gastonia","NC","28054",35.262106,-81.138489,"1","Restaurants, Fast Food, Burgers, Delis, Sandwiches"
"16",18289,"Krazy 4 Koffee","Phoenix","AZ","85085",33.7977104,-112.0636901,"1","Coffee & Tea, Food, Internet Cafes, Juice Bars & Smoothies, Delis, Restaurants"
"17",10880,"Archie's Delicatessan","Glendale","AZ","85306",33.6107503,-112.1853699,"0","Restaurants, Sandwiches, Delis"
"18",142016,"Gourmet Laurier","Montréal","QC","H2J 1G6",45.5308114,-73.5859832,"1","Restaurants, Sandwiches, Delis, Specialty Food, Food"
"19",18677,"Chris' Deli","Charlotte","NC","28205",35.2020194,-80.781657,"1","Delis, Sandwiches, Restaurants, Salad"
"20",1761,"Philly's Famous","Chandler","AZ","85224",33.3227508,-111.8597026,"1","Cheesesteaks, Sandwiches, Restaurants, American (Traditional), Delis"
"21",93264,"Farmer In the Deli","Chesterland","OH","44026",41.52582,-81.336286,"1","Food, Specialty Food, Delis, Fruits & Veggies, Restaurants"
"22",101468,"Lenny's Deli","Avon Lake","OH","44012",41.4938209,-82.0611978,"0","Delis, American (Traditional), Sandwiches, Restaurants"
"23",159499,"Katz Delicatessen & Sandwich Shop","Phoenix","AZ","85012",33.5126276,-112.0740912,"0","Restaurants, Delis"
"24",87633,"Honey Baked Ham Company","Willoughby","OH","44094",41.626608,-81.437889,"1","Delis, Sandwiches, Food, Cafes, Restaurants, Specialty Food, Salad, Meat Shops"
"25",184763,"New Way Gourmet","Pittsburgh","PA","15201",40.4645039,-79.9602215,"0","Mediterranean, Sandwiches, Delis, Restaurants, Pizza"
"26",64360,"Jersey Mike's Subs","Fairview Park","OH","44126",41.4417738,-81.8623573,"0","Fast Food, Restaurants, Delis, Sandwiches"
"27",74238,"La Novita Bakery","Mississauga","ON","L5A 1Y5",43.5843766,-79.6210645,"1","Food, Restaurants, Bakeries, Delis, Sandwiches"
"28",17954,"Jimmy John's","Strongsville","OH","44136",41.306317,-81.8345108,"1","Fast Food, Delis, Sandwiches, Food, Food Delivery Services, Restaurants"
"29",22745,"Chez Vito","Montréal","QC","H2T 2W7",45.5225015809,-73.5955922475,"1","Specialty Food, Restaurants, Sandwiches, Meat Shops, Food, Delis, Delicatessen, Imported Food"
"30",87704,"Jersey Mike's Subs","Gilbert","AZ","85297",33.2855958946,-111.7875759867,"1","Restaurants, Sandwiches, Delis, Fast Food"
"31",35283,"Jimmy John's","Phoenix","AZ","85032",33.5985771873,-111.9784468156,"1","Food Delivery Services, Sandwiches, Delis, Restaurants, Fast Food, Vegetarian, Food"
