"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",50897,"Nothing Bundt Cakes","Scottsdale","AZ","85255",33.6403078149,-111.9245281399,"1","Desserts, Food, Cupcakes, Bakeries"
"2",178009,"Fabulous Cakes and Confections Inc.","Vaughan","ON","L4L 4C2",43.7675451093,-79.5617757296,"1","Bakeries, Food, Event Planning & Services, Desserts"
"3",71864,"Not Your Mother","Toronto","ON","M6K 1L4",43.6417075708,-79.432192035,"1","Desserts, Ice Cream & Frozen Yogurt, Food, Restaurants, Vegan"
"4",24974,"COCO Crafted Organic Chocolate","Toronto","ON","M6S 2E2",43.6575995,-79.4876834,"1","Chocolatiers & Shops, Specialty Food, Ice Cream & Frozen Yogurt, Desserts, Food"
"5",7746,"Stage Deli Of Las Vegas","Las Vegas","NV","89109",36.1173267,-115.1765011,"0","Sandwiches, Restaurants, Delis, Desserts, Food"
"6",118045,"Bonjour Bakery & Deli","Las Vegas","NV","89103",36.1161693,-115.2418516,"1","Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea"
"7",3826,"Rocky Mountain Chocolate Factory","Mississauga","ON","L5B 2C9",43.5930784,-79.6424911,"1","Desserts, Food, Chocolatiers & Shops, Specialty Food"
"8",130923,"My Cheesecake Addiction","Edgemont","AB","T3A 2M4",51.1176786,-114.1491501,"1","Home Services, Patisserie/Cake Shop, Food, Desserts, Real Estate"
"9",183145,"Ben & Jerry's","Davidson","NC","28036",35.4981372,-80.8493039,"1","Restaurants, Desserts, Food, Caterers, Ice Cream & Frozen Yogurt, Bakeries, Event Planning & Services"
"10",40604,"D-Spot Dessert Cafe","Toronto","ON","M8Z 1P7",43.6232196,-79.5173811,"1","Desserts, Cafes, Food, Ice Cream & Frozen Yogurt, Restaurants, Bubble Tea"
"11",64139,"Pennylicks Gourmet Cafe","Toronto","ON","M5T 2M1",43.6559277,-79.4024678,"0","Food, Restaurants, Sandwiches, Coffee & Tea, Desserts"
"12",20456,"Teacup","Litchfield Park","AZ","85340",33.4948162,-112.3391323,"1","Bubble Tea, Food, Coffee & Tea, Desserts"
"13",188533,"Green Grotto","Mississauga","ON","L5B 4M6",43.5799524,-79.6468176,"1","Coffee & Tea, Food, Tea Rooms, Desserts"
"14",56935,"Le Gourmand","Toronto","ON","M5V 3S6",43.6481229,-79.3966409,"1","Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch"
"15",44157,"Pop's Dairy Bar","Calgary","AB","T2G 4L1",51.0409874,-114.0431246,"0","Food, Hot Dogs, Desserts, Ice Cream & Frozen Yogurt, Restaurants"
"16",191041,"Treetz Goodeatz","Fort Mill","SC","29708",35.0622606,-80.9946148,"1","Specialty Food, Gift Shops, Flowers & Gifts, Popcorn Shops, Shopping, Food, Desserts"
"17",93547,"Carol's Confections","Pittsburgh","PA","15219",40.434009,-80.005785,"1","Ice Cream & Frozen Yogurt, Food, Desserts"
"18",145615,"Cinnabon","Toronto","ON","M2J 5A7",43.7778779699,-79.3446541205,"1","Desserts, Food, Bakeries"
"19",108483,"Artisen","Matthews","NC","28105",35.117288,-80.725361,"1","Food, Juice Bars & Smoothies, Gelato, Desserts"
"20",162067,"Michelle's Place","Medina","OH","44256",41.1404321,-81.8636042,"1","Desserts, American (New), Restaurants, American (Traditional), Sandwiches, Breakfast & Brunch, Food"
"21",135298,"Dolce Ristorante","Charlotte","NC","28203",35.2026242,-80.8444191,"1","Nightlife, Desserts, American (New), Food, Wine Bars, Bars, Restaurants, Italian"
"22",115622,"Second Cup","Calgary","AB","T3G 5T4",51.1505605683,-114.2132662881,"0","Food, Desserts, Coffee & Tea"
"23",51037,"Las Tapatias","Las Vegas","NV","89146",36.1592624,-115.2250058,"1","Mailbox Centers, Juice Bars & Smoothies, Gelato, Desserts, Local Services, Mexican, Restaurants, Candy Stores, Ice Cream & Frozen Yogurt, Shaved Ice, Specialty Food, Food"
"24",109509,"Tasty Crepes","Las Vegas","NV","89147",36.101689985,-115.2981502597,"1","Restaurants, Desserts, Food, Juice Bars & Smoothies, Creperies, Ice Cream & Frozen Yogurt"
"25",103913,"Pop Drinks","Las Vegas","NV","89148",36.0983467817,-115.2993090044,"1","Desserts, Coffee & Tea, Specialty Food, Food, Juice Bars & Smoothies, Popcorn Shops"
"26",116036,"Baker Wee","Phoenix","AZ","85053",33.6099016098,-112.1506690979,"1","Caterers, Desserts, Bakeries, Event Planning & Services, Custom Cakes, Sandwiches, Coffee & Tea, Party & Event Planning, Restaurants, Food"
"27",158801,"Pastel Creperies & Dessert House","North York","ON","M2N 5R6",43.7762933,-79.4142988,"1","Food, Restaurants, Coffee & Tea, Creperies, Desserts, Breakfast & Brunch"
"28",30732,"Legend Tea","Markham","ON","L3R 0Y5",43.8260053468,-79.3062365055,"1","Desserts, Food, Bubble Tea"
"29",79013,"Gimme Some Sugar","Henderson","NV","89012",36.0281354672,-115.0483156803,"0","Coffee & Tea, Restaurants, Bakeries, Beer, Wine & Spirits, Desserts, Food, Cafes"
"30",40263,"The Crepe Club","Phoenix","AZ","85016",33.5104431,-112.0287274,"0","Food, Sandwiches, Party & Event Planning, Caterers, Restaurants, French, Desserts, Creperies, Juice Bars & Smoothies, Event Planning & Services, Breakfast & Brunch"
"31",29630,"Boulangerie Le Fournil","Westmount","QC","H3Y 2R4",45.4784023,-73.6022038,"0","Bakeries, Desserts, Food"
"32",176386,"Tracy Dessert","Markham","ON","L3R 3P9",43.8489358887,-79.3478012802,"1","Food, Chinese, Restaurants, Desserts"
"33",4980,"Pink Lemon Bake Shop","Richmond Hill","ON","L4C 3B6",43.8766288,-79.4385863,"0","Desserts, Bakeries, Food, Event Planning & Services, Caterers"
