"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",59401,"Phil's Restaurants","Calgary","AB","T2A 0P9",51.0381747,-113.9892355,"1","Breakfast & Brunch, Diners, Restaurants, Coffee & Tea, Food"
"2",64215,"Ricky's All Day Grill","Calgary","AB","T2E 5T1",51.0972241226,-114.0322342038,"1","Breakfast & Brunch, Restaurants, Canadian (New), Diners"
"3",96427,"Steak ’n Shake","Brunswick","OH","44212",41.2378014833,-81.8060022,"1","American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)"
"4",88804,"Circles Grill and Market","Charlotte","NC","28277",35.0393909574,-80.7950710445,"0","Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food"
"5",142416,"Sunset Grill","Newmarket","ON","L3Y 8E4",44.0587246395,-79.4296261825,"1","Breakfast & Brunch, Restaurants, Canadian (New), Diners"
"6",55552,"Donna's Diner","Elyria","OH","44035",41.367931,-82.105386,"0","Diners, Restaurants"
"7",37063,"Steak ’n Shake","Willoughby","OH","44094",41.6234487,-81.4392608,"1","Restaurants, Fast Food, Burgers, American (Traditional), American (New), Breakfast & Brunch, Diners"
"8",61192,"Eggstasy","Scottsdale","AZ","85254",33.5825076235,-111.9312195007,"1","Diners, Breakfast & Brunch, Restaurants"
"9",86248,"Waffle House","Pineville","NC","28134",35.087963,-80.858488,"1","Diners, American (Traditional), Restaurants, Breakfast & Brunch, Waffles, American (New), Fast Food, Burgers"
"10",133412,"OK OK Diner","Toronto","ON","M4M 1K8",43.6623207,-79.3351048,"1","Restaurants, Breakfast & Brunch, Diners"
"11",133490,"The Cure","Toronto","ON","M6K 1T5",43.6497245738,-79.4315845899,"0","Sandwiches, Breakfast & Brunch, Nightlife, Cocktail Bars, Food, Bars, Restaurants, American (Traditional), Canadian (New), Diners, Specialty Food, Delis, Meat Shops, Delicatessen"
"12",50948,"Denny's","Surprise","AZ","85374",33.6589000674,-112.376867598,"1","Restaurants, Diners, Breakfast & Brunch, American (Traditional)"
"13",50476,"Denny's","Phoenix","AZ","85027",33.6833375,-112.1149421,"1","American (Traditional), Breakfast & Brunch, Diners, American (New), Restaurants"
"14",112719,"The Good Egg - Carefree","Scottsdale","AZ","85266",33.7978115,-111.9292904,"0","Breakfast & Brunch, Diners, Restaurants"
"15",177209,"Avenue Diner","Calgary","AB","T2P 1B4",51.0454011,-114.0635263,"0","Restaurants, Diners"
"16",191965,"The Pickle Barrel","Toronto","ON","M6A 2T9",43.7246888,-79.4538904,"1","Restaurants, Cocktail Bars, Canadian (New), Bars, Nightlife, Diners"
"17",10584,"Ricky's All Day Grill","Calgary","AB","T2J",50.9455365,-114.0698417,"1","American (New), Restaurants, Canadian (New), Food, Diners"
"18",138536,"Le Diner Frunchroom","Montréal","QC","H3G 1T7",45.4950906376,-73.5741431674,"0","Diners, Nightlife, Italian, Bars, French, Restaurants"
"19",122205,"3 Coins Open Kitchen","Richmond Hill","ON","L4C 1T6",43.8746365,-79.4382334,"1","Canadian (New), Restaurants, Diners, Fast Food"
"20",101667,"Denny's","Calgary","AB","T2H 0B8",50.9825411813,-114.0450462699,"1","Breakfast & Brunch, American (Traditional), Restaurants, Diners"
"21",139476,"Sunset Grill","Mississauga","ON","L5G 1H9",43.5655026,-79.5713627,"1","Diners, Canadian (New), Breakfast & Brunch, Restaurants"
"22",15282,"Beso Steakhouse","Las Vegas","NV","89109",36.108999,-115.173179,"0","Steakhouses, Restaurants, Diners"
"23",15679,"Monty's Blue Plate Diner","Madison","WI","53704",43.09242,-89.3518969,"1","Restaurants, Vegetarian, Diners, American (Traditional)"
"24",50641,"Sammy's Grille","Cleveland","OH","44103",41.5005090569,-81.6888530137,"0","Diners, American (Traditional), Salad, Breakfast & Brunch, Burgers, Restaurants"
"25",99234,"The Gladstone Cafe","Toronto","ON","M6J 1J4",43.6425668,-79.427059,"0","Diners, Food, Cafes, Restaurants, Food Delivery Services"
"26",170115,"Starliner Diner","Glendale","AZ","85301",33.5307526249,-112.1706569195,"1","Breakfast & Brunch, Restaurants, American (Traditional), Diners"
"27",153961,"Rudy Martino Original House of Submarines","Pittsburgh","PA","15218",40.4213034,-79.8902636,"1","Sandwiches, Restaurants, Diners"
"28",149555,"Silver Platter","Fort Mcdowell","AZ","85264",33.582406,-111.680802,"1","Burgers, Diners, Restaurants, Breakfast & Brunch"
"29",33726,"Denny's","Mentor","OH","44060",41.6590021038,-81.3658992987,"1","Fast Food, Breakfast & Brunch, American (Traditional), Diners, Restaurants"
"30",47555,"Mister Steer","Montréal","QC","H3B 1K1",45.498739,-73.574025,"1","American (Traditional), Burgers, Restaurants, Diners, Steakhouses"
"31",127513,"King's Diner","Toronto","ON","M4E 1S5",43.6805101,-79.2895166,"1","Restaurants, Breakfast & Brunch, Diners"
"32",50227,"Caribbean Palm - Scottsdale","Scottsdale","AZ","85257",33.4656047,-111.9293095,"1","Restaurants, Seafood, Bars, Diners, Caribbean, Nightlife"
"33",138164,"New Midway Restaurant","Mississauga","ON","L5T 2B8",43.6633367,-79.6698193,"1","Restaurants, Diners, Greek, Breakfast & Brunch"
"34",79717,"Île Flottante","Montréal","QC","H2T 2L3",45.5236393,-73.6007158,"1","Restaurants, Diners, Modern European, French"
"35",161574,"Arts All American Cafe","Phoenix","AZ","85007",33.4515172,-112.0967989,"1","American (New), Diners, Restaurants, Cafes"
"36",58991,"Lenny's Burger Shop","Phoenix","AZ","85012",33.4797007,-112.0732999,"1","Burgers, Diners, Restaurants"
"37",173266,"Denny's","Scottsdale","AZ","85250",33.5387649,-111.8848847,"1","American (Traditional), Breakfast & Brunch, Restaurants, Diners"
"38",33587,"Tic Toc Diner & Catering","Charlotte","NC","28202",35.230441,-80.838086,"0","Cafes, Restaurants, Coffee & Tea, Diners, Food"
"39",47787,"Bobby's Hideaway","Mississauga","ON","L5G 1H5",43.5635359,-79.5719144,"1","Diners, Breakfast & Brunch, Restaurants, Canadian (New)"
"40",132869,"Swan Restaurant","Toronto","ON","M6J 1G3",43.6452774,-79.4149396,"0","Restaurants, American (Traditional), Breakfast & Brunch, Diners"
"41",173016,"Johnny Rockets","Phoenix","AZ","85027",33.667611164,-112.120407,"1","Restaurants, Burgers, American (Traditional), Diners"
"42",62696,"Pizzeria Angela","Montréal","QC","H3H 1J7",45.4948224,-73.5799237,"1","Restaurants, Food, Diners, Pizza"
"43",45216,"Beach Cafe","Las Vegas","NV","89139",36.0484864,-115.2243463,"1","Restaurants, Burgers, Diners, Breakfast & Brunch"
"44",93616,"Lou's Diner","Las Vegas","NV","89107",36.167739,-115.2059208,"1","Breakfast & Brunch, Diners, American (Traditional), Restaurants"
"45",61419,"Cardinal Rule","Toronto","ON","M6R 2K2",43.6390827,-79.4460771,"0","Restaurants, American (Traditional), Diners"
"46",46190,"Denny's","Las Vegas","NV","89101",36.1699356,-115.1414301,"1","Diners, Restaurants, American (Traditional), Breakfast & Brunch, Sandwiches"
"47",54465,"BLACKOUT Dining in the Dark","Las Vegas","NV","89103",36.119787,-115.190605,"1","Diners, Venues & Event Spaces, Event Planning & Services, Arts & Entertainment, Vegetarian, American (New), Mediterranean, Nightlife, Restaurants"
