"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",145384,"Served","Henderson","NV","89012",36.0107451,-115.0648029,"1","Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
"2",59949,"Pita Pit","Las Vegas","NV","89183",36.012764,-115.136056,"0","Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food"
"3",13760,"Aladdin's Eatery","Mentor","OH","44060",41.6738589,-81.3228213,"1","Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern"
"4",166894,"Sinaloa Tacos 2","North Las Vegas","NV","89030",36.196168,-115.1108857,"1","Specialty Food, Imported Food, Ethnic Food, Food"
"5",158485,"Gandhi International Market","Charlotte","NC","28213",35.3072078,-80.7207979,"1","Grocery, Specialty Food, Ethnic Food, Food, Imported Food"
"6",79167,"Naya Mediterranean Cuisine","Scottsdale","AZ","85253",33.5659638976,-111.9250339642,"0","Specialty Food, Food, Bars, Italian, Nightlife, Ethnic Food, Restaurants, Cocktail Bars, Mediterranean"
"7",23950,"Don Patron","Streetsboro","OH","44241",41.2532681839,-81.3638442734,"1","Mexican, Food, Ethnic Food, Restaurants, Specialty Food, Imported Food"
"8",32114,"Prince Restaurant","Las Vegas","NV","89103",36.1140708,-115.2409255,"1","American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
"9",92986,"Rolling Wok","Newmarket","ON","L3Y 8W8",44.0649983,-79.430207,"1","Specialty Food, Ethnic Food, Imported Food, Food"
"10",184144,"Bar Kada Avenue","Las Vegas","NV","89102",36.142762,-115.209066,"0","Specialty Food, Street Vendors, Filipino, Asian Fusion, Food, Nightlife, Restaurants, Karaoke, Ethnic Food, Bars, Beer, Wine & Spirits"
"11",74719,"Kings Delight Caribbean Cuisine","Toronto","ON","M9N 2S1",43.7019167,-79.5035253,"1","Ethnic Food, Food, Fish & Chips, Restaurants, Specialty Food, Barbeque, Caribbean"
"12",117604,"Mayettes","Toronto","ON","M1L 1C5",43.6927912,-79.2811846,"1","Ethnic Food, Personal Chefs, Restaurants, Seafood, Event Planning & Services, Fast Food, Specialty Food, Barbeque, Party & Event Planning, Filipino, Local Flavor, Food, Caterers"
"13",173040,"Jen's Noodle House","Airdrie","AB","T4B 3M2",51.2866520073,-114.0142864287,"1","Ethnic Food, Food, Chinese, Vietnamese, Specialty Food, Restaurants"
"14",85539,"Kal & Mooy","Toronto","ON","M5G",43.6501306,-79.3904119,"0","Food, Specialty Food, Middle Eastern, Restaurants, African, Ethnic Food, Food Trucks"
"15",15810,"Azuza Hookah Lounge & Cafe","Las Vegas","NV","89169",36.108898,-115.151261,"1","Beer, Wine & Spirits, Bars, Ethnic Food, Cafes, Specialty Food, Restaurants, Cocktail Bars, Arts & Entertainment, Hookah Bars, Tea Rooms, Food, Nightlife, Mediterranean, Coffee & Tea, Music Venues"
"16",84275,"Kanda Sushi Japanese Buffet","Mississauga","ON","L5A 4C7",43.5747808,-79.6081954,"1","Food, Specialty Food, Restaurants, Japanese, Sushi Bars, Ethnic Food"
"17",83351,"La Reyna Del Hot Dog","Glendale","AZ","85302",33.5668574215,-112.1873552861,"0","Hot Dogs, Ethnic Food, American (Traditional), Specialty Food, Food, Mexican, Restaurants"
"18",74251,"Jade Chinese Restaurant","York","ON","M6E 2H5",43.6967642,-79.4462269,"0","Restaurants, Chinese, Specialty Food, Ethnic Food, Food"
"19",190125,"Leena's Food","Pittsburgh","PA","15289",40.4418197,-79.9571314,"0","Halal, Vegan, Sandwiches, Vegetarian, Ethnic Food, Greek, Middle Eastern, Restaurants, Specialty Food, Mediterranean, Food"
